name,batch,one_liner,website,slug,industries,tags,team_size,all_locations,status,stage,agent_type,ai_vertical,ai_tech_strength,ai_confidence,ai_reasoning,long_description
Pearson Labs,Fall 2024,AI agents to automate corporate transactions,http://www.pearsonlabs.ai,pearson-labs,B2B; Legal,Artificial Intelligence; Generative AI; Legal; LegalTech,2,"San Francisco, CA, USA",Active,Early,Single-Purpose Agent,Legal & Compliance,Vertical Agent Product,0.95,"Pearson Labs builds AI agents that autonomously automate corporate transactions, reducing costs for law firms, indicating a vertical autonomous agent product.","Pearson builds AI agents to automate corporate transactions. Large law firms use us to run gigantic books of businesses with AI, reducing their cost of delivery 40-60%."
Revi,Fall 2024,AI-enabled M&A deal origination,https://www.revi.ai/,revi,B2B; Sales,,2,"New York City, NY, USA; Remote",Active,Early,Single-Purpose Agent,Finance & Accounting,Vertical Agent Product,0.95,"Revi uses agentic workflows to replicate end-to-end deal origination processes autonomously, indicating a single-purpose AI agent product for M&A deal origination.","Revi helps Investment Banks, PE firms, and Corporate Development teams source new deals.

We do this by using agentic workflows to replicate their end-to-end deal origination process, entirely removing the trade-off between precision and scalability.

We released the first version of Revi in September 2023 and now have companies like KPMG and platforms backed by KKR and Nordic Capital using our product."
Riveter,Fall 2024,Turn the web into structured data,https://www.riveterhq.com/,riveter,"B2B; Engineering, Product and Design",Artificial Intelligence; B2B; E-commerce; Market Research; AI,2,"San Francisco, CA, USA",Active,Early,CaaS Platform,General Purpose / Horizontal,Agent API/SDK,0.95,"Riveter provides AI search agents and custom scrapers as APIs enabling customers to build and deploy autonomous web data extraction agents, fitting a CaaS platform.","Riveter fully automates web data extraction, end to end. With a single API, agents can search, scrape, and structure data from the web. 

Customers like Snapchat and OpenAI use us to enrich datasets using Riveter's AI search agents that combine data from the web with third party or internal data.  

Their AI agents, custom scrapers, and integrations pack the power of browser use and automation for search, at a cost that allows for scale. 

You can even create a custom data API for repeated searches live in your app or internal databases. 

Perplexity and ChatGPT are great for single questions, but they can’t handle large amounts of data at once. And they’re working with a single agent and context window instead of one in every cell.

And Riveter’s web browsing can go further—even reading PDFs and images that may contain answers. 

Most teams still spend hours (or hire UpWorkers/contractors) to manually copy product specs, check competitor pricing, pull custom KYB/KYC data to assess customer risk, or scrape filings. Or they spend months building web scrapers, and when that still doesn't work, they come to Riveter.

Our founding team (Cody Watters - CTO, Abby Grills, CEO) brings deep product and engineering expertise from to YC-backed companies Gusto, Retool, and Middesk. "
Rulebase,Fall 2024,AI agents for financial services.,https://rulebase.co,rulebase,B2B; Operations,Customer Success; Customer Service; Customer Support,2,"New York City, NY, USA",Active,Early,Single-Purpose Agent,Finance & Accounting,Vertical Agent Product,0.95,"Rulebase builds AI coworkers (agents) that autonomously monitor and route compliance issues in financial services, a single-purpose AI agent product.","Rulebase builds AI coworkers that help banks and fintechs review 100% of customer interactions in real time. Our agents flag compliance breaches, high-risk issues, and quality gaps across calls, chats, and emails — then route them to the right teammates. The result: up to 30% fewer escalations and QA cycles reduced from hours to minutes.
"
SRE.ai,Fall 2024,AI DevOps Agents,https://sre.ai,sre-ai,B2B; Infrastructure,Artificial Intelligence; Developer Tools; B2B; DevOps; Infrastructure,5,"San Francisco, CA, USA",Active,Early,Single-Purpose Agent,Infrastructure & DevOps,Vertical Agent Product,0.9,"SRE.ai offers AI DevOps agents that autonomously manage reliability, indicating a single-purpose AI agent product for DevOps.",Reliability on autopilot. Free you team to build what's next.
Sandra AI,Fall 2024,Building AI employees for car dealers,https://www.sandra-ai.com,sandra-ai,B2B,Automotive; AI Assistant,3,"Miami, FL, USA",Active,Early,Single-Purpose Agent,Sales & Marketing,Vertical Agent Product,0.95,"Sandra AI builds AI agents automating customer interactions and dealership operations end-to-end, a single-purpose vertical AI agent product.","Sandra AI is building the AI operating system for car dealerships, replacing clumsy legacy software with an AI-native, automation-driven platform. Founded by 3 McKinsey, HEC & MIT alumni who met 10 years ago at Ecole Polytechnique, the company’s AI agents already automates all customer interactions across calls & messages, and increasingly run dealership operations by automating sales and aftersales workflows end-to-end. This operational footprint naturally extends into a proprietary software layer that unifies billing, scheduling, inventory, and CRM into a single dealership OS. "
Smooth,Fall 2024,"Fast, simple, reliable AI browser agent",https://smooth.sh,smooth,"B2B; Engineering, Product and Design",,2,"London, United Kingdom",Active,Early,Single-Purpose Agent,General Purpose / Horizontal,Vertical Agent Product,0.9,"Smooth is an AI browser agent performing autonomous web actions, a single-purpose AI agent product focused on browser automation.","Smooth is an AI browser agent that can perform actions autonomously on the web using mouse and keyboard. It’s the most reliable browser agent yet, while also being 5 times faster, and 7 times cheaper than any other browser agent on the market.

"
Sphinx,Fall 2024,AI Compliance Analysts for Banks & Fintechs,https://sphinxhq.com/,sphinx,Fintech,,14,"San Francisco, CA, USA",Active,Early,Single-Purpose Agent,Finance & Accounting,Vertical Agent Product,0.9,"Sphinx automates compliance analyst tasks with AI agents making AML decisions, a single-purpose AI agent product for fintech compliance.","Sphinx automates the manual work of compliance analysts. Our AI agents make AML decisions, helping banks and fintech eliminate onboarding bottlenecks.
"
Struct,Fall 2024,Automate your on-call runbook,https://struct.ai,struct-ai,"B2B; Engineering, Product and Design",Artificial Intelligence; Developer Tools; B2B; DevOps; Enterprise Software,2,"San Francisco, CA, USA",Active,Early,Single-Purpose Agent,Infrastructure & DevOps,Vertical Agent Product,0.85,"Struct automates root-cause analysis by cross-referencing logs and codebase, acting as an autonomous agent for on-call runbook automation.","Struct cross-references logs, metrics, traces, and your codebase to accurately root-cause eng alerts and bugs. 

Integrate your entire stack in minutes, auto-investigate every issue, dive deeper at will, and hand-off context to fix in one click.
"
Symphony,Fall 2024,Voice AI sims for next-gen employee training,https://getsymphony.co,symphony,B2B,SaaS; B2B; HR Tech; AI,5,"New York, NY, USA",Active,Early,Single-Purpose Agent,HR & Recruiting,Vertical Agent Product,0.9,"Symphony offers AI voice simulations for employee training, an autonomous agent product focused on interactive voice scenarios.","Symphony helps enterprises train their customer-facing employees using interactive AI voice simulations of real-world scenarios. Users can create an infinite number of simulations that allow their teams to practice the job - avoiding costly mistakes with real customers. For example, we’re live with 2 of the top 3 auto insurers in NA, helping train 1000s of newly hired claims adjusters. "
Tiny,Fall 2024,A new kind of ERP system for factories,https://andtiny.com,tiny,B2B,SaaS; B2B; Workflow Automation; Manufacturing; Enterprise Software,3,"Singapore, Singapore; Remote",Active,Early,Single-Purpose Agent,Supply Chain & Logistics,Vertical Agent Product,0.9,"Tiny builds AI agents that automate repetitive workflows in factories, a vertical agent product for manufacturing and supply chain.","At Tiny, we’re building a new kind of ERP system for factories where AI agents automate repetitive workflows. Made for the four million factories still primarily relying on Excel. LLMs now unlock their troves of siloed unstructured data. We see a massive opportunity to build a compound startup and, beyond that, tap into network effects to unlock just-in-time manufacturing across entire supply chains."
VortexifyAI,Fall 2024,Build AI applications and automations for supply chain operations,https://www.vortexify.ai,vortexifyai,B2B; Supply Chain and Logistics,IoT; Supply Chain; Data Science; AI; AI Assistant,3,"New York, NY, USA",Active,Early,CaaS Platform,Supply Chain & Logistics,Agent Building Platform,0.95,"VortexifyAI provides a platform to build, deploy, and manage autonomous AI bots for supply chain operations, enabling custom agent creation and orchestration.","Vortexify AI is a platform for building fully operational AI workflows tailored to supply chain operations. Deploy specialized, task-specific AI bots in days — not weeks. Our platform streamlines the creation of AI bots that can analyze millions of data rows, manage complex, long-horizon processes, and collaborate seamlessly with humans in the loop.

Each AI bot comes equipped with custom tools maintained through AI-powered code editors directly within the Vortexify platform. Development teams can instantly generate dashboards, data pipelines, machine learning models, and custom functions — all contextualized to business goals and data requirements.

Bots can operate in Co-pilot or Agent (autonomous) mode. They can be scheduled or triggered by real-time alerts and are governed by robust, natural language-generated guardrail templates that ensure safety, compliance, and reliability."
telli,Fall 2024,AI phone agents that convert,https://telli.com,telli,B2B,,16,"Berlin, Berlin, Germany",Active,Early,Single-Purpose Agent,Sales & Marketing,Vertical Agent Product,0.95,"Telli builds AI voice agents that autonomously convert leads into sales opportunities, automating the pre-sales agent role end-to-end for B2C companies.","telli is building AI voice agents that convert leads into sales opportunities for B2C companies. For example, a leading home-buying platform is using telli to fully automate their pre-qualification.

We are serving customers in energy, real estate, medical products, and home services.

You might think that these B2C companies want to do more self-serve and less outreach. But the truth is outbound calls are what really drive conversion. Historically, managing these calls has been complex and expensive—costing companies hundreds of thousands of dollars. With telli, for the first time, B2C companies can automate the role of a pre-sales agent, end to end."
Amika,Fall 2025,Infra to build your own software factory,https://www.amika.dev/,amika,B2B; Infrastructure,Artificial Intelligence; Machine Learning; B2B; Infrastructure,2,"New York, NY, USA",Active,Early,CaaS Platform,Engineering & Dev Tools,Agent Orchestration,0.95,"Amika provides infrastructure and sandboxed autonomous AI coding agents that understand codebases and ship PRs, enabling teams to build and deploy their own AI agents.","Amika is infra to build your software factory.

We give your team sandboxed AI coding agents in the cloud: the same infrastructure Ramp, Coinbase, and Stripe built in-house. Kick off work from a web UI, CLI, Slack, or API. Use your preferred coding agent (Claude Code, Codex, etc.). Each agent understands your codebase, runs autonomously, and ships real PRs with live previews of the apps it changed. Use it as your daily driver or plug it into your own code-gen pipeline via API."
Antigen,Fall 2025,Continuous offensive security for the enterprise.,https://antigen.sh/,antigen,"B2B; Engineering, Product and Design",Cybersecurity; AI,3,"San Francisco, CA, USA",Active,Early,Single-Purpose Agent,Security,Vertical Agent Product,0.9,"Antigen offers an AI adversary agent that autonomously performs offensive security testing and delivers findings, a specific autonomous agent product for security.","Antigen is an AI adversary for the enterprise. It maps, exploits, and secures your attack surface through nightly automated offensive testing and monthly human red team assessments. Every finding is delivered with traces, reproduction steps, and remediation directly in GitHub, Linear, or the Antigen Platform.

We work with companies in financial services, healthcare, retail, and government where security is trust.

We're backed by Lightspeed, DST Global, and Susa Ventures."
Arcten,Fall 2025,Lab working on long-horizon autonomous research and coding agents,https://arcten.com,arcten,"B2B; Engineering, Product and Design",Deep Learning; Generative AI; Machine Learning; AI,2,"San Francisco, CA, USA",Active,Early,CaaS Platform,Engineering & Dev Tools,Agent Building Platform,0.9,"Arcten is a lab working on long-horizon autonomous research and coding agents, indicating development of agent platforms or frameworks.",
Aside,Fall 2025,Operating system for the AI era,https://aside.com,aside,Consumer,Artificial Intelligence; SaaS; Automation,3,"San Francisco, CA, USA",Active,Early,CaaS Platform,General Purpose / Horizontal,Agent Orchestration,0.95,"Aside is an AI browser that acts autonomously on users' behalf across apps with password and session management, providing a general-purpose autonomous AI agent platform.","Aside is an AI browser that acts on your behalf. Give it your passwords, browsing history, and browser context. It gets real work done end to end in the apps you already use, with no integrations required.

- 🌐 Browser-native automation: Works directly in Gmail, Notion, Slack, Figma, banking apps, and internal tools, without any integrations.
- 🔑 Passwords into tools: Lets AI use logins, sessions, passkeys, and credentials to take action.
- 📚 Browsing history into memory: Gives AI persistent context across sessions.
- 🧡 Push notifications into a heartbeat: Lets agents react to events and resume work in real time."
Aspect,Fall 2025,Intelligent media storage for creative teams.,https://aspect.inc,aspect-inc,"B2B; Engineering, Product and Design",,3,,Active,Early,Single-Purpose Agent,Engineering & Dev Tools,Vertical Agent Product,0.85,"Aspect provides an agent embedded in media storage software that autonomously manages and organizes media assets, a vertical agent product.","Aspect helps creative teams consolidate 5 media tools into one platform. We provide everything a media team needs: file ingest, local file streaming, review and approval, sharing, and archiving. 

Aspect workspaces come with an agent that has complete understanding of your asset library including comments and revisions. Ask the agent to complete any task in the background: searching for files, setting up folder structures, labeling and organizing footage, and much more.

Check out aspect.inc/use-cases to see how different media teams use Aspect to deliver content faster."
AtlasGrid,Fall 2025,Accelerate Product Iteration,https://atlasgrid.ai,atlasgrid,"B2B; Engineering, Product and Design",,6,"San Francisco, CA, USA; Remote",Active,Early,Single-Purpose Agent,Engineering & Dev Tools,Vertical Agent Product,0.85,"AtlasGrid uses AI-powered agents to analyze mobile apps and provide actionable insights, a specific autonomous agent product for product iteration.","AtlasGrid automatically builds a visual graph of your mobile app UI and displays analytics directly on your screens. Additionally, our fleet of AI-powered agents will continuously analyze thousands of mobile apps, gathering design insights and identifying growth opportunities + actionable product improvements."
Automax.ai,Fall 2025,AI native real-estate appraisal firm,https://automax.ai,automax-ai,Real Estate and Construction; Housing and Real Estate,B2B; Proptech,4,"San Francisco, CA, USA",Active,Early,Single-Purpose Agent,Real Estate,Vertical Agent Product,0.9,"Automax.ai uses custom-trained AI agents to autonomously generate real estate appraisal reports, a vertical autonomous agent product.","Automax.ai does property appraisals faster and more transparent. Our mobile app uses LiDAR and computer vision to capture property details automatically, and our custom-trained AI agents combine that data with all the analysis and aggregation required to to generate a complete appraisal report in minutes. The result is a clear, grounded valuation, fully Fannie Mae & Freddie Mac compliant — done in under 20 minutes from start to finish."
