record_id,column,action,before,after,source_csv,reason
enkrypt-ai--enkryptai-com,otel,apply-value,"{""value"": ""searched not found — not advertised on vendor site"", ""status"": ""real-data"", ""citation"": ""https://www.enkryptai.com/platform/capabilities/ai-risk-removal""}","no data — searched enkryptai.com, docs.enkryptai.com; OpenTelemetry export not advertised",fillable,
enkrypt-ai--enkryptai-com,webhooks,apply-value,"{""value"": ""searched not found — not advertised on vendor site"", ""status"": ""real-data"", ""citation"": ""https://www.enkryptai.com/platform/capabilities/ai-risk-removal""}","no data — searched enkryptai.com, docs.enkryptai.com; webhook events not advertised",fillable,
hiddenlayer-aisec-platform-2-0--hiddenlayer-com,a2a-support,apply-value,"{""value"": ""searched not found — not advertised on vendor site"", ""status"": ""real-data"", ""citation"": ""https://www.hiddenlayer.com/platform""}","no data — searched hiddenlayer.com, hiddenlayer.com/platform, docs.hiddenlayer.com; A2A protocol not advertised",fillable,
hiddenlayer-aisec-platform-2-0--hiddenlayer-com,import-export,apply-value,"{""value"": ""searched not found — not advertised on vendor site"", ""status"": ""real-data"", ""citation"": ""https://www.hiddenlayer.com/platform""}","no data — searched hiddenlayer.com/platform, docs.hiddenlayer.com; data import/export APIs not advertised",fillable,
hiddenlayer-aisec-platform-2-0--hiddenlayer-com,mcp-support,apply-value,"{""value"": ""searched not found — not advertised on vendor site"", ""status"": ""real-data"", ""citation"": ""https://www.hiddenlayer.com/platform""}",Yes — Agentic and MCP Security use-case (Use case 04); protects agents and MCP-based systems from prompt injection / unsafe tool use,fillable,
hiddenlayer-aisec-platform-2-0--hiddenlayer-com,otel,apply-value,"{""value"": ""searched not found — not advertised on vendor site"", ""status"": ""real-data"", ""citation"": ""https://www.hiddenlayer.com/platform""}","no data — searched hiddenlayer.com/platform, docs.hiddenlayer.com; OpenTelemetry export not advertised",fillable,
hiddenlayer-aisec-platform-2-0--hiddenlayer-com,webhooks,apply-value,"{""value"": ""searched not found — not advertised on vendor site"", ""status"": ""real-data"", ""citation"": ""https://www.hiddenlayer.com/platform""}","no data — searched hiddenlayer.com/platform, docs.hiddenlayer.com; webhook events not advertised",fillable,
lakera-guard-lakera-red--lakera-ai,a2a-support,apply-value,"{""value"": ""searched not found — not advertised on vendor site"", ""status"": ""real-data"", ""citation"": ""https://www.lakera.ai/lakera-guard""}","no data — searched lakera.ai/lakera-guard, docs.lakera.ai, docs.lakera.ai/lakera-guard/integrations; A2A protocol not advertised",fillable,
lakera-guard-lakera-red--lakera-ai,mcp-support,apply-value,"{""value"": ""searched not found — not advertised on vendor site"", ""status"": ""real-data"", ""citation"": ""https://www.lakera.ai/lakera-guard""}","no data — MCP referenced in Lakera blog as a threat-research topic only; no native MCP integration advertised (searched lakera.ai, docs.lakera.ai, lakera.ai/blog)",fillable,
lakera-guard-lakera-red--lakera-ai,otel,apply-value,"{""value"": ""searched not found — not advertised on vendor site"", ""status"": ""real-data"", ""citation"": ""https://www.lakera.ai/lakera-guard""}","no data — searched lakera.ai/lakera-guard, docs.lakera.ai; OpenTelemetry export not advertised",fillable,
mem0-security-openmemory--mem0-ai,a2a-support,apply-value,"{""value"": ""searched not found — not advertised on vendor site"", ""status"": ""real-data"", ""citation"": ""https://mem0.ai/security""}","no data — searched mem0.ai/security, docs.mem0.ai, docs.mem0.ai/platform/overview; A2A protocol not advertised",fillable,
mem0-security-openmemory--mem0-ai,otel,apply-value,"{""value"": ""searched not found — not advertised on vendor site"", ""status"": ""real-data"", ""citation"": ""https://mem0.ai/security""}","no data — searched mem0.ai/security, docs.mem0.ai, docs.mem0.ai/platform/overview; OpenTelemetry export not advertised on enterprise tier",fillable,
microsoft-agent-governance-toolkit--gh-microsoft-agent-governance-toolkit,a2a-support,apply-value,"{""value"": ""searched not found — not advertised on vendor site"", ""status"": ""real-data"", ""citation"": ""https://github.com/microsoft/agent-governance-toolkit""}",Yes — Agent Mesh provides A2A/MCP/IATP protocol bridges (per agentmesh-platform docs); zero-trust identity + trust scoring,fillable,
microsoft-agent-governance-toolkit--gh-microsoft-agent-governance-toolkit,import-export,apply-value,"{""value"": ""searched not found — not advertised on vendor site"", ""status"": ""real-data"", ""citation"": ""https://github.com/microsoft/agent-governance-toolkit""}",Yes — JSON export/import via AuditLogger (hash-chained audit events); identity.go supports JSON DID/JWK export/import,fillable,
microsoft-agent-governance-toolkit--gh-microsoft-agent-governance-toolkit,mcp-support,apply-value,"{""value"": ""searched not found — not advertised on vendor site"", ""status"": ""real-data"", ""citation"": ""https://github.com/microsoft/agent-governance-toolkit""}","Yes — MCP Security Scanner (tool poisoning, typosquatting, hidden instructions); A2A/MCP Protocol Bridge in Agent Mesh",fillable,
microsoft-agent-governance-toolkit--gh-microsoft-agent-governance-toolkit,otel,apply-value,"{""value"": ""searched not found — not advertised on vendor site"", ""status"": ""real-data"", ""citation"": ""https://github.com/microsoft/agent-governance-toolkit""}",Yes — Telemetry package provides OpenTelemetry integration (per PACKAGE-FEATURE-MATRIX.md),fillable,
microsoft-agent-governance-toolkit--gh-microsoft-agent-governance-toolkit,webhooks,apply-value,"{""value"": ""searched not found — not advertised on vendor site"", ""status"": ""real-data"", ""citation"": ""https://github.com/microsoft/agent-governance-toolkit""}","no data — searched README, ARCHITECTURE.md, PACKAGE-FEATURE-MATRIX.md; webhook events not in feature matrix",fillable,
zep-governance-posture--getzep-com,a2a-support,apply-value,"{""value"": ""searched not found — not advertised on vendor site"", ""status"": ""real-data"", ""citation"": ""https://www.getzep.com/product/agent-memory/""}","no data — searched getzep.com/product/agent-memory, help.getzep.com, docs.getzep.com; A2A protocol not advertised",fillable,
zep-governance-posture--getzep-com,otel,apply-value,"{""value"": ""searched not found — not advertised on vendor site"", ""status"": ""real-data"", ""citation"": ""https://www.getzep.com/product/agent-memory/""}","no data — searched getzep.com/product/agent-memory, help.getzep.com, docs.getzep.com; OpenTelemetry export not advertised",fillable,
zep-governance-posture--getzep-com,webhooks,apply-value,"{""value"": ""searched not found — not advertised on vendor site"", ""status"": ""real-data"", ""citation"": ""https://www.getzep.com/product/agent-memory/""}",Yes — Webhooks documented under help.getzep.com (Compliance / Webhooks / Rate Limits section),fillable,
agentops--agentops-ai,a2a-support,apply-value,"{""value"": ""searched not found — A2A protocol not advertised"", ""status"": ""real-data"", ""citation"": ""https://www.agentops.ai/""}","no data — searched agentops.ai, docs.agentops.ai, docs.agentops.ai/v2/integrations, README on AgentOps-AI/agentops; A2A protocol not advertised (CrewAI/AG2/LangGraph/Autogen integrations only)",fillable,
galileo-galileo-ai--galileo-ai,a2a-support,apply-value,"{""value"": ""searched not found — A2A protocol not advertised"", ""status"": ""real-data"", ""citation"": ""https://galileo.ai/""}","Yes — A2A is listed under Integrations Overview (alongside CrewAI, Google ADK, LangChain, etc.)",fillable,
galileo-galileo-ai--galileo-ai,mcp-support,apply-value,"{""value"": ""searched not found — MCP integration not advertised"", ""status"": ""real-data"", ""citation"": ""https://galileo.ai/""}","Yes — Galileo MCP Server documented; integrates with traces, prompts, datasets",fillable,
langfuse--langfuse-com,a2a-support,apply-value,"{""value"": ""searched not found — A2A protocol not advertised"", ""status"": ""real-data"", ""citation"": ""https://langfuse.com/""}","no data — searched langfuse.com, langfuse.com/docs, langfuse.com/integrations; A2A protocol not advertised (extensive framework integrations, MCP server present, OTel-native)",fillable,
langsmith--langchain-com,a2a-support,apply-value,"{""value"": ""searched not found — A2A protocol not advertised"", ""status"": ""real-data"", ""citation"": ""https://www.langchain.com/langsmith""}","no data — searched langchain.com/langsmith, docs.smith.langchain.com, docs.smith.langchain.com/observability/concepts; A2A protocol not advertised (OTel-based traces, webhook automations)",fillable,
ratine--gh-goweft-ratine,a2a-support,apply-value,"{""value"": ""searched not found — A2A protocol not advertised"", ""status"": ""real-data"", ""citation"": ""https://github.com/goweft/ratine""}","no data — searched github.com/goweft/ratine README; single-purpose memory-poisoning detector for MCP tool servers, no A2A protocol",fillable,
ratine--gh-goweft-ratine,hq,apply-value,"{""value"": ""unknown — not disclosed in repo or vendor site"", ""status"": ""real-data"", ""citation"": ""https://github.com/goweft/ratine""}","Los Angeles, CA, US (developer Steve Gonzalez; per GitHub profile github.com/goweft)",fillable,
ratine--gh-goweft-ratine,mcp-support,apply-value,"{""value"": ""searched not found — MCP integration not advertised"", ""status"": ""real-data"", ""citation"": ""https://github.com/goweft/ratine""}",Yes — built for MCP tool-server ecosystem (sibling tools heddle/loom are MCP runtimes); detects agent memory poisoning across MCP sessions,fillable,
capacities--capacities-io,mindshare,apply-value,"{""value"": ""n/a (SaaS app) ~8 (very small jobs"", ""status"": ""real-data"", ""citation"": ""https://capacities.io/""}",3 HN stories (HN Algolia search); small dev-tools / PKM job listings; ~8 small team SaaS,fillable,
heptabase--heptabase-com,mindshare,apply-value,"{""value"": ""n/a (SaaS app) ~10 (small team jobs"", ""status"": ""real-data"", ""citation"": ""https://heptabase.com/""}","6 HN stories; Hepta Platforms, Inc.; small team (~10) per public job listings",fillable,
logseq--logseq-com,mindshare,apply-value,"{""value"": ""n/a (desktop app) ~10 (small team jobs"", ""status"": ""real-data"", ""citation"": ""https://docs.logseq.com/""}",108 HN stories; 42.8k GitHub stars on logseq/logseq; small core team,fillable,
tana--tana-inc,mindshare,apply-value,"{""value"": ""n/a (SaaS app) 3 press ~15 (small star jobs"", ""status"": ""real-data"", ""citation"": ""https://tana.inc/""}",4 HN stories; Tana Inc.; ~15 employees per public job listings,fillable,
tencent-ima-copilot--ima-qq-com,mindshare,apply-value,"{""value"": ""n/a (Tencent product; China-on 2 press n/a (Tencent su jobs"", ""status"": ""real-data"", ""citation"": ""https://ima.qq.com/""}","0 HN stories (Chinese product, Western mindshare minimal); part of Tencent (~110k employees, AI subgroup unknown)",fillable,
alita--arxiv-2505-20286,founders,apply-value,"{""value"": ""no data — 2025 arxiv preprint"", ""status"": ""real-data"", ""citation"": ""https://arxiv.org/abs/2505.20286""}",Princeton University (Mengdi Wang group); 18 authors led by Jiahao Qiu — affiliations not in arXiv preprint or repo README; senior author Mengdi Wang is Princeton ECE; project repo CharlesQ9/Alita,fillable,
alphaedit--arxiv-2410-02355,founders,apply-value,"{""value"": ""no data — arxiv preprint; parametric editing"", ""status"": ""real-data"", ""citation"": ""https://arxiv.org/abs/2410.02355""}",University of Science and Technology of China (USTC) / National University of Singapore (Xiang Wang group); ICLR 2025 Outstanding Paper; first author Junfeng Fang is USTC PhD,fillable,
deepagent--arxiv-2510-21618,founders,apply-value,"{""value"": ""no data — 2025 arxiv preprint"", ""status"": ""real-data"", ""citation"": ""https://arxiv.org/abs/2510.21618""}",Renmin University of China (RUC-NLPIR lab); WWW 2026 Oral; project repo RUC-NLPIR/DeepAgent,fillable,
dynamic-cheatsheet--arxiv-2504-07952,founders,apply-value,"{""value"": ""no data — 2025 arxiv preprint"", ""status"": ""real-data"", ""citation"": ""https://arxiv.org/abs/2504.07952""}","Stanford University (Jurafsky & Zou groups); authors Mirac Suzgun, Mert Yuksekgonul, Federico Bianchi, Dan Jurafsky, James Zou; repo suzgunmirac/dynamic-cheatsheet",fillable,
learnact--arxiv-2504-13805,founders,apply-value,"{""value"": ""no data — 2025 arxiv preprint"", ""status"": ""real-data"", ""citation"": ""https://arxiv.org/abs/2504.13805""}",Zhejiang University + vivo AI Lab + CUHK MMLab + Shanghai Jiao Tong University (per project page lgy0404.github.io/LearnAct); first author Guangyi Liu (ZJU); ACL 2026 Findings,fillable,
lm2--arxiv-2502-06049,founders,apply-value,"{""value"": ""no data — arxiv preprint"", ""status"": ""real-data"", ""citation"": ""https://arxiv.org/abs/2502.06049""}","Convergence Labs (UK; authors Jikun Kang, Wenqi Wu, Filippos Christianos, Alex J. Chan et al. — affiliation per author Convergence Labs research output; preprint does not list affiliations explicitly)",fillable,
mirix--arxiv-2507-07957,founders,apply-value,"{""value"": ""no data — 2025 arxiv preprint"", ""status"": ""real-data"", ""citation"": ""https://arxiv.org/abs/2507.07957""}","University of California, San Diego (per Semantic Scholar affiliation for first author Yu Wang)",fillable,
oasis--arxiv-2411-11581,founders,apply-value,"{""value"": ""no data — 2024 arxiv preprint"", ""status"": ""real-data"", ""citation"": ""https://arxiv.org/abs/2411.11581""}",CAMEL-AI organization (community-led open-source research org); project repo camel-ai/oasis; 23 authors from multiple institutions (collective camel-ai contributors),fillable,
reasoningbank--arxiv-2509-25140,founders,apply-value,"{""value"": ""no data — 2025 arxiv preprint"", ""status"": ""real-data"", ""citation"": ""https://arxiv.org/abs/2509.25140""}",Google DeepMind / Google Research (per Semantic Scholar; author Jun Yan ['Google DeepMind']; repo google-research/reasoning-bank); ICLR 2026,fillable,
repairagent--arxiv-2403-17134,founders,apply-value,"{""value"": ""no data — 2024 arxiv preprint"", ""status"": ""real-data"", ""citation"": ""https://arxiv.org/abs/2403.17134""}","University of Stuttgart (Software Lab / SOLA group, Michael Pradel); coauthor Premkumar Devanbu (UC Davis); repo sola-st/RepairAgent",fillable,
skillweaver--arxiv-2504-07079,founders,apply-value,"{""value"": ""no data — 2025 arxiv preprint"", ""status"": ""real-data"", ""citation"": ""https://arxiv.org/abs/2504.07079""}",The Ohio State University (Yu Su group; per Semantic Scholar — first author Boyuan Zheng OSU; senior author Yu Su OSU + Microsoft),fillable,
wise,cons,apply-citation,"{""value"": ""Editing-quality vs general-task-performance tradeoff not fully characterized."", ""status"": ""real-data"", ""citation"": null}",Editing-quality vs general-task-performance tradeoff not fully characterized.,taxonomy-citations,value unchanged; backfill citation
wise,desc,apply-citation,"{""value"": ""Rethinks knowledge memory for lifelong model editing. NeurIPS 2024."", ""status"": ""real-data"", ""citation"": null}",Rethinks knowledge memory for lifelong model editing. NeurIPS 2024.,taxonomy-citations,value unchanged; backfill citation
wise,links,apply-citation,"{""value"": ""NeurIPS 2024"", ""status"": ""real-data"", ""citation"": null}",NeurIPS 2024,taxonomy-citations,value unchanged; backfill citation
wise,pros,apply-citation,"{""value"": ""Rethinks knowledge memory specifically for lifelong model editing; NeurIPS 2024."", ""status"": ""real-data"", ""citation"": null}",Rethinks knowledge memory specifically for lifelong model editing; NeurIPS 2024.,taxonomy-citations,value unchanged; backfill citation
wise,type,apply-citation,"{""value"": ""Knowledge memory for lifelong editing"", ""status"": ""real-data"", ""citation"": null}",Knowledge memory for lifelong editing,taxonomy-citations,value unchanged; backfill citation
asapp-generativeagent--asapp-com,contradiction,apply-citation,"{""value"": ""LLM resolves and overwrites"", ""status"": ""real-data"", ""citation"": null}",LLM resolves and overwrites,taxonomy-citations,value unchanged; backfill citation
asapp-generativeagent--asapp-com,namespace,apply-citation,"{""value"": ""per-tenant"", ""status"": ""real-data"", ""citation"": null}",per-tenant,taxonomy-citations,value unchanged; backfill citation
asapp-generativeagent--asapp-com,schema-evolution,apply-citation,"{""value"": ""schema with migration"", ""status"": ""real-data"", ""citation"": null}",schema with migration,taxonomy-citations,value unchanged; backfill citation
character-ai--character-ai,forgetting,apply-citation,"{""value"": ""user-controlled forget"", ""status"": ""real-data"", ""citation"": null}",user-controlled forget,taxonomy-citations,value unchanged; backfill citation
character-ai--character-ai,namespace,apply-citation,"{""value"": ""per-tenant"", ""status"": ""real-data"", ""citation"": null}",per-tenant,taxonomy-citations,value unchanged; backfill citation
character-ai--character-ai,tombstoning,apply-citation,"{""value"": ""hard-delete supported"", ""status"": ""real-data"", ""citation"": null}",hard-delete supported,taxonomy-citations,value unchanged; backfill citation
character-ai--character-ai,webhooks,apply-citation,"{""value"": ""no"", ""status"": ""real-data"", ""citation"": null}",no,taxonomy-citations,value unchanged; backfill citation
charisma-ai--charisma-ai,forgetting,apply-citation,"{""value"": ""user-controlled forget"", ""status"": ""real-data"", ""citation"": null}",user-controlled forget,taxonomy-citations,value unchanged; backfill citation
charisma-ai--charisma-ai,namespace,apply-citation,"{""value"": ""per-tenant"", ""status"": ""real-data"", ""citation"": null}",per-tenant,taxonomy-citations,value unchanged; backfill citation
charisma-ai--charisma-ai,schema-evolution,apply-citation,"{""value"": ""schema with migration"", ""status"": ""real-data"", ""citation"": null}",schema with migration,taxonomy-citations,value unchanged; backfill citation
charisma-ai--charisma-ai,tombstoning,apply-citation,"{""value"": ""hard-delete supported"", ""status"": ""real-data"", ""citation"": null}",hard-delete supported,taxonomy-citations,value unchanged; backfill citation
chatgpt-study-mode--openai-com,forgetting,apply-citation,"{""value"": ""user-controlled forget"", ""status"": ""real-data"", ""citation"": null}",user-controlled forget,taxonomy-citations,value unchanged; backfill citation
chatgpt-study-mode--openai-com,schema-evolution,apply-citation,"{""value"": ""schema with migration"", ""status"": ""real-data"", ""citation"": null}",schema with migration,taxonomy-citations,value unchanged; backfill citation
chatgpt-study-mode--openai-com,tombstoning,apply-citation,"{""value"": ""hard-delete supported"", ""status"": ""real-data"", ""citation"": null}",hard-delete supported,taxonomy-citations,value unchanged; backfill citation
clio-duo-manage-ai--clio-com,schema-evolution,apply-citation,"{""value"": ""schema with migration"", ""status"": ""real-data"", ""citation"": null}",schema with migration,taxonomy-citations,value unchanged; backfill citation
cocounsel-legal-thomson-reuters--legaltechnology-com,schema-evolution,apply-citation,"{""value"": ""schema with migration"", ""status"": ""real-data"", ""citation"": null}",schema with migration,taxonomy-citations,value unchanged; backfill citation
cognigy--cognigy-com,contradiction,apply-citation,"{""value"": ""always overwrite (last-write-wins)"", ""status"": ""real-data"", ""citation"": null}",always overwrite (last-write-wins),taxonomy-citations,value unchanged; backfill citation
cognigy--cognigy-com,forgetting,apply-citation,"{""value"": ""none (permanent)"", ""status"": ""real-data"", ""citation"": null}",none (permanent),taxonomy-citations,value unchanged; backfill citation
cognigy--cognigy-com,namespace,apply-citation,"{""value"": ""per-tenant"", ""status"": ""real-data"", ""citation"": null}",per-tenant,taxonomy-citations,value unchanged; backfill citation
cognigy--cognigy-com,versioning,apply-citation,"{""value"": ""immutable append-log"", ""status"": ""real-data"", ""citation"": null}",immutable append-log,taxonomy-citations,value unchanged; backfill citation
convai-mimir--convai-com,contradiction,apply-citation,"{""value"": ""LLM resolves and overwrites"", ""status"": ""real-data"", ""citation"": null}",LLM resolves and overwrites,taxonomy-citations,value unchanged; backfill citation
convai-mimir--convai-com,forgetting,apply-citation,"{""value"": ""consolidation/summarization"", ""status"": ""real-data"", ""citation"": null}",consolidation/summarization,taxonomy-citations,value unchanged; backfill citation
convai-mimir--convai-com,namespace,apply-citation,"{""value"": ""per-tenant"", ""status"": ""real-data"", ""citation"": null}",per-tenant,taxonomy-citations,value unchanged; backfill citation
convai-mimir--convai-com,versioning,apply-citation,"{""value"": ""snapshots"", ""status"": ""real-data"", ""citation"": null}",snapshots,taxonomy-citations,value unchanged; backfill citation
cresta--cresta-com,contradiction,apply-citation,"{""value"": ""LLM resolves and overwrites"", ""status"": ""real-data"", ""citation"": null}",LLM resolves and overwrites,taxonomy-citations,value unchanged; backfill citation
cresta--cresta-com,namespace,apply-citation,"{""value"": ""per-tenant"", ""status"": ""real-data"", ""citation"": null}",per-tenant,taxonomy-citations,value unchanged; backfill citation
decagon--decagon-ai,contradiction,apply-citation,"{""value"": ""LLM resolves and overwrites"", ""status"": ""real-data"", ""citation"": null}",LLM resolves and overwrites,taxonomy-citations,value unchanged; backfill citation
decagon--decagon-ai,namespace,apply-citation,"{""value"": ""per-tenant"", ""status"": ""real-data"", ""citation"": null}",per-tenant,taxonomy-citations,value unchanged; backfill citation
decagon--decagon-ai,schema-evolution,apply-citation,"{""value"": ""schema with migration"", ""status"": ""real-data"", ""citation"": null}",schema with migration,taxonomy-citations,value unchanged; backfill citation
duolingo-max--blog-duolingo-com,namespace,apply-citation,"{""value"": ""per-user"", ""status"": ""real-data"", ""citation"": null}",per-user,taxonomy-citations,value unchanged; backfill citation
duolingo-max--blog-duolingo-com,schema-evolution,apply-citation,"{""value"": ""schema with migration"", ""status"": ""real-data"", ""citation"": null}",schema with migration,taxonomy-citations,value unchanged; backfill citation
elicit--elicit-com,schema-evolution,apply-citation,"{""value"": ""schema with migration"", ""status"": ""real-data"", ""citation"": null}",schema with migration,taxonomy-citations,value unchanged; backfill citation
elicit--elicit-com,tombstoning,apply-citation,"{""value"": ""soft-delete only"", ""status"": ""real-data"", ""citation"": null}",soft-delete only,taxonomy-citations,value unchanged; backfill citation
elsa-speak--elsaspeak-com,namespace,apply-citation,"{""value"": ""per-user"", ""status"": ""real-data"", ""citation"": null}",per-user,taxonomy-citations,value unchanged; backfill citation
elsa-speak--elsaspeak-com,schema-evolution,apply-citation,"{""value"": ""schema with migration"", ""status"": ""real-data"", ""citation"": null}",schema with migration,taxonomy-citations,value unchanged; backfill citation
eve-shared-firm-knowledge-auditor--eve-legal,schema-evolution,apply-citation,"{""value"": ""schema with migration"", ""status"": ""real-data"", ""citation"": null}",schema with migration,taxonomy-citations,value unchanged; backfill citation
filevine-lois--filevine-com,schema-evolution,apply-citation,"{""value"": ""schema with migration"", ""status"": ""real-data"", ""citation"": null}",schema with migration,taxonomy-citations,value unchanged; backfill citation
futurehouse--futurehouse-org,namespace,apply-citation,"{""value"": ""per-tenant"", ""status"": ""real-data"", ""citation"": null}",per-tenant,taxonomy-citations,value unchanged; backfill citation
futurehouse--futurehouse-org,schema-evolution,apply-citation,"{""value"": ""schema with migration"", ""status"": ""real-data"", ""citation"": null}",schema with migration,taxonomy-citations,value unchanged; backfill citation
harvey-memory--harvey-ai,schema-evolution,apply-citation,"{""value"": ""schema with migration"", ""status"": ""real-data"", ""citation"": null}",schema with migration,taxonomy-citations,value unchanged; backfill citation
hebbia-matrix--hebbia-com,contradiction,apply-citation,"{""value"": ""LLM resolves and overwrites"", ""status"": ""real-data"", ""citation"": null}",LLM resolves and overwrites,taxonomy-citations,value unchanged; backfill citation
hebbia-matrix--hebbia-com,namespace,apply-citation,"{""value"": ""per-tenant"", ""status"": ""real-data"", ""citation"": null}",per-tenant,taxonomy-citations,value unchanged; backfill citation
hebbia-matrix--hebbia-com,schema-evolution,apply-citation,"{""value"": ""schema with migration"", ""status"": ""real-data"", ""citation"": null}",schema with migration,taxonomy-citations,value unchanged; backfill citation
hebbia-matrix--hebbia-com,tombstoning,apply-citation,"{""value"": ""soft-delete only"", ""status"": ""real-data"", ""citation"": null}",soft-delete only,taxonomy-citations,value unchanged; backfill citation
intercom-fin--fin-ai,namespace,apply-citation,"{""value"": ""per-tenant"", ""status"": ""real-data"", ""citation"": null}",per-tenant,taxonomy-citations,value unchanged; backfill citation
intercom-fin--fin-ai,schema-evolution,apply-citation,"{""value"": ""schema with migration"", ""status"": ""real-data"", ""citation"": null}",schema with migration,taxonomy-citations,value unchanged; backfill citation
inworld-ai--inworld-ai,forgetting,apply-citation,"{""value"": ""consolidation/summarization"", ""status"": ""real-data"", ""citation"": null}",consolidation/summarization,taxonomy-citations,value unchanged; backfill citation
inworld-ai--inworld-ai,namespace,apply-citation,"{""value"": ""per-tenant"", ""status"": ""real-data"", ""citation"": null}",per-tenant,taxonomy-citations,value unchanged; backfill citation
inworld-ai--inworld-ai,schema-evolution,apply-citation,"{""value"": ""schema with migration"", ""status"": ""real-data"", ""citation"": null}",schema with migration,taxonomy-citations,value unchanged; backfill citation
inworld-ai--inworld-ai,versioning,apply-citation,"{""value"": ""snapshots"", ""status"": ""real-data"", ""citation"": null}",snapshots,taxonomy-citations,value unchanged; backfill citation
iris-ai--iris-ai,namespace,apply-citation,"{""value"": ""per-tenant"", ""status"": ""real-data"", ""citation"": null}",per-tenant,taxonomy-citations,value unchanged; backfill citation
iris-ai--iris-ai,schema-evolution,apply-citation,"{""value"": ""schema with migration"", ""status"": ""real-data"", ""citation"": null}",schema with migration,taxonomy-citations,value unchanged; backfill citation
khanmigo--khanmigo-ai,forgetting,apply-citation,"{""value"": ""none (permanent)"", ""status"": ""real-data"", ""citation"": null}",none (permanent),taxonomy-citations,value unchanged; backfill citation
khanmigo--khanmigo-ai,schema-evolution,apply-citation,"{""value"": ""schema with migration"", ""status"": ""real-data"", ""citation"": null}",schema with migration,taxonomy-citations,value unchanged; backfill citation
khanmigo--khanmigo-ai,tombstoning,apply-citation,"{""value"": ""append-only no delete"", ""status"": ""real-data"", ""citation"": null}",append-only no delete,taxonomy-citations,value unchanged; backfill citation
