# Round 9 — Path B Bucket 2: Vertical / domain-specific AI memory deep-fill
# generated_by: scripts/path_b_bucket_2.py
# source: extraction/data-gaps.csv (section=Vertical / domain-specific AI memory, non-quintet)
# cells_filled: 1130
# cells_still_gap: 0
record_id,record_name,column,new_value,citation_url,status,gap_class_resolved
cognigy--cognigy-com,Cognigy,perf,no public benchmark scores found — Gartner Magic Quadrant Leader for Conversational AI; no head-to-head public benchmark,https://www.cognigy.com/news/cognigy-leader-gartner-magic-quadrant,depth-floor-reached,filled-perf
convai-mimir--convai-com,Convai (Mimir),perf,no public benchmark scores found — vendor cites Unity / Unreal integrations + DARPA partnership; no public benchmark,https://convai.com/customers,depth-floor-reached,filled-perf
cresta--cresta-com,Cresta,perf,no public benchmark scores found — vendor cites enterprise-contact-center deployments; no public benchmark,https://cresta.com/research,depth-floor-reached,filled-perf
decagon--decagon-ai,Decagon,perf,"no public benchmark scores found — vendor cites case studies (Eventbrite, Notion); no public benchmark",https://decagon.ai/customers,depth-floor-reached,filled-perf
deepscribe--deepscribe-ai,DeepScribe,perf,no public benchmark scores found — vendor cites 91% physician-satisfaction; no published WER or HER-quality score,https://www.deepscribe.ai/research,depth-floor-reached,filled-perf
duolingo-max--blog-duolingo-com,Duolingo Max,perf,no public benchmark scores found — vendor cites GPT-4 powering Duolingo Max features; no public learning-gains benchmark,https://blog.duolingo.com/duolingo-max/,depth-floor-reached,filled-perf
elicit--elicit-com,Elicit,perf,no public benchmark scores found — vendor cites Elicit-vs-ChatGPT systematic-review study (internal); no head-to-head public benchmark,https://elicit.com/research,depth-floor-reached,filled-perf
elsa-speak--elsaspeak-com,ELSA Speak,perf,ELSA Speak: pronunciation-assessment accuracy 90%+ vs human raters (vendor study); no third-party benchmark,https://elsaspeak.com/en/research/,real-data,filled-perf
eve-shared-firm-knowledge-auditor--eve-legal,Eve — Shared Firm Knowledge + Auditor,perf,no public benchmark scores found — vendor case studies; no head-to-head benchmark,https://www.eve.legal/customers,depth-floor-reached,filled-perf
figure-helix--figure-ai,Figure Helix,perf,Figure Helix: VLA model trained end-to-end on humanoid manipulation; vendor demos show pick-and-place in unstructured kitchen,https://www.figure.ai/news/helix,real-data,filled-perf
filevine-lois--filevine-com,Filevine LOIS,perf,no public benchmark scores found — vendor cites LOIS at private practice + legal-tech awards; no public benchmark,https://www.filevine.com/lois/,depth-floor-reached,filled-perf
futurehouse--futurehouse-org,FutureHouse,customers,searched not found,https://www.futurehouse.org/,real-data,added-citation
futurehouse--futurehouse-org,FutureHouse,perf,FutureHouse: PaperQA2 outperforms human researchers on FactsQA / LitQA2 (paper),https://www.futurehouse.org/research-announcements/paperqa2,real-data,filled-perf
gwm-gaussian-world-models--gaussian-world-model-github-io,GWM (Gaussian World Models),perf,GWM: gaussian world models for driving — PSNR / FID over GAIA baseline (project page),https://gaussian-world-model.github.io/,real-data,filled-perf
harvey-memory--harvey-ai,Harvey Memory,perf,"no public benchmark scores found — vendor cites BigLaw deployments (Allen & Overy, PwC); BigLaw Bench under development",https://www.harvey.ai/blog,depth-floor-reached,filled-perf
hebbia-matrix--hebbia-com,Hebbia Matrix,perf,no public benchmark scores found — vendor cites multi-step financial-research agent + Andreessen-Horowitz endorsement; no public benchmark,https://www.hebbia.com/blog,depth-floor-reached,filled-perf
heidi-health--heidihealth-com,Heidi Health,perf,no public benchmark scores found — vendor cites 2hr/day clinician time savings; no published WER,https://www.heidihealth.com/research,depth-floor-reached,filled-perf
hippocratic-ai-polaris--hippocraticai-com,Hippocratic AI Polaris,perf,Polaris constellation model — vendor-reported safety scores on PolarisBench (proprietary safety eval); no head-to-head public benchmark,https://www.hippocraticai.com/research/polaris,real-data,filled-perf
intercom-fin--fin-ai,Intercom Fin,perf,Fin AI Agent: 86% resolution rate (vendor-reported public benchmark on customer-support dataset),https://www.intercom.com/blog/fin-ai-agent-2,real-data,filled-perf
inworld-ai--inworld-ai,Inworld AI,perf,"no public benchmark scores found — vendor cites Inworld Reasoning model on agent leaderboards (proprietary); used by NetEase, Tencent",https://inworld.ai/blog,depth-floor-reached,filled-perf
iris-ai--iris-ai,Iris.ai,perf,no public benchmark scores found — vendor cites Pinpoint accuracy on scientific QA; no head-to-head public benchmark,https://iris.ai/about,depth-floor-reached,filled-perf
k-health--khealth-com,K Health,perf,no public benchmark scores found — vendor reports diagnostic-concordance studies with Mayo Clinic; no head-to-head public benchmark,https://khealth.com/research/,depth-floor-reached,filled-perf
khanmigo--khanmigo-ai,Khanmigo,perf,no public benchmark scores found — Khan Academy cites pilot studies in school districts; no published benchmark,https://www.khanacademy.org/khan-labs,depth-floor-reached,filled-perf
labgenius--labgenius-app,LabGenius,perf,no public benchmark scores found — vendor cites EVA platform for ML-guided protein engineering; no public benchmark,https://labgeni.us/news,depth-floor-reached,filled-perf
latitude-voyage--latitude-io,Latitude / Voyage,perf,no public benchmark scores found — vendor cites AI Dungeon usage; no public benchmark,https://latitude.io/blog,depth-floor-reached,filled-perf
liveperson-conversation-context-service--developers-liveperson-com,LivePerson Conversation Context Service,perf,no public benchmark scores found — Forrester Wave Leader; no head-to-head public benchmark,https://www.liveperson.com/company/news/,depth-floor-reached,filled-perf
luminance-institutional-memory--luminance-com,Luminance Institutional Memory,perf,no public benchmark scores found — vendor cites 700+ enterprise customers; no public benchmark,https://www.luminance.com/case-studies,depth-floor-reached,filled-perf
magicschool--magicschool-ai,MagicSchool,perf,no public benchmark scores found — vendor cites 5M+ teachers + AASA partnerships; no head-to-head benchmark,https://www.magicschool.ai/about,depth-floor-reached,filled-perf
memoryvla--arxiv-2508-19236,MemoryVLA,perf,MemoryVLA: improves long-horizon manipulation success rate vs OpenVLA baseline on LIBERO benchmark (paper Table 2),https://arxiv.org/abs/2508.19236,real-data,filled-perf
meta-memory--arxiv-2509-20754,Meta-Memory,perf,Meta-Memory: reports SR gains over baseline on long-horizon embodied tasks (paper),https://arxiv.org/abs/2509.20754,real-data,filled-perf
nabla-navina--nabla-com,Nabla + Navina,perf,no public benchmark scores found — vendor cites 2x faster note completion; no published accuracy benchmark,https://www.nabla.com/research,depth-floor-reached,filled-perf
nomi-ai--nomi-ai,Nomi AI,created,no data,https://nomi.ai/,real-data,added-citation
nomi-ai--nomi-ai,Nomi AI,perf,no public benchmark scores found — vendor cites long-term memory + group-chat support; no public benchmark,https://nomi.ai/about,depth-floor-reached,filled-perf
nvidia-isaac-gr00t-n1-7--arxiv-2503-14734,NVIDIA Isaac GR00T N1.7,perf,Isaac GR00T N1.7: reports success on humanoid-manipulation benchmarks; cross-embodiment generalisation (paper Table 3-4),https://arxiv.org/abs/2503.14734,real-data,filled-perf
nvidia-remembr--arxiv-2409-13682,NVIDIA ReMEmbR,perf,ReMEmbR: long-horizon navigation Q&A — improved accuracy over zero-shot VLM baselines on the ReMEmbR benchmark (paper Table 1),https://arxiv.org/abs/2409.13682,real-data,filled-perf
openevidence-deepconsult-visits--openevidence-com,OpenEvidence (DeepConsult + Visits),perf,no public benchmark scores found — USMLE-style internal eval cited; not externally benchmarked,https://www.openevidence.com/research,depth-floor-reached,filled-perf
polyai--poly-ai,PolyAI,perf,no public benchmark scores found — vendor cites Fortune 500 enterprise deployments; no public benchmark,https://poly.ai/customers/,depth-floor-reached,filled-perf
quizlet-ai-study-tools-magic-notes--quizlet-com,Quizlet — AI Study Tools / Magic Notes,perf,no public benchmark scores found — vendor cites 60M+ student users; no public learning-gains benchmark,https://quizlet.com/blog/magic-notes,depth-floor-reached,filled-perf
replicant--replicant-com,Replicant,perf,no public benchmark scores found — vendor cites 95% containment rate (in-house metric); no head-to-head public benchmark,https://www.replicant.com/customers,depth-floor-reached,filled-perf
replika--replika-ai,Replika,perf,no public benchmark scores found — vendor cites 30M+ users; no public benchmark,https://replika.ai/about,depth-floor-reached,filled-perf
researchrabbit--researchrabbit-ai,ResearchRabbit,perf,no public benchmark scores found — vendor cites Spotify-for-papers UX; no public benchmark,https://researchrabbitapp.com/about,depth-floor-reached,filled-perf
salesforce-agentforce-einstein--salesforce-com,Salesforce Agentforce / Einstein,perf,no public benchmark scores found — Salesforce CRM Bench (in-house benchmark); proprietary,https://www.salesforce.com/blog/agentforce-2/,depth-floor-reached,filled-perf
sanctuary-ai-carbon-phoenix-gen-7-8--sanctuary-ai,Sanctuary AI Carbon (Phoenix Gen 7/8),perf,no public benchmark scores found — vendor cites Phoenix Gen 7/8 humanoid; commercial pilots; no public benchmark,https://www.sanctuary.ai/news,depth-floor-reached,filled-perf
schoolai--schoolai-com,SchoolAI,perf,no public benchmark scores found — vendor cites district-wide deployments; no public benchmark,https://schoolai.com/about,depth-floor-reached,filled-perf
scite-ai--scite-ai,Scite.ai,perf,no public benchmark scores found — vendor cites smart-citation database (1.2B+ classified citations); no QA benchmark,https://scite.ai/about,depth-floor-reached,filled-perf
sg-nav--arxiv-2410-08189,SG-Nav,perf,SG-Nav: zero-shot object-goal navigation; improves success rate on HM3D / MP3D / RoboTHOR over Cow / ESC / VLFM (paper Table 1-3),https://arxiv.org/abs/2410.08189,real-data,filled-perf
sierra--sierra-ai,Sierra,perf,no public benchmark scores found — vendor cites Sonic voice agent + TauBench results published by Sierra team,https://sierra.ai/research/benchmarking-ai-agents,real-data,filled-perf
skild-brain--skild-ai,Skild Brain,perf,no public benchmark scores found — vendor cites generalist-robot-brain trained across hundreds of embodiments; no public benchmark,https://www.skild.ai/news,depth-floor-reached,filled-perf
soul-machines--soulmachines-com,Soul Machines,perf,"no public benchmark scores found — vendor cites digital-human deployments (Mercedes-Benz, Twitch); no public benchmark",https://www.soulmachines.com/customers,depth-floor-reached,filled-perf
speak--speak-com,Speak,perf,no public benchmark scores found — vendor cites OpenAI Startup-Fund + 10M users; no public learning-gains benchmark,https://www.speak.com/blog,depth-floor-reached,filled-perf
spellbook-library--lawnext-com,Spellbook Library,perf,no public benchmark scores found — vendor cites GPT-4 fine-tuned on legal contracts; no public LegalBench result,https://www.spellbook.legal/learn,depth-floor-reached,filled-perf
spirit-ai-character-engine--spiritai-com,Spirit AI Character Engine,perf,no public benchmark scores found — vendor cites games-industry partnerships; no public benchmark,https://www.spiritai.com/about,depth-floor-reached,filled-perf
suki-ai--suki-ai,Suki AI,perf,no public benchmark scores found — vendor cites 72% reduction in documentation time; no published WER or accuracy score,https://www.suki.ai/resources,depth-floor-reached,filled-perf
synthesis-tutor--synthesis-com,Synthesis Tutor,perf,no public benchmark scores found — vendor cites K-8 math-tutor adoption; no public learning-gains benchmark,https://www.synthesis.com/tutor,depth-floor-reached,filled-perf
tesla-fsd-v13-occupancy-4d-world--thinkautonomous-ai,Tesla FSD V13 — Occupancy + 4D World,perf,Tesla FSD V13: vendor-claimed 5-6x reduction in miles-per-disconnect from V12.x; 4D world / occupancy network,https://www.tesla.com/AI,real-data,filled-perf
wayve-gaia-2-gaia-3--wayve-ai,Wayve GAIA-2 / GAIA-3,perf,Wayve GAIA-2: video-generation FVD scores and controllability metrics (vendor research blog),https://wayve.ai/thinking/scaling-gaia-2/,real-data,filled-perf
0-5-physical-intelligence--pi-website,π0.5 (Physical Intelligence),a2a-support,"no A2A protocol support advertised — vertical product, no A2A integration documented",https://www.physicalintelligence.company/blog/pi05,depth-floor-reached,not-documented
0-5-physical-intelligence--pi-website,π0.5 (Physical Intelligence),consistency,"not applicable — embodied policy, not a database",https://www.physicalintelligence.company/blog/pi05,not-applicable,domain-default-robotics
0-5-physical-intelligence--pi-website,π0.5 (Physical Intelligence),import-export,"no public import/export API advertised — vendor product, data movement via enterprise integration only",https://www.physicalintelligence.company/blog/pi05,depth-floor-reached,not-documented
0-5-physical-intelligence--pi-website,π0.5 (Physical Intelligence),mcp-support,"no MCP support advertised — vertical product, no MCP server / client integration documented",https://www.physicalintelligence.company/blog/pi05,depth-floor-reached,not-documented
0-5-physical-intelligence--pi-website,π0.5 (Physical Intelligence),otel,no OpenTelemetry integration advertised — vendor logs/observability not publicly documented,https://www.physicalintelligence.company/blog/pi05,depth-floor-reached,not-documented
0-5-physical-intelligence--pi-website,π0.5 (Physical Intelligence),webhooks,"no public webhook API advertised — vendor product, no public docs for webhook integration",https://www.physicalintelligence.company/blog/pi05,depth-floor-reached,not-documented
abridge--abridge-com,Abridge,a2a-support,"no A2A protocol support advertised — vertical product, no A2A integration documented",https://www.abridge.com/,depth-floor-reached,not-documented
abridge--abridge-com,Abridge,consistency,strong consistency required for clinical record integrity,https://www.abridge.com/,real-data,domain-default-healthcare
abridge--abridge-com,Abridge,import-export,"no public import/export API advertised — vendor product, data movement via enterprise integration only",https://www.abridge.com/,depth-floor-reached,not-documented
abridge--abridge-com,Abridge,mcp-support,"no MCP support advertised — vertical product, no MCP server / client integration documented",https://www.abridge.com/,depth-floor-reached,not-documented
abridge--abridge-com,Abridge,otel,no OpenTelemetry integration advertised — vendor logs/observability not publicly documented,https://www.abridge.com/,depth-floor-reached,not-documented
abridge--abridge-com,Abridge,webhooks,"no public webhook API advertised — vendor product, no public docs for webhook integration",https://www.abridge.com/,depth-floor-reached,not-documented
asapp-generativeagent--asapp-com,ASAPP GenerativeAgent,a2a-support,"no A2A protocol support advertised — vertical product, no A2A integration documented",https://www.asapp.com/generative-agent,depth-floor-reached,not-documented
asapp-generativeagent--asapp-com,ASAPP GenerativeAgent,consistency,not specified — vendor docs do not address consistency model,https://www.asapp.com/generative-agent,depth-floor-reached,not-documented
asapp-generativeagent--asapp-com,ASAPP GenerativeAgent,forgetting,not specified — vendor docs do not advertise forgetting / retention policy,https://www.asapp.com/generative-agent,depth-floor-reached,not-documented
asapp-generativeagent--asapp-com,ASAPP GenerativeAgent,import-export,"no public import/export API advertised — vendor product, data movement via enterprise integration only",https://www.asapp.com/generative-agent,depth-floor-reached,not-documented
asapp-generativeagent--asapp-com,ASAPP GenerativeAgent,mcp-support,"no MCP support advertised — vertical product, no MCP server / client integration documented",https://www.asapp.com/generative-agent,depth-floor-reached,not-documented
asapp-generativeagent--asapp-com,ASAPP GenerativeAgent,otel,no OpenTelemetry integration advertised — vendor logs/observability not publicly documented,https://www.asapp.com/generative-agent,depth-floor-reached,not-documented
asapp-generativeagent--asapp-com,ASAPP GenerativeAgent,tombstoning,not specified — vendor docs do not advertise tombstoning / soft-delete behaviour,https://www.asapp.com/generative-agent,depth-floor-reached,not-documented
asapp-generativeagent--asapp-com,ASAPP GenerativeAgent,versioning,not specified — vendor docs do not advertise versioning model,https://www.asapp.com/generative-agent,depth-floor-reached,not-documented
asapp-generativeagent--asapp-com,ASAPP GenerativeAgent,webhooks,"no public webhook API advertised — vendor product, no public docs for webhook integration",https://www.asapp.com/generative-agent,depth-floor-reached,not-documented
benevolentai--benevolent-com,BenevolentAI,a2a-support,"no A2A protocol support advertised — vertical product, no A2A integration documented",https://www.benevolent.com/,depth-floor-reached,not-documented
benevolentai--benevolent-com,BenevolentAI,consistency,strong consistency required for clinical record integrity,https://www.benevolent.com/,real-data,domain-default-healthcare
benevolentai--benevolent-com,BenevolentAI,forgetting,regulated retention (7+ years per HIPAA + state law); patient-requested deletion governed by HIPAA right-to-access,https://www.benevolent.com/,real-data,domain-default-healthcare
benevolentai--benevolent-com,BenevolentAI,import-export,"no public import/export API advertised — vendor product, data movement via enterprise integration only",https://www.benevolent.com/,depth-floor-reached,not-documented
benevolentai--benevolent-com,BenevolentAI,mcp-support,"no MCP support advertised — vertical product, no MCP server / client integration documented",https://www.benevolent.com/,depth-floor-reached,not-documented
benevolentai--benevolent-com,BenevolentAI,otel,no OpenTelemetry integration advertised — vendor logs/observability not publicly documented,https://www.benevolent.com/,depth-floor-reached,not-documented
benevolentai--benevolent-com,BenevolentAI,tombstoning,audit-logged soft delete (regulatory retention requirement),https://www.benevolent.com/,real-data,domain-default-healthcare
benevolentai--benevolent-com,BenevolentAI,versioning,immutable audit log (HIPAA + 21 CFR Part 11 require audit trails),https://www.benevolent.com/,real-data,domain-default-healthcare
benevolentai--benevolent-com,BenevolentAI,webhooks,"no public webhook API advertised — vendor product, no public docs for webhook integration",https://www.benevolent.com/,depth-floor-reached,not-documented
causaly--causaly-com,Causaly,a2a-support,"no A2A protocol support advertised — vertical product, no A2A integration documented",https://www.causaly.com/,depth-floor-reached,not-documented
causaly--causaly-com,Causaly,consistency,strong consistency required for clinical record integrity,https://www.causaly.com/,real-data,domain-default-healthcare
causaly--causaly-com,Causaly,forgetting,regulated retention (7+ years per HIPAA + state law); patient-requested deletion governed by HIPAA right-to-access,https://www.causaly.com/,real-data,domain-default-healthcare
causaly--causaly-com,Causaly,import-export,"no public import/export API advertised — vendor product, data movement via enterprise integration only",https://www.causaly.com/,depth-floor-reached,not-documented
causaly--causaly-com,Causaly,mcp-support,"no MCP support advertised — vertical product, no MCP server / client integration documented",https://www.causaly.com/,depth-floor-reached,not-documented
causaly--causaly-com,Causaly,otel,no OpenTelemetry integration advertised — vendor logs/observability not publicly documented,https://www.causaly.com/,depth-floor-reached,not-documented
causaly--causaly-com,Causaly,tombstoning,audit-logged soft delete (regulatory retention requirement),https://www.causaly.com/,real-data,domain-default-healthcare
causaly--causaly-com,Causaly,versioning,immutable audit log (HIPAA + 21 CFR Part 11 require audit trails),https://www.causaly.com/,real-data,domain-default-healthcare
causaly--causaly-com,Causaly,webhooks,"no public webhook API advertised — vendor product, no public docs for webhook integration",https://www.causaly.com/,depth-floor-reached,not-documented
character-ai--character-ai,Character.ai,consistency,not specified — vendor docs do not address consistency model,https://character.ai/,depth-floor-reached,not-documented
character-ai--character-ai,Character.ai,mcp-support,"no MCP support advertised — vertical product, no MCP server / client integration documented",https://character.ai/,depth-floor-reached,not-documented
character-ai--character-ai,Character.ai,schema-evolution,not specified — vendor docs do not advertise schema-evolution model,https://character.ai/,depth-floor-reached,not-documented
character-ai--character-ai,Character.ai,versioning,not specified — vendor docs do not advertise versioning model,https://character.ai/,depth-floor-reached,not-documented
charisma-ai--charisma-ai,Charisma.ai,a2a-support,"no A2A protocol support advertised — vertical product, no A2A integration documented",https://charisma.ai/,depth-floor-reached,not-documented
charisma-ai--charisma-ai,Charisma.ai,consistency,not specified — vendor docs do not address consistency model,https://charisma.ai/,depth-floor-reached,not-documented
charisma-ai--charisma-ai,Charisma.ai,import-export,"no public import/export API advertised — vendor product, data movement via enterprise integration only",https://charisma.ai/,depth-floor-reached,not-documented
charisma-ai--charisma-ai,Charisma.ai,mcp-support,"no MCP support advertised — vertical product, no MCP server / client integration documented",https://charisma.ai/,depth-floor-reached,not-documented
charisma-ai--charisma-ai,Charisma.ai,otel,no OpenTelemetry integration advertised — vendor logs/observability not publicly documented,https://charisma.ai/,depth-floor-reached,not-documented
charisma-ai--charisma-ai,Charisma.ai,versioning,not specified — vendor docs do not advertise versioning model,https://charisma.ai/,depth-floor-reached,not-documented
charisma-ai--charisma-ai,Charisma.ai,webhooks,"no public webhook API advertised — vendor product, no public docs for webhook integration",https://charisma.ai/,depth-floor-reached,not-documented
chatgpt-study-mode--openai-com,ChatGPT Study Mode,consistency,not specified — vendor docs do not address consistency model,https://openai.com/index/chatgpt-study-mode/,depth-floor-reached,not-documented
chatgpt-study-mode--openai-com,ChatGPT Study Mode,namespace,not specified — vendor docs do not advertise namespace / tenant-isolation model,https://openai.com/index/chatgpt-study-mode/,depth-floor-reached,not-documented
chatgpt-study-mode--openai-com,ChatGPT Study Mode,versioning,not specified — vendor docs do not advertise versioning model,https://openai.com/index/chatgpt-study-mode/,depth-floor-reached,not-documented
clio-duo-manage-ai--clio-com,Clio Duo / Manage AI,a2a-support,"no A2A protocol support advertised — vertical product, no A2A integration documented",https://www.clio.com/clio-duo/,depth-floor-reached,not-documented
clio-duo-manage-ai--clio-com,Clio Duo / Manage AI,consistency,strong consistency (legal accuracy requirement),https://www.clio.com/clio-duo/,real-data,domain-default-legal
clio-duo-manage-ai--clio-com,Clio Duo / Manage AI,forgetting,matter-retention policy (firm-defined; commonly 7-10 years post-matter-close per state bar),https://www.clio.com/clio-duo/,real-data,domain-default-legal
clio-duo-manage-ai--clio-com,Clio Duo / Manage AI,import-export,"no public import/export API advertised — vendor product, data movement via enterprise integration only",https://www.clio.com/clio-duo/,depth-floor-reached,not-documented
clio-duo-manage-ai--clio-com,Clio Duo / Manage AI,mcp-support,"no MCP support advertised — vertical product, no MCP server / client integration documented",https://www.clio.com/clio-duo/,depth-floor-reached,not-documented
clio-duo-manage-ai--clio-com,Clio Duo / Manage AI,otel,no OpenTelemetry integration advertised — vendor logs/observability not publicly documented,https://www.clio.com/clio-duo/,depth-floor-reached,not-documented
clio-duo-manage-ai--clio-com,Clio Duo / Manage AI,versioning,matter-versioned (per-matter document history),https://www.clio.com/clio-duo/,real-data,domain-default-legal
clio-duo-manage-ai--clio-com,Clio Duo / Manage AI,webhooks,"no public webhook API advertised — vendor product, no public docs for webhook integration",https://www.clio.com/clio-duo/,depth-floor-reached,not-documented
cocounsel-legal-thomson-reuters--legaltechnology-com,CoCounsel Legal (Thomson Reuters),a2a-support,"no A2A protocol support advertised — vertical product, no A2A integration documented",https://legal.thomsonreuters.com/en/c/cocounsel,depth-floor-reached,not-documented
cocounsel-legal-thomson-reuters--legaltechnology-com,CoCounsel Legal (Thomson Reuters),consistency,strong consistency (legal accuracy requirement),https://legal.thomsonreuters.com/en/c/cocounsel,real-data,domain-default-legal
cocounsel-legal-thomson-reuters--legaltechnology-com,CoCounsel Legal (Thomson Reuters),import-export,"no public import/export API advertised — vendor product, data movement via enterprise integration only",https://legal.thomsonreuters.com/en/c/cocounsel,depth-floor-reached,not-documented
cocounsel-legal-thomson-reuters--legaltechnology-com,CoCounsel Legal (Thomson Reuters),mcp-support,"no MCP support advertised — vertical product, no MCP server / client integration documented",https://legal.thomsonreuters.com/en/c/cocounsel,depth-floor-reached,not-documented
cocounsel-legal-thomson-reuters--legaltechnology-com,CoCounsel Legal (Thomson Reuters),otel,no OpenTelemetry integration advertised — vendor logs/observability not publicly documented,https://legal.thomsonreuters.com/en/c/cocounsel,depth-floor-reached,not-documented
cocounsel-legal-thomson-reuters--legaltechnology-com,CoCounsel Legal (Thomson Reuters),versioning,matter-versioned (per-matter document history),https://legal.thomsonreuters.com/en/c/cocounsel,real-data,domain-default-legal
cocounsel-legal-thomson-reuters--legaltechnology-com,CoCounsel Legal (Thomson Reuters),webhooks,"no public webhook API advertised — vendor product, no public docs for webhook integration",https://legal.thomsonreuters.com/en/c/cocounsel,depth-floor-reached,not-documented
cognigy--cognigy-com,Cognigy,a2a-support,"no A2A protocol support advertised — vertical product, no A2A integration documented",https://www.cognigy.com/,depth-floor-reached,not-documented
cognigy--cognigy-com,Cognigy,consistency,not specified — vendor docs do not address consistency model,https://www.cognigy.com/,depth-floor-reached,not-documented
cognigy--cognigy-com,Cognigy,schema-evolution,not specified — vendor docs do not advertise schema-evolution model,https://www.cognigy.com/,depth-floor-reached,not-documented
cognigy--cognigy-com,Cognigy,tombstoning,not specified — vendor docs do not advertise tombstoning / soft-delete behaviour,https://www.cognigy.com/,depth-floor-reached,not-documented
convai-mimir--convai-com,Convai (Mimir),a2a-support,"no A2A protocol support advertised — vertical product, no A2A integration documented",https://convai.com/,depth-floor-reached,not-documented
convai-mimir--convai-com,Convai (Mimir),consistency,not specified — vendor docs do not address consistency model,https://convai.com/,depth-floor-reached,not-documented
convai-mimir--convai-com,Convai (Mimir),import-export,"no public import/export API advertised — vendor product, data movement via enterprise integration only",https://convai.com/,depth-floor-reached,not-documented
convai-mimir--convai-com,Convai (Mimir),mcp-support,"no MCP support advertised — vertical product, no MCP server / client integration documented",https://convai.com/,depth-floor-reached,not-documented
convai-mimir--convai-com,Convai (Mimir),otel,no OpenTelemetry integration advertised — vendor logs/observability not publicly documented,https://convai.com/,depth-floor-reached,not-documented
convai-mimir--convai-com,Convai (Mimir),schema-evolution,not specified — vendor docs do not advertise schema-evolution model,https://convai.com/,depth-floor-reached,not-documented
convai-mimir--convai-com,Convai (Mimir),tombstoning,not specified — vendor docs do not advertise tombstoning / soft-delete behaviour,https://convai.com/,depth-floor-reached,not-documented
convai-mimir--convai-com,Convai (Mimir),webhooks,"no public webhook API advertised — vendor product, no public docs for webhook integration",https://convai.com/,depth-floor-reached,not-documented
cresta--cresta-com,Cresta,a2a-support,"no A2A protocol support advertised — vertical product, no A2A integration documented",https://cresta.com/,depth-floor-reached,not-documented
cresta--cresta-com,Cresta,consistency,not specified — vendor docs do not address consistency model,https://cresta.com/,depth-floor-reached,not-documented
cresta--cresta-com,Cresta,forgetting,not specified — vendor docs do not advertise forgetting / retention policy,https://cresta.com/,depth-floor-reached,not-documented
cresta--cresta-com,Cresta,import-export,"no public import/export API advertised — vendor product, data movement via enterprise integration only",https://cresta.com/,depth-floor-reached,not-documented
cresta--cresta-com,Cresta,mcp-support,"no MCP support advertised — vertical product, no MCP server / client integration documented",https://cresta.com/,depth-floor-reached,not-documented
cresta--cresta-com,Cresta,otel,no OpenTelemetry integration advertised — vendor logs/observability not publicly documented,https://cresta.com/,depth-floor-reached,not-documented
cresta--cresta-com,Cresta,schema-evolution,not specified — vendor docs do not advertise schema-evolution model,https://cresta.com/,depth-floor-reached,not-documented
cresta--cresta-com,Cresta,tombstoning,not specified — vendor docs do not advertise tombstoning / soft-delete behaviour,https://cresta.com/,depth-floor-reached,not-documented
cresta--cresta-com,Cresta,versioning,not specified — vendor docs do not advertise versioning model,https://cresta.com/,depth-floor-reached,not-documented
