record_id,record_name,column,new_value,citation_url,status,gap_class_resolved,priority
mmag--arxiv-2512-01710,MMAG,perf,"Five-layer memory architecture (conversational, long-term user, episodic/event-linked, sensory/context, short-term working) implemented in Heero conversational stack.",https://arxiv.org/abs/2512.01710,real-data,perf-from-claims,10
mot-memory-of-thought--arxiv-2305-05181,MoT (Memory-of-Thought),perf,"Significant gains on arithmetic, commonsense, factual, and NLI reasoning with ChatGPT. EMNLP 2023.",https://arxiv.org/abs/2305.05181,real-data,perf-from-claims,10
mpo,MPO,citations,no data — searched arxiv abstract; no specific value reported,https://arxiv.org/abs/2503.09572,depth-floor-reached,deferred-no-net,10
mpo,MPO,perf,Significantly outperforms baselines on two representative tasks; plug-and-play meta-plan optimization avoids agent retraining.,https://arxiv.org/abs/2503.09572,real-data,perf-from-claims,10
namms--arxiv-2410-13166,NAMMs,perf,"Train on language tasks, transfer zero-shot to other transformers and modalities; substantial gains on long-context benchmarks at a fraction of original context size.",https://arxiv.org/abs/2410.13166,real-data,perf-from-claims,10
naver-provence-pisco--arxiv-2501-16214,NAVER Provence + PISCO,perf,PISCO: 16x document compression with 0-3% accuracy drop on RAG-QA; 5.7x inference speed-up; fine-tuning <48h on a single A100.,https://arxiv.org/abs/2501.16214,real-data,perf-from-claims,10
nemori--arxiv-2508-03341,Nemori,perf,Prediction-error-driven episodic memory distillation; episodic + semantic modules; consistent gains on long-conversation memory benchmarks.,https://arxiv.org/abs/2508.03341,real-data,perf-from-claims,10
neural-episodic-control--arxiv-1703-01988,Neural Episodic Control,perf,Landmark — established episodic-memory RL as a paradigm. Fast learning from sparse rewards across Atari.,https://arxiv.org/abs/1703.01988,real-data,perf-from-claims,10
nl2gensym--arxiv-2510-09355,NL2GenSym,perf,>86% rule-generation success across Gemini and Qwen families.,https://arxiv.org/abs/2510.09355,real-data,perf-from-claims,10
nvidia-nemotron-3--arxiv-2512-20856,NVIDIA Nemotron 3,perf,"Nemotron 3 Nano (31.6B total, 3.2B active) supports up to 1M-token context; hybrid architecture sustains high throughput at long contexts.",https://arxiv.org/abs/2512.20856,real-data,perf-from-claims,10
oasis--arxiv-2411-11581,OASIS,perf,"Scales LLM-agent social simulation to 1 million agents; reproduces information spreading, group polarization, and herd behaviours.",https://arxiv.org/abs/2411.11581,real-data,perf-from-claims,10
planning-from-imagination--arxiv-2412-01857,Planning from Imagination,perf,SOTA on SPL (Success rate weighted by Path Length) for vision-and-language navigation via reality-imagination hybrid memory.,https://arxiv.org/abs/2412.01857,real-data,perf-from-claims,10
prime--arxiv-2509-22315,PRIME,perf,Open-source LLMs perform competitively with GPT-4/4o on multi-hop and knowledge-grounded reasoning benchmarks. AAAI 2026.,https://arxiv.org/abs/2509.22315,real-data,perf-from-claims,10
principles--arxiv-2509-17459,PRINCIPLES,perf,Consistent improvements over strong baselines in emotional-support and persuasion dialogue benchmarks; no additional training or manual annotation.,https://arxiv.org/abs/2509.17459,real-data,perf-from-claims,10
pwm-policy-learning-with-large-world-models--arxiv-2407-02466,PWM (Policy Learning with Large World Models),perf,Strong continuous-control results; efficient policy extraction without environment interaction.,https://arxiv.org/abs/2407.02466,real-data,perf-from-claims,10
r-mem--arxiv-2502-15957,R³Mem,perf,Reversible context compression with hierarchical document-to-entity tokens; competitive long-context QA performance under bounded memory.,https://arxiv.org/abs/2502.15957,real-data,perf-from-claims,10
r2i--arxiv-2403-04253,R2I,perf,Up to 9x faster than baselines on long-horizon model-based RL tasks.,https://arxiv.org/abs/2403.04253,real-data,perf-from-claims,10
razorattention--openreview-net,RazorAttention,perf,">70% reduction in KV-cache size with negligible performance impact, training-free.",https://openreview.net/forum?id=tkiZQlL04w,real-data,perf-from-claims,10
readagent--arxiv-2402-09727,ReadAgent,perf,"3-20x effective context extension; outperforms baselines on QuALITY, NarrativeQA, and QMSum.",https://arxiv.org/abs/2402.09727,real-data,perf-from-claims,10
reasoningbank--arxiv-2509-25140,ReasoningBank,perf,Consistent improvements across web-navigation and reasoning benchmarks via MaTTS test-time scaling and distilled reasoning strategies.,https://arxiv.org/abs/2509.25140,real-data,perf-from-claims,10
recurrent-memory-transformer-rmt--arxiv-2207-06881,Recurrent Memory Transformer (RMT),perf,Scaling variant (arxiv 2304.11062) handles up to 2M-token sequences with high retrieval accuracy; on par with Transformer-XL for small memory; outperforms it on long-sequence tasks.,https://arxiv.org/abs/2207.06881,real-data,perf-from-claims,10
recurrentgpt--arxiv-2305-13304,RecurrentGPT,perf,"LSTM-style recurrence in language enables arbitrarily long text generation with interpretable, editable memories; demonstrated in AI As Contents (AIAC) applications.",https://arxiv.org/abs/2305.13304,real-data,perf-from-claims,10
reflexion--arxiv-2303-11366,Reflexion,perf,Landmark — defined verbal RL as a learning paradigm for LLM agents. >90% Pass@1 on HumanEval (GPT-4 + Reflexion).,https://arxiv.org/abs/2303.11366,real-data,perf-from-claims,10
repairagent--arxiv-2403-17134,RepairAgent,perf,Fixed 164 bugs on Defects4J including 39 not addressed by prior techniques; ~270K tokens (~$0.14) per bug average.,https://arxiv.org/abs/2403.17134,real-data,perf-from-claims,10
resum--arxiv-2509-13313,ReSum,perf,+4.5% over ReAct baseline using ReSum-GRPO with advantage broadcasting for credit assignment.,https://arxiv.org/abs/2509.13313,real-data,perf-from-claims,10
ret-llm--arxiv-2305-14322,RET-LLM,perf,Triplet-based write-read memory; superior QA performance vs vanilla LLMs in qualitative and quantitative evaluations.,https://arxiv.org/abs/2305.14322,real-data,perf-from-claims,10
retroformer--arxiv-2308-02151,Retroformer,perf,First application of policy gradient to LM agents; sample-efficient improvements on AlfWorld and WebShop via retrospective prompt refinement.,https://arxiv.org/abs/2308.02151,real-data,perf-from-claims,10
rgmem--arxiv-2510-16392,RGMem,perf,Renormalization-group-inspired self-evolving memory; multi-scale coarse-graining separates fast and slow components; gains on long-horizon dialogue.,https://arxiv.org/abs/2510.16392,real-data,perf-from-claims,10
riken-tensor-decomposition-incremental-learning--icml-cc,RIKEN Tensor Decomposition Incremental Learning,perf,ICML 2025 poster; tensor-decomposition incremental learning achieves compression without proportional accuracy loss vs full-exemplar replay.,https://icml.cc/virtual/2025/poster/44196,real-data,perf-from-claims,10
s--arxiv-2307-14984,S³,perf,Social-network simulation with LLM-empowered agents; reproduces population-level emotion dynamics and attitude formation.,https://arxiv.org/abs/2307.14984,real-data,perf-from-claims,10
sage,SAGE,citations,no data — searched arxiv abstract; no specific value reported,https://arxiv.org/abs/2503.08026,depth-floor-reached,deferred-no-net,10
sage,SAGE,perf,"Self-evolving agent framework with Ebbinghaus-curve memory optimisation; gains on continuous decision-making, multi-tasking, and long-span tasks. Neurocomputing 2025.",https://arxiv.org/abs/2503.08026,real-data,perf-from-claims,10
sakana-ctm--arxiv-2505-05522,Sakana CTM,perf,"Strong performance on ImageNet-1K, 2D maze solving, sorting, parity, QA, and RL tasks without domain-specific tuning.",https://arxiv.org/abs/2505.05522,real-data,perf-from-claims,10
scm--arxiv-2304-13343,SCM,perf,Self-Controlled Memory framework plug-and-play; better retrieval recall and more informative responses on ultra-long-text tasks without finetuning.,https://arxiv.org/abs/2304.13343,real-data,perf-from-claims,10
sculptor--arxiv-2508-04664,Sculptor,perf,Active Context Management toolkit + context-aware RL; mitigates proactive interference and improves long-horizon agent performance.,https://arxiv.org/abs/2508.04664,real-data,perf-from-claims,10
sdm-activations--arxiv-2509-12760,SDM Activations,perf,SDM estimator controls class- and prediction-conditional accuracy in selective-classification settings; more robust than softmax baselines.,https://arxiv.org/abs/2509.12760,real-data,perf-from-claims,10
seagent--arxiv-2508-04700,SEAgent,perf,23.2% absolute improvement (11.3% -> 34.5%) over baseline computer-use agents via World State Model + Curriculum Generator + GRPO.,https://arxiv.org/abs/2508.04700,real-data,perf-from-claims,10
secom--openreview-net,SeCom,perf,"Segment-level memory + LLMLingua-2 compression outperforms turn-, session-, and summarization-level baselines on long-dialog QA.",https://openreview.net/forum?id=xKDZAW0He3,real-data,perf-from-claims,10
self-param--arxiv-2410-00487,SELF-PARAM,perf,"Outperforms continual-learning and memory-injection methods on QA and conversational recommendation, even vs methods with nonzero storage cost.",https://arxiv.org/abs/2410.00487,real-data,perf-from-claims,10
sers--openreview-net,SERS,perf,"Lightweight continual learning with pseudo-input synthesis, label self-evolution, and prompt-only updates; matches full-tune baselines at far lower cost.",https://openreview.net/forum?id=jR1lvwexLt,real-data,perf-from-claims,10
sgmem--arxiv-2509-21212,SGMem,perf,Sentence Graph Memory consistently improves multi-session dialog QA over turn-level and summary-level baselines.,https://arxiv.org/abs/2509.21212,real-data,perf-from-claims,10
skillweaver--arxiv-2504-07079,SkillWeaver,perf,31.8% relative success-rate improvement on WebArena; 39.8% improvement on real-world websites via self-discovered API skills.,https://arxiv.org/abs/2504.07079,real-data,perf-from-claims,10
snapkv,SnapKV,perf,"3.6x decoding speed and 8.2x memory-footprint improvement, fine-tuning-free.",https://arxiv.org/abs/2404.14469,real-data,perf-from-claims,10
softcot--aclanthology-org,SoftCoT,perf,Soft chain-of-thought tokens injected via lightweight assistant model; parameter-efficient gains without catastrophic forgetting. ACL 2025.,https://aclanthology.org/2025.acl-long.1137/,real-data,perf-from-claims,10
tiermem--arxiv-2602-17913,TierMem,perf,Prevents write-before-query barrier — addresses unverifiable omission risk in tiered memory systems.,https://arxiv.org/abs/2602.17913,real-data,perf-from-claims,10
toolformer--arxiv-2302-04761,Toolformer,perf,Landmark — originated self-taught tool use; outperforms much larger GPT-3 on five downstream tasks without sacrificing core language ability.,https://arxiv.org/abs/2302.04761,real-data,perf-from-claims,10
toolgen--arxiv-2410-03439,ToolGen,perf,Tools as tokens — handles vast tool inventories without context-length constraints; competitive accuracy vs retrieval-based baselines.,https://arxiv.org/abs/2410.03439,real-data,perf-from-claims,10
toolllm--arxiv-2307-16789,ToolLLM,perf,"ToolLLaMA matches ChatGPT on tool-use tasks across 16,464 real-world RESTful APIs covering 49 categories from RapidAPI.",https://arxiv.org/abs/2307.16789,real-data,perf-from-claims,10
toolmem--arxiv-2510-06664,ToolMem,perf,+14.8% (text) and +28.7% (multimodal) accuracy in tool-performance prediction; +21% and +24% absolute gains in tool-selection accuracy.,https://arxiv.org/abs/2510.06664,real-data,perf-from-claims,10
transformer--arxiv-2501-06252,Transformer²,perf,Transformer-Squared: procedural memory via SVD experts in model weights enables dynamic task-specific adaptation without full fine-tuning.,https://arxiv.org/abs/2501.06252,real-data,perf-from-claims,10
transformer-xl--arxiv-1901-02860,Transformer-XL,perf,"Dependencies 80% longer than RNNs and 450% longer than vanilla Transformers; up to 1,800x faster evaluation; SOTA on enwik8 (0.99 bpb) and WikiText-103.",https://arxiv.org/abs/1901.02860,real-data,perf-from-claims,10
transformerfam--arxiv-2404-09173,TransformerFAM,perf,Validated on 1B / 8B / 24B model scales; significant gains on long-context tasks via feedback attention memory.,https://arxiv.org/abs/2404.09173,real-data,perf-from-claims,10
ufo2--arxiv-2504-14603,UFO2,perf,Multi-agent Windows OS with hybrid UIA + vision parsing; speculative multi-action planning lowers per-step LLM overhead in Windows app automation.,https://arxiv.org/abs/2504.14603,real-data,perf-from-claims,10
v-jepa-2--arxiv-2506-09985,V-JEPA 2,perf,Pre-trained on 1M+ hours of internet video; state-of-the-art motion understanding and action anticipation among self-supervised video models.,https://arxiv.org/abs/2506.09985,real-data,perf-from-claims,10
v-jepa-original--arxiv-2404-08471,V-JEPA (original),perf,Strong on motion understanding and action anticipation; serves as predecessor to V-JEPA 2.,https://arxiv.org/abs/2404.08471,real-data,perf-from-claims,10
webweaver--arxiv-2509-13312,WebWeaver,perf,Dual planner+writer architecture with citation-grounded outline / memory bank; consistent gains on open-ended deep-research benchmarks.,https://arxiv.org/abs/2509.13312,real-data,perf-from-claims,10
wise,WISE,perf,Outperforms prior model-editing methods on long-horizon edit streams while preserving general knowledge.,https://arxiv.org/abs/2405.14768,real-data,perf-from-claims,10
workmate--journals-plos-org,WorkMATe,perf,"PLOS ONE study; gated memory stores out-perform comparison baselines on classic working-memory benchmarks (delayed match-to-sample, AX-CPT).",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0316453,real-data,perf-from-claims,10
agent-kb--arxiv-2507-06229,Agent KB,consistency,not specified - paper does not address this dimension,https://arxiv.org/abs/2507.06229,depth-floor-reached,depth-floor-cited,5
agent-kb--arxiv-2507-06229,Agent KB,forgetting,not specified - paper does not address this dimension,https://arxiv.org/abs/2507.06229,depth-floor-reached,depth-floor-cited,5
agent-kb--arxiv-2507-06229,Agent KB,namespace,not specified - paper does not address this dimension,https://arxiv.org/abs/2507.06229,depth-floor-reached,depth-floor-cited,5
agent-kb--arxiv-2507-06229,Agent KB,tombstoning,not specified - paper does not address this dimension,https://arxiv.org/abs/2507.06229,depth-floor-reached,depth-floor-cited,5
agent-kb--arxiv-2507-06229,Agent KB,versioning,not specified - paper does not address this dimension,https://arxiv.org/abs/2507.06229,depth-floor-reached,depth-floor-cited,5
agent-s--arxiv-2410-08164,Agent S,consistency,not specified - paper does not address this dimension,https://arxiv.org/abs/2410.08164,depth-floor-reached,depth-floor-cited,5
agent-s--arxiv-2410-08164,Agent S,forgetting,not specified - paper does not address this dimension,https://arxiv.org/abs/2410.08164,depth-floor-reached,depth-floor-cited,5
agent-s--arxiv-2410-08164,Agent S,namespace,not specified - paper does not address this dimension,https://arxiv.org/abs/2410.08164,depth-floor-reached,depth-floor-cited,5
agent-s--arxiv-2410-08164,Agent S,schema-evolution,not specified - paper does not address this dimension,https://arxiv.org/abs/2410.08164,depth-floor-reached,depth-floor-cited,5
agent-s--arxiv-2410-08164,Agent S,tombstoning,not specified - paper does not address this dimension,https://arxiv.org/abs/2410.08164,depth-floor-reached,depth-floor-cited,5
agent-s--arxiv-2410-08164,Agent S,versioning,not specified - paper does not address this dimension,https://arxiv.org/abs/2410.08164,depth-floor-reached,depth-floor-cited,5
agent-workflow-memory--openreview-net,Agent Workflow Memory,forgetting,not specified - paper does not address this dimension,https://openreview.net/forum?id=NTAhi2JEEE,depth-floor-reached,depth-floor-cited,5
agent-workflow-memory--openreview-net,Agent Workflow Memory,tombstoning,not specified - paper does not address this dimension,https://openreview.net/forum?id=NTAhi2JEEE,depth-floor-reached,depth-floor-cited,5
agentevolver--arxiv-2511-10395,AgentEvolver,consistency,not specified - paper does not address this dimension,https://arxiv.org/abs/2511.10395,depth-floor-reached,depth-floor-cited,5
agentevolver--arxiv-2511-10395,AgentEvolver,forgetting,not specified - paper does not address this dimension,https://arxiv.org/abs/2511.10395,depth-floor-reached,depth-floor-cited,5
agentevolver--arxiv-2511-10395,AgentEvolver,namespace,not specified - paper does not address this dimension,https://arxiv.org/abs/2511.10395,depth-floor-reached,depth-floor-cited,5
agentevolver--arxiv-2511-10395,AgentEvolver,tombstoning,not specified - paper does not address this dimension,https://arxiv.org/abs/2511.10395,depth-floor-reached,depth-floor-cited,5
agentevolver--arxiv-2511-10395,AgentEvolver,versioning,not specified - paper does not address this dimension,https://arxiv.org/abs/2511.10395,depth-floor-reached,depth-floor-cited,5
agentfold--arxiv-2510-24699,AgentFold,consistency,not specified - paper does not address this dimension,https://arxiv.org/abs/2510.24699,depth-floor-reached,depth-floor-cited,5
agentfold--arxiv-2510-24699,AgentFold,namespace,not specified - paper does not address this dimension,https://arxiv.org/abs/2510.24699,depth-floor-reached,depth-floor-cited,5
agentfold--arxiv-2510-24699,AgentFold,tombstoning,not specified - paper does not address this dimension,https://arxiv.org/abs/2510.24699,depth-floor-reached,depth-floor-cited,5
agentic-memory--arxiv-2601-01885,Agentic Memory,consistency,not specified - paper does not address this dimension,https://arxiv.org/abs/2601.01885,depth-floor-reached,depth-floor-cited,5
agentic-memory--arxiv-2601-01885,Agentic Memory,namespace,not specified - paper does not address this dimension,https://arxiv.org/abs/2601.01885,depth-floor-reached,depth-floor-cited,5
agentic-memory--arxiv-2601-01885,Agentic Memory,schema-evolution,not specified - paper does not address this dimension,https://arxiv.org/abs/2601.01885,depth-floor-reached,depth-floor-cited,5
agentic-memory--arxiv-2601-01885,Agentic Memory,tombstoning,not specified - paper does not address this dimension,https://arxiv.org/abs/2601.01885,depth-floor-reached,depth-floor-cited,5
agentic-plan-caching-apc--neurips-cc,Agentic Plan Caching (APC),consistency,not specified - paper does not address this dimension,https://neurips.cc/virtual/2025/poster/116166,depth-floor-reached,depth-floor-cited,5
agentic-plan-caching-apc--neurips-cc,Agentic Plan Caching (APC),forgetting,not specified - paper does not address this dimension,https://neurips.cc/virtual/2025/poster/116166,depth-floor-reached,depth-floor-cited,5
agentic-plan-caching-apc--neurips-cc,Agentic Plan Caching (APC),namespace,not specified - paper does not address this dimension,https://neurips.cc/virtual/2025/poster/116166,depth-floor-reached,depth-floor-cited,5
agentic-plan-caching-apc--neurips-cc,Agentic Plan Caching (APC),tombstoning,not specified - paper does not address this dimension,https://neurips.cc/virtual/2025/poster/116166,depth-floor-reached,depth-floor-cited,5
agentic-plan-caching-apc--neurips-cc,Agentic Plan Caching (APC),versioning,not specified - paper does not address this dimension,https://neurips.cc/virtual/2025/poster/116166,depth-floor-reached,depth-floor-cited,5
ai-persona--arxiv-2412-13103,AI PERSONA,consistency,not specified - paper does not address this dimension,https://arxiv.org/abs/2412.13103,depth-floor-reached,depth-floor-cited,5
ai-persona--arxiv-2412-13103,AI PERSONA,forgetting,not specified - paper does not address this dimension,https://arxiv.org/abs/2412.13103,depth-floor-reached,depth-floor-cited,5
ai-persona--arxiv-2412-13103,AI PERSONA,tombstoning,not specified - paper does not address this dimension,https://arxiv.org/abs/2412.13103,depth-floor-reached,depth-floor-cited,5
ai-persona--arxiv-2412-13103,AI PERSONA,versioning,not specified - paper does not address this dimension,https://arxiv.org/abs/2412.13103,depth-floor-reached,depth-floor-cited,5
ait-associative-transformer--arxiv-2309-12862,AiT (Associative Transformer),tombstoning,not specified - paper does not address this dimension,https://arxiv.org/abs/2309.12862,depth-floor-reached,depth-floor-cited,5
alita--arxiv-2505-20286,Alita,consistency,not specified - paper does not address this dimension,https://arxiv.org/abs/2505.20286,depth-floor-reached,depth-floor-cited,5
alita--arxiv-2505-20286,Alita,forgetting,not specified - paper does not address this dimension,https://arxiv.org/abs/2505.20286,depth-floor-reached,depth-floor-cited,5
alita--arxiv-2505-20286,Alita,founders,no data — 2025 arxiv preprint,https://arxiv.org/abs/2505.20286,depth-floor-reached,depth-floor-cited,5
alita--arxiv-2505-20286,Alita,namespace,not specified - paper does not address this dimension,https://arxiv.org/abs/2505.20286,depth-floor-reached,depth-floor-cited,5
alita--arxiv-2505-20286,Alita,schema-evolution,not specified - paper does not address this dimension,https://arxiv.org/abs/2505.20286,depth-floor-reached,depth-floor-cited,5
alita--arxiv-2505-20286,Alita,tombstoning,not specified - paper does not address this dimension,https://arxiv.org/abs/2505.20286,depth-floor-reached,depth-floor-cited,5
alita--arxiv-2505-20286,Alita,versioning,not specified - paper does not address this dimension,https://arxiv.org/abs/2505.20286,depth-floor-reached,depth-floor-cited,5
alita-g--arxiv-2510-23601,Alita-G,consistency,not specified - paper does not address this dimension,https://arxiv.org/abs/2510.23601,depth-floor-reached,depth-floor-cited,5
alita-g--arxiv-2510-23601,Alita-G,forgetting,not specified - paper does not address this dimension,https://arxiv.org/abs/2510.23601,depth-floor-reached,depth-floor-cited,5
alita-g--arxiv-2510-23601,Alita-G,namespace,not specified - paper does not address this dimension,https://arxiv.org/abs/2510.23601,depth-floor-reached,depth-floor-cited,5
alita-g--arxiv-2510-23601,Alita-G,schema-evolution,not specified - paper does not address this dimension,https://arxiv.org/abs/2510.23601,depth-floor-reached,depth-floor-cited,5
alita-g--arxiv-2510-23601,Alita-G,tombstoning,not specified - paper does not address this dimension,https://arxiv.org/abs/2510.23601,depth-floor-reached,depth-floor-cited,5
alita-g--arxiv-2510-23601,Alita-G,versioning,not specified - paper does not address this dimension,https://arxiv.org/abs/2510.23601,depth-floor-reached,depth-floor-cited,5
alphaedit--arxiv-2410-02355,AlphaEdit,forgetting,not specified - paper does not address this dimension,https://arxiv.org/abs/2410.02355,depth-floor-reached,depth-floor-cited,5
alphaedit--arxiv-2410-02355,AlphaEdit,founders,no data — arxiv preprint; parametric editing,https://arxiv.org/abs/2410.02355,depth-floor-reached,depth-floor-cited,5
alphaedit--arxiv-2410-02355,AlphaEdit,tombstoning,not specified - paper does not address this dimension,https://arxiv.org/abs/2410.02355,depth-floor-reached,depth-floor-cited,5
anthropic-circuit-tracing--transformer-circuits-pub,Anthropic Circuit Tracing,a2a-support,"not applicable — research paper, no deployed product",https://transformer-circuits.pub/2025/attribution-graphs/methods.html,not-applicable,papers-not-applicable,5
anthropic-circuit-tracing--transformer-circuits-pub,Anthropic Circuit Tracing,import-export,"not applicable — research paper, no deployed product",https://transformer-circuits.pub/2025/attribution-graphs/methods.html,not-applicable,papers-not-applicable,5
anthropic-circuit-tracing--transformer-circuits-pub,Anthropic Circuit Tracing,mcp-support,"not applicable — research paper, no deployed product",https://transformer-circuits.pub/2025/attribution-graphs/methods.html,not-applicable,papers-not-applicable,5
anthropic-circuit-tracing--transformer-circuits-pub,Anthropic Circuit Tracing,otel,"not applicable — research paper, no deployed product",https://transformer-circuits.pub/2025/attribution-graphs/methods.html,not-applicable,papers-not-applicable,5
anthropic-circuit-tracing--transformer-circuits-pub,Anthropic Circuit Tracing,webhooks,"not applicable — research paper, no deployed product",https://transformer-circuits.pub/2025/attribution-graphs/methods.html,not-applicable,papers-not-applicable,5
arigraph--arxiv-2407-04363,AriGraph,consistency,not specified - paper does not address this dimension,https://arxiv.org/abs/2407.04363,depth-floor-reached,depth-floor-cited,5
