record_id,record_name,column,new_value,citation_url,status,resolution_method
enkrypt-ai--enkryptai-com,Enkrypt AI,otel,"no data — searched enkryptai.com, docs.enkryptai.com; OpenTelemetry export not advertised",https://docs.enkryptai.com/,depth-floor-reached,depth-floor-confirmed
enkrypt-ai--enkryptai-com,Enkrypt AI,webhooks,"no data — searched enkryptai.com, docs.enkryptai.com; webhook events not advertised",https://docs.enkryptai.com/,depth-floor-reached,depth-floor-confirmed
hiddenlayer-aisec-platform-2-0--hiddenlayer-com,HiddenLayer AISec Platform 2.0,a2a-support,"no data — searched hiddenlayer.com, hiddenlayer.com/platform, docs.hiddenlayer.com; A2A protocol not advertised",https://www.hiddenlayer.com/platform,depth-floor-reached,depth-floor-confirmed
hiddenlayer-aisec-platform-2-0--hiddenlayer-com,HiddenLayer AISec Platform 2.0,import-export,"no data — searched hiddenlayer.com/platform, docs.hiddenlayer.com; data import/export APIs not advertised",https://www.hiddenlayer.com/platform,depth-floor-reached,depth-floor-confirmed
hiddenlayer-aisec-platform-2-0--hiddenlayer-com,HiddenLayer AISec Platform 2.0,mcp-support,"Yes — Agentic and MCP Security use-case (Use case 04); protects agents and MCP-based systems from prompt injection / unsafe tool use",https://www.hiddenlayer.com/platform,real-data,vendor-page
hiddenlayer-aisec-platform-2-0--hiddenlayer-com,HiddenLayer AISec Platform 2.0,otel,"no data — searched hiddenlayer.com/platform, docs.hiddenlayer.com; OpenTelemetry export not advertised",https://www.hiddenlayer.com/platform,depth-floor-reached,depth-floor-confirmed
hiddenlayer-aisec-platform-2-0--hiddenlayer-com,HiddenLayer AISec Platform 2.0,webhooks,"no data — searched hiddenlayer.com/platform, docs.hiddenlayer.com; webhook events not advertised",https://www.hiddenlayer.com/platform,depth-floor-reached,depth-floor-confirmed
lakera-guard-lakera-red--lakera-ai,Lakera Guard / Lakera Red,a2a-support,"no data — searched lakera.ai/lakera-guard, docs.lakera.ai, docs.lakera.ai/lakera-guard/integrations; A2A protocol not advertised",https://www.lakera.ai/lakera-guard,depth-floor-reached,depth-floor-confirmed
lakera-guard-lakera-red--lakera-ai,Lakera Guard / Lakera Red,mcp-support,"no data — MCP referenced in Lakera blog as a threat-research topic only; no native MCP integration advertised (searched lakera.ai, docs.lakera.ai, lakera.ai/blog)",https://www.lakera.ai/lakera-guard,depth-floor-reached,depth-floor-confirmed
lakera-guard-lakera-red--lakera-ai,Lakera Guard / Lakera Red,otel,"no data — searched lakera.ai/lakera-guard, docs.lakera.ai; OpenTelemetry export not advertised",https://www.lakera.ai/lakera-guard,depth-floor-reached,depth-floor-confirmed
mem0-security-openmemory--mem0-ai,Mem0 (security / OpenMemory),a2a-support,"no data — searched mem0.ai/security, docs.mem0.ai, docs.mem0.ai/platform/overview; A2A protocol not advertised",https://mem0.ai/security,depth-floor-reached,depth-floor-confirmed
mem0-security-openmemory--mem0-ai,Mem0 (security / OpenMemory),otel,"no data — searched mem0.ai/security, docs.mem0.ai, docs.mem0.ai/platform/overview; OpenTelemetry export not advertised on enterprise tier",https://mem0.ai/security,depth-floor-reached,depth-floor-confirmed
microsoft-agent-governance-toolkit--gh-microsoft-agent-governance-toolkit,Microsoft Agent Governance Toolkit,a2a-support,"Yes — Agent Mesh provides A2A/MCP/IATP protocol bridges (per agentmesh-platform docs); zero-trust identity + trust scoring",https://github.com/microsoft/agent-governance-toolkit,real-data,vendor-page
microsoft-agent-governance-toolkit--gh-microsoft-agent-governance-toolkit,Microsoft Agent Governance Toolkit,import-export,"Yes — JSON export/import via AuditLogger (hash-chained audit events); identity.go supports JSON DID/JWK export/import",https://github.com/microsoft/agent-governance-toolkit,real-data,vendor-page
microsoft-agent-governance-toolkit--gh-microsoft-agent-governance-toolkit,Microsoft Agent Governance Toolkit,mcp-support,"Yes — MCP Security Scanner (tool poisoning, typosquatting, hidden instructions); A2A/MCP Protocol Bridge in Agent Mesh",https://github.com/microsoft/agent-governance-toolkit,real-data,vendor-page
microsoft-agent-governance-toolkit--gh-microsoft-agent-governance-toolkit,Microsoft Agent Governance Toolkit,otel,"Yes — Telemetry package provides OpenTelemetry integration (per PACKAGE-FEATURE-MATRIX.md)",https://github.com/microsoft/agent-governance-toolkit/blob/main/docs/PACKAGE-FEATURE-MATRIX.md,real-data,vendor-page
microsoft-agent-governance-toolkit--gh-microsoft-agent-governance-toolkit,Microsoft Agent Governance Toolkit,webhooks,"no data — searched README, ARCHITECTURE.md, PACKAGE-FEATURE-MATRIX.md; webhook events not in feature matrix",https://github.com/microsoft/agent-governance-toolkit,depth-floor-reached,depth-floor-confirmed
zep-governance-posture--getzep-com,Zep (governance posture),a2a-support,"no data — searched getzep.com/product/agent-memory, help.getzep.com, docs.getzep.com; A2A protocol not advertised",https://www.getzep.com/product/agent-memory/,depth-floor-reached,depth-floor-confirmed
zep-governance-posture--getzep-com,Zep (governance posture),otel,"no data — searched getzep.com/product/agent-memory, help.getzep.com, docs.getzep.com; OpenTelemetry export not advertised",https://www.getzep.com/product/agent-memory/,depth-floor-reached,depth-floor-confirmed
zep-governance-posture--getzep-com,Zep (governance posture),webhooks,"Yes — Webhooks documented under help.getzep.com (Compliance / Webhooks / Rate Limits section)",https://help.getzep.com/concepts,real-data,vendor-page
agentops--agentops-ai,AgentOps,a2a-support,"no data — searched agentops.ai, docs.agentops.ai, docs.agentops.ai/v2/integrations, README on AgentOps-AI/agentops; A2A protocol not advertised (CrewAI/AG2/LangGraph/Autogen integrations only)",https://www.agentops.ai/,depth-floor-reached,depth-floor-confirmed
galileo-galileo-ai--galileo-ai,Galileo (galileo.ai),a2a-support,"Yes — A2A is listed under Integrations Overview (alongside CrewAI, Google ADK, LangChain, etc.)",https://docs.galileo.ai/,real-data,vendor-page
galileo-galileo-ai--galileo-ai,Galileo (galileo.ai),mcp-support,"Yes — Galileo MCP Server documented; integrates with traces, prompts, datasets",https://docs.galileo.ai/,real-data,vendor-page
langfuse--langfuse-com,Langfuse,a2a-support,"no data — searched langfuse.com, langfuse.com/docs, langfuse.com/integrations; A2A protocol not advertised (extensive framework integrations, MCP server present, OTel-native)",https://langfuse.com/integrations,depth-floor-reached,depth-floor-confirmed
langsmith--langchain-com,LangSmith,a2a-support,"no data — searched langchain.com/langsmith, docs.smith.langchain.com, docs.smith.langchain.com/observability/concepts; A2A protocol not advertised (OTel-based traces, webhook automations)",https://docs.smith.langchain.com/,depth-floor-reached,depth-floor-confirmed
ratine--gh-goweft-ratine,Ratine,a2a-support,"no data — searched github.com/goweft/ratine README; single-purpose memory-poisoning detector for MCP tool servers, no A2A protocol",https://github.com/goweft/ratine,depth-floor-reached,depth-floor-confirmed
ratine--gh-goweft-ratine,Ratine,hq,"Los Angeles, CA, US (developer Steve Gonzalez; per GitHub profile github.com/goweft)",https://github.com/goweft,real-data,community-post
ratine--gh-goweft-ratine,Ratine,mcp-support,"Yes — built for MCP tool-server ecosystem (sibling tools heddle/loom are MCP runtimes); detects agent memory poisoning across MCP sessions",https://github.com/goweft/ratine,real-data,vendor-page
capacities--capacities-io,Capacities,mindshare,"3 HN stories (HN Algolia search); small dev-tools / PKM job listings; ~8 small team SaaS",https://hn.algolia.com/api/v1/search?query=Capacities.io,real-data,community-post
heptabase--heptabase-com,Heptabase,mindshare,"6 HN stories; Hepta Platforms, Inc.; small team (~10) per public job listings",https://hn.algolia.com/api/v1/search?query=Heptabase,real-data,community-post
logseq--logseq-com,Logseq,mindshare,"108 HN stories; 42.8k GitHub stars on logseq/logseq; small core team",https://hn.algolia.com/api/v1/search?query=Logseq,real-data,community-post
tana--tana-inc,Tana,mindshare,"4 HN stories; Tana Inc.; ~15 employees per public job listings",https://hn.algolia.com/api/v1/search?query=Tana.inc,real-data,community-post
tencent-ima-copilot--ima-qq-com,Tencent ima.copilot,mindshare,"0 HN stories (Chinese product, Western mindshare minimal); part of Tencent (~110k employees, AI subgroup unknown)",https://hn.algolia.com/api/v1/search?query=Tencent+ima,real-data,community-post
alita--arxiv-2505-20286,Alita,founders,"Princeton University (Mengdi Wang group); 18 authors led by Jiahao Qiu — affiliations not in arXiv preprint or repo README; senior author Mengdi Wang is Princeton ECE; project repo CharlesQ9/Alita",https://github.com/CharlesQ9/Alita,real-data,community-post
alphaedit--arxiv-2410-02355,AlphaEdit,founders,"University of Science and Technology of China (USTC) / National University of Singapore (Xiang Wang group); ICLR 2025 Outstanding Paper; first author Junfeng Fang is USTC PhD",https://github.com/jianghoucheng/AlphaEdit,real-data,community-post
deepagent--arxiv-2510-21618,DeepAgent,founders,"Renmin University of China (RUC-NLPIR lab); WWW 2026 Oral; project repo RUC-NLPIR/DeepAgent",https://github.com/RUC-NLPIR/DeepAgent,real-data,community-post
dynamic-cheatsheet--arxiv-2504-07952,Dynamic Cheatsheet,founders,"Stanford University (Jurafsky & Zou groups); authors Mirac Suzgun, Mert Yuksekgonul, Federico Bianchi, Dan Jurafsky, James Zou; repo suzgunmirac/dynamic-cheatsheet",https://github.com/suzgunmirac/dynamic-cheatsheet,real-data,paper-author-affiliations
learnact--arxiv-2504-13805,LearnAct,founders,"Zhejiang University + vivo AI Lab + CUHK MMLab + Shanghai Jiao Tong University (per project page lgy0404.github.io/LearnAct); first author Guangyi Liu (ZJU); ACL 2026 Findings",https://lgy0404.github.io/LearnAct/,real-data,paper-author-affiliations
lm2--arxiv-2502-06049,LM2,founders,"Convergence Labs (UK; authors Jikun Kang, Wenqi Wu, Filippos Christianos, Alex J. Chan et al. — affiliation per author Convergence Labs research output; preprint does not list affiliations explicitly)",https://arxiv.org/abs/2502.06049,real-data,community-post
mirix--arxiv-2507-07957,MIRIX,founders,"University of California, San Diego (per Semantic Scholar affiliation for first author Yu Wang)",https://api.semanticscholar.org/graph/v1/paper/arXiv:2507.07957,real-data,paper-author-affiliations
oasis--arxiv-2411-11581,OASIS,founders,"CAMEL-AI organization (community-led open-source research org); project repo camel-ai/oasis; 23 authors from multiple institutions (collective camel-ai contributors)",https://github.com/camel-ai/oasis,real-data,community-post
reasoningbank--arxiv-2509-25140,ReasoningBank,founders,"Google DeepMind / Google Research (per Semantic Scholar; author Jun Yan ['Google DeepMind']; repo google-research/reasoning-bank); ICLR 2026",https://github.com/google-research/reasoning-bank,real-data,paper-author-affiliations
repairagent--arxiv-2403-17134,RepairAgent,founders,"University of Stuttgart (Software Lab / SOLA group, Michael Pradel); coauthor Premkumar Devanbu (UC Davis); repo sola-st/RepairAgent",https://github.com/sola-st/RepairAgent,real-data,paper-author-affiliations
skillweaver--arxiv-2504-07079,SkillWeaver,founders,"The Ohio State University (Yu Su group; per Semantic Scholar — first author Boyuan Zheng OSU; senior author Yu Su OSU + Microsoft)",https://api.semanticscholar.org/graph/v1/paper/arXiv:2504.07079,real-data,paper-author-affiliations
