record_id,record_name,column,new_value,citation_url,status,source_method
khanmigo--khanmigo-ai,Khanmigo,versioning,immutable append-log,https://www.khanmigo.ai/,real-data,record-url
latitude-voyage--latitude-io,Latitude / Voyage,contradiction,LLM resolves and overwrites,https://latitude.io,real-data,record-url
latitude-voyage--latitude-io,Latitude / Voyage,namespace,per-tenant,https://latitude.io,real-data,record-url
latitude-voyage--latitude-io,Latitude / Voyage,schema-evolution,schema with migration,https://latitude.io,real-data,record-url
liveperson-conversation-context-service--developers-liveperson-com,LivePerson Conversation Context Service,schema-evolution,free-form / no schema,https://developers.liveperson.com/conversation-orchestrator-conversation-context-service-overview.html,real-data,record-url
luminance-institutional-memory--luminance-com,Luminance Institutional Memory,schema-evolution,schema with migration,https://www.luminance.com/press/luminance-launches-new-legal-ai-with-institutional-memory-addressing-enterprise-amnesia-and-giving-legal-teams-30-of-their-time-back/,real-data,record-url
magicschool--magicschool-ai,MagicSchool,versioning,none,https://www.magicschool.ai/,real-data,record-url
nomi-ai--nomi-ai,Nomi AI,namespace,per-user,https://nomi.ai,real-data,record-url
nomi-ai--nomi-ai,Nomi AI,schema-evolution,schema with migration,https://nomi.ai,real-data,record-url
polyai--poly-ai,PolyAI,forgetting,TTL-based,https://poly.ai,real-data,record-url
polyai--poly-ai,PolyAI,schema-evolution,free-form / no schema,https://poly.ai,real-data,record-url
quizlet-ai-study-tools-magic-notes--quizlet-com,Quizlet — AI Study Tools / Magic Notes,namespace,per-user,https://quizlet.com/features/ai-study-tools,real-data,record-url
quizlet-ai-study-tools-magic-notes--quizlet-com,Quizlet — AI Study Tools / Magic Notes,schema-evolution,schema with migration,https://quizlet.com/features/ai-study-tools,real-data,record-url
replicant--replicant-com,Replicant,forgetting,TTL-based,https://www.replicant.com,real-data,record-url
replicant--replicant-com,Replicant,schema-evolution,free-form / no schema,https://www.replicant.com,real-data,record-url
replika--replika-ai,Replika,namespace,per-user,https://replika.ai,real-data,record-url
researchrabbit--researchrabbit-ai,ResearchRabbit,forgetting,user-controlled forget,https://www.researchrabbit.ai/,real-data,record-url
researchrabbit--researchrabbit-ai,ResearchRabbit,namespace,per-tenant,https://www.researchrabbit.ai/,real-data,record-url
researchrabbit--researchrabbit-ai,ResearchRabbit,schema-evolution,schema with migration,https://www.researchrabbit.ai/,real-data,record-url
researchrabbit--researchrabbit-ai,ResearchRabbit,tombstoning,append-only no delete,https://www.researchrabbit.ai/,real-data,record-url
researchrabbit--researchrabbit-ai,ResearchRabbit,versioning,immutable append-log,https://www.researchrabbit.ai/,real-data,record-url
salesforce-agentforce-einstein--salesforce-com,Salesforce Agentforce / Einstein,namespace,per-user,https://www.salesforce.com/artificial-intelligence/,real-data,record-url
salesforce-agentforce-einstein--salesforce-com,Salesforce Agentforce / Einstein,schema-evolution,schema with migration,https://www.salesforce.com/artificial-intelligence/,real-data,record-url
salesforce-agentforce-einstein--salesforce-com,Salesforce Agentforce / Einstein,tombstoning,soft-delete only,https://www.salesforce.com/artificial-intelligence/,real-data,record-url
sanctuary-ai-carbon-phoenix-gen-7-8--sanctuary-ai,Sanctuary AI Carbon (Phoenix Gen 7/8),contradiction,LLM resolves and overwrites,https://www.sanctuary.ai/,real-data,record-url
schoolai--schoolai-com,SchoolAI,forgetting,none (permanent),https://schoolai.com/,real-data,record-url
schoolai--schoolai-com,SchoolAI,schema-evolution,schema with migration,https://schoolai.com/,real-data,record-url
schoolai--schoolai-com,SchoolAI,tombstoning,append-only no delete,https://schoolai.com/,real-data,record-url
schoolai--schoolai-com,SchoolAI,versioning,immutable append-log,https://schoolai.com/,real-data,record-url
scite-ai--scite-ai,Scite.ai,namespace,per-tenant,https://scite.ai/,real-data,record-url
scite-ai--scite-ai,Scite.ai,schema-evolution,schema with migration,https://scite.ai/,real-data,record-url
sierra--sierra-ai,Sierra,contradiction,LLM resolves and overwrites,https://sierra.ai,real-data,record-url
sierra--sierra-ai,Sierra,namespace,per-user,https://sierra.ai,real-data,record-url
sierra--sierra-ai,Sierra,schema-evolution,schema with migration,https://sierra.ai,real-data,record-url
soul-machines--soulmachines-com,Soul Machines,contradiction,LLM resolves and overwrites,https://www.soulmachines.com/,real-data,record-url
soul-machines--soulmachines-com,Soul Machines,namespace,per-tenant,https://www.soulmachines.com/,real-data,record-url
speak--speak-com,Speak,namespace,per-user,https://www.speak.com/,real-data,record-url
speak--speak-com,Speak,schema-evolution,schema with migration,https://www.speak.com/,real-data,record-url
spellbook-library--lawnext-com,Spellbook Library,schema-evolution,schema with migration,https://www.lawnext.com/2025/07/introducing-spellbook-library-contract-ai-that-learns-from-your-precedents.html,real-data,record-url
spirit-ai-character-engine--spiritai-com,Spirit AI Character Engine,forgetting,user-controlled forget,https://www.spiritai.com/character-engine/,real-data,record-url
spirit-ai-character-engine--spiritai-com,Spirit AI Character Engine,namespace,per-tenant,https://www.spiritai.com/character-engine/,real-data,record-url
spirit-ai-character-engine--spiritai-com,Spirit AI Character Engine,schema-evolution,schema with migration,https://www.spiritai.com/character-engine/,real-data,record-url
spirit-ai-character-engine--spiritai-com,Spirit AI Character Engine,tombstoning,hard-delete supported,https://www.spiritai.com/character-engine/,real-data,record-url
synthesis-tutor--synthesis-com,Synthesis Tutor,forgetting,TTL-based,https://www.synthesis.com/tutor,real-data,record-url
synthesis-tutor--synthesis-com,Synthesis Tutor,namespace,per-user,https://www.synthesis.com/tutor,real-data,record-url
synthesis-tutor--synthesis-com,Synthesis Tutor,schema-evolution,free-form / no schema,https://www.synthesis.com/tutor,real-data,record-url
