name,tier,section,memory_model,desc_first
MemWal (Walrus),T2,Dedicated memory layers,Decentralised / verifiable on-chain agent memory,"Walrus is a Sui-blockchain decentralised storage protocol; MemWal is its AI-facing SDK that stores encrypted agent memory on-chain — portable, verifiable, shareable across agent systems with no single-vendor lock-in."
Jamba (AI21 Labs),T1,Dedicated memory layers,SSM-Transformer hybrid + 256K KV-bypass context,Israeli production model.
Aleph Alpha PhariaAI / PhariaCatch,T1,Dedicated memory layers,Sovereign governed-document memory,German enterprise stack.
AI Singapore SEA-LION,T2,Dedicated memory layers,SE-Asian cross-lingual semantic-retrieval memory,SEA-LION-Embedding (March 2026): retrieval + reranking models contrastively trained on 245M text pairs across 10 SE Asian languages.
Krutrim Kruti (Ola),T2,Dedicated memory layers,Cross-session multimodal agentic memory,India's first agentic AI assistant.
NAVER HyperCLOVA X THINK,T1,Dedicated memory layers,Korean sovereign 128K reasoning LLM,Reasoning-focused successor to HyperCLOVA X.
M3-Agent (ByteDance),T2,Dedicated memory layers,Episodic + semantic multimodal memory graph,ByteDance Seed + Zhejiang Univ + SJTU.
AutoGLM (Zhipu AI),T2,Dedicated memory layers,GUI agent + cross-session task memory,Tsinghua spinout.
LangMem (LangChain),T2,Framework-embedded memory,Episodic / semantic / procedural,First-class memory module inside LangChain — explicit cognitive-science-style typing of memories.
CrewAI Memory,T2,Framework-embedded memory,Short-term + long-term + entity,Memory subsystem inside the CrewAI orchestration framework; integrates with Mem0 for the long-term tier.
LlamaIndex Memory,T2,Framework-embedded memory,FIFO short-term + Memory Blocks,Two-tier model: ChatMessage FIFO queue with overflow flushed into long-term Memory Block objects.
AutoGen Memory,T2,Framework-embedded memory,List + teachable vectors,ListMemory chronological context + teachable agents that vectorise corrections.
Mastra Memory,T2,Framework-embedded memory,LibSQL + semantic recall,TypeScript-first agent framework.
Semantic Kernel Memory,T2,Framework-embedded memory,Memory plugin for SK agents,Microsoft Semantic Kernel's memory plugin (Microsoft.SemanticKernel.Plugins.Memory).
Pydantic-AI + Hindsight,T2,Framework-embedded memory,External memory bolted on,Pydantic-AI ships no native persistent memory; agents start fresh each run.
LangGraph Persistence,T2,Framework-embedded memory,Checkpoints + Store System,Distinct from LangMem.
smolagents Memory,T2,Framework-embedded memory,In-process Python list (no persistence),Hugging Face barebones agent framework.
Agno (Phidata) Memory,T2,Framework-embedded memory,AgentStorage + AgentMemory + DBs,Agno (formerly Phidata).
Strands Agents Memory (AWS),T2,Framework-embedded memory,Mem0 + AgentCore-backed,AWS code-first agent framework.
OpenAI Agents SDK Memory,T2,Framework-embedded memory,Sessions + RunContextWrapper + categorised long-term,OpenAI's agent SDK.
Google ADK Memory,T2,Framework-embedded memory,SessionService tiers + VertexAIMemoryBank,Google's Agent Development Kit.
Haystack Memory (deepset),T3,Framework-embedded memory,Pipeline-native ChatMessageStore,Haystack 2.x: InMemoryChatMessageStore (experimental) + ChatMessageRetriever + ChatMessageWriter components in declarative pipelines.
Spring AI ChatMemory,T3,Framework-embedded memory,Advisor-pattern Java-native memory,Wraps conversation memory behind an Advisor abstraction.
DSPy History,T3,Framework-embedded memory,Signature-field / prompt-injection contract,dspy.History primitive — typed field holding messages: list[dict] that slots into any Signature.
Pydantic-AI MemoryTool,T3,Framework-embedded memory,Tool-delegated to model provider,Memory exposed via Anthropic SDK's BetaAbstractMemoryTool when Anthropic provider is active.
Inngest AgentKit — Network State,T3,Framework-embedded memory,Durable-network-state / event-driven,"Memory as Network State — shared key-value store owned by the multi-agent network, readable by router / agents / tools."
Rivet Memory Node (Ironclad),T3,Framework-embedded memory,Visual-graph first-class memory node,Open-source visual AI programming environment.
AGiXT Adaptive Memory,T2,Framework-embedded memory,Adaptive provider-spanning + plugin storage,Open-source AI automation platform.
n8n AI Agent Memory,T1,Framework-embedded memory,Pluggable buffer + Postgres/Redis + vector,Low-code workflow platform.
Voiceflow Memory,T1,Framework-embedded memory,Sliding-window buffer (vf_memory),Chatbot platform.
Flowise Memory,T1,Framework-embedded memory,Buffer + Buffer-Window + Conversation-Summary nodes,Visual LangChain canvas.
Langflow Memory,T1,Framework-embedded memory,SQLite buffer + Mem0/Redis integrations,"Agent component has built-in chat memory enabled by default, keyed by session ID."
Botpress LLMz,T1,Framework-embedded memory,Vector DB + LLMz engine + KB,Per-plan vector-DB storage quota + LLMz autonomous engine (in-session working memory) + Knowledge Base (semantic search over uploaded docs).
Relevance AI Memory,T1,Framework-embedded memory,Short-term metadata + persistent KV store,Two memory scopes: conversation metadata (KV per-conversation) and persistent memory (cross-session).
Lindy AI Memory,T1,Framework-embedded memory,Selective KV memory injected into prompt,"Saves high-signal facts (scheduling preferences, communication patterns, recurring rules) selectively rather than raw transcripts."
Vapi (voice agents),T2,Framework-embedded memory,Structured workflow state during call,Voice agents.
Retell AI,T2,Framework-embedded memory,In-call + integration-based long-term,Voice agents.
Stack AI,T2,Framework-embedded memory,Enterprise-KB RAG (no agent memory store),"Connects enterprise knowledge sources (SharePoint, Confluence, Notion, Drive, DBs) as memory layer with access controls, versioning, citations."
Mistral Agents API,T1,Platform-provider memory,Platform-managed stateful conversation memory,Mistral's Agents API provides persistent conversation state across turns and sessions; runtime maintains branching conversation trees.
Anthropic Managed Agents — Memory,T3,Platform-provider memory,Filesystem-backed cross-session persistent memory,Mounts memory as files on a managed filesystem; Claude reads and writes via the same bash/code-execution tools used for agentic tasks.
Anthropic Claude Memory,T1,Platform-provider memory,File-backed + tool-driven + Auto Dream,"Memory tool API + consumer ""Memory"" feature + Auto Dream consolidation."
OpenAI ChatGPT Memory,T1,Platform-provider memory,User-scoped persistent facts,First-party memory in ChatGPT; auto-extracts persistent facts about the user across sessions.
Google Gemini Memory,T1,Platform-provider memory,Personal Context + Personal Intelligence,Personal Context setting + Personal Intelligence packing.
Microsoft Copilot Memory,T1,Platform-provider memory,Org / tenant-scoped (Exchange-backed),Microsoft 365 Copilot memory stored in user's Exchange mailbox with compliance alignment.
LinkedIn Cognitive Memory Agent,T1,Platform-provider memory,Episodic + semantic + procedural (shared),Production memory infrastructure powering LinkedIn's Hiring Assistant and other GenAI apps.
Cloudflare Agent Memory,T2,Platform-provider memory,Managed persistent memory service,Managed persistent memory service for AI agents on Cloudflare's edge.
AWS Bedrock AgentCore Memory,T2,Platform-provider memory,Managed memory in Bedrock AgentCore,AWS managed memory service for agents running on Bedrock AgentCore.
Vertex AI Memory Bank,T2,Platform-provider memory,Managed Vertex memory service,Google Cloud managed memory service (Preview).
Perplexity Memory,T1,Platform-provider memory,Auto-distillation across model swaps,Auto-infers facts from conversations and surfaces them in future responses (Pro subscribers).
Grok Memory (xAI),T1,Platform-provider memory,Preference-distillation + user-deletable,Extracts and persists facts from past conversations; applies them to future responses.
Mistral Le Chat — Memories,T1,Platform-provider memory,Graph-contextual + explicit + implicit,"Le Chat Memories — graph-based, context-aware."
Meta AI Memory,T1,Platform-provider memory,Cross-platform via Accounts Center,"Stores facts from one-on-one chats and shares them across Instagram, WhatsApp, Messenger, Facebook when accounts are linked via Accounts Center."
Devin (Cognition),T1,Coding-agent memory,Server-side Knowledge + auto-Repo Knowledge,Structured Knowledge items stored server-side.
Augment Code,T1,Coding-agent memory,Real-time semantic Context Engine + curated Agent Memory,Real-time knowledge graph indexed from connected repos + commit history + CI/CD + tickets + docs.
OpenAI Codex (cloud agent),T1,Coding-agent memory,File-backed ~/.codex/memories + Chronicle,"Memory under ~/.codex/memories/: summaries, durable entries, recent-input logs, supporting evidence — generated in background after sessions go idle."
Aider,T2,Coding-agent memory,Per-repo chat history file + YAML config,Appends conversation turns to .aider.chat.history.md in project root.
Continue.dev Memory MCP,T2,Coding-agent memory,KG-backed memory via MCP,Official Memory MCP (Mar 2025) backed by a knowledge graph.
Lovable,T2,Coding-agent memory,/docs folder + Knowledge Panel,Long-term context stored as files in /docs that the agent reads on each session.
Bolt.new (StackBlitz),T2,Coding-agent memory,WebContainer file system,In-browser WebContainer (Rust-backed shared memory) is the implicit state store.
Tabnine,T2,Coding-agent memory,Org-level Context Engine + Tabnine Agents,Enterprise Context Engine builds a multi-dimensional knowledge graph from repos + CI/CD + PRs + tickets + docs at the org level.
Replit Agent,T1,Coding-agent memory,Project-files-as-memory + Temporal orchestration,No documented built-in persistent semantic memory store.
Sweep AI,T2,Coding-agent memory,GitHub-thread-as-implicit-memory,No dedicated persistent memory layer.
Perplexity Comet,T1,Browser-agent memory,Conversation across pages + browser-history memory,AI-native Chromium-based browser.
Dia (Atlassian),T1,Browser-agent memory,Local-first browser-history + @history queries,The Browser Company's AI-native browser; acquired by Atlassian for $610M (Sept 2025).
Microsoft Edge Copilot Mode + Journeys,T1,Browser-agent memory,Tab-context + Journeys session-grouping,Copilot Mode (Oct 2025): Journeys groups related browsing across sessions into resumable project cards with AI summaries.
Fellou,T1,Browser-agent memory,Spatial agentic browser + Agentic Memory,Silicon Valley.
Browserbase,T1,Browser-agent memory,Programmatic session persistence (dev infra),Cloud browser infrastructure for AI agents.
Brave Leo,T2,Browser-agent memory,User-curated local-only memory,Privacy-focused integrated assistant.
Opera AI (formerly Aria),T2,Browser-agent memory,User-declared preferences + tab management,Memory feature stores user-declared preferences and facts; injected into future prompts.
Sigma (Private AI Browser),T2,Browser-agent memory,Fully-local LLM browser memory,Standalone browser with fully on-device LLM.
Tencent ima.copilot,T1,Personal AI / PKM / lifelogging memory,Four-module self-evolving personal memory,"Tencent's knowledge-management productivity AI, powered by Hunyuan."
Notion AI,T1,Personal AI / PKM / lifelogging memory,Workspace-scoped context + custom instructions,Notion's first-party AI.
Obsidian Smart Connections,T2,Personal AI / PKM / lifelogging memory,Local-first semantic search over notes,Obsidian community plugin.
Tana,T2,Personal AI / PKM / lifelogging memory,Supertag-based PKM with AI,Outliner + structured-data hybrid (Roam/Logseq + Notion-database influences).
Logseq,T2,Personal AI / PKM / lifelogging memory,Local Markdown outliner + AI plugins,Open-source local-first outliner.
RemNote AI,T1,Personal AI / PKM / lifelogging memory,Outline + bidirectional + spaced repetition,Hierarchical outline + bidirectional links + spaced-repetition flashcards.
Capacities,T2,Personal AI / PKM / lifelogging memory,Object-graph PKM (typed objects),"Object-graph (people, books, projects as typed objects); daily notes; bidirectional links."
Heptabase,T2,Personal AI / PKM / lifelogging memory,Visual whiteboard + cards + AI chat with citations,Visual whiteboard canvas + nested cards + bidirectional links + journal.
Craft AI,T1,Personal AI / PKM / lifelogging memory,Block-based docs + AI assistant,Hierarchical block-based documents + nested pages (no native graph).
Mymind,T2,Personal AI / PKM / lifelogging memory,Tag-free auto-clustering visual mind,"No tags, no folders, no manual organisation."
Supernotes AI,T2,Personal AI / PKM / lifelogging memory,Notecards + tags + AI tagging,Flat notecards + tags + collections; bidirectional references.
Saner.ai,T2,Personal AI / PKM / lifelogging memory,AI-auto-tagged + ADHD focus mode,Auto-tagged flat notes; semantic clusters (no folders).
Amplenote,T2,Personal AI / PKM / lifelogging memory,Tags + bidirectional + Task Score,Tags + bidirectional links + task/calendar integration.
Scrintal,T2,Personal AI / PKM / lifelogging memory,Whiteboard + linked cards (spatial graph),Infinite whiteboard + bidirectional-linked cards (spatial + networked hybrid).
Apple Notes + Apple Intelligence,T1,Personal AI / PKM / lifelogging memory,Folder + tag hierarchy + Writing Tools,Folder + tag hierarchy; iCloud sync.
Heyday,T2,Personal AI / PKM / lifelogging memory,Browser-based research memory,AI memory and research assistant.
Mem.ai,T2,Personal AI / PKM / lifelogging memory,AI-first note-taking,Note-taking with no folders; AI-chat over notes.
Reflect,T2,Personal AI / PKM / lifelogging memory,Apple-ecosystem second brain,Networked-thought note app with AI features.
Microsoft Recall,T1,Personal AI / PKM / lifelogging memory,OS-level screen-recall timeline,Windows-native screen-recording memory.
Personal.ai,T2,Personal AI / PKM / lifelogging memory,Personal AI with unique memory,Personal AI product.
Era Computer,T5,Voice-first / wearable AI memory,User-sovereign pluggable memory layer for wearable OS,"Software platform / OS layer for AI wearables (glasses, rings, pendants, speakers) that abstracts hardware from AI orchestration."
Limitless,T1,Voice-first / wearable AI memory,Wearable pendant + screen capture lifelog,Continuously captures screen + audio + wearable input; AI search across the timeline.
Plaud NotePin,T1,Voice-first / wearable AI memory,Magnetic clip-on + AI transcription,Magnetic clip-on wearable.
Omi,T1,Voice-first / wearable AI memory,Open-source wearable orb + memory graph,Wearable orb (necklace or clip) with open-source hardware + firmware.
Bee,T1,Voice-first / wearable AI memory,Audio pendant — never stores raw audio,Small wearable (pendant / clip / bracelet).
Friend,T1,Voice-first / wearable AI memory,Always-on AI companion pendant,Pendant necklace (~2 inches).
Sandbar Stream,T2,Voice-first / wearable AI memory,Smart ring + voice-activated capture,"Smart ring with voice-activated capture (tap to record, not always-on)."
Granola,T1,Voice-first / wearable AI memory,Mac/iOS meeting notepad — system-audio tap,Mac/iOS app (no hardware).
Otter.ai,T1,Voice-first / wearable AI memory,Meeting bot + browser extension + app,Joins Zoom / Meet / Teams as a meeting bot.
Read.ai,T1,Voice-first / wearable AI memory,Meeting bot + analytics + Ada digital twin,Meeting bot + browser extension.
MemOS (MemTensor),T3,Research / specialised systems,"""Memory operating system"" + MemCubes",Treats memory as an OS-managed resource with explicit allocation and process-like scoping.
A-MEM,T3,Research / specialised systems,Atomic-note / Zettelkasten-style,Treats memories as atomic linkable notes — explicit nod to Zettelkasten knowledge management.
BAI-LAB MemoryOS,T3,Research / specialised systems,Hierarchical: short / mid / long-term,"Hierarchical ""OS"" with Storage / Updating / Retrieval / Generation modules."
Titans (Google),T4,Research / specialised systems,Neural fast/slow + surprise gating,Neural long-term memory module that learns to memorise at test time.
MemoRAG,T3,Research / specialised systems,Global memory-enhanced RAG,RAG framework on top of a long-context memory model.
EVOLVE-MEM,T3,Research / specialised systems,Self-adaptive 3-level hierarchy,Dynamic Memory Network + Hierarchical Memory Manager + Self-Improvement Engine.
MemPalace,T2,Research / specialised systems,Verbatim chunks + spatial metaphor,Spatial-metaphor memory (wings / rooms / halls) on top of verbatim chunked storage.
EverMemOS,T4,Research / specialised systems,Episodic + semantic + reconstructive,Self-organizing memory OS for structured long-horizon reasoning.
TiMem,T4,Research / specialised systems,Temporal Memory Tree (5-layer),Temporal-Hierarchical Memory Consolidation.
LiCoMemory,T4,Research / specialised systems,CogniGraph + temporal/hierarchy-aware retrieval,Lightweight hierarchical graph (CogniGraph) with entities and relations as semantic indexing layers.
MAGMA,T4,— Factual & long-term memory (token-level),Multi-graph agentic memory,Multi-graph agentic memory architecture for AI agents.
MemVerse,T4,— Factual & long-term memory (token-level),Multimodal lifelong learning,Multimodal memory system for lifelong learning agents.
MMAG,T4,— Factual & long-term memory (token-level),Mixed memory-augmented generation,Mixed memory-augmented generation for LLM applications.
D-SMART,T4,— Factual & long-term memory (token-level),Dynamic structured memory,Enhances dialogue consistency via dynamic structured memory and reasoning.
WebWeaver,T4,— Factual & long-term memory (token-level),Web-scale evidence + dynamic outlines,Structures web-scale evidence with dynamic outlines for research agents.
CAM,T4,— Factual & long-term memory (token-level),Constructivist agentic memory,Constructivist view of agentic memory for reading comprehension.
LightMem,T4,— Factual & long-term memory (token-level),Lightweight memory-augmented,"Lightweight, efficient memory-augmented generation."
RGMem,T4,— Factual & long-term memory (token-level),Renormalisation-group profile evolution,Renormalization-group-based memory evolution for user profiles.
Mem-α,T4,— Factual & long-term memory (token-level),RL-learned memory construction,Learning memory construction via reinforcement learning.
SGMem,T4,— Factual & long-term memory (token-level),Sentence-graph memory,Sentence-graph memory for long-term conversational agents.
Nemori,T4,— Factual & long-term memory (token-level),Self-organising cognitive-inspired,Self-organising agent memory inspired by cognitive science.
ComoRAG,T4,— Factual & long-term memory (token-level),Cognitive-inspired narrative RAG,Cognitive-inspired memory-organised RAG for stateful narrative reasoning.
MIRIX,T4,— Factual & long-term memory (token-level),Multi-agent memory system,Multi-agent memory system for LLM-based agents.
G-Memory,T4,— Factual & long-term memory (token-level),Hierarchical multi-agent memory,Tracing hierarchical memory for multi-agent systems.
MemGuide,T4,— Factual & long-term memory (token-level),Intent-driven memory selection,Intent-driven memory selection for goal-oriented multi-session agents.
SeCom,T3,— Factual & long-term memory (token-level),Personalised memory construction + retrieval,Memory construction and retrieval for personalised conversational agents.
R³Mem,T4,— Factual & long-term memory (token-level),Reversible compression memory,Bridging memory retention and retrieval via reversible compression.
AI PERSONA,T4,— Factual & long-term memory (token-level),Life-long LLM personalisation,Life-long personalisation of LLMs.
OASIS,T4,— Factual & long-term memory (token-level),Million-agent social simulation,Open agent social interaction simulations with one million agents.
Memolet,T3,— Factual & long-term memory (token-level),User-AI conversational memory reuse,Reifies the reuse of user-AI conversational memories.
Arigraph,T4,— Factual & long-term memory (token-level),KG world model + episodic memory,Learning knowledge-graph world models with episodic memory.
Knowledge Graph Tuning,T4,— Factual & long-term memory (token-level),Real-time KG personalisation,Real-time LLM personalisation based on human feedback.
Memoro,T3,— Factual & long-term memory (token-level),Real-time memory augmentation UI,Concise interface for real-time memory augmentation.
MetaGPT,T2,— Factual & long-term memory (token-level),Multi-agent collaborative framework,Meta-programming for a multi-agent collaborative framework.
Lyfe Agents,T4,— Factual & long-term memory (token-level),Generative social agents,Generative agents for low-cost real-time social interactions.
MemoChat,T4,— Factual & long-term memory (token-level),Memos for long-range conversation,Tunes LLMs to use memos for consistent long-range conversation.
S³,T4,— Factual & long-term memory (token-level),LLM social-network simulation,Social-network simulation system with LLM-empowered agents.
RecurrentGPT,T4,— Factual & long-term memory (token-level),Long-text interactive generation,Interactive generation of arbitrarily long text.
MemoryBank,T3,— Factual & long-term memory (token-level),Long-term memory enhancement,Enhances LLMs with long-term memory.
RET-LLM,T4,— Factual & long-term memory (token-level),General read-write memory,General read-write memory for large language models.
Generative Agents,T3,— Factual & long-term memory (token-level),Interactive simulacra of human behavior,Park et al.
SCM,T4,— Factual & long-term memory (token-level),Self-controlled memory framework,Enhances LLMs with self-controlled memory framework.
Memoria (cognitive),T4,— Factual & long-term memory (token-level),Human-inspired memory architecture,Resolves fateful forgetting through human-inspired memory architecture.
ReadAgent,T4,— Factual & long-term memory (token-level),Gist-episodic compression + on-demand lookup,Google Research / DeepMind.
GAM (General Agentic Memory),T4,— Factual & long-term memory (token-level),JIT runtime research over immutable page-store,Separates offline memory (lightweight Memorizer highlighting key facts) from online runtime (Researcher agent that queries the full raw page-store at inference).
TierMem,T4,— Factual & long-term memory (token-level),Provenance-linked summary→raw escalation,"Two-tier: fast compressed summary index (Tier 1) + immutable raw-log store (Tier 2), with explicit provenance pointers linking summary units to source pages."
MemInsight,T3,— Factual & long-term memory (token-level),Autonomous semantic augmentation,Autonomously augments semantic representations of historical interactions to improve retrieval quality without manual curation.
Engram (DeepSeek),T1,— Factual & long-term memory (token-level),Conditional-memory N-gram lookup module,DeepSeek + PKU.
MemoryBench (Tsinghua THUIR),T3,— Factual & long-term memory (token-level),Declarative + procedural continual-learning bench,Tsinghua THUIR.
MemR³,T4,— Factual & long-term memory (token-level),Closed-loop retrieve / reflect / answer router,Closed-loop retrieval controller replacing single-shot retrieve-then-answer.
MemMachine (paper),T4,— Experiential & procedural memory (agent learning from experience),Ground-truth-preserving episodic + cluster-expansion retrieval,"Stores raw conversational episodes without LLM-driven extraction, indexing at sentence level; retrieval expands nucleus matches into neighboring-context clusters to address the embedding-dissimilarity problem in dialogue data."
MIA — Memory Intelligence Agent,T4,— Experiential & procedural memory (agent learning from experience),Manager-Planner-Executor with bidirectional parametric/non-parametric loop,Manager stores compressed non-parametric search trajectories; Planner is a parametric memory agent producing search plans; Executor acts on plans.
MemRL,T4,— Experiential & procedural memory (agent learning from experience),Runtime RL on episodic memory,Self-evolving agents via runtime reinforcement learning on episodic memory.
MemEvolve,T4,— Experiential & procedural memory (agent learning from experience),Meta-evolution of memory systems,Meta-evolution of agent memory systems.
FLEX,T4,— Experiential & procedural memory (agent learning from experience),Forward learning from experience,Continuous agent evolution via forward learning from experience.
UFO2,T4,— Experiential & procedural memory (agent learning from experience),Desktop AgentOS,Desktop AgentOS with memory-driven task automation.
PRINCIPLES,T4,— Experiential & procedural memory (agent learning from experience),Synthetic strategy memory,Synthetic strategy memory for proactive dialogue agents.
ToolMem,T4,— Experiential & procedural memory (agent learning from experience),Learnable tool-capability memory,Enhances multimodal agents with learnable tool capability memory.
H²R,T4,— Experiential & procedural memory (agent learning from experience),Hierarchical hindsight reflection,Hierarchical hindsight reflection for multi-task LLM agents.
BrowserAgent,T4,— Experiential & procedural memory (agent learning from experience),Human-inspired web browsing,Builds web agents with human-inspired web-browsing actions.
LEGOMem,T4,— Experiential & procedural memory (agent learning from experience),Modular procedural memory,Modular procedural memory for multi-agent LLM systems.
Alita-G,T4,— Experiential & procedural memory (agent learning from experience),Self-evolving generative agent,Self-evolving generative agent for agent generation.
ReasoningBank,T4,— Experiential & procedural memory (agent learning from experience),Reasoning-memory self-evolution,Scales agent self-evolution with reasoning memory.
Memento,T4,— Experiential & procedural memory (agent learning from experience),Behavior tuning without weight updates,Fine-tunes LLM-agent behavior without fine-tuning the underlying model.
Memp,T4,— Experiential & procedural memory (agent learning from experience),Agent procedural memory,Explores agent procedural memory.
SEAgent,T4,— Experiential & procedural memory (agent learning from experience),Self-evolving computer-use agent,Self-evolving computer-use agent with autonomous learning.
Agent KB,T4,— Experiential & procedural memory (agent learning from experience),Cross-domain experience KB,Leverages cross-domain experience for agentic problem solving.
MemTool,T4,— Experiential & procedural memory (agent learning from experience),Short-term memory for tool calling,Optimises short-term memory management for dynamic tool calling.
Darwin Gödel Machine,T4,— Experiential & procedural memory (agent learning from experience),Open-ended self-improvement,Open-ended evolution of self-improving agents.
Alita,T4,— Experiential & procedural memory (agent learning from experience),Generalist agentic reasoning,Generalist agent enabling scalable agentic reasoning.
SkillWeaver,T4,— Experiential & procedural memory (agent learning from experience),Self-improving web agents,Web agents self-improve by discovering and honing skills.
LearnAct,T4,— Experiential & procedural memory (agent learning from experience),Few-shot mobile GUI agent,Few-shot mobile GUI agent with unified demonstration benchmark.
Dynamic Cheatsheet,T4,— Experiential & procedural memory (agent learning from experience),Test-time adaptive memory,Test-time learning with adaptive memory.
Inducing Programmatic Skills,T4,— Experiential & procedural memory (agent learning from experience),Programmatic skill induction,Inducing programmatic skills for agentic task enhancement.
COLA,T4,— Experiential & procedural memory (agent learning from experience),Multi-agent Windows UI automation,Scalable multi-agent framework for Windows UI task automation.
Planning from Imagination,T4,— Experiential & procedural memory (agent learning from experience),Episodic simulation memory,Episodic simulation and memory for vision-language navigation.
RepairAgent,T4,— Experiential & procedural memory (agent learning from experience),Autonomous program repair agent,Autonomous LLM-based agent for program repair.
SAGE,T3,— Experiential & procedural memory (agent learning from experience),Reflective memory-augmented agent,Self-evolving agents with reflective and memory-augmented abilities.
Agent Workflow Memory,T3,— Experiential & procedural memory (agent learning from experience),Workflow as memory,Workflow-based memory framework component.
Fincon,T4,— Experiential & procedural memory (agent learning from experience),Conceptual verbal reinforcement,Synthesised LLM multi-agent system with conceptual verbal reinforcement.
Buffer of Thoughts,T3,— Experiential & procedural memory (agent learning from experience),Thought-augmented reasoning,Thought-augmented reasoning with LLMs.
JARVIS-1,T3,— Experiential & procedural memory (agent learning from experience),Open-world memory-augmented agents,Open-world multi-task agents with memory-augmented multimodal LLMs.
ExpeL,T3,— Experiential & procedural memory (agent learning from experience),LLM agents as experiential learners,LLM agents are experiential learners.
ToolLLM,T3,— Experiential & procedural memory (agent learning from experience),16k+ real-world API mastery,"Facilitates LLMs mastering 16,000+ real-world APIs."
CREATOR,T3,— Experiential & procedural memory (agent learning from experience),Tool creation for reasoning,Tool creation for disentangling abstract and concrete reasoning.
Reflexion,T3,— Experiential & procedural memory (agent learning from experience),Verbal reinforcement learning,Language agents with verbal reinforcement learning.
Toolformer,T3,— Experiential & procedural memory (agent learning from experience),Self-taught tool use,Language models teach themselves to use tools.
AgentEvolver,T4,— Experiential & procedural memory (agent learning from experience),Efficient self-evolving agent system,Towards an efficient self-evolving agent system.
ToolGen,T4,— Experiential & procedural memory (agent learning from experience),Tool retrieval + calling via generation,Unified tool retrieval and calling via generation.
Retroformer,T4,— Experiential & procedural memory (agent learning from experience),Retrospective policy-gradient agents,Retrospective LLM agents with policy-gradient optimisation.
MoT (Memory-of-Thought),T3,— Experiential & procedural memory (agent learning from experience),Pre-test self-reflection cache,"Before test time, LLM reasons over unlabeled data and stores high-confidence intermediate thoughts as external memory."
