row_name,encryption_value,encryption_cite,multi_tenancy_value,multi_tenancy_cite,conflict_res_value,conflict_res_cite
Devin (Cognition),"AES-256 at rest, TLS in transit; SOC 2 Type II since Sep 2024; SSO + MFA enforced",https://trust.cognition.ai/,"Enterprise dedicated SaaS keeps customer data in customer tenant; on-prem and VPC deployment options available",https://devin.ai/security,"none specified — workspace state authoritative; no documented multi-source memory reconciliation",https://docs.devin.ai/enterprise/security-access/security/enterprise-security
Augment Code,"AES-256 at rest, TLS in transit; CMEK (customer-managed encryption keys) supported; SOC 2 Type II + ISO/IEC 42001 certified",https://www.augmentcode.com/security,"Proof-of-Possession API architecture: each request includes hardware-backed proof of codebase ownership; eliminates cross-tenant contamination by design",https://www.augmentcode.com/security,"none specified — code-only memory; LLM context is read-only at suggestion time",https://www.augmentcode.com/security
Tabnine,"AES-256 at rest, TLS 1.2 in transit; SOC 2, ISO 27001, ISO 9001 certified; zero code retention on servers",https://docs.tabnine.com/main/welcome/readme/security,"Deployment options: protected SaaS / single-tenant SaaS / VPC / on-prem Kubernetes / fully air-gapped",https://docs.tabnine.com/main/welcome/readme/architecture/deployment-options,"none specified — no persistent code memory by design (zero retention)",https://www.tabnine.com/code-privacy/
Replit Agent,"AES-256 server-side at rest (GCP), TLS 1.2+ in transit; secrets encrypted with AES-256; SOC 2 Type II",https://replit.com/products/security,"Each customer isolated in dedicated GCP project; Enterprise plans add private deployments and single-tenant hosting options",https://replit.com/enterprise,"none specified — workspace state model",https://docs.replit.com/teams/information-security/overview
Lovable,"AES-256 at rest (per-environment-scoped secrets), TLS in transit; SOC 2 Type II + ISO 27001:2022 (Aug 2025)",https://lovable.dev/security,"Workspace-level isolation with WAF, network isolation, IP/user/workspace adaptive rate limiting; data residency in EU/US/AU",https://lovable.dev/security,"none specified — code-gen agent; no persistent factual memory across sessions",https://lovable.dev/security
Bolt.new (StackBlitz),"no data — searched not found (no public SOC 2 / GDPR / HIPAA at this time per third-party comparison)","https://www.nxcode.io/resources/news/v0-vs-bolt-vs-lovable-ai-app-builder-comparison-2025",WebContainer-based browser-side execution — code runs client-side; server multi-tenancy details not published,https://stackblitz.com/,not applicable — code-gen agent; no factual memory tier,https://bolt.new/
Cursor Rules,"AES-256 at rest, TLS 1.2+ in transit; SOC 2 Type II",https://cursor.com/security,"Multi-tenant AWS with logical segregation; separate tenants for privacy vs non-privacy modes; no dedicated single-tenant offering",https://trust.cursor.com/,not applicable — rules are user-authored markdown files; no automatic memory reconciliation,https://docs.cursor.com/context/rules
Pinecone,"AES-256 at rest, TLS 1.2 in transit; CMEK via cloud KMS; SOC 2 Type II 2025 (zero deviations)",https://www.pinecone.io/security/,"Logical resource isolation in serverless; CMEK additionally per-namespace key separation; project + organization RBAC",https://www.pinecone.io/blog/strengthening-security-and-control/,"Overwrite by vector ID (upsert semantics); no semantic conflict layer",https://docs.pinecone.io/
Weaviate,"AES-256 at rest (incl. internal Kubernetes traffic), TLS/mTLS in transit; SOC 2 (>18 months); GDPR; HIPAA in next audit cycle",https://weaviate.io/security,"Tenant-per-collection (multi-tenancy feature) gives logical isolation without separate clusters; Dedicated Cloud option for hard isolation",https://weaviate.io/deployment/dedicated,"Overwrite by object UUID; no semantic conflict resolution",https://weaviate.io/security
Qdrant,"AES-256 at rest, TLS in transit; SOC 2 Type II + HIPAA",https://qdrant.tech/blog/qdrant-soc2-type2-audit/,"Hardened unprivileged container per cluster with strict network policies; outbound restricted; paid plans on dedicated resources; Private Cloud option for air-gap",https://qdrant.tech/documentation/cloud-security/,"Overwrite by point ID (upsert); no semantic conflict resolution",https://qdrant.tech/documentation/guides/security/
Chroma,"TLS/SSL in transit, AES at rest; CMEK via cloud KMS at collection level; SOC 2 Type II",https://www.trychroma.com/security,"Multi-tenant indexes with billions of vectors; AWS PrivateLink; BYOC (Bring Your Own Cloud) for hard isolation",https://www.trychroma.com/security,"Overwrite by document ID; no semantic conflict resolution",https://www.trychroma.com/security
Milvus,"AES-256 at rest, TLS 1.2+ in transit (Zilliz Cloud); CMEK (GA on Zilliz Cloud)",https://docs.zilliz.com/docs/data-security,"Control plane and data plane in separate VPCs/subnets; BYOC option for hard tenant isolation",https://docs.zilliz.com/docs/byoc/byoc-intro,"Overwrite by primary key (upsert); no semantic conflict resolution",https://milvus.io/docs/v2.2.x/security.md
LanceDB,"At-rest via underlying object storage (S3/GCS/Azure server-side encryption); TLS in transit",https://lancedb.com/,"Logical namespace per dataset; embedded library or LanceDB Cloud (single-tenant available)",https://lancedb.com/,"Overwrite by primary key (upsert/merge_insert)",https://lancedb.com/docs/
Elasticsearch / OpenSearch,"AES-256 at rest, TLS 1.2 in transit; BYOK via AWS KMS / Azure Key Vault / GCP Cloud KMS (Enterprise tier)",https://www.elastic.co/docs/deploy-manage/security/encrypt-deployment-with-customer-managed-encryption-key,"Allocator-level cluster separation in Elastic Cloud Enterprise; index-level access control; dedicated single-tenant deployments available",https://www.elastic.co/guide/en/cloud/current/ec-security.html,"Overwrite by document _id (last-write-wins on _version)",https://www.elastic.co/
MongoDB Atlas Vector Search,"AES-256 at rest, TLS in transit; CMEK via AWS KMS / Azure Key Vault / GCP Cloud KMS using envelope encryption",https://www.mongodb.com/docs/atlas/security-kms-encryption/,"Project/cluster/database isolation; dedicated cluster tier; PrivateLink; JWT-based tenant scoping for multi-tenant apps",https://www.mongodb.com/docs/atlas/architecture/current/data-encryption/,"Overwrite by _id; no semantic conflict resolution at vector layer",https://www.mongodb.com/docs/atlas/atlas-vector-search/vector-search-overview/
pgvector,"At-rest + in-transit via underlying Postgres / managed-cloud encryption; CMEK via cloud provider KMS where available",https://github.com/pgvector/pgvector,"Logical isolation via Postgres schemas/databases; managed providers (Supabase, Neon, RDS) add tenant-level controls",https://github.com/pgvector/pgvector,"Overwrite by primary key (UPDATE); no semantic conflict resolution",https://github.com/pgvector/pgvector
Snowflake Cortex Search,"AES (hierarchical key model rooted in cloud HSM); tri-secret-secure (customer-managed key); Virtual Private Snowflake for full isolation",https://docs.snowflake.com/en/user-guide/security-encryption-manage,"Indexing runs single-tenant in customer Snowflake account; multi-tenant Cortex Agents enforce isolation via immutable session attributes + row access policies",https://docs.snowflake.cn/en/user-guide/snowflake-cortex/cortex-agents-multi-tenancy,"Last-write-wins on source table; no semantic conflict resolution at search layer",https://docs.snowflake.com/en/user-guide/snowflake-cortex/cortex-search/cortex-search-overview
Databricks Vector Search,"AES at rest with CMEK across AWS/Azure/GCP; encryption at vector index level via managed services CMEK",https://docs.databricks.com/aws/en/security/keys/customer-managed-keys,"Workspace-level isolation; separate CMEK per business unit/environment for encryption isolation; revoking key renders data inaccessible",https://docs.databricks.com/aws/en/security/keys/,"Overwrite by primary key; no semantic conflict resolution",https://docs.databricks.com/
Neo4j,"AES at rest (via GCP/AWS KMS), TLS for cluster traffic; CMK via cloud KMS; ISO 27001 + SOC 2 Type II",https://neo4j.com/cloud/security/,"AuraDB Virtual Dedicated Cloud / AuraDS Enterprise: dedicated AWS/Azure/GCP account/subscription/project per customer; PrivateLink supported",https://neo4j.com/docs/aura/current/security/,"Overwrite via MERGE/SET semantics; no built-in temporal contradiction handling",https://neo4j.com/cloud/security/
TigerGraph,"At-rest via cloud-provider native encryption (platform-managed keys); TLS for connections; SOC 2 Type II + HIPAA + ISO 27001",https://www.tigergraph.com/compliance/,"TigerGraph Savanna SaaS uses logical separation; on-prem deployment for hard tenant isolation",https://docs.tigergraph.com/cloud/security/readme,"Overwrite via UPSERT; no built-in temporal contradiction handling",https://docs.tigergraph.com/tigergraph-server/4.2/security/
AllegroGraph (Franz),"FIPS 140-2 compliant TLS in transit; at-rest depends on customer file-system encryption (LUKS / AWS EBS / cloud KMS) — not native AES",https://franz.com/agraph/support/documentation/security-overview.html,"Repository-level access control (statement-level Security Filters per user/role); on-prem only for full isolation",https://franz.com/agraph/support/documentation/security-overview.html,"Overwrite via SPARQL UPDATE; no built-in contradiction handling",https://franz.com/agraph/support/documentation/security-overview.html
Stardog,"AES-256 at rest, TLS in transit; SOC 2 Type II; FIPS-aligned",https://www.stardog.com/trust-security-center/security/,"Per-database access control; on-prem / private-cloud / SaaS options",https://docs.stardog.com/operating-stardog/security/security-model,"Overwrite via SPARQL UPDATE / virtual-graph reconciliation rules",https://docs.stardog.com/operating-stardog/security/
Palantir Ontology,"TLS 1.2+ in transit, AES-256/AES-128 at rest with full-disk + application-level encryption; SOC 2 Type II + FedRAMP High + ISO/IEC 27001",https://www.palantir.com/docs/foundry/security/overview,"Foundry tenant per customer with strong ACL classification; zero-trust architecture; dedicated FedRAMP High enclave for federal workloads",https://www.palantir.com/docs/foundry/security/overview,"Branch-and-merge ontology versioning; structured human review for object/ontology updates",https://www.palantir.com/docs/foundry/security/overview
Glean,"AES-256 at rest, TLS 1.3 in transit; FIPS 140-2 KMS; SOC 2 Type II + ISO/IEC 27001",https://www.glean.com/security,"Logically isolated single-tenant per customer (data, models, telemetry siloed; no shared vector index); option for fully isolated single-tenant in customer AWS/Azure/GCP",https://www.glean.com/security,"none specified — read-only enterprise search over source-system content; permissions enforced at query time",https://docs.glean.com/security/
Coveo,"AES-256 at rest, TLS 1.3 in transit (TLS 1.2 supported); BYOK supported; SOC 2 Type II annually + HIPAA BAA + biennial HIPAA audit",https://www.coveo.com/en/platform/security,"Logical multi-tenancy on AWS — dedicated Coveo Index per customer for full data segmentation",https://docs.coveo.com/en/1663/,not applicable — read-only RAG/search at query time,https://docs.coveo.com/en/1663/
Sinequa,"AES-256 at rest; TLS in transit; SOC 2 Type II annually + ISO 27001",https://www.sinequa.com/product/security/,"On-premises / private-cloud tenant / fully-managed SaaS — customer choice; Azure-region selectable",https://www.sinequa.com/product/security/,not applicable — read-only hybrid retrieval at query time,https://www.sinequa.com/product/security/
Lucidworks Conversational Q&A AI Agent,"At-rest + in-transit (Lucidworks Fusion Cloud); SOC 2 + HIPAA capable",https://lucidworks.com/security/,"Per-tenant index hard-isolation in Fusion Cloud",https://lucidworks.com/security/,"Grounded-ranking: RAG over verified product/spec corpus; out-of-spec answers suppressed via answer-quality threshold",https://lucidworks.com/
Hippocratic AI Polaris,"At-rest + in-transit (industry-standard cryptography); SOC 2 Type II (Aug 2025) — specific AES/TLS versions not in public materials",https://www.businesswire.com/news/home/20250829140180/en/Hippocratic-AI-Achieves-SOC-for-Service-Organizations-Report-Underscoring-Commitment-to-Security-Availability-and-Confidentiality-in-Healthcare-AI,"no data — searched not found (Polaris Constellation deployment model not publicly documented)",https://www.hippocraticai.com/,"Constellation-of-agents architecture: cross-agent verification before patient-facing output; no documented contradiction-merge for memory tier",https://www.hippocraticai.com/
K Health,"no data — searched not found (no public security or trust page surfaced)",https://khealth.com/,"no data — searched not found",https://khealth.com/,"none specified",https://khealth.com/
Nabla + Navina,"AES-256 at rest (with two layers of encryption: system + application), TLS 1.2+ in transit; SOC 2 Type II + ISO 27001 + HIPAA + GDPR + NIST",https://www.nabla.com/blog/all-you-need-to-know-about-nablas-privacy-and-security-features,"GCP + Azure infrastructure; transcripts/notes retained 14 days configurable; audio chunks discarded after processing (no audio retained); customer-tenant separation",https://www.nabla.com/blog/all-you-need-to-know-about-nablas-privacy-and-security-features,"Editor-in-the-loop: clinician reviews and edits ambient note before commit; deidentification before any feedback use",https://www.nabla.com/blog/all-you-need-to-know-about-nablas-privacy-and-security-features
Suki AI,"AES-256 at rest (Google Cloud SQL/Storage), TLS 1.2 in transit; Akamai WAF; SOC 2 Type II + HIPAA",https://developer.suki.ai/documentation/faqs/security,"Multi-tenant Google Cloud with logical isolation; BAA with each customer",https://trust.suki.ai/,"Clinician edits ambient note before sign-off; deidentified data only used for ML training",https://developer.suki.ai/documentation/faqs/security
DeepScribe,"AES-256 at rest, TLS in transit (end-to-end); SOC 2 Type II + HIPAA-compliant; mandatory HIPAA cert for all employees",https://www.deepscribe.ai/security-practices,"BAA with each customer; PII stripped via deidentification post-encryption",https://www.deepscribe.ai/security-practices,"Editor-in-the-loop: clinician reviews/edits AI-generated note before EHR commit",https://www.deepscribe.ai/security-practices
Abridge,"At-rest + in-transit (HIPAA-compliant US data centers); SOC 2 Type II",https://trust.abridge.com/,"US-based HIPAA-secure data centers; tenant-per-customer logical isolation; BAA with each enterprise customer",https://support.abridge.com/hc/en-us/articles/30235294201619-Data-Security,"Editor-in-the-loop: clinician reviews ambient note before EHR commit",https://support.abridge.com/hc/en-us/articles/30235280178195-Abridge-HIPAA-Compliance
OpenEvidence (DeepConsult + Visits),"AES-256 at rest, TLS 1.2 with SHA-256 certificate in transit; SOC 2 Type II (Security)",https://www.openevidence.com/security,"BAA with covered entities; annual third-party network + application penetration testing",https://www.openevidence.com/security,"none specified — primarily an evidence-retrieval/Q&A surface, not a longitudinal memory store",https://www.openevidence.com/security
Heidi Health,"AES-256 at rest, HTTPS/TLS 1.2+ in transit; SOC 2 Type II + ISO 27001 + HIPAA + GDPR + PHIPA + APP + NZ IPP + NHS Digital",https://www.heidihealth.com/en-us/blog/soc-2-type-2-certification,"Region-appropriate residency + secure hosting + audit logging; BAA with each covered entity; no audio retention",https://www.heidihealth.com/en-us/compliance/hipaa,"Editor-in-the-loop: clinician reviews/edits note before commit; no audio retained for replay",https://www.heidihealth.com/en-us/safety
Harvey Memory,"At-rest + in-transit (strong access controls, no training on customer data by default); SOC 2 Type II annually + ISO 27001 + EU-US DPF (first AI/LLM startup certified)",https://www.harvey.ai/security,"Logical workspace separation: every user mapped to unique workspace; workspaces cannot communicate with each other (no cross-workspace access)",https://www.harvey.ai/security,"none specified — workspace-scoped retrieval; no documented contradiction-merge",https://www.harvey.ai/legal/security-addendum
Luminance Institutional Memory,"AES-256 at rest (AWS KMS over S3 + EC2), TLS 1.2+ in transit (AES-128 or higher); regular master-key rotation; SOC 2 Type II + ISO 27001:2022",https://www.luminance.com/security/,"Single-tenant: dedicated instance per customer with no co-mingling of data",https://www.luminance.com/security/,"Overwrite via document version; structured human review of contract anomalies",https://www.luminance.com/security/
Filevine LOIS,"AES-256 (FIPS 140-2 compliant) at backup; pursuing FIPS 140-3; SOC 2 Type II + SOC 3 + HIPAA + HITECH",https://www.filevine.com/security/,"Logical multi-tenant with audited HIPAA + SOC 2 controls; BAA available",https://www.filevine.com/security/,"Document-version overwrite; FilevineAI runs entirely within Filevine secure platform (no external upload)",https://www.filevine.com/news/filevine-launches-the-only-embedded-ai-legal-assistant-that-lets-legal-professionals-chat-with-their-case/
Eve — Shared Firm Knowledge + Auditor,"AES-256 end-to-end + TLS/SSL in transit; SOC 2 Type II (first legal AI to certify) + HIPAA-compliant",https://www.eve.legal/security,"Strict isolation at organization, user, and workflow levels; case data never used to train shared models",https://www.eve.legal/security,"LLM-arbitrate via Auditor agent; case-data isolated to firm",https://www.eve.legal/trust
Spellbook Library,"HTTPS/TLS in transit; SOC 2 Type II; HIPAA controls implemented (Security/Privacy/Breach rules); zero-data-retention deals with OpenAI + Anthropic",https://trust.spellbook.legal/,"Multi-tenant SaaS with zero data retention from LLM providers (data exists only in memory for request)",https://www.spellbook.legal/security,"none specified — primarily contract-drafting; no longitudinal memory tier",https://www.spellbook.legal/security
Clio Duo / Manage AI,"AES-256 at rest, HTTPS/TLS 1.2+ in transit; SOC 2 Type II 2025 (June 2024 - May 2025)",https://www.clio.com/security/,"Clio Operate: dedicated customer-specific database instance per customer (full data isolation); explicit security-barrier creation for case-level access policy",https://trust.clio.com/,"Document-version overwrite",https://www.clio.com/security/
CoCounsel Legal (Thomson Reuters),"At-rest + in-transit (private eyes-off processing); SOC 2 + ISO 27001; no cross-client contamination guarantee",https://completeaitraining.com/news/cocounsel-legal-from-thomson-reuters-trusted-secure-ai-for/,"No data retention + no cross-client contamination; Thomson Reuters enterprise security framework",https://completeaitraining.com/news/cocounsel-legal-from-thomson-reuters-trusted-secure-ai-for/,"none specified — eyes-off Q&A; no longitudinal memory persistence",https://completeaitraining.com/news/cocounsel-legal-from-thomson-reuters-trusted-secure-ai-for/
Hebbia Matrix,"AES-256 at rest, TLS 1.3 in transit; SOC 2 Type I + Type II",https://www.hebbia.com/security,"Multi-tenant with no training on user data; built for sensitive industries (financial / legal)",https://thesiliconreview.com/2025/12/hebbias-secure-enterprise-ai,"none specified — matrix is per-document Q&A with column-level grounding; no longitudinal memory merge",https://www.hebbia.com/security
Sierra,"At-rest + in-transit; PII automatically encrypted and masked; payment data via dedicated PCI infra (never touches Sierra core); PCI DSS Level 1 + SOC 2 + HIPAA + GDPR + CCPA",https://trust.sierra.ai/updates,"Strict tenant isolation — customer data never shared across tenants; deterministic access to systems of record",https://sierra.ai/product/trust-and-reliability,"Deterministic: customer 'agent OS' rules + system-of-record APIs are authoritative; agent reasoning grounded to deterministic state",https://sierra.ai/product/trust-and-reliability
Decagon,"AES-256 at rest + backups, TLS 1.2+ in transit; SOC 2 compliant + WAF",https://decagon.ai/security,"Logical multi-tenant on major cloud; SSO + 2FA + RBAC least-privilege",https://decagon.ai/security,"none specified — RAG over customer KB at conversation time",https://decagon.ai/security
Cognigy,"End-to-end encryption at rest + in transit; ISO 27001 + ISO 27701 + ISO 42001 + SOC 2 Type II + TISAX + BSI C5 + HIPAA",https://trust.cognigy.com/,"Granular RBAC with separation of duties; multi-region deployment (EU/US); dedicated single-tenant available",https://www.cognigy.com/trust-center,"none specified — flow-based agent state; LLM tools call structured backends",https://www.cognigy.com/platform/ai-ops-and-orchestration
ASAPP GenerativeAgent,"At-rest + in-transit (industry-standard); zero data retention with PII redaction before storage; SOC 2 Type II annually + PCI DSS Level 1",https://trust.asapp.com/,"Logical isolation across product suite (GenAgent, Messaging, AutoTranscribe, AutoSummary, AutoCompose) with 64 audited controls",https://www.asapp.com/security,"PII redacted pre-storage; agent grounds to enterprise systems of record (deterministic)",https://www.asapp.com/security
Cresta,"At-rest + in-transit (no sensitive signals used in training; PII automatically redacted); SOC 2 Type II + ISO 27001/27701/42001 + HIPAA + PCI DSS",https://trust.cresta.com/,"Multi-tenant SaaS; ISO 27701 boundaries; data-loss-prevention via Reco partnership",https://cresta.com/trust,"none specified — coaching layer over conversation; no factual memory merge",https://cresta.com/trust
PolyAI,"no data — searched not found (no public security/trust page surfaced for the company)",https://poly.ai/,"no data — searched not found",https://poly.ai/,"Slot-filling deterministic state; LLM-arbitrate for free-form turns",https://poly.ai/
Intercom Fin,"AES-256 at rest, TLS 1.2 in transit (HSTS + Perfect Forward Secrecy); SOC 2 Type II + ISO 27001 + ISO 27701 + ISO 27018 + HIPAA + HDS + ISO 42001 + AIUC-1",https://trust.intercom.com/,"Multi-tenant SaaS with certified controls; per-workspace data segregation",https://trust.intercom.com/,"none specified — Fin grounds to customer help-center content; deterministic permissions per workspace",https://www.intercom.com/legal/security-policy
Replicant,"AES-256 at rest, TLS 1.2+ in transit (GCP); SOC 2 Type II + PCI DSS + HIPAA + ISO 42001",https://www.replicant.com/safety-ai-security,"GCP-hosted enterprise architecture with RBAC + MFA + IDPS; BAA available",https://www.replicant.com/safety-ai-security,"PII auto-redacted in transcripts/logs/QA; deterministic API contracts (no retention/reuse)",https://www.replicant.com/safety-ai-security
LivePerson Conversation Context Service,"At-rest + in-transit (data masking + DDoS); ISO 27001 + PCI DSS 4.0 + GDPR + HIPAA BAA; OAuth 2.0 / OIDC for authenticated traffic",https://www.liveperson.com/resources/security/,"Multi-tenant SaaS (Conversational Cloud); region-specific data residency",https://knowledge.liveperson.com/security-regulations-security-protecting-customer-data.html/,"Last-write-wins on conversation context; deterministic CRM/system-of-record handoffs",https://knowledge.liveperson.com/security-regulations-security-protecting-customer-data.html/
Salesforce Agentforce / Einstein,"AES-256 (Shield Platform Encryption) at rest with customer-managed keys + revocation; encryption inside Einstein Trust Layer; ISO 27001/27017/27018 + ISO 42001",https://help.salesforce.com/s/articleView?id=sf.security_pe_hyperforce.htm,"Hyperforce: dedicated functional domain per tenant; multi-tenant with isolation + zero-trust controls; no LLM training on customer data",https://www.salesforce.com/en-us/wp-content/uploads/sites/4/documents/legal/misc/hyperforce-security-privacy-and-architecture.pdf,"PII/PCI/PHI auto-masked in Trust Layer; backend never retains; deterministic Salesforce object updates",https://www.salesforce.com/agentforce/
