paper,subgroup,citations_count,citations_source_url,repro_status,repro_source_url,code_release,code_url,founders_lab,founders_pedigree,modalities,volume_claim,conflict_resolution,mindshare_notes
LM2,Parametric & latent,8 cites (8/yr),https://www.semanticscholar.org/paper/42e39ab4c08f94ac13dd28b6752718d59aa3ff08,Too recent,https://arxiv.org/abs/2502.06049,Paper only,no public code,"Jikun Kang, Wenqi Wu, Filippos Christianos, Alex J. Chan, Fraser Greenlee, George Thomas, Marvin Purtorab, Andy Toulis; Convergence Labs Ltd / Convergence AI","arxiv 2502.06049; Convergence AI (convergence-ai/lm2 GitHub); UK-based startup",text,no scale claim — research,not yet researched — to be filled,below detection threshold
SoftCoT,Parametric & latent,32 cites (32/yr),https://aclanthology.org/2025.acl-long.1137/,Too recent,https://aclanthology.org/2025.acl-long.1137/,Code public + weights closed,https://github.com/xuyige/SoftCoT,"Yige Xu, Xu Guo, Zhiwei Zeng, Chunyan Miao; Nanyang Technological University (NTU) Singapore + Joint NTU-UBC Research Centre of Excellence in Active Living for the Elderly","ACL 2025; NTU Singapore (Yige Xu, Chunyan Miao, Zhiwei Zeng); arxiv 2502.12134",text,no scale claim — research (ACL 2025),not applicable (soft chain-of-thought; no external memory),below detection threshold
H2O,Parametric & latent,no data — searched S2 e586a4591ba0303b769f2c07cbddaf1899cb72e4,https://www.semanticscholar.org/paper/H2O:-Heavy-Hitter-Oracle-for-Efficient-Generative-Zhang-Sheng/e586a4591ba0303b769f2c07cbddaf1899cb72e4,Independently reproduced,https://openreview.net/forum?id=RkRrPp7GKO,Code public + weights closed,https://github.com/FMInference/H2O,"Zhenyu Zhang, Ying Sheng, Tianyi Zhou, Tianlong Chen, Lianmin Zheng, Ruisi Cai, Zhao Song, Yuandong Tian, Christopher Ré, Clark Barrett, Zhangyang Wang, Beidi Chen; Carnegie Mellon University + Stanford + UC San Diego + Adobe + Meta","NeurIPS 2023; affiliations: CMU + Stanford + UCSD + Adobe + Meta; arxiv 2306.14048",text,no scale claim — research (NeurIPS 2023),not applicable (KV eviction; no user write),below detection threshold
Memorizing Transformers,Parametric & latent,no data — searched S2 0e802c0739771acf70e60d59c2df51cd7e8c50c0,https://www.semanticscholar.org/paper/Memorizing-Transformers-Wu-Rabe/0e802c0739771acf70e60d59c2df51cd7e8c50c0,Independently reproduced,https://openreview.net/forum?id=TrjbxzRcnf-,Code partial / pseudocode,https://github.com/MayankPalan2004/Memorizing-Transformers,"Google Brain; Yuhuai Wu, Markus Norman Rabe, DeLesley Hutchins, Caiming Xiong; ICLR 2022","ICLR 2022 spotlight; Google Brain; arxiv 2203.08913 submitted March 2022; evaluated on C4 / arXiv math / PG-19 books / GitHub code / Isabelle theorems",text,no scale claim — research (ICLR 2022),not yet researched — kNN external memory with retrieved KV — no concurrent write path,below detection threshold
Memformer,Parametric & latent,77 cites (12/yr),https://www.semanticscholar.org/paper/67ee20536c30a225b86902af2f091e28e5e19b40,No reproductions found,https://arxiv.org/abs/2010.06891,Code public + weights closed,https://github.com/qywu/memformers,"Qingyang Wu, Zhenzhong Lan, Kun Qian, Jing Gu, Alborz Geramifard, Zhou Yu; affiliations include Westlake University (Lan) and UC Davis (Gu); Zhou Yu at Columbia U","ACL Findings 2022 (AACL); arxiv 2010.06891; first submitted Oct 2020",text,no scale claim — research,not applicable (architectural external KV; trained),below detection threshold
EMAT,Parametric & latent,58 cites (14/yr),https://www.semanticscholar.org/paper/f7fd184eaa573205dff97d86c836f3038143e87a,No reproductions found,https://aclanthology.org/2022.emnlp-main.346/,Code public + weights closed,https://github.com/uclnlp/EMAT,"UCL NLP group (github uclnlp); Patrick S. H. Lewis, Ethan Perez et al.; EMNLP 2022","EMNLP 2022; UCL NLP group; Patrick Lewis at the time affiliated with UCL/FAIR; arxiv 2210.16773",text,no scale claim — research (EMNLP 2022),not yet researched — read-only memory (encode millions of QA pairs as KV; no runtime write),below detection threshold
MATTER,Parametric & latent,4 cites (2/yr),https://www.semanticscholar.org/paper/54129f1322ea9f2984dc58178032dbce0acd7d8c,No reproductions found,https://arxiv.org/abs/2406.04670,Paper only,no public code,"Dongkyu Lee, Chandana Satya Prakash, Jack FitzGerald, Jens Lehmann; Amazon (Amazon Science publication page confirms affiliation)","arxiv 2406.04670; Amazon (confirmed via amazon.science publication page); ACL 2024",text,no scale claim — research,not applicable (fixed-length neural memories; trained),below detection threshold
MemReasoner,Parametric & latent,no data — searched S2 no entry found,https://openreview.net/forum?id=ODcMy97cVZ,Too recent,https://openreview.net/forum?id=ODcMy97cVZ,Paper only,no data,"IBM Research; NeurIPS 2024","IBM Research; NeurIPS 2024 poster; openreview.net/forum?id=ODcMy97cVZ",text,no scale claim — research (NeurIPS 2024),not applicable (architectural latent GRU memory; trained),below detection threshold
CDMem,Parametric & latent,no data — searched S2 no count found,https://aclanthology.org/2025.naacl-industry.80/,Too recent,https://aclanthology.org/2025.naacl-industry.80/,Paper only,no data,"no data — searched aclanthology; author affiliations not found in preview","NAACL 2025 Industry; author affiliations not recovered",text,no scale claim — research (NAACL 2025),LLM-arbitrate (3-stage encoding),below detection threshold
Transformer²,Parametric & latent,13 cites (13/yr),https://www.semanticscholar.org/paper/5139b7a2744749517163dcfdccf13588aab287bf,No reproductions found,https://openreview.net/forum?id=NLbRvr840Q,Code public + weights closed,https://github.com/SakanaAI/self-adaptive-llms,"Qi Sun, Edoardo Cetin, Yujin Tang; Sakana AI Japan + Institute of Science Tokyo","arxiv 2501.06252; Sakana AI (Japan); Qi Sun dual-affiliated with Institute of Science Tokyo",text,no scale claim — research,LLM-arbitrate (SVD + expert blending),below detection threshold
NAMMs,Parametric & latent,5 cites (2/yr),https://www.semanticscholar.org/paper/9505c9ec941a22788d3a80ce794620e24ded0e90,No reproductions found,https://openreview.net/forum?id=5ofdaWiqmq,Code public + weights public,https://github.com/SakanaAI/evo-memory,"Sakana AI; arxiv 2410.13166","Sakana AI (confirmed in founders field); arxiv 2410.13166",text,no scale claim — research,not applicable (evolution-trained KV; architectural),below detection threshold
Memory Layers at Scale,Parametric & latent,22 cites (11/yr),https://www.semanticscholar.org/paper/5f521c36fca5075dc99c85c9fe6988ad812287d2,No reproductions found,https://ai.meta.com/research/publications/memory-layers-at-scale/,Paper only,no official code release,"Meta FAIR; arxiv 2412.09764","Meta FAIR (confirmed in founders field); arxiv 2412.09764",text,no scale claim — research,not applicable (trainable KV layers; architectural),below detection threshold
DSI,Parametric & latent,405 cites (101/yr),https://www.semanticscholar.org/paper/9d40837175577bb0009b138269b422f6d5820d00,Independently reproduced,https://proceedings.neurips.cc/paper_files/paper/2022/hash/892840a6123b5ec99ebaab8be1530fba-Abstract-Conference.html,Paper only,no official Google release,"Google Research; Yi Tay, Vinh Q. Tran, Xavier Garcia, Jinfeng Rao and team — all Google","NeurIPS 2022; Google Research (full team); arxiv 2202.06991; evaluated on text/document corpora (NQ10K + NQ100K + NQ320K)",text,no scale claim — research (NeurIPS 2022 — limited to corpus sizes up to 320k documents),not yet researched — in-weight parametric index; no runtime write path,below detection threshold
MemBART,Parametric & latent,7 cites (7/yr),https://www.semanticscholar.org/paper/d5df3249a372fcd7994fa43fa48a94d322b43161,Too recent,https://arxiv.org/abs/2508.10824,Paper only,no public code,"no data — searched MemBART dialogue memory states; distinct paper identifier not recovered; survey cites it (2508.10824)","Survey citation only (2508.10824); also qywu/membart-large on HuggingFace (related Memformer weights) but distinct paper not recovered",text,no scale claim — research,not applicable (architectural memory states across turns),below detection threshold
AiT,Parametric & latent,3 cites (1/yr),https://www.semanticscholar.org/paper/2e082f37006b183ee9f0eb69cde73414c81755c2,No reproductions found,https://arxiv.org/abs/2309.12862,Paper only,no public code,"Yuwei Sun, Hideya Ochiai, Zhirong Wu, Stephen Lin, Ryota Kanai; CVPR 2025 (latest revision Mar 2025)","arxiv 2309.12862 v4; accepted CVPR 2025; authors include Ryota Kanai (Araya Inc. Japan) + Zhirong Wu + Stephen Lin (Microsoft Research Asia)",text + image (visual reasoning),no scale claim — research,not applicable (Hopfield low-rank architectural memory),below detection threshold
Memformers (gradient memory),Parametric & latent,7 cites (7/yr — shared survey citation),https://www.semanticscholar.org/paper/d5df3249a372fcd7994fa43fa48a94d322b43161,Too recent,https://arxiv.org/abs/2508.10824,Paper only,no public code,"no data — survey citation only; gradient memory Memformers paper identifier not directly recovered","Survey citation (2508.10824); distinct paper not recovered",text,no scale claim — research,not applicable (past-gradient registers; architectural),below detection threshold
WorkMATe,Cognitive-architecture-inspired,"no data — searched S2 journals.plos.org/plosone/article?id=10.1371/journal.pone.0316453; note: landscape URL points to PLOS ONE 2025 article (e0316453) which is ""Biologically plausible gated recurrent neural networks"" (van den Berg et al.) — distinct from Kruijne 2021 Neural Computation WorkMATe",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0316453,Too recent (PLOS ONE 2025 article at this DOI),https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0316453,Paper only,no data,"van den Berg, Roelfsema, Bohte (PLOS ONE e0316453); NOTE: landscape row attributes WorkMATe to Kruijne et al. Vrije Universiteit Amsterdam but this PLOS ONE DOI resolves to a different paper (biologically plausible gated RNNs, 2024-12-31)","PLOS ONE 2025 article at this DOI is van den Berg et al. 2024; Kruijne WorkMATe was Neural Computation 2021; landscape DOI mismatch noted",text,no scale claim — research (PLOS ONE),not applicable (RL-gated architectural slots),below detection threshold
I-JEPA,World-model & imagination,773 cites (257/yr),https://www.semanticscholar.org/paper/ee57e4d7a125f4ca8916284a857c3760d7d378d3,Independently reproduced,https://huggingface.co/docs/transformers/model_doc/ijepa,Code public + weights public,https://github.com/facebookresearch/ijepa,"Meta FAIR; Mahmoud Assran, Quentin Duval, Ishan Misra, Piotr Bojanowski, Pascal Vincent, Michael Rabbat, Yann LeCun, Nicolas Ballas","CVPR 2023; Meta AI (ijepa blog published June 2023); arxiv 2301.08243 submitted Jan 2023",image (ImageNet; ViT-Huge),ViT-Huge/14 trains on ImageNet in under 72h on 16 A100 GPUs,not yet researched — self-supervised image learning; no conflict path (read-only world model),below detection threshold
V-JEPA 2,World-model & imagination,316 cites (316/yr),https://www.semanticscholar.org/paper/b202faf38efbffcb26470c702e1140b047d6f6e7,Too recent,https://ai.meta.com/blog/v-jepa-2-world-model-benchmarks/,Code public + weights public,https://github.com/facebookresearch/vjepa2,"Meta FAIR; arxiv 2506.09985","Meta FAIR; arxiv 2506.09985 June 2025",video + image,pre-trained on 1M+ hours of internet video,not applicable (self-supervised world model; no write path),below detection threshold
DreamerV3,World-model & imagination,1000 cites (343/yr),https://www.semanticscholar.org/paper/f2d952a183dfb0a1e031b8a3f535d9f8423d7a6e,Independently reproduced,https://vitalab.github.io/article/2023/01/19/DreamerV3.html,Code public + weights public,https://github.com/danijar/dreamerv3,"Google DeepMind; Danijar Hafner, Jurgis Pasukonis, Jimmy Ba, Timothy Lillicrap","Published in Nature 2025; arxiv 2301.04104 submitted Jan 2023; Google DeepMind lead Danijar Hafner",image + sensor (Atari / DMControl / Minecraft / BSuite — 150+ tasks),single hyperparameter set across 150+ tasks; first algorithm to collect Minecraft diamonds without human data,not yet researched — world-model RL; no external write path,1 inbound (existing in landscape)
Dreamer 4,World-model & imagination,62 cites (62/yr),https://www.semanticscholar.org/paper/8ba856e1c993f43f9c65bf7b9a5f00f157cc212c,Too recent,https://arxiv.org/abs/2509.24527,Paper only,no public code,"Danijar Hafner (Google DeepMind) + Jiuqi Yan; arxiv 2509.24527","arxiv 2509.24527; Google DeepMind (Hafner) + collaborator Jiuqi Yan",image + sensor,first agent to collect Minecraft diamonds from standard offline dataset,not applicable (world-model RL; no external write path),below detection threshold
R2I,World-model & imagination,42 cites (21/yr),https://www.semanticscholar.org/paper/e34868427f607bd35f11576963c36b95673e5a75,No reproductions found,https://openreview.net/forum?id=0A1lEFbUzl,Code public + weights closed,https://github.com/chandar-lab/Recall2Imagine,"M R Samsami, A Zholus, J Rajendran, S Chandar; Mila – Quebec AI Institute","ICLR 2024 Oral (top 1.2%); Mila Quebec AI Institute; chandar-lab GitHub; arxiv 2403.04253",image + sensor,up to 9× faster than DreamerV3 baselines on Memory Maze,not applicable (model-based RL; no external write path),below detection threshold
Genie,World-model & imagination,511 cites (255/yr),https://www.semanticscholar.org/paper/c064de2c71ebc5cf05493f49dc312b033c36b3b9,No reproductions found,https://huggingface.co/papers/2402.15391,Paper only (community open-genie impl),https://github.com/myscience/open-genie,"Google DeepMind + University of British Columbia; 25 authors including Jake Bruce, Michael Dennis and team","ICML 2024; arxiv 2402.15391 submitted Feb 2024; DeepMind + UBC",video + image (internet gaming video),11B parameters; trained on 200k+ hours of internet gaming video; unsupervised controllable world generation,not yet researched — generative world model; no external write path,below detection threshold
V-JEPA (original),World-model & imagination,259 cites (129/yr),https://www.semanticscholar.org/paper/872d78c04c8fb115d492eea98199407991670533,Independently reproduced,https://huggingface.co/docs/transformers/model_doc/ijepa,Code public + weights public,https://github.com/facebookresearch/jepa,"Meta AI; arxiv 2404.08471","Meta AI; arxiv 2404.08471; released on VideoMix2M; predecessor to V-JEPA 2",video + image,strong on motion understanding and action anticipation,not applicable (self-supervised world model; no write path),below detection threshold
DIAMOND,World-model & imagination,209 cites (104/yr),https://www.semanticscholar.org/paper/02f4516502bc0d05fb8971687f37c5f319ca2704,Independently reproduced,https://neurips.cc/virtual/2024/poster/93555,Code public + weights public,https://github.com/eloialonso/diamond,"Eloi Alonso, Adam Jelley, Vincent Micheli, Anssi Kanervisto, Amos Storkey, Tim Pearce; University of Geneva + University of Edinburgh + Microsoft Research","NeurIPS 2024 Spotlight; EPFL originally mentioned but primary affiliation is Univ. of Geneva (Eloi Alonso); Microsoft Research (Tim Pearce)",image,mean human-normalized score 1.46 on Atari 100k — best for world-model-trained agents,not yet researched — diffusion world model RL; no external write path,below detection threshold
PWM,World-model & imagination,11 cites (5/yr),https://www.semanticscholar.org/paper/7f73fd46886d8841042d8f169edf4554a3c717d3,No reproductions found,https://arxiv.org/abs/2407.02466,Paper only,no public code,"no data — searched arxiv.org/abs/2407.02466; author affiliations not found in preview","arxiv 2407.02466; institution not recovered",image + sensor,strong continuous-control results; efficient policy extraction without environment interaction,not applicable (world-model RL; no external write path),below detection threshold
RIKEN Tensor Decomposition,Continual learning,no data — searched S2 no entry found,https://icml.cc/virtual/2025/poster/44196,Too recent,https://icml.cc/virtual/2025/poster/44196,no data — searched,no data,"RIKEN Center for Advanced Intelligence Project (AIP) + Guangdong University of Technology; ICML 2025","ICML 2025 poster; RIKEN AIP (confirmed in founders field) + Guangdong U. of Technology",image,compression without proportional accuracy loss vs full-exemplar replay,not applicable (continual learning compression; no external write path),below detection threshold
EWC,Continual learning,9600 cites (964/yr),https://www.semanticscholar.org/paper/2e55ba6c97ce5eb55abd959909403fe8da7e9fe9,Independently reproduced,https://rylanschaeffer.github.io/content/research/elastic_weight_consolidation/main.html,Code public + weights public,https://github.com/moskomule/ewc.pytorch,"Google DeepMind; James Kirkpatrick, Razvan Pascanu, Neil Rabinowitz, Demis Hassabis et al.","PNAS 2017; Google DeepMind; arxiv 1612.00796; submitted Dec 2016; published Jan 2017 online",image + text (supervised classification + RL Atari),no scale claim — research (PNAS 2017 — tested on supervised tasks and Atari RL),not yet researched — quadratic weight constraint per-parameter; no external memory write,below detection threshold
CL of LLMs Survey,Continual learning,no data — searched S2 7d09c6c8ef1e1c0c447cb8910c27a7acf1dd96af,https://www.semanticscholar.org/paper/7d09c6c8ef1e1c0c447cb8910c27a7acf1dd96af,No reproductions found,https://dl.acm.org/doi/10.1145/3735633,Paper only,no data,"no data — searched dl.acm.org/doi/10.1145/3735633; author affiliations not found in preview","ACM Computing Surveys 2025; arxiv originally submitted Apr 2024; lab/institution not recovered",text,no scale claim — survey paper (ACM Computing Surveys),not applicable (survey; no system implementation),below detection threshold
FOREVER,Continual learning,2 cites (2/yr),https://www.semanticscholar.org/paper/2a365e09346908a45f861ccd4fee2204d85fa628,Too recent,https://arxiv.org/abs/2601.03938,Paper only,no public code,"Yujie Feng, Hao Wang, Jian Li, Xu Chu, Zhaolu Kang, Yiran Liu, Yasha Wang, Philip S. Yu, Xiao-Ming Wu; Hong Kong Polytechnic University + ShineMo Ltd. (China) + Tencent + Peking University + University College London + University of Illinois Chicago","arxiv 2601.03938 submitted Jan 2026; HK PolyU (lead) + Tencent + PKU + UCL + UIC",text,no scale claim — research,LLM-arbitrate (replay + regularisation),below detection threshold
SERS,Continual learning,no data — searched S2 no entry found,https://openreview.net/forum?id=jR1lvwexLt,Too recent,https://openreview.net/forum?id=jR1lvwexLt,no data — searched,no data,"Jun Wang, Liang Ding, Shuai Wang, Hongyu Li, Yong Luo, Huangxuan Zhao, Han Hu, Bo Du; NeurIPS 2025","NeurIPS 2025 poster; submitted 18 Sept 2025; institution not confirmed from search but Jun Wang / Liang Ding have known Wuhan University affiliations in related work",text,no scale claim — research (NeurIPS 2025),LLM-arbitrate (Wasserstein-distance regulariser),below detection threshold
Neural Episodic Control,RL-augmented,392 cites (43/yr),https://www.semanticscholar.org/paper/37088dec26231bc5a4937054ebc862bb83a3db4d,Independently reproduced,https://proceedings.mlr.press/v70/pritzel17a.html,Paper only (community impl at GitHub),https://github.com/EndingCredits/Neural-Episodic-Control,"Google DeepMind; Alexander Pritzel, Benigno Uria, Sriram Srinivasan, Adrià Puigdomènech, Oriol Vinyals, Demis Hassabis, Daan Wierstra, Charles Blundell","ICML 2017; Google DeepMind; arxiv 1703.01988 submitted Mar 2017",image (Atari games),met or surpassed human performance on ~25% of Atari games within 10M frames (46 hours),not yet researched — differentiable episodic dictionary RL; no concurrent external write,below detection threshold
EMU,RL-augmented,14 cites (7/yr),https://www.semanticscholar.org/paper/bfbe7cd5a6535296b324c72920d6c9de035ef8b4,No reproductions found,https://openreview.net/forum?id=LjivA1SLZ6,Code public + weights closed,https://github.com/HyunghoNa/EMU,"Hyungho Na, Yunkyeong Seo, Il-chul Moon; KAIST (Korea Advanced Institute of Science and Technology)","ICLR 2024 Oral; KAIST (Il-chul Moon — Associate Professor Dept of Industrial and Systems Engineering KAIST Daejeon); arxiv 2403.01112",text,no scale claim — research (ICLR 2024 Oral),LLM-arbitrate (selective promotion),below detection threshold
HAMI,RL-augmented,no data — searched S2 no count found,https://www.nature.com/articles/s41598-025-10586-x,Too recent,https://www.nature.com/articles/s41598-025-10586-x,Paper only,no data,"Hamed Poursiami, Ayana Moshruba, Keiland W Cooper, Derek Gobin, Md Abdullah-Al Kaiser, Ankur Singh, Rouhan Noor, Babak Shahbaba, Akhilesh Jaiswal, Norbert J Fortin, Maryam Parsa; George Mason University + UC Irvine","Nature Scientific Reports 2025; George Mason University (Dept ECE, Maryam Parsa — corresponding) + UC Irvine (Center for Neurobiology of Learning and Memory)",text,no scale claim — research (Nature Scientific Reports 2025),LLM-arbitrate (hierarchical refinement),below detection threshold
LLM-ACTR / Cognitive LLMs,Cognitive-architecture-inspired,8 cites (4/yr),https://www.semanticscholar.org/paper/8544b2ff4635141062cc62333d83019c91b40979,No reproductions found,https://arxiv.org/abs/2408.09176,Paper only,no public code,"Siyu Wu, Alessandro Oltramari, Jonathan Francis, C. Lee Giles, Frank E. Ritter; Pennsylvania State University + Carnegie Mellon University","arxiv 2408.09176; PSU (Siyu Wu, C. Lee Giles) + CMU (Jonathan Francis); journal version SAGE AI 2025",text,no scale claim — research,not applicable (ACT-R buffers injected; no external write),below detection threshold
Human-Like Remembering and Forgetting,Cognitive-architecture-inspired,no data — searched S2 no count found,https://dl.acm.org/doi/10.1145/3765766.3765803,Too recent,https://dl.acm.org/doi/10.1145/3765766.3765803,Paper only,no data,"Yudai Honda, Yuki Fujita, Keiichi Zempo, Shogo Fukushima; Kyushu University + University of Tsukuba","ACM HAI 2025; Kyushu University (Yudai Honda, Shogo Fukushima — Faculty of Information Science and EE) + University of Tsukuba (Keiichi Zempo)",text,no scale claim — research (ACM HAI 2025),LLM-arbitrate (ACT-R base-level activation scoring),below detection threshold
AriGraph,Cognitive-architecture-inspired,63 cites (31/yr),https://www.semanticscholar.org/paper/e2687f80077e8466918e4aeb2ea52e591bfe7e81,No reproductions found,https://arxiv.org/abs/2407.04363,Code public + weights closed,https://github.com/AIRI-Institute/AriGraph,"Petr Anokhin, Nikita Semenov, Artyom Sorokin, Dmitry Evseev, Mikhail Burtsev, Evgeny Burnaev; AIRI Institute (AI Research Institute, Moscow)","IJCAI 2025; AIRI Institute Moscow (github.com/AIRI-Institute); arxiv 2407.04363",text,no scale claim — research,LLM-arbitrate (dual-layer KG),below detection threshold
Dual-Process Agent (DPA),Cognitive-architecture-inspired,no data — searched S2 (published Mar 2026),https://www.mdpi.com/2079-9292/15/6/1232,Too recent,https://www.mdpi.com/2079-9292/15/6/1232,Code public + weights closed,https://github.com/CharlesQ9/Self-Evolving-Agents,"no data — MDPI Electronics 2026; author names not confirmed from search; institution not recovered","MDPI Electronics 2026 15(6) 1232; published 16 March 2026; author affiliations not confirmed",text,no scale claim — research (MDPI Electronics 2025/2026),LLM-arbitrate (System 2 consensus write),below detection threshold
SYNAPSE,Cognitive-architecture-inspired,3 cites (3/yr),https://www.semanticscholar.org/paper/a0bd272b7d4ac151fbd0724f3cc77e2e2fa6941c,Too recent,https://arxiv.org/abs/2601.02744,Paper only,no public code,"Hanqi Jiang, Junhao Chen, Yi Pan, Ling Chen, Weihang You, Yifan Zhou, Ruidong Zhang, Andrea Sikora, Lin Zhao, Yohannes Abate, Tianming Liu; University of Georgia + University of Tennessee Knoxville + University of Colorado School of Medicine + New Jersey Institute of Technology","arxiv 2601.02744 Jan 2026; University of Georgia (School of Computing, Tianming Liu) is primary lab; multi-institution US",text,no scale claim — research,LLM-arbitrate (spreading-activation graph),below detection threshold
HeLa-Mem,Cognitive-architecture-inspired,not yet researched (too new — Apr 2026),https://arxiv.org/abs/2604.16839,Too recent,https://arxiv.org/abs/2604.16839,Paper only,no public code,"Jinchang Zhu, Jindong Li, Cheng Zhang, Jiahong Liu, Menglin Yang; Hong Kong University of Science and Technology (Guangzhou) + Jilin University + Chinese University of Hong Kong","arxiv 2604.16839 Apr 2026; HKUST(GZ) (Jinchang Zhu, Jindong Li, Menglin Yang) + Jilin U (Cheng Zhang) + CUHK (Jiahong Liu)",text,no scale claim — research,LLM-arbitrate (Hebbian distillation + consolidation),below detection threshold
