system,field,old_value,new_value,source_url,notes
"Adaptive-RAG","volume","not yet researched","no scale claim — research benchmarks (NQ / HotpotQA / 2WikiMultiHopQA)","https://arxiv.org/abs/2403.14403","Evaluated on standard QA benchmarks; no production volume."
"Adaptive-RAG","pricing","not yet researched","not applicable — not commercial","https://arxiv.org/abs/2403.14403","Academic; no pricing."
"Adaptive-RAG","deployment","not yet researched","local (open-source)","https://github.com/starsuzi/Adaptive-RAG","Self-hosted Apache-2.0 repo."
"RAFT","modalities","not yet researched","text","https://arxiv.org/abs/2403.10131","Fine-tuning on text-document QA chains; text-only."
"RAFT","conflict_resolution","not yet researched","not applicable (parametric fine-tuning; no runtime write path)","https://arxiv.org/abs/2403.10131","Model weights encode knowledge; no runtime conflict resolution."
"RAFT","volume","not yet researched","no scale claim — research fine-tuning technique","https://gorilla.cs.berkeley.edu/blogs/9_raft.html","No production volume claim."
"RAFT","pricing","not yet researched","not applicable — not commercial","https://arxiv.org/abs/2403.10131","Academic; no pricing."
"RAFT","deployment","not yet researched","local (open-source; in gorilla/raft subdir)","https://github.com/ShishirPatil/gorilla/tree/main/raft","Self-hosted Apache-2.0 code."
"Generative Semantic Workspace (GSW)","founders","not yet researched","searched arxiv.org/abs/2511.07587; author affiliations not found in preview","https://arxiv.org/abs/2511.07587","No author affiliation visible in abstract page."
"TC-RAG","pricing","not yet researched","not applicable — not commercial","https://arxiv.org/abs/2408.09199","Academic paper; no pricing."
"TC-RAG","deployment","not yet researched","local (open-source code at github.com/Artessay/TC-RAG)","https://github.com/Artessay/TC-RAG","Self-hosted; no license."
"KAG","modalities","not yet researched","text","https://arxiv.org/abs/2409.13731","KG + text chunks over professional text corpora."
"KAG","conflict_resolution","not yet researched","KG-arbitrate (logical-form guided; detects and resolves conflicts via graph reasoning)","https://arxiv.org/html/2409.13731v3","KAG uses logical-form reasoning over KG to handle knowledge conflicts; separate PIP-KAG paper (2502.15543) formalises conflict resolution."
"KAG","volume","not yet researched","Ant Group deployments: e-government (11k docs) + e-health (1.8M entities / 5M relationships)","https://dl.acm.org/doi/10.1145/3696410.3714805","Largest known deployment per ACM TheWebConf 2025 paper."
"KAG","pricing","not yet researched","not applicable — not commercial","https://github.com/OpenSPG/KAG","Apache-2.0 OSS; no pricing."
"KAG","deployment","not yet researched","local (open-source); Ant Group internal production deployment","https://github.com/OpenSPG/KAG","OSS library plus documented Ant Group production use."
"FLARE","modalities","not yet researched","text","https://arxiv.org/abs/2305.06983","Active retrieval during text generation; text-only."
"FLARE","conflict_resolution","not yet researched","not applicable (active retrieval only; no write path)","https://arxiv.org/abs/2305.06983","Retrieval-only technique; no conflict resolution."
"FLARE","volume","not yet researched","no scale claim — evaluated on 4 long-form QA tasks","https://arxiv.org/abs/2305.06983","Benchmarked on 2WikiMultiHopQA, StrategyQA, ASQA, WikiAsp."
"FLARE","pricing","not yet researched","not applicable — not commercial","https://arxiv.org/abs/2305.06983","Academic; no pricing."
"FLARE","deployment","not yet researched","local (open-source)","https://github.com/jzbjyb/FLARE","Self-hosted MIT repo."
"ITER-RETGEN","modalities","not yet researched","text","https://arxiv.org/abs/2305.15294","Iterative text generation and retrieval; text-only."
"ITER-RETGEN","conflict_resolution","not yet researched","not applicable (iterative retrieval; no persistent write path)","https://arxiv.org/abs/2305.15294","No write path; iterative retrieval only."
"ITER-RETGEN","volume","not yet researched","no scale claim — evaluated on multi-hop QA / fact verification / commonsense","https://arxiv.org/abs/2305.15294","Standard research benchmarks; no production claim."
"ITER-RETGEN","pricing","not yet researched","not applicable — not commercial","https://arxiv.org/abs/2305.15294","Academic; no pricing."
"ITER-RETGEN","deployment","not yet researched","local (open-source code at github.com/dreasysnail/RetGen)","https://github.com/dreasysnail/RetGen","Self-hosted; no license."
"StructRAG","modalities","not applicable (already tagged text)","text","https://arxiv.org/abs/2410.08815","Text-to-structure conversion; text-only."
"StructRAG","founders","not yet researched","Zhuoqun Li, Xuanang Chen, Haiyang Yu (Alibaba Group), Hongyu Lin, Yaojie Lu, Qiaoyu Tang, Fei Huang, Xianpei Han, Le Sun, Yongbin Li","https://arxiv.org/abs/2410.08815","Author list from Semantic Scholar / DBLP; Alibaba Group affiliation confirmed for Haiyang Yu."
"StructRAG","pricing","not yet researched","not applicable — not commercial","https://arxiv.org/abs/2410.08815","Academic; no pricing."
"StructRAG","deployment","not yet researched","local (open-source code at github.com/Li-Z-Q/StructRAG)","https://github.com/Li-Z-Q/StructRAG","Self-hosted; no license file."
"HiRAG","founders","not yet researched","searched arxiv.org/abs/2503.10150; author affiliations not found in public preview","https://arxiv.org/abs/2503.10150","No named author list visible on abstract page."
"CAG (Cache-Augmented Generation)","modalities","not yet researched","text","https://arxiv.org/abs/2412.15605","KV-cache preloading of text documents; text-only."
"CAG (Cache-Augmented Generation)","pricing","not yet researched","not applicable — not commercial","https://arxiv.org/abs/2412.15605","Academic; no pricing."
"CAG (Cache-Augmented Generation)","deployment","not yet researched","local (open-source)","https://github.com/hhhuang/CAG","Self-hosted MIT repo."
"CAG (Cache-Augmented Generation)","volume","not yet researched","bounded corpus (must fit in model context window); no scale claim","https://arxiv.org/abs/2412.15605","Works only when full corpus fits in context; not a scalable volume claim."
"REALM","modalities","not yet researched","text","https://arxiv.org/abs/2002.08909","Text pre-training with Wikipedia-scale corpus; text-only."
"REALM","conflict_resolution","not yet researched","not applicable (retrieval-augmented pre-training; no runtime write path)","https://arxiv.org/abs/2002.08909","Pre-training technique; no write path."
"REALM","volume","not yet researched","Wikipedia-scale (~13M documents) at pre-training","https://arxiv.org/abs/2002.08909","Uses full English Wikipedia as retrieval corpus."
"REALM","pricing","not yet researched","not applicable — not commercial","https://arxiv.org/abs/2002.08909","Academic Google Research; no pricing."
"REALM","deployment","not yet researched","local (code at github.com/google-research/language/blob/master/language/realm/)","https://github.com/google-research/language/blob/master/language/realm/README.md","Apache-2.0 OSS; self-hosted."
"RETRO","modalities","not yet researched","text","https://arxiv.org/abs/2112.04426","RETRO retrieves from 2T-token text database; text-only."
"RETRO","conflict_resolution","not yet researched","not applicable (frozen retrieval database; no runtime write)","https://arxiv.org/abs/2112.04426","Static frozen retrieval database; no write path."
"RETRO","volume","not yet researched","2 trillion token retrieval database (training-time claim only)","https://deepmind.google/blog/improving-language-models-by-retrieving-from-trillions-of-tokens/","DeepMind blog confirms 2T token database; no inference-time volume claim."
"RETRO","pricing","not yet researched","not applicable — not commercial","https://arxiv.org/abs/2112.04426","Academic DeepMind paper; no pricing."
"RETRO","deployment","not yet researched","paper only (NVIDIA NeMo provides partial reproduction)","https://docs.nvidia.com/nemo-framework/user-guide/24.07/nemotoolkit/nlp/nemo_megatron/retro_legacy/retro_model_legacy.html","No official code from DeepMind; community PyTorch impl (lucidrains) and NVIDIA NeMo."
"Atlas","pricing","not yet researched","not applicable — not commercial","https://arxiv.org/abs/2208.03299","Academic Meta AI research; no pricing."
"Atlas","deployment","not yet researched","local (open-source at github.com/facebookresearch/atlas)","https://github.com/facebookresearch/atlas","Self-hosted Meta AI code."
"CRAG","modalities","not yet researched","text","https://arxiv.org/abs/2401.15884","Corrective retrieval over text documents; text-only."
"CRAG","conflict_resolution","not yet researched","evaluator-triggered: Correct / Incorrect / Ambiguous action routing with web fallback","https://arxiv.org/abs/2401.15884","Three-branch decision: refine-and-use, discard+web-search, or combine. This is conflict/reliability resolution at retrieval level."
"CRAG","volume","not yet researched","no scale claim — research benchmarks","https://arxiv.org/abs/2401.15884","Evaluated on PopQA, ASQA, Biography; no production volume."
"CRAG","pricing","not yet researched","not applicable — not commercial","https://arxiv.org/abs/2401.15884","Academic; no pricing."
"CRAG","deployment","not yet researched","local (open-source at github.com/HuskyInSalt/CRAG)","https://github.com/HuskyInSalt/CRAG","Self-hosted; no license."
"Self-RAG","modalities","not yet researched","text","https://arxiv.org/abs/2310.11511","Self-reflective token generation over text; text-only."
"Self-RAG","conflict_resolution","not yet researched","parametric self-reflection (model emits critique tokens; no external write path)","https://arxiv.org/abs/2310.11511","Reflection tokens are the model's internal conflict mechanism; no external state."
"Self-RAG","volume","not yet researched","no scale claim — research (ICLR 2024 Spotlight)","https://arxiv.org/abs/2310.11511","No production volume claim."
"Self-RAG","pricing","not yet researched","not applicable — not commercial","https://arxiv.org/abs/2310.11511","Academic; no pricing."
"Self-RAG","deployment","not yet researched","local (open-source; model weights on HuggingFace)","https://github.com/AkariAsai/self-rag","MIT license; weights and code public."
"Speculative RAG","modalities (confirm)","text (already tagged)","text","https://arxiv.org/abs/2407.08223","Google DeepMind; text-only."
"LongRAG","pricing","not yet researched","not applicable — not commercial","https://arxiv.org/abs/2406.15319","Academic; no pricing."
"LongRAG","deployment","not yet researched","local (open-source at github.com/TIGER-AI-Lab/LongRAG)","https://github.com/TIGER-AI-Lab/LongRAG","Self-hosted MIT repo."
"LongRAG","founders","not yet researched","TIGER-AI Lab (University of Waterloo); Ziyan Jiang, Xueguang Ma, Weiming Shi, Sihao Chen, Mike Zheng Shou, Jimmy Lin","https://arxiv.org/abs/2406.15319","Author list from arxiv; TIGER-AI Lab affiliation."
"Multi-Head RAG (MHRAG)","pricing","not yet researched","not applicable — not commercial","https://arxiv.org/abs/2406.05085","Academic; no pricing."
"Multi-Head RAG (MHRAG)","deployment","not yet researched","local (open-source at github.com/spcl/MRAG)","https://github.com/spcl/MRAG","Self-hosted; license not found."
"Multi-Head RAG (MHRAG)","founders","not yet researched","ETH Zurich SPCL (Scalable Parallel Computing Lab); Maciej Besta et al.","https://arxiv.org/abs/2406.05085","SPCL affiliation standard for Besta et al. papers."
"BGE-M3","modalities","not yet researched","text (100+ languages; dense + sparse + multi-vector)","https://huggingface.co/BAAI/bge-m3","Multi-lingual text embedding; not multimodal (images/audio)."
"BGE-M3","conflict_resolution","not yet researched","not applicable (embedding model only; no write path)","https://arxiv.org/abs/2402.03216","Retrieval model; no persistent memory or conflict resolution."
"BGE-M3","volume","not yet researched","no deployment volume claim; inputs up to 8192 tokens","https://huggingface.co/BAAI/bge-m3","8192-token input length per official HuggingFace docs."
"BGE-M3","pricing","not yet researched","not applicable — not commercial (model weights free)","https://huggingface.co/BAAI/bge-m3","MIT license; free weights on HuggingFace."
"BGE-M3","deployment","not yet researched","local or cloud (HuggingFace / Ollama; integrated in many frameworks)","https://ollama.com/library/bge-m3","Available via Ollama, HuggingFace, and major vector DBs."
"AutoRAG","pricing","not yet researched","not applicable — not commercial","https://arxiv.org/abs/2410.20878","Open-source Apache-2.0; no pricing."
"AutoRAG","deployment","not yet researched","local (open-source at github.com/Marker-Inc-Korea/AutoRAG)","https://github.com/Marker-Inc-Korea/AutoRAG","Self-hosted Apache-2.0."
"AutoRAG","founders","not yet researched","Marker-Inc Korea; no individual author confirmed in preview","https://arxiv.org/abs/2410.20878","GitHub org: Marker-Inc-Korea; paper author list not found."
"PathRAG","pricing","not yet researched","not applicable — not commercial","https://arxiv.org/abs/2502.14902","Academic; no pricing."
"PathRAG","deployment","not yet researched","local (open-source at github.com/BUPT-GAMMA/PathRAG)","https://github.com/BUPT-GAMMA/PathRAG","Self-hosted; no license file."
"Mem0","citations","not yet researched","95 cites (ECAI 2025 paper arxiv 2504.19413)","https://www.semanticscholar.org/paper/Mem0:-Building-Production-Ready-AI-Agents-with-Chhikara-Khant/1d9c21a0fdb1cc16a32c5d490ebaf98436a23382","S2 record for 2504.19413; 95 citations circa May 2026."
"Mem0","repro","not yet researched","not applicable — not a research paper (commercial product); paper code is public","https://github.com/mem0ai/mem0","OSS codebase; production paper (ECAI 2025) independently deployable."
"Mem0","code_release","not yet researched","Code public + weights closed (Apache-2.0 open-source)","https://github.com/mem0ai/mem0","Full code open-source; extraction LLM is user-supplied."
"Zep & Graphiti","citations","not yet researched","no data — searched semanticscholar for arxiv 2501.13956; 0 citations found (preprint)","https://arxiv.org/abs/2501.13956","Graphiti paper (2501.13956) is very recent; no S2 citation record found."
"Zep & Graphiti","repro","not yet researched","not applicable — not a research paper (commercial product + OSS)","https://github.com/getzep/graphiti","Graphiti is the OSS core; not a paper reproduction exercise."
"Zep & Graphiti","code_release","not yet researched","Code public + weights closed (Apache-2.0)","https://github.com/getzep/graphiti","Graphiti open-source; Zep cloud is commercial."
"MemOS (MemTensor)","modalities","not yet researched","text, images, tool traces, personas (v2.0 Stardust)","https://github.com/MemTensor/MemOS","Multi-modal per v2 release notes; images+charts explicitly listed."
"MemOS (MemTensor)","conflict_resolution","not yet researched","conflict resolution under active development in MemOperator model (WIP)","https://github.com/MemTensor/MemOS","GitHub docs state relational reasoning + conflict detection WIP in MemOperator."
"MemOS (MemTensor)","pricing","not yet researched","no public pricing found — searched memtensor.com and github.com/MemTensor/MemOS","https://github.com/MemTensor/MemOS","No pricing page found; Apache-2.0 OSS core."
"MemOS (MemTensor)","deployment","not yet researched","local (open-source) + MemOS-Cloud plugin (cloud)","https://github.com/MemTensor/MemOS-Cloud-Openclaw-Plugin","OSS core local; cloud plugin via MemOS-Cloud."
"MemOS (MemTensor)","volume","not yet researched","no public scale claim","https://github.com/MemTensor/MemOS","No production volume claim found in docs or papers."
"MemOS (MemTensor)","mindshare","below detection threshold or not yet researched","below detection threshold — no HN / press mentions found beyond Chinese-language coverage","https://github.com/MemTensor/MemOS","8.9k★ but primarily Chinese-market origin; low English-language mindshare."
"A-MEM","modalities","not yet researched","text","https://arxiv.org/abs/2502.12110","Zettelkasten-style agentic memory over text interactions."
"A-MEM","conflict_resolution","not yet researched","append-only + retroactive revision (LLM-arbitrated note updates)","https://arxiv.org/abs/2502.12110","Dynamic linking enables retroactive memory revision; LLM arbitrates updates."
"A-MEM","volume","not yet researched","no scale claim — research (NeurIPS 2025)","https://neurips.cc/virtual/2025/poster/119020","No production volume claim."
"A-MEM","pricing","not yet researched","not applicable — not commercial","https://arxiv.org/abs/2502.12110","Academic OSS; no pricing."
"A-MEM","deployment","not yet researched","local (open-source at github.com/WujiangXu/A-mem)","https://github.com/WujiangXu/A-mem","Self-hosted MIT repo."
"A-MEM","founders","not yet researched","Rutgers University; Wujiang Xu (PhD student), Zujie Liang, Kai Mei, Hang Gao, Juntao Tan, Yongfeng Zhang","https://wujiangxu.github.io/","Wujiang Xu homepage confirms Rutgers; NeurIPS 2025 poster."
"A-MEM","mindshare","below detection threshold or not yet researched","below detection threshold — 871★; no press / HN mentions found","https://github.com/WujiangXu/A-mem","Academic repo; community-size signal only."
"BAI-LAB MemoryOS","modalities","not yet researched","text","https://aclanthology.org/2025.emnlp-main.1318.pdf","Text-based conversation memory; EMNLP 2025 Oral; text-only."
"BAI-LAB MemoryOS","conflict_resolution","not yet researched","consolidation-based (FIFO + segmented paging; no explicit conflict arbitration)","https://github.com/BAI-LAB/MemoryOS","Hierarchical promotion via FIFO and paging; no explicit conflict resolver."
"BAI-LAB MemoryOS","volume","not yet researched","no scale claim — evaluated on LoCoMo benchmark","https://aclanthology.org/2025.emnlp-main.1318/","Research benchmarks only."
"BAI-LAB MemoryOS","pricing","not yet researched","not applicable — not commercial","https://github.com/BAI-LAB/MemoryOS","Apache-2.0 OSS; no pricing."
"BAI-LAB MemoryOS","deployment","not yet researched","local (open-source at github.com/BAI-LAB/MemoryOS)","https://github.com/BAI-LAB/MemoryOS","Self-hosted Apache-2.0."
"BAI-LAB MemoryOS","mindshare","below detection threshold or not yet researched","below detection threshold — 1.4k★; no press / HN mentions","https://github.com/BAI-LAB/MemoryOS","Academic OSS; small community signal."
"Titans (Google)","modalities","not yet researched","text, DNA sequences, time series (paper validated on all three)","https://arxiv.org/abs/2501.00663","Paper explicitly tests on genomics (DNA) and time-series in addition to text."
"Titans (Google)","conflict_resolution","not yet researched","gradient-descent surprise gating (momentum-based; adaptive weight decay as forgetting gate)","https://arxiv.org/abs/2501.00663","Surprise metric drives update; weight decay acts as forgetting gate. No external conflict arbitration."
"Titans (Google)","volume","not yet researched","scales to 2M+ tokens (claimed in paper)","https://research.google/blog/titans-miras-helping-ai-have-long-term-memory/","Google blog confirms 2M+ token scaling claim."
"Titans (Google)","mindshare","below detection threshold or not yet researched","below detection threshold — no HN / press beyond ML-specialist coverage","https://arxiv.org/abs/2501.00663","206 S2 citations but no consumer press; specialist ML community only."
"MemoRAG","citations","","72 cites","https://www.semanticscholar.org/paper/MemoRAG:-Memory-Inspired-Knowledge-Discovery-over-Qian-Liang/31ba8551422570f16e0c60fc3f7ac7cdcbbd99d3","S2 record for arxiv 2409.05591; circa May 2026."
"MemoRAG","pricing","not yet researched","not applicable — not commercial","https://github.com/qhjqhj00/MemoRAG","Apache-2.0 OSS; no pricing."
"MemoRAG","deployment","not yet researched","local (open-source at github.com/qhjqhj00/MemoRAG)","https://github.com/qhjqhj00/MemoRAG","Self-hosted Apache-2.0."
"MemoRAG","mindshare","below detection threshold or not yet researched","below detection threshold — 2.2k★; no press / HN signal","https://github.com/qhjqhj00/MemoRAG","Small academic community."
"EVOLVE-MEM","created","not yet researched","2025-12 (NeurIPS 2025 Scaling Environments for Agents workshop, December 7 2025)","https://neurips.cc/virtual/2025/124536","Workshop date December 7 2025; preprint likely late 2025."
"EVOLVE-MEM","founders","Anonymous NeurIPS 2025 submission (workshop track); no named authors at search time","Rishi Ashish Shah, Ujjwal Kakar, Shashvat Singhal, Dinesh Vishwakarma","https://neurips.cc/virtual/2025/124536","NeurIPS virtual page reveals author names."
"EVOLVE-MEM","citations","","0 — no S2 entry found (workshop paper)","https://neurips.cc/virtual/2025/124536 (searched S2; no entry found)","Workshop papers often not indexed in S2."
"EVOLVE-MEM","mindshare","below detection threshold or not yet researched","below detection threshold — workshop paper; no press / HN signal","https://neurips.cc/virtual/2025/124536","NeurIPS workshop track; minimal public visibility."
"MemPalace","citations","not yet researched","no data — MemPalace is a GitHub project (not a paper); critical analysis paper 2604.21284 has 0 S2 citations (too recent)","https://arxiv.org/abs/2604.21284","No paper; 2604.21284 is the independent analysis, not the product itself."
"MemPalace","repro","not yet researched","independently reproduced (benchmarks/BENCHMARKS.md in repo; reproduction scripts committed)","https://github.com/web3guru888/mempalace-scientific-analysis","Analysis paper (2604.21284) confirms all numbers reproducible from repo."
"MemPalace","code_release","not yet researched","Code public + weights closed (MIT license; runs locally via ChromaDB+SQLite)","https://github.com/MemPalace/mempalace","MIT-licensed; zero API cost; fully local."
"MemPalace","deployment","not yet researched","local (runs entirely locally; ChromaDB + SQLite; no external API required)","https://openclawapi.org/en/blog/2026-04-08-mempalace-deployment","Zero-LLM write path; runs offline. MCP server also available."
"MemPalace","founders","not yet researched","Robin Dey and Panyanon Viradecha (OpenHub Research, Chiang Mai, Thailand) per critical analysis paper; MemPalace itself lists no author","https://arxiv.org/abs/2604.21284","2604.21284 authors are the *analysts*, not creators; creators still anonymous per search."
"MemPalace","pricing","not yet researched","not applicable — not commercial (MIT OSS)","https://github.com/MemPalace/mempalace","Free MIT-licensed OSS."
"MemPalace","mindshare","below detection threshold or not yet researched","viral — 47k+ GitHub stars in first 2 weeks (Apr 2026); covered in VentureBeat and Medium","https://medium.com/@tentenco/mempalace-milla-jovovichs-ai-memory-system-what-the-benchmarks-actually-mean-1a3abe4490d8","Benchmark controversy drove significant press coverage."
"EverMemOS","modalities","not yet researched","text","https://arxiv.org/abs/2601.02163","Text-based long-horizon reasoning; no multimodal claim."
"EverMemOS","volume","not yet researched","no scale claim — evaluated on LongMemEval (reports 83.0%)","https://arxiv.org/abs/2601.02163","LongMemEval benchmark only; no production scale claim."
"EverMemOS","founders","not yet researched","Chuanrui Hu, Xingze Gao, Zuyi Zhou, Dannong Xu, Yi Bai, Xintong Li, Hui Zhang, Tong Li, Chong Zhang, Lidong Bing, Yafeng Deng","https://arxiv.org/abs/2601.02163","Author list from arxiv abstract page. Institutional affiliations not found in preview."
"TiMem","modalities","(already tagged text)","text","https://arxiv.org/abs/2601.02845","Text-based conversation memory; temporal consolidation."
"TiMem","pricing","not yet researched","not applicable — not commercial","https://github.com/TiMEM-AI/timem","Custom license; no pricing."
"TiMem","deployment","not yet researched","local (open-source at github.com/TiMEM-AI/timem)","https://github.com/TiMEM-AI/timem","Self-hosted; custom license."
"TiMem","founders","not yet researched","Kai Li, Xuanqing Yu, Ziyi Ni, Yi Zeng, Yao Xu, Zheqing Zhang, Xin Li, Jitao Sang, Xiaogang Duan, Xuelei Wang, Chengbao Liu, Jie Tan","https://arxiv.org/abs/2601.02845","Author list from arxiv abstract."
"TiMem","mindshare","below detection threshold or not yet researched","below detection threshold — 123★; no press / HN signal","https://github.com/TiMEM-AI/timem","Small academic community."
"LiCoMemory","founders","not yet researched","Zhengjun Huang, Zhoujin Tian, Qintian Guo (HKUST); Fangyuan Zhang (Huawei HK Research); Yingli Zhou (CUHK-Shenzhen); Di Jiang (WeBank, Shenzhen); Zeying Xie; Xiaofang Zhou (HKUST)","https://arxiv.org/html/2511.01448","Full affiliation list from arxiv HTML: HKUST + Huawei + CUHK-Shenzhen + WeBank."
"LiCoMemory","mindshare","below detection threshold or not yet researched","below detection threshold — paper only; no press / HN / GitHub stars","https://arxiv.org/abs/2511.01448","Paper-only; no OSS release."
"Hindsight (Vectorize)","citations","not yet researched","no data — searched S2 for arxiv 2512.12818; preprint, 0 citations found","https://arxiv.org/abs/2512.12818","Very recent (Dec 2025); not yet in S2."
"Hindsight (Vectorize)","repro","not yet researched","independently reproduced (Virginia Tech Sanghani Center + Washington Post validation)","https://arxiv.org/html/2512.12818v1","Paper states reproduction collaborators explicitly."
"Hindsight (Vectorize)","code_release","not yet researched","Code public + weights closed (MIT; full pipeline at github.com/vectorize-io/hindsight)","https://github.com/vectorize-io/hindsight","Full benchmark reproduction scripts committed."
"Hindsight (Vectorize)","customers","not yet researched","no public enterprise customer list; Vectorize seed round (True Ventures); 12.3k★","https://bizwest.com/2024/10/08/vectorize-raises-3-6-million-to-boost-ai-powered-data-retrieval/","No named customers; 12.3k stars suggests broad developer adoption."
