company,round_type,date,amount_usd,lead_investor,valuation,source_url
Devin (Cognition),Series E,2025-09-08,400000000,Founders Fund,10200000000,https://techcrunch.com/2025/09/08/cognition-ai-defies-turbulence-with-a-400m-raise-at-10-2b-valuation/
Augment Code,Series A,2023-01-01,25000000,Sutter Hill Ventures,,https://www.augmentcode.com/blog/augment-inc-raises-227-million
Augment Code,Series B,2024-04-24,227000000,Sutter Hill + Index + Lightspeed + Meritech,977000000,https://www.finsmes.com/2024/04/augment-raises-227m-in-series-b-funding-at-977m-valuation.html
LangChain,Seed,2023-04-01,10000000,Benchmark,,https://blog.langchain.com/series-b/
LangChain,Series A,2024-02-01,25000000,Sequoia Capital,200000000,https://fortune.com/2025/10/20/exclusive-early-ai-darling-langchain-is-now-a-unicorn-with-a-fresh-125-million-in-funding/
LangChain,Series B,2025-10-20,125000000,IVP,1250000000,https://blog.langchain.com/series-b/
CrewAI,Inception (pre-Series A),2024-01-01,,boldstart ventures,,https://pulse2.com/crewai-multi-agent-platform-raises-18-million-series-a/
CrewAI,Series A,2024-10-23,18000000,Insight Partners,,https://siliconangle.com/2024/10/22/agentic-ai-startup-crewai-closes-18m-funding-round/
Supermemory,Seed,2025-10-06,2600000,Susa Ventures,,https://techcrunch.com/2025/10/06/a-19-year-old-nabs-backing-from-google-execs-for-his-ai-memory-startup-supermemory/
Supermemory,Seed (extended),2025-10-06,3000000,Susa Ventures,,https://supermemory.ai/blog/supermemory-raises-3-million-and-building-the-best-memory-engine-for-llms/
Vectorize (Hindsight),Seed,2024-10-08,3600000,True Ventures,,https://bizwest.com/2024/10/08/vectorize-raises-3-6-million-to-boost-ai-powered-data-retrieval/
Perplexity AI,Seed,2022-09-01,3100000,Elad Gil + Nat Friedman,,https://www.perplexity.ai/hub/blog/announcing-our-series-a-funding-round-and-mobile-app-launch
Perplexity AI,Series A,2023-03-01,25600000,New Enterprise Associates,,https://www.perplexity.ai/hub/blog/perplexity-raises-series-b-funding-round
Perplexity AI,Series B,2024-01-01,73600000,IVP + Nvidia,520000000,https://www.perplexity.ai/hub/blog/perplexity-raises-series-b-funding-round
Perplexity AI,Series C,2024-04-01,62700000,Daniel Gross,1000000000,https://tracxn.com/d/companies/perplexity
Perplexity AI,Series D,2024-12-01,500000000,,9000000000,https://www.pymnts.com/artificial-intelligence-2/2025/perplexity-ai-hits-18-billion-valuation-in-latest-funding-round/
Perplexity AI,Series E,2025-05-01,500000000,,14000000000,https://techfundingnews.com/perplexity-ai-seeks-1-5-b-funding-eyeing-18b-valuation/
Perplexity AI,Series F,2025-09-01,200000000,,20000000000,https://www.pymnts.com/artificial-intelligence-2/2025/perplexity-ai-hits-18-billion-valuation-in-latest-funding-round/
Dia (The Browser Company / Atlassian),Seed + Early,2022-01-01,,,,https://www.diabrowser.com
Dia (The Browser Company / Atlassian),Series A+,2023-01-01,128000000,,,,
Dia (The Browser Company / Atlassian),Acquisition,2025-09-01,,Atlassian,610000000,https://www.diabrowser.com
Browserbase,Seed,2024-06-06,,,,https://www.browserbase.com/blog/series-b-and-beyond
Browserbase,Series A,2024-09-01,,Kleiner Perkins + CRV,,https://www.browserbase.com/blog/series-b-and-beyond
Browserbase,Series B,2025-04-22,40000000,Notable Capital,300000000,https://www.prnewswire.com/news-releases/browserbase-launches-director-to-automate-the-web-for-everyone-announces-40m-series-b-302483761.html
Fellou,Seed/Series A,2025-01-01,40400000,LongRiver Investments,,https://fellou.ai/
Lovable,Seed,2024-10-07,7460000,,,https://lovable.dev/blog/series-b
Lovable,Series A,2025-02-01,200000000,Accel,1800000000,https://techcrunch.com/2025/12/18/vibe-coding-startup-lovable-raises-330m-at-a-6-6b-valuation/
Lovable,Series B,2025-12-18,330000000,CapitalG + Menlo,6600000000,https://techcrunch.com/2025/12/18/vibe-coding-startup-lovable-raises-330m-at-a-6-6b-valuation/
Replit,Pre-Seed (YC),2018-01-01,120000,Y Combinator,,https://replit.com/news/funding-announcement
Replit,Seed,2019-01-01,4500000,Andreessen Horowitz,,https://replit.com/news/funding-announcement
Replit,Series A,2021-01-01,20000000,a.Capital Ventures,,https://replit.com/news/funding-announcement
Replit,Series B,2021-12-10,80000000,Coatue,,https://replit.com/news/funding-announcement
Replit,Series C,2023-01-01,97400000,Andreessen Horowitz,,https://replit.com/news/funding-announcement
Replit,Series D (pre-announcement),2025-09-01,250000000,Prysm Capital,3000000000,https://replit.com/news/funding-announcement
Replit,Series D,2026-03-01,400000000,Georgian,9000000000,https://techfundingnews.com/replit-grabs-400m-at-9b-valuation-in-the-ai-coding-race-with-openai-and-cursor/
Granola,Seed,2023-05-01,4250000,Lightspeed Venture Partners,,https://www.granola.ai/blog/series-a
Granola,Series A,2024-10-01,20000000,Spark Capital,,https://www.granola.ai/blog/series-a
Granola,Series B,2025-05-14,43000000,NFDG (Nat Friedman + Daniel Gross),250000000,https://techcrunch.com/2025/05/14/ai-note-taking-app-granola-raises-43m-at-250m-valuation-launches-collaborative-features/
Granola,Series C,2026-03-25,125000000,Index Ventures + Kleiner Perkins,1500000000,https://techcrunch.com/2026/03/25/granola-raises-125m-hits-1-5b-valuation-as-it-expands-from-meeting-notetaker-to-enterprise-ai-app/
Otter.ai,Seed,2016-09-01,3000000,Draper Associates,,https://otter.ai/blog/otter-raises-50-million
Otter.ai,Series A,2017-11-01,10000000,Horizons Ventures,,https://otter.ai/blog/otter-raises-50-million
Otter.ai,Strategic,2020-01-01,10000000,NTT DOCOMO Ventures,,https://otter.ai/blog/otter-raises-50-million
Otter.ai,Series B,2021-02-01,50000000,Spectrum Equity,,https://otter.ai/blog/otter-raises-50-million
Sandbar,Pre-Seed,2025-11-05,13000000,True Ventures + Upfront + Betaworks,,https://techcrunch.com/2025/11/05/former-meta-employees-launch-stream-a-smart-ring-that-takes-voice-notes-and-controls-music/
Sandbar,Series A,2026-03-10,23000000,Adjacent + Kindred Ventures,,https://techcrunch.com/2026/03/10/sandbar-secures-23m-series-a-for-its-ai-note-taking-ring/
Vapi,Seed,2023-01-01,2100000,Kleiner Perkins + Abstract,,https://vapi.ai/blog/vapi-secures-20m-to-start-the-voice-revolution-2
Vapi,Series A,2024-12-12,20000000,Bessemer Venture Partners,130000000,https://vapi.ai/blog/vapi-secures-20m-to-start-the-voice-revolution-2
Retell AI,Seed,2024-04-01,4600000,Alt Capital + Y Combinator,,https://www.retellai.com/blog/seed-announcement
AI21 Labs,Seed/Angel,2020-11-01,25000000,Pitango First,,https://en.wikipedia.org/wiki/AI21_Labs
AI21 Labs,Series A,2021-11-01,64000000,Ahren Investment Capital,,https://tracxn.com/d/companies/ai21-labs
AI21 Labs,Series B,2022-07-01,64000000,Ahren Investment Capital,,https://tracxn.com/d/companies/ai21-labs
AI21 Labs,Series C,2023-08-31,155000000,Google + Nvidia,,https://en.wikipedia.org/wiki/AI21_Labs
AI21 Labs,Series D,2025-05-01,300000000,NVIDIA + Alphabet,,https://en.wikipedia.org/wiki/AI21_Labs
Aleph Alpha,Seed,2020-11-01,5800000,,,https://en.wikipedia.org/wiki/Aleph_Alpha
Aleph Alpha,Series A,2021-06-01,25800000,Earlybird,,https://medium.com/birds-view/biggest-ai-funding-in-europe-behind-the-scenes-of-aleph-alphas-500m-usd-series-b-d240dda878af
Aleph Alpha,Series B,2023-11-06,500000000,Innovation Park AI + Bosch + Schwarz Group,,https://medium.com/birds-view/biggest-ai-funding-in-europe-behind-the-scenes-of-aleph-alphas-500m-usd-series-b-d240dda878af
Notion,Seed,2018-01-01,,,Notion seed investors,,
Notion,Series A,2019-01-01,10000000,,,https://tracxn.com/d/companies/notion
Notion,Series B,2020-04-01,50000000,Sequoia Capital,2000000000,https://tracxn.com/d/companies/notion
Notion,Series C,2021-10-01,275000000,Coatue + Sequoia,10000000000,https://tracxn.com/d/companies/notion
FlowiseAI,Seed (YC),2023-01-01,500000,Y Combinator,,https://www.ycombinator.com/companies/flowiseai
Era Computer,Pre-Seed,2025-01-01,2000000,Topology Ventures + Betaworks,,https://techcrunch.com/2026/04/23/era-computer-raises-11m-to-build-a-software-platform-for-ai-gadgets/
Era Computer,Seed,2026-04-23,9000000,Abstract Ventures + BoxGroup,,https://techcrunch.com/2026/04/23/era-computer-raises-11m-to-build-a-software-platform-for-ai-gadgets/
