paper_name,arxiv_id,reproducibility,code_weights_release,source_url_repro,source_url_code
LoCoMo,2402.17753,Disputed,Code public + weights closed,https://github.com/getzep/zep-papers/issues/5,https://github.com/snap-research/locomo
Neural Episodic Control,1703.01988,Independently reproduced,Paper only,https://proceedings.mlr.press/v70/pritzel17a.html,https://github.com/EndingCredits/Neural-Episodic-Control
MemoryBank,2305.10250,No reproductions found,Code public + weights public,https://arxiv.org/abs/2305.10250,https://github.com/zhongwanjun/MemoryBank-SiliconFriend
RAFT,2403.10131,Independently reproduced,Code public + weights closed,https://openreview.net/forum?id=rzQGHXNReU,https://github.com/ShishirPatil/gorilla/tree/main/raft
InfiniteBench (∞Bench),2402.13718,Independently reproduced,Code public + weights closed,https://huggingface.co/papers/2402.13718,https://github.com/OpenBMB/InfiniteBench
V-JEPA 2,2506.09985,Too recent,Code public + weights public,https://ai.meta.com/blog/v-jepa-2-world-model-benchmarks/,https://github.com/facebookresearch/vjepa2
RepairAgent,2403.17134,No reproductions found,Code public + weights closed,https://dl.acm.org/doi/abs/10.1145/3715754,https://github.com/sola-st/RepairAgent
S³,2307.14984,No reproductions found,Paper only,https://arxiv.org/abs/2307.14984,https://no data - no GitHub found
V-JEPA (original),2404.08471,Independently reproduced,Code public + weights public,https://huggingface.co/docs/transformers/model_doc/ijepa,https://github.com/facebookresearch/jepa
LongMemEval,2410.10813,Disputed,Code public + weights closed,https://vectorize.io/articles/mempalace-benchmarks,https://github.com/xiaowu0162/LongMemEval
DIAMOND,2405.12399,Independently reproduced,Code public + weights public,https://neurips.cc/virtual/2024/poster/93555,https://github.com/eloialonso/diamond
Titans (Google),2501.00663,No reproductions found,Paper only,https://arxiv.org/abs/2501.00663,https://no data - Google stated code "coming soon" but not yet released per search results
BABILong,2406.10149,Independently reproduced,Code public + weights closed,https://proceedings.neurips.cc/paper_files/paper/2024/,https://github.com/booydar/babilong
CRAG,2401.15884,Independently reproduced,Code public + weights public,https://openreview.net/forum?id=JnWJbrnaUE,https://github.com/HuskyInSalt/CRAG
Infini-attention,2404.07143,No reproductions found,Paper only,https://huggingface.co/papers/2404.07143,https://github.com/vmarinowski/infini-attention
AlphaEdit,2410.02355,No reproductions found,Code public + weights closed,https://openreview.net/forum?id=HvSytvg3Jh,https://github.com/jianghoucheng/alphaedit
Recurrent Memory Transformer (RMT),2207.06881,Independently reproduced,Code public + weights public,https://proceedings.neurips.cc/paper_files/paper/2022/hash/47e288629a6996a17ce50b90a056a0e1-Abstract-Conference.html,https://github.com/booydar/recurrent-memory-transformer
LongMem,2306.07174,No reproductions found,Code public + weights closed,https://proceedings.neurips.cc/paper_files/paper/2023/,https://github.com/Victorwz/LongMem
Agent S,2410.08164,No reproductions found,Code public + weights closed,https://huggingface.co/papers/2410.08164,https://github.com/simular-ai/agent-s
LongRAG,2406.15319,No reproductions found,Code public + weights closed,https://arxiv.org/abs/2406.15319,https://github.com/TIGER-AI-Lab/LongRAG
Fincon,2407.06567,No reproductions found,Code public + weights closed,https://openreview.net/forum?id=dG1HwKMYbC,https://github.com/MXGao-A/FAgent
Retroformer,2308.02151,No reproductions found,Code public + weights closed,https://openreview.net/forum?id=KOZu91CzbK,https://github.com/weirayao/Retroformer
SG-Nav,2410.08189,No reproductions found,Paper only,https://arxiv.org/abs/2410.08189,https://no data - no public code found
MemAgent,2507.02259,Too recent,Code public + weights public,https://huggingface.co/papers/2507.02259,https://github.com/BytedTsinghua-SIA/MemAgent
Recurrent Memory Transformer (RMT),2304.11062,No reproductions found,Code public + weights closed,https://arxiv.org/abs/2304.11062,https://github.com/booydar/recurrent-memory-transformer
ReadAgent,2402.09727,No reproductions found,Paper only,https://arxiv.org/abs/2402.09727,https://read-agent.github.io/
MEM1,2506.15841,Too recent,Code public + weights closed,https://openreview.net/forum?id=XY8AaxDSLb,https://github.com/MIT-MI/MEM1
Speculative RAG,2407.08223,No reproductions found,Paper only,https://arxiv.org/abs/2407.08223,https://no data - no official code release found
HELMET,2410.02694,Independently reproduced,Code public + weights closed,https://huggingface.co/blog/helmet,https://github.com/princeton-nlp/HELMET
KAG,2409.13731,No reproductions found,Code public + weights closed,https://arxiv.org/abs/2409.13731,https://github.com/OpenSPG/KAG
OASIS,2411.11581,No reproductions found,Code public + weights closed,https://arxiv.org/abs/2411.11581,https://github.com/camel-ai/oasis
Alita,2505.20286,Too recent,Paper only,https://arxiv.org/abs/2505.20286,https://no data - no public code found
RecurrentGPT,2305.13304,No reproductions found,Code public + weights closed,https://arxiv.org/abs/2305.13304,https://github.com/aiwaves-cn/RecurrentGPT
MIRIX,2507.07957,Too recent,Paper only,https://arxiv.org/abs/2507.07957,https://no data - no public code found
Darwin Gödel Machine,2505.22954,Too recent,Code public + weights closed,https://sakana.ai/dgm/,https://github.com/jennyzzt/dgm
Memformer,2010.06891,No reproductions found,Code public + weights closed,https://arxiv.org/abs/2010.06891,https://github.com/qywu/memformers
SCM,2304.13343,No reproductions found,Code public + weights closed,https://arxiv.org/abs/2304.13343,https://github.com/wbbeyourself/SCM4LLMs
ReasoningBank,2509.25140,Too recent,Paper only,https://arxiv.org/abs/2509.25140,https://no data - no public code found
MemoChat,2308.08239,No reproductions found,Code public + weights public,https://arxiv.org/abs/2308.08239,https://github.com/LuJunru/MemoChat
From Human Memory to AI Memory (survey),2504.15965,Too recent,Paper only,https://arxiv.org/abs/2504.15965,https://no data - survey paper
MemoryVLA,2508.19236,Too recent,Paper only,https://arxiv.org/abs/2508.19236,https://no data - no public code found
StructRAG,2410.08815,No reproductions found,Code public + weights closed,https://arxiv.org/abs/2410.08815,https://github.com/Li-Z-Q/StructRAG
MemoryAgentBench,2507.05257,Too recent,Code public + weights closed,https://arxiv.org/abs/2507.05257,https://github.com/HUST-AI-HYZ/MemoryAgentBench
Arigraph,2407.04363,No reproductions found,Code public + weights closed,https://arxiv.org/abs/2407.04363,https://github.com/AIRI-Institute/AriGraph
NVIDIA ReMEmbR,2409.13682,No reproductions found,Code public + weights closed,https://developer.nvidia.com/blog/using-generative-ai-to-enable-robots-to-reason-and-act-with-remembr/,https://github.com/NVIDIA-AI-IOT/remembr
Dreamer 4,2509.24527,Too recent,Paper only,https://arxiv.org/abs/2509.24527,https://no data - no public code found
MemOS (MemTensor),2507.03724,Too recent,Code public + weights closed,https://arxiv.org/abs/2507.03724,https://github.com/MemTensor/MemOS
Lyfe Agents,2310.02172,No reproductions found,Paper only,https://openreview.net/forum?id=VaZa8zj0Yw,https://no data - no public code found
EMAT,2210.16773,No reproductions found,Code public + weights closed,https://aclanthology.org/2022.emnlp-main.346/,https://github.com/uclnlp/EMAT
RET-LLM,2305.14322,No reproductions found,Paper only,https://arxiv.org/abs/2305.14322,https://no data - concept paper; evolved into MemLLM
Dynamic Cheatsheet,2504.07952,Too recent,Paper only,https://arxiv.org/abs/2504.07952,https://no data - no public code found
MoT (Memory-of-Thought),2305.05181,No reproductions found,Code public + weights closed,https://aclanthology.org/2023.emnlp-main.392/,https://github.com/LeeSureman/MoT
SkillWeaver,2504.07079,Too recent,Code public + weights closed,https://arxiv.org/abs/2504.07079,https://github.com/OSU-NLP-Group/SkillWeaver
EM-LLM,2407.09450,No reproductions found,Code public + weights closed,https://openreview.net/forum?id=BI2int5SAC,https://github.com/em-llm/EM-LLM-model
CAG (Cache-Augmented Generation),2412.15605,Independently reproduced,Code public + weights closed,https://medium.com/@jdegange85/summary-of-cache-augmented-generation-a-new-paradigm-for-knowledge-integration-in-llms-d2f1403bfc51,https://github.com/hhhuang/CAG
ReSum,2509.13313,Too recent,Paper only,https://arxiv.org/abs/2509.13313,https://no data - no public code found
ToolGen,2410.03439,No reproductions found,Paper only,https://arxiv.org/abs/2410.03439,https://no data - no public code found
RMM (Reflective Memory Management),2503.08026,Too recent,Code partial / pseudocode,https://aclanthology.org/2025.acl-long.413/,https://no data - no public GitHub found
MemInsight,2503.21760,Too recent,Paper only,https://arxiv.org/abs/2503.21760,https://no data - no public code found
LightMem,2510.18866,Too recent,Code public + weights closed,https://arxiv.org/abs/2510.18866,https://github.com/zjunlp/LightMem
Memento,2508.16153,Too recent,Paper only,https://arxiv.org/abs/2508.16153,https://no data - no public code found
PathRAG,2502.14902,Too recent,Code public + weights closed,https://arxiv.org/abs/2502.14902,https://github.com/BUPT-GAMMA/PathRAG
G-Memory,2506.07398,Too recent,Paper only,https://arxiv.org/abs/2506.07398,https://no data - no public code found
Agent KB,2507.06229,Too recent,Paper only,https://arxiv.org/abs/2507.06229,https://no data - no public code found
R2I,2403.04253,No reproductions found,Code public + weights closed,https://openreview.net/forum?id=0A1lEFbUzl,https://github.com/chandar-lab/Recall2Imagine
Inducing Programmatic Skills,2504.06821,Too recent,Paper only,https://arxiv.org/abs/2504.06821,https://no data - no public code found
ATLAS,2505.23735,Too recent,Paper only,https://arxiv.org/abs/2505.23735,https://no data - no public code found
BAI-LAB MemoryOS,2506.06326,Too recent,Code public + weights closed,https://bai-lab.github.io/MemoryOS/,https://github.com/BAI-LAB/MemoryOS
Memory³,2407.01178,No reproductions found,Paper only,https://arxiv.org/abs/2407.01178,https://no data - no public code found
MemGen,2509.24704,Too recent,Paper only,https://arxiv.org/abs/2509.24704,https://no data - no public code found
Larimar,2403.11901,No reproductions found,Code public + weights closed,https://arxiv.org/abs/2403.11901,https://github.com/IBM/larimar
DeepAgent,2510.21618,Too recent,Paper only,https://arxiv.org/abs/2510.21618,https://no data - no public code found
Nemori,2508.03341,Too recent,Paper only,https://arxiv.org/abs/2508.03341,https://no data - no public code found
ChunkRAG,2410.19572,No reproductions found,Paper only,https://arxiv.org/abs/2410.19572,https://no data - no official GitHub found
Episodic Memory Is the Missing Piece,2502.06975,Too recent,Paper only,https://arxiv.org/abs/2502.06975,https://no data - position paper
MemBench,2506.21605,Too recent,Paper only,https://arxiv.org/abs/2506.21605,https://no data - no public code found
AutoRAG,2410.20878,No reproductions found,Code public + weights closed,https://arxiv.org/abs/2410.20878,https://github.com/Marker-Inc-Korea/AutoRAG
MemOS (MemTensor),2505.22101,Too recent,Code public + weights closed,https://arxiv.org/abs/2505.22101,https://github.com/MemTensor/MemOS
AgentEvolver,2511.10395,Too recent,Paper only,https://arxiv.org/abs/2511.10395,https://no data - no public code found
SEAgent,2508.04700,Too recent,Paper only,https://arxiv.org/abs/2508.04700,https://no data - no public code found
WebWeaver,2509.13312,Too recent,Paper only,https://arxiv.org/abs/2509.13312,https://no data - no public code found
AgentFold,2510.24699,Too recent,Paper only,https://arxiv.org/abs/2510.24699,https://no data - no public code found
Multi-Head RAG (MHRAG),2406.05085,No reproductions found,Code public + weights closed,https://arxiv.org/abs/2406.05085,https://github.com/spcl/MRAG
UFO2,2504.14603,Too recent,Paper only,https://arxiv.org/abs/2504.14603,https://no data - no public code found
TC-RAG,2408.09199,No reproductions found,Code public + weights closed,https://arxiv.org/abs/2408.09199,https://github.com/Artessay/TC-RAG
AI PERSONA,2412.13103,No reproductions found,Paper only,https://arxiv.org/abs/2412.13103,https://no data - no public code found
LearnAct,2504.13805,Too recent,Paper only,https://arxiv.org/abs/2504.13805,https://no data - no public code found
FLEX,2511.06449,Too recent,Paper only,https://arxiv.org/abs/2511.06449,https://no data - no public code found
ACON,2510.00615,Too recent,Paper only,https://arxiv.org/abs/2510.00615,https://no data - no public code found
HiRAG,2503.10150,Too recent,Paper only,https://arxiv.org/abs/2503.10150,https://no data - no public code found
M+ (MemoryLLM),2502.00592,Too recent,Paper only,https://arxiv.org/abs/2502.00592,https://no data - no public code found
MemEvolve,2512.18746,Too recent,Paper only,https://arxiv.org/abs/2512.18746,https://no data - no public code found
MemRL,2601.03192,Too recent,Paper only,https://arxiv.org/abs/2601.03192,https://no data - no public code found
Memory Layers at Scale,2412.09764,No reproductions found,Paper only,https://ai.meta.com/research/publications/memory-layers-at-scale/,https://no data - no official code release found
Memp,2508.06433,Too recent,Paper only,https://arxiv.org/abs/2508.06433,https://no data - no public code found
MemoryBench (Tsinghua THUIR),2510.17281,Too recent,Code public + weights closed,https://arxiv.org/abs/2510.17281,https://no data - code mentioned but no confirmed GitHub URL
LiCoMemory,2511.01448,Too recent,Paper only,https://arxiv.org/abs/2511.01448,https://no data - no public code found
GAM (General Agentic Memory),2511.18423,Too recent,Paper only,https://arxiv.org/abs/2511.18423,https://no data - no public code found
TransformerFAM,2404.09173,No reproductions found,Paper only,https://arxiv.org/abs/2404.09173,https://no data - Google paper; no official code release found
SGMem,2509.21212,Too recent,Paper only,https://arxiv.org/abs/2509.21212,https://no data - no public code found
MAGMA,2601.03236,Too recent,Paper only,https://arxiv.org/abs/2601.03236,https://no data - no public code found
WeKnow-RAG,2408.07611,No reproductions found,Paper only,https://arxiv.org/abs/2408.07611,https://no data - no public code found
EMU (Efficient Episodic Memory Utilization),2403.01112,No reproductions found,Code public + weights closed,https://openreview.net/forum?id=LjivA1SLZ6,https://github.com/HyunghoNa/EMU
Memory as Action,2510.12635,Too recent,Paper only,https://arxiv.org/abs/2510.12635,https://no data - no public code found
Agentic Memory,2601.01885,Too recent,Paper only,https://arxiv.org/abs/2601.01885,https://no data - no public code found
ARMT (Associative RMT),2407.04841,No reproductions found,Code public + weights closed,https://arxiv.org/abs/2407.04841,https://github.com/RodkinIvan/associative-recurrent-memory-transformer
Transformer²,2501.06252,No reproductions found,Code public + weights closed,https://openreview.net/forum?id=NLbRvr840Q,https://github.com/SakanaAI/self-adaptive-llms
CAM,2510.05520,Too recent,Paper only,https://arxiv.org/abs/2510.05520,https://no data - no public code found
EverMemOS,2601.02163,Too recent,Paper only,https://arxiv.org/abs/2601.02163,https://no data - no public code found
PWM (Policy Learning with Large World Models),2407.02466,No reproductions found,Paper only,https://arxiv.org/abs/2407.02466,https://no data - no public code found
LEGOMem,2510.04851,Too recent,Paper only,https://arxiv.org/abs/2510.04851,https://no data - no public code found
MemVerse,2512.03627,Too recent,Paper only,https://arxiv.org/abs/2512.03627,https://no data - no public code found
MemTool,2507.21428,Too recent,Paper only,https://arxiv.org/abs/2507.21428,https://no data - no public code found
MemSearcher,2511.02805,Too recent,Paper only,https://arxiv.org/abs/2511.02805,https://no data - no public code found
MemoryArena,2602.16313,Too recent,Paper only,https://arxiv.org/abs/2602.16313,https://no data - no public code found
LLM-ACTR / Cognitive LLMs,2408.09176,No reproductions found,Paper only,https://arxiv.org/abs/2408.09176,https://no data - no public code found
MemR³,2512.20237,Too recent,Paper only,https://arxiv.org/abs/2512.20237,https://no data - no public code found
LM2,2502.06049,Too recent,Paper only,https://arxiv.org/abs/2502.06049,https://no data - no public code found
Planning from Imagination,2412.01857,No reproductions found,Paper only,https://arxiv.org/abs/2412.01857,https://no data - no public code found
R³Mem,2502.15957,Too recent,Paper only,https://arxiv.org/abs/2502.15957,https://no data - no public code found
MemBART,2508.10824,Too recent,Paper only,https://arxiv.org/abs/2508.10824,https://no data - survey paper
Mem-α,2509.25911,Too recent,Paper only,https://arxiv.org/abs/2509.25911,https://no data - no public code found
TiMem,2601.02845,Too recent,Paper only,https://arxiv.org/abs/2601.02845,https://no data - no public code found
Memoria (cognitive),2310.03052,No reproductions found,Paper only,https://arxiv.org/abs/2310.03052,https://no data - no public code found
Knowledge Graph Tuning,2405.19686,No reproductions found,Paper only,https://arxiv.org/abs/2405.19686,https://no data - no public code found
GraphRAFT,2504.05478,Too recent,Paper only,https://arxiv.org/abs/2504.05478,https://no data - no public code found
PRINCIPLES,2509.17459,Too recent,Paper only,https://arxiv.org/abs/2509.17459,https://no data - no public code found
BrowserAgent,2510.10666,Too recent,Paper only,https://arxiv.org/abs/2510.10666,https://no data - no public code found
NAMMs,2410.13166,No reproductions found,Code public + weights public,https://openreview.net/forum?id=5ofdaWiqmq,https://github.com/SakanaAI/evo-memory
Memory Decoder,2508.09874,Too recent,Paper only,https://arxiv.org/abs/2508.09874,https://no data - no public code found
ComoRAG,2508.10419,Too recent,Paper only,https://arxiv.org/abs/2508.10419,https://no data - no public code found
MLP Memory,2508.01832,Too recent,Paper only,https://arxiv.org/abs/2508.01832,https://no data - no public code found
MATTER,2406.04670,No reproductions found,Paper only,https://arxiv.org/abs/2406.04670,https://no data - no public code found
Sculptor,2508.04664,Too recent,Paper only,https://arxiv.org/abs/2508.04664,https://no data - no public code found
H²R,2509.12810,Too recent,Paper only,https://arxiv.org/abs/2509.12810,https://no data - no public code found
Meta-Memory,2509.20754,Too recent,Paper only,https://arxiv.org/abs/2509.20754,https://no data - no public code found
SYNAPSE,2601.02744,Too recent,Paper only,https://arxiv.org/abs/2601.02744,https://no data - no public code found
AiT (Associative Transformer),2309.12862,No reproductions found,Paper only,https://arxiv.org/abs/2309.12862,https://no data - no public code found
COLA,2503.09263,Too recent,Paper only,https://arxiv.org/abs/2503.09263,https://no data - no public code found
Alita-G,2510.23601,Too recent,Paper only,https://arxiv.org/abs/2510.23601,https://no data - no public code found
IterResearch,2511.07327,Too recent,Paper only,https://arxiv.org/abs/2511.07327,https://no data - no public code found
Generative Semantic Workspace (GSW),2511.07587,Too recent,Paper only,https://arxiv.org/abs/2511.07587,https://no data - no public code found
ToolMem,2510.06664,Too recent,Paper only,https://arxiv.org/abs/2510.06664,https://no data - no public code found
RouteRAG,2512.09487,Too recent,Paper only,https://arxiv.org/abs/2512.09487,https://no data - no public code found
FOREVER,2601.03938,Too recent,Paper only,https://arxiv.org/abs/2601.03938,https://no data - no public code found
Beyond RAG for Agent Memory,2602.02007,Too recent,Paper only,https://arxiv.org/abs/2602.02007,https://no data - no public code found
TierMem,2602.17913,Too recent,Paper only,https://arxiv.org/abs/2602.17913,https://no data - no public code found
MemMachine (paper),2604.04853,Too recent,Paper only,https://arxiv.org/abs/2604.04853,https://no data - no public code found
MemLong,2408.16039,No reproductions found,Paper only,https://arxiv.org/abs/2408.16039,https://no data - no public code found
MemGuide,2505.20231,Too recent,Paper only,https://arxiv.org/abs/2505.20231,https://no data - no public code found
SDM Activations,2509.12760,Too recent,Paper only,https://arxiv.org/abs/2509.12760,https://no data - no public code found
PRIME,2509.22315,Too recent,Paper only,https://arxiv.org/abs/2509.22315,https://no data - no public code found
D-SMART,2510.13363,Too recent,Paper only,https://arxiv.org/abs/2510.13363,https://no data - no public code found
MemLoRA,2512.04763,Too recent,Paper only,https://arxiv.org/abs/2512.04763,https://no data - no public code found
MemoBrain,2601.08079,Too recent,Paper only,https://arxiv.org/abs/2601.08079,https://no data - no public code found
Externalization in LLM Agents,2604.08224,Too recent,Paper only,https://arxiv.org/abs/2604.08224,https://no data - no public code found
MemEvoBench,2604.15774,Too recent,Paper only,https://arxiv.org/abs/2604.15774,https://no data - no public code found
NL2GenSym,2510.09355,Too recent,Paper only,https://arxiv.org/abs/2510.09355,https://no data - no public code found
RGMem,2510.16392,Too recent,Paper only,https://arxiv.org/abs/2510.16392,https://no data - no public code found
MMAG,2512.01710,Too recent,Paper only,https://arxiv.org/abs/2512.01710,https://no data - no public code found
MIA — Memory Intelligence Agent,2604.04503,Too recent,Paper only,https://arxiv.org/abs/2604.04503,https://no data - no public code found
ImplicitMemBench,2604.08064,Too recent,Paper only,https://arxiv.org/abs/2604.08064,https://no data - no public code found
Memory as Metabolism,2604.12034,Too recent,Paper only,https://arxiv.org/abs/2604.12034,https://no data - no public code found
HeLa-Mem,2604.16839,Too recent,Paper only,https://arxiv.org/abs/2604.16839,https://no data - no public code found
