system_name,github_url,license_spdx,latest_release_tag,latest_release_date,source_urls
supermemoryai/claude-supermemory,https://github.com/supermemoryai/claude-supermemory,Unlicensed,v0.0.2,2026-02-09,https://github.com/supermemoryai/claude-supermemory;https://github.com/supermemoryai/claude-supermemory/releases/tag/v0.0.2
Azure-Samples/graphrag-accelerator,https://github.com/Azure-Samples/graphrag-accelerator,MIT,v0.3.3,2024-09-20,https://github.com/Azure-Samples/graphrag-accelerator/blob/main/LICENSE;https://github.com/Azure-Samples/graphrag-accelerator/releases/tag/v0.3.3
gkamradt/LLMTest_NeedleInAHaystack,https://github.com/gkamradt/LLMTest_NeedleInAHaystack,MIT,no releases,no data,https://github.com/gkamradt/LLMTest_NeedleInAHaystack/blob/main/LICENSE;https://github.com/gkamradt/LLMTest_NeedleInAHaystack/releases
qhjqhj00/MemoRAG,https://github.com/qhjqhj00/MemoRAG,Apache-2.0,v0.1.5,2024-09-24,https://github.com/qhjqhj00/MemoRAG/blob/main/LICENSE;https://github.com/qhjqhj00/MemoRAG/releases/tag/v0.1.5
SakanaAI/continuous-thought-machines,https://github.com/SakanaAI/continuous-thought-machines,Apache-2.0,no releases,no data,https://github.com/SakanaAI/continuous-thought-machines/blob/main/LICENSE;https://github.com/SakanaAI/continuous-thought-machines/releases
doobidoo/mcp-memory-service,https://github.com/doobidoo/mcp-memory-service,Apache-2.0,v10.49.4,2026-05-05,https://github.com/doobidoo/mcp-memory-service/blob/main/LICENSE;https://github.com/doobidoo/mcp-memory-service/releases/tag/v10.49.4
google-research/language,https://github.com/google-research/language,Apache-2.0,no releases,no data,https://github.com/google-research/language/blob/main/LICENSE;https://github.com/google-research/language/releases
parthsarthi03/raptor,https://github.com/parthsarthi03/raptor,MIT,no releases,no data,https://github.com/parthsarthi03/raptor/blob/main/LICENSE;https://github.com/parthsarthi03/raptor/releases
NVIDIA/RULER,https://github.com/NVIDIA/RULER,Apache-2.0,no releases,no data,https://github.com/NVIDIA/RULER/blob/main/LICENSE;https://github.com/NVIDIA/RULER/releases
langchain-ai/langmem,https://github.com/langchain-ai/langmem,MIT,no releases,no data,https://github.com/langchain-ai/langmem/blob/main/LICENSE;https://github.com/langchain-ai/langmem/releases
microsoft/agent-governance-toolkit,https://github.com/microsoft/agent-governance-toolkit,MIT,v3.4.0,2026-05-05,https://github.com/microsoft/agent-governance-toolkit/blob/main/LICENSE;https://github.com/microsoft/agent-governance-toolkit/releases/tag/v3.4.0
BAI-LAB/MemoryOS,https://github.com/BAI-LAB/MemoryOS,Apache-2.0,V1.2,2025-07-18,https://github.com/BAI-LAB/MemoryOS/blob/main/LICENSE;https://github.com/BAI-LAB/MemoryOS/releases/tag/V1.2
ByteDance-Seed/m3-agent,https://github.com/ByteDance-Seed/m3-agent,Apache-2.0,no releases,no data,https://github.com/ByteDance-Seed/m3-agent/blob/main/LICENSE;https://github.com/ByteDance-Seed/m3-agent/releases
THUDM/LongBench,https://github.com/THUDM/LongBench,MIT,no releases,no data,https://github.com/THUDM/LongBench/blob/main/LICENSE;https://github.com/THUDM/LongBench/releases
neo4j-contrib/mcp-neo4j,https://github.com/neo4j-contrib/mcp-neo4j,MIT,mcp-neo4j-cypher-v0.6.0,2026-04-10,https://github.com/neo4j-contrib/mcp-neo4j/blob/main/LICENSE;https://github.com/neo4j-contrib/mcp-neo4j/releases/tag/mcp-neo4j-cypher-v0.6.0
obra/superpowers-marketplace,https://github.com/obra/superpowers-marketplace,MIT,no releases,no data,https://github.com/obra/superpowers-marketplace/blob/main/LICENSE;https://github.com/obra/superpowers-marketplace/releases
lucidrains/RETRO-pytorch,https://github.com/lucidrains/RETRO-pytorch,Apache-2.0,0.3.9,2023-10-30,https://github.com/lucidrains/RETRO-pytorch/blob/main/LICENSE;https://github.com/lucidrains/RETRO-pytorch/releases/tag/0.3.9
WujiangXu/A-mem,https://github.com/WujiangXu/A-mem,MIT,no releases,no data,https://github.com/WujiangXu/A-mem/blob/main/LICENSE;https://github.com/WujiangXu/A-mem/releases
shaneholloman/mcp-knowledge-graph,https://github.com/shaneholloman/mcp-knowledge-graph,MIT,v1.3.2,2025-12-22,https://github.com/shaneholloman/mcp-knowledge-graph/blob/main/LICENSE;https://github.com/shaneholloman/mcp-knowledge-graph/releases/tag/v1.3.2
zjunlp/LightMem,https://github.com/zjunlp/LightMem,MIT,no releases,no data,https://github.com/zjunlp/LightMem/blob/main/LICENSE;https://github.com/zjunlp/LightMem/releases
booydar/recurrent-memory-transformer,https://github.com/booydar/recurrent-memory-transformer,Unlicensed,no releases,no data,https://github.com/booydar/recurrent-memory-transformer;https://github.com/booydar/recurrent-memory-transformer/releases
xiaowu0162/LongMemEval,https://github.com/xiaowu0162/LongMemEval,MIT,no releases,no data,https://github.com/xiaowu0162/LongMemEval/blob/main/LICENSE;https://github.com/xiaowu0162/LongMemEval/releases
mem0ai/mem0-mcp,https://github.com/mem0ai/mem0-mcp,Apache-2.0,no releases,no data,https://github.com/mem0ai/mem0-mcp/blob/main/LICENSE;https://github.com/mem0ai/mem0-mcp/releases
texttron/hyde,https://github.com/texttron/hyde,Unlicensed,no releases,no data,https://github.com/texttron/hyde;https://github.com/texttron/hyde/releases
Wang-ML-Lab/llm-continual-learning-survey,https://github.com/Wang-ML-Lab/llm-continual-learning-survey,Unlicensed,no releases,no data,https://github.com/Wang-ML-Lab/llm-continual-learning-survey;https://github.com/Wang-ML-Lab/llm-continual-learning-survey/releases
memvid/claude-brain,https://github.com/memvid/claude-brain,MIT,v1.0.7,2026-01-05,https://github.com/memvid/claude-brain/blob/main/LICENSE;https://github.com/memvid/claude-brain/releases/tag/v1.0.7
starsuzi/Adaptive-RAG,https://github.com/starsuzi/Adaptive-RAG,Apache-2.0,no releases,no data,https://github.com/starsuzi/Adaptive-RAG/blob/main/LICENSE;https://github.com/starsuzi/Adaptive-RAG/releases
OpenBMB/InfiniteBench,https://github.com/OpenBMB/InfiniteBench,MIT,no releases,no data,https://github.com/OpenBMB/InfiniteBench/blob/main/LICENSE;https://github.com/OpenBMB/InfiniteBench/releases
obra/episodic-memory,https://github.com/obra/episodic-memory,MIT,v1.2.0,2026-05-04,https://github.com/obra/episodic-memory/blob/main/LICENSE;https://github.com/obra/episodic-memory/releases/tag/v1.2.0
SakanaAI/evo-memory,https://github.com/SakanaAI/evo-memory,Unlicensed,no releases,no data,https://github.com/SakanaAI/evo-memory;https://github.com/SakanaAI/evo-memory/releases
BUPT-GAMMA/PathRAG,https://github.com/BUPT-GAMMA/PathRAG,Unlicensed,no releases,no data,https://github.com/BUPT-GAMMA/PathRAG;https://github.com/BUPT-GAMMA/PathRAG/releases
NVIDIA-AI-IOT/remembr,https://github.com/NVIDIA-AI-IOT/remembr,Custom,no releases,no data,https://github.com/NVIDIA-AI-IOT/remembr/blob/main/LICENSE;https://github.com/NVIDIA-AI-IOT/remembr/releases
bagh2178/SG-Nav,https://github.com/bagh2178/SG-Nav,MIT,no releases,no data,https://github.com/bagh2178/SG-Nav/blob/main/LICENSE;https://github.com/bagh2178/SG-Nav/releases
HUST-AI-HYZ/MemoryAgentBench,https://github.com/HUST-AI-HYZ/MemoryAgentBench,Unlicensed,no releases,no data,https://github.com/HUST-AI-HYZ/MemoryAgentBench;https://github.com/HUST-AI-HYZ/MemoryAgentBench/releases
supermemoryai/smfs,https://github.com/supermemoryai/smfs,MIT,v0.0.3,2026-05-04,https://github.com/supermemoryai/smfs/blob/main/LICENSE;https://github.com/supermemoryai/smfs/releases/tag/v0.0.3
bytedance/ShadowKV,https://github.com/bytedance/ShadowKV,Apache-2.0,no releases,no data,https://github.com/bytedance/ShadowKV/blob/main/LICENSE;https://github.com/bytedance/ShadowKV/releases
booydar/babilong,https://github.com/booydar/babilong,Apache-2.0,no releases,no data,https://github.com/booydar/babilong/blob/main/LICENSE;https://github.com/booydar/babilong/releases
shihao1895/MemoryVLA,https://github.com/shihao1895/MemoryVLA,Unlicensed,no releases,no data,https://github.com/shihao1895/MemoryVLA;https://github.com/shihao1895/MemoryVLA/releases
Puliczek/mcp-memory,https://github.com/Puliczek/mcp-memory,Unlicensed,no releases,no data,https://github.com/Puliczek/mcp-memory;https://github.com/Puliczek/mcp-memory/releases
TiMEM-AI/timem,https://github.com/TiMEM-AI/timem,Custom,no releases,no data,https://github.com/TiMEM-AI/timem/blob/main/LICENSE;https://github.com/TiMEM-AI/timem/releases
OPPO-PersonalAI/O-Mem,https://github.com/OPPO-PersonalAI/O-Mem,Apache-2.0,no releases,no data,https://github.com/OPPO-PersonalAI/O-Mem/blob/main/LICENSE;https://github.com/OPPO-PersonalAI/O-Mem/releases
vmarinowski/infini-attention,https://github.com/vmarinowski/infini-attention,Unlicensed,no releases,no data,https://github.com/vmarinowski/infini-attention;https://github.com/vmarinowski/infini-attention/releases
ldclabs/anda-hippocampus,https://github.com/ldclabs/anda-hippocampus,Apache-2.0,v0.4.17,2026-05-05,https://github.com/ldclabs/anda-hippocampus/blob/main/LICENSE;https://github.com/ldclabs/anda-hippocampus/releases/tag/v0.4.17
uclnlp/EMAT,https://github.com/uclnlp/EMAT,Unlicensed,no releases,no data,https://github.com/uclnlp/EMAT;https://github.com/uclnlp/EMAT/releases
bobmatnyc/kuzu-memory,https://github.com/bobmatnyc/kuzu-memory,Unlicensed,v1.12.9,2026-04-09,https://github.com/bobmatnyc/kuzu-memory;https://github.com/bobmatnyc/kuzu-memory/releases/tag/v1.12.9
Backboard-io/Backboard-Locomo-Benchmark,https://github.com/Backboard-io/Backboard-Locomo-Benchmark,Unlicensed,no releases,no data,https://github.com/Backboard-io/Backboard-Locomo-Benchmark;https://github.com/Backboard-io/Backboard-Locomo-Benchmark/releases
shovon/logseq-ai,https://github.com/shovon/logseq-ai,MIT,no releases,no data,https://github.com/shovon/logseq-ai/blob/main/LICENSE;https://github.com/shovon/logseq-ai/releases
SiyuWu528/LLM-ACTR,https://github.com/SiyuWu528/llm-actr,Unlicensed,no releases,no data,https://github.com/SiyuWu528/llm-actr;https://github.com/SiyuWu528/llm-actr/releases
studiomeyer-io/local-memory-mcp,https://github.com/studiomeyer-io/local-memory-mcp,MIT,v1.0.7,2026-04-21,https://github.com/studiomeyer-io/local-memory-mcp/blob/main/LICENSE;https://github.com/studiomeyer-io/local-memory-mcp/releases/tag/v1.0.7
Angleito/Claude-CursorMemoryMCP,https://github.com/Angleito/Claude-CursorMemoryMCP,Unlicensed,no releases,no data,https://github.com/Angleito/Claude-CursorMemoryMCP;https://github.com/Angleito/Claude-CursorMemoryMCP/releases
goweft/ratine,https://github.com/goweft/ratine,MIT,v0.1.0,2026-04-02,https://github.com/goweft/ratine/blob/main/LICENSE;https://github.com/goweft/ratine/releases/tag/v0.1.0
