section,subgroup,tier,row_name,unresearched_columns
"Recent method papers — theorized, no distinct product",— Experiential & procedural memory (agent learning from experience),row-t4,LearnAct,tax-governance|claims|mindshare
"Recent method papers — theorized, no distinct product",— Experiential & procedural memory (agent learning from experience),row-t4,Dynamic Cheatsheet,tax-governance|claims|mindshare
"Recent method papers — theorized, no distinct product",— Experiential & procedural memory (agent learning from experience),row-t4,Inducing Programmatic Skills,tax-governance|claims|mindshare
"Recent method papers — theorized, no distinct product",— Experiential & procedural memory (agent learning from experience),row-t4,COLA,tax-governance|claims|mindshare
"Recent method papers — theorized, no distinct product",— Experiential & procedural memory (agent learning from experience),row-t4,Planning from Imagination,tax-governance|claims|mindshare
"Recent method papers — theorized, no distinct product",— Experiential & procedural memory (agent learning from experience),row-t4,RepairAgent,tax-governance|claims|mindshare
"Recent method papers — theorized, no distinct product",— Experiential & procedural memory (agent learning from experience),row-t3,Agent Workflow Memory,tax-governance|claims|mindshare
"Recent method papers — theorized, no distinct product",— Experiential & procedural memory (agent learning from experience),row-t4,Fincon,tax-governance|claims|mindshare
"Recent method papers — theorized, no distinct product",— Experiential & procedural memory (agent learning from experience),row-t3,ToolLLM,tax-governance|claims|mindshare
"Recent method papers — theorized, no distinct product",— Experiential & procedural memory (agent learning from experience),row-t4,AgentEvolver,tax-governance|claims|mindshare
"Recent method papers — theorized, no distinct product",— Experiential & procedural memory (agent learning from experience),row-t4,ToolGen,tax-governance|claims|mindshare
"Recent method papers — theorized, no distinct product",— Experiential & procedural memory (agent learning from experience),row-t4,Retroformer,tax-governance|claims|mindshare
"Recent method papers — theorized, no distinct product",— Experiential & procedural memory (agent learning from experience),row-t3,Agentic Plan Caching (APC),tax-governance|claims|mindshare
"Recent method papers — theorized, no distinct product",— Working memory & context management,row-t4,Agentic Memory,tax-governance|claims|mindshare
"Recent method papers — theorized, no distinct product",— Working memory & context management,row-t4,Memory as Action,tax-governance|claims|mindshare
"Recent method papers — theorized, no distinct product",— Working memory & context management,row-t4,IterResearch,tax-governance|claims|mindshare
"Recent method papers — theorized, no distinct product",— Working memory & context management,row-t4,MemSearcher,tax-governance|claims|mindshare
"Recent method papers — theorized, no distinct product",— Working memory & context management,row-t4,AgentFold,tax-governance|claims|mindshare
"Recent method papers — theorized, no distinct product",— Working memory & context management,row-t4,PRIME,tax-governance|claims|mindshare
"Recent method papers — theorized, no distinct product",— Working memory & context management,row-t4,DeepAgent,tax-governance|claims|mindshare
"Recent method papers — theorized, no distinct product",— Working memory & context management,row-t4,ACON,tax-governance|claims|mindshare
"Recent method papers — theorized, no distinct product",— Working memory & context management,row-t4,ReSum,tax-governance|claims|mindshare
"Recent method papers — theorized, no distinct product",— Working memory & context management,row-t4,Sculptor,tax-governance|claims|mindshare
"Recent method papers — theorized, no distinct product",— Working memory & context management,row-t4,MemAgent,tax-governance|claims|mindshare
"Recent method papers — theorized, no distinct product",— Working memory & context management,row-t4,Agent S,tax-governance|claims|mindshare
"Recent method papers — theorized, no distinct product",— Working memory & context management,row-t3,Compressive Transformer,tax-governance|claims|mindshare
"Recent method papers — theorized, no distinct product",— Working memory & context management,row-t4,LongMem,tax-governance|claims|mindshare
"Recent method papers — theorized, no distinct product",— Working memory & context management,row-t4,MemLong,tax-governance|claims|mindshare
"Recent method papers — theorized, no distinct product",— Working memory & context management,row-t4,EM-LLM,tax-governance|claims|mindshare
"Recent method papers — theorized, no distinct product",— Parametric & latent memory (memory in weights / KV / hidden states),row-t3,AlphaEdit,tax-governance|claims|mindshare
"Recent method papers — theorized, no distinct product",— Parametric & latent memory (memory in weights / KV / hidden states),row-t3,ELDER,tax-governance|claims|mindshare
"Recent method papers — theorized, no distinct product",— Parametric & latent memory (memory in weights / KV / hidden states),row-t3,WISE,tax-governance|claims|mindshare
"Recent method papers — theorized, no distinct product",— Parametric & latent memory (memory in weights / KV / hidden states),row-t4,SDM Activations,tax-governance|claims|mindshare
"Recent method papers — theorized, no distinct product",— Parametric & latent memory (memory in weights / KV / hidden states),row-t4,M+ (MemoryLLM),tax-governance|claims|mindshare
"Recent method papers — theorized, no distinct product",— Parametric & latent memory (memory in weights / KV / hidden states),row-t4,Memory³,tax-governance|claims|mindshare
"Recent method papers — theorized, no distinct product",— Parametric & latent memory (memory in weights / KV / hidden states),row-t4,MemGen,tax-governance|claims|mindshare
"Recent method papers — theorized, no distinct product",— Parametric & latent memory (memory in weights / KV / hidden states),row-t4,MEM1,tax-governance|claims|mindshare
"Recent method papers — theorized, no distinct product",— Parametric & latent memory (memory in weights / KV / hidden states),row-t3,RazorAttention,tax-governance|claims|mindshare
"Recent method papers — theorized, no distinct product",— Parametric & latent memory (memory in weights / KV / hidden states),row-t3,SnapKV,tax-governance|claims|mindshare
"Recent method papers — theorized, no distinct product",— Parametric & latent memory (memory in weights / KV / hidden states),row-t4,LM2,tax-governance|claims|mindshare
"Recent method papers — theorized, no distinct product",— Parametric & latent memory (memory in weights / KV / hidden states),row-t3,SoftCoT,tax-governance|claims|mindshare
"Recent method papers — theorized, no distinct product",— Parametric & latent memory (memory in weights / KV / hidden states),row-t3,H2O,tax-governance|claims|mindshare
"Recent method papers — theorized, no distinct product",— Parametric & latent memory (memory in weights / KV / hidden states),row-t3,Memformer,tax-governance|claims|mindshare
"Recent method papers — theorized, no distinct product",— Parametric & latent memory (memory in weights / KV / hidden states),row-t4,MemBART,tax-governance|claims|mindshare
"Recent method papers — theorized, no distinct product",— Parametric & latent memory (memory in weights / KV / hidden states),row-t3,AiT (Associative Transformer),tax-governance|claims|mindshare
"Recent method papers — theorized, no distinct product",— Parametric & latent memory (memory in weights / KV / hidden states),row-t4,Memformers (gradient memory),tax-governance|claims|mindshare
"Recent method papers — theorized, no distinct product",— Parametric & latent memory (memory in weights / KV / hidden states),row-t3,WorkMATe,tax-governance|claims|mindshare
"Recent method papers — theorized, no distinct product",— Continual learning & catastrophic forgetting,row-t4,FOREVER,tax-governance|claims|mindshare
"Recent method papers — theorized, no distinct product",— Continual learning & catastrophic forgetting,row-t4,SERS,tax-governance|claims|mindshare
Retrieval-as-memory hybrids,,row-t4,PathRAG,tax-persistence|tax-governance|claims
Retrieval-as-memory hybrids,,row-t3,HyDE,tax-persistence|tax-governance|claims
Dedicated memory layers,,row-t2,Backboard,tax-update|tax-governance
Dedicated memory layers,,row-t2,OpenMemory,claims|mindshare
Dedicated memory layers,,row-t2,MemMachine,claims|mindshare
Dedicated memory layers,,row-t2,O-Mem,claims|mindshare
Enterprise-search adjacencies,,row-t1,Clarivate,claims|mindshare
Knowledge-graph platforms,,row-t1,TopQuadrant (TopBraid EDG),claims|mindshare
Knowledge-graph platforms,,row-t1,Ontotext GraphDB / Graphwise,claims|mindshare
Knowledge-graph platforms,,row-t1,PoolParty (now Graphwise),claims|mindshare
Knowledge-graph platforms,,row-t1,Palantir Ontology,claims|mindshare
Knowledge-graph platforms,,row-t1,Diffbot,claims|mindshare
"Memory governance, privacy & safety",,row-t1,Lakera Guard / Lakera Red,tax-storage|tax-unit
"Memory governance, privacy & safety",,row-t2,Microsoft Agent Governance Toolkit,tax-storage|tax-unit
"Memory governance, privacy & safety",,row-t1,Enkrypt AI,tax-storage|tax-unit
"Memory governance, privacy & safety",,row-t1,Acuvity (now Proofpoint),tax-storage|tax-unit
"Recent method papers — theorized, no distinct product",— Factual & long-term memory (token-level),row-t4,Knowledge Graph Tuning,claims|mindshare
"Recent method papers — theorized, no distinct product",— Factual & long-term memory (token-level),row-t3,Memoro,claims|mindshare
"Recent method papers — theorized, no distinct product",— Factual & long-term memory (token-level),row-t4,ReadAgent,tax-governance|mindshare
"Recent method papers — theorized, no distinct product",— Factual & long-term memory (token-level),row-t4,GAM (General Agentic Memory),tax-governance|mindshare
"Recent method papers — theorized, no distinct product",— Factual & long-term memory (token-level),row-t3,MemInsight,tax-governance|mindshare
"Recent method papers — theorized, no distinct product",— Factual & long-term memory (token-level),row-t4,MemR³,tax-governance|mindshare
"Recent method papers — theorized, no distinct product",— Experiential & procedural memory (agent learning from experience),row-t4,MIA — Memory Intelligence Agent,tax-governance|mindshare
"Recent method papers — theorized, no distinct product",— Experiential & procedural memory (agent learning from experience),row-t3,SAGE,tax-governance|claims
"Recent method papers — theorized, no distinct product",— Experiential & procedural memory (agent learning from experience),row-t3,Buffer of Thoughts,tax-governance|claims
"Recent method papers — theorized, no distinct product",— Experiential & procedural memory (agent learning from experience),row-t3,JARVIS-1,tax-governance|claims
"Recent method papers — theorized, no distinct product",— Experiential & procedural memory (agent learning from experience),row-t3,ExpeL,tax-governance|claims
"Recent method papers — theorized, no distinct product",— Experiential & procedural memory (agent learning from experience),row-t3,CREATOR,tax-governance|claims
"Recent method papers — theorized, no distinct product",— Experiential & procedural memory (agent learning from experience),row-t3,Reflexion,tax-governance|mindshare
"Recent method papers — theorized, no distinct product",— Experiential & procedural memory (agent learning from experience),row-t3,MoT (Memory-of-Thought),tax-governance|mindshare
"Recent method papers — theorized, no distinct product",— Experiential & procedural memory (agent learning from experience),row-t3,RMM (Reflective Memory Management),tax-governance|mindshare
"Recent method papers — theorized, no distinct product",— Experiential & procedural memory (agent learning from experience),row-t3,MPO,tax-governance|claims
"Recent method papers — theorized, no distinct product",— Working memory & context management,row-t4,MemoBrain,tax-governance|mindshare
"Recent method papers — theorized, no distinct product",— Working memory & context management,row-t3,Recurrent Memory Transformer (RMT),tax-governance|mindshare
"Recent method papers — theorized, no distinct product",— Working memory & context management,row-t4,ARMT (Associative RMT),tax-governance|mindshare
"Recent method papers — theorized, no distinct product",— Working memory & context management,row-t4,Infini-attention,tax-governance|mindshare
"Recent method papers — theorized, no distinct product",— Working memory & context management,row-t3,Transformer-XL,tax-governance|claims
"Recent method papers — theorized, no distinct product",— Working memory & context management,row-t4,TransformerFAM,tax-governance|mindshare
"Recent method papers — theorized, no distinct product",— Working memory & context management,row-t4,ATLAS,tax-governance|mindshare
"Recent method papers — theorized, no distinct product",— Parametric & latent memory (memory in weights / KV / hidden states),row-t4,MemLoRA,tax-governance|claims
"Recent method papers — theorized, no distinct product",— Parametric & latent memory (memory in weights / KV / hidden states),row-t4,Memory Decoder,tax-governance|claims
"Recent method papers — theorized, no distinct product",— Parametric & latent memory (memory in weights / KV / hidden states),row-t4,MLP Memory,tax-governance|claims
"Recent method papers — theorized, no distinct product",— Parametric & latent memory (memory in weights / KV / hidden states),row-t3,Memorizing Transformers,tax-governance|mindshare
"Recent method papers — theorized, no distinct product",— Parametric & latent memory (memory in weights / KV / hidden states),row-t3,EMAT,tax-governance|mindshare
"Recent method papers — theorized, no distinct product",— Parametric & latent memory (memory in weights / KV / hidden states),row-t4,MATTER,tax-governance|mindshare
"Recent method papers — theorized, no distinct product",— Parametric & latent memory (memory in weights / KV / hidden states),row-t3,MemReasoner,tax-governance|mindshare
"Recent method papers — theorized, no distinct product",— Parametric & latent memory (memory in weights / KV / hidden states),row-t3,CDMem,tax-governance|mindshare
"Recent method papers — theorized, no distinct product",— Parametric & latent memory (memory in weights / KV / hidden states),row-t4,Transformer²,tax-governance|mindshare
"Recent method papers — theorized, no distinct product",— Parametric & latent memory (memory in weights / KV / hidden states),row-t4,NAMMs,tax-governance|mindshare
"Recent method papers — theorized, no distinct product",— Parametric & latent memory (memory in weights / KV / hidden states),row-t4,Memory Layers at Scale,tax-governance|mindshare
"Recent method papers — theorized, no distinct product",— Parametric & latent memory (memory in weights / KV / hidden states),row-t3,Differentiable Search Index (DSI),tax-governance|mindshare
"Recent method papers — theorized, no distinct product",— World-model & imagination memory,row-t3,I-JEPA,tax-governance|mindshare
"Recent method papers — theorized, no distinct product",— World-model & imagination memory,row-t4,V-JEPA 2,tax-governance|mindshare
"Recent method papers — theorized, no distinct product",— World-model & imagination memory,row-t4,Dreamer 4,tax-governance|mindshare
"Recent method papers — theorized, no distinct product",— World-model & imagination memory,row-t4,R2I,tax-governance|mindshare
"Recent method papers — theorized, no distinct product",— World-model & imagination memory,row-t3,Genie,tax-governance|mindshare
"Recent method papers — theorized, no distinct product",— World-model & imagination memory,row-t4,V-JEPA (original),tax-governance|mindshare
"Recent method papers — theorized, no distinct product",— World-model & imagination memory,row-t3,DIAMOND,tax-governance|mindshare
"Recent method papers — theorized, no distinct product",— World-model & imagination memory,row-t4,PWM (Policy Learning with Large World Models),tax-governance|mindshare
"Recent method papers — theorized, no distinct product",— Continual learning & catastrophic forgetting,row-t3,RIKEN Tensor Decomposition Incremental Learning,tax-governance|mindshare
"Recent method papers — theorized, no distinct product",— Continual learning & catastrophic forgetting,row-t3,EWC (Elastic Weight Consolidation),tax-governance|mindshare
"Recent method papers — theorized, no distinct product",— Memory-augmented reinforcement learning,row-t3,Neural Episodic Control,tax-governance|mindshare
"Recent method papers — theorized, no distinct product",— Memory-augmented reinforcement learning,row-t3,EMU (Efficient Episodic Memory Utilization),tax-governance|mindshare
"Recent method papers — theorized, no distinct product",— Memory-augmented reinforcement learning,row-t3,HAMI,tax-governance|mindshare
"Recent method papers — theorized, no distinct product",— Cognitive-architecture-inspired memory,row-t3,LLM-ACTR / Cognitive LLMs,tax-governance|mindshare
"Recent method papers — theorized, no distinct product",— Cognitive-architecture-inspired memory,row-t3,Human-Like Remembering and Forgetting,tax-governance|mindshare
"Recent method papers — theorized, no distinct product",— Cognitive-architecture-inspired memory,row-t4,SYNAPSE,tax-governance|mindshare
"Recent method papers — theorized, no distinct product",— Cognitive-architecture-inspired memory,row-t4,HeLa-Mem,tax-governance|mindshare
"Recent method papers — theorized, no distinct product",— Cognitive-architecture-inspired memory,row-t3,AriGraph,tax-governance|mindshare
"Recent method papers — theorized, no distinct product",— Cognitive-architecture-inspired memory,row-t3,Dual-Process Agent (DPA),tax-governance|mindshare
Research / specialised systems,,row-t3,A-MEM,tax-governance|claims
Retrieval-as-memory hybrids,,row-t3,RAPTOR,tax-persistence|tax-governance
Retrieval-as-memory hybrids,,row-t3,LazyGraphRAG,tax-persistence|tax-governance
Retrieval-as-memory hybrids,,row-t3,HippoRAG / HippoRAG2,tax-persistence|tax-governance
Retrieval-as-memory hybrids,,row-t3,LightRAG,tax-persistence|tax-governance
Retrieval-as-memory hybrids,,row-t3,Adaptive-RAG,tax-persistence|tax-governance
Retrieval-as-memory hybrids,,row-t4,RouteRAG,tax-persistence|tax-governance
Retrieval-as-memory hybrids,,row-t4,GraphRAFT,tax-governance|claims
Retrieval-as-memory hybrids,,row-t4,Beyond RAG for Agent Memory,tax-persistence|tax-governance
Retrieval-as-memory hybrids,,row-t3,Generative Semantic Workspace (GSW),tax-persistence|tax-governance
Retrieval-as-memory hybrids,,row-t3,TC-RAG,tax-persistence|tax-governance
Retrieval-as-memory hybrids,,row-t3,KAG,tax-persistence|tax-governance
Retrieval-as-memory hybrids,,row-t4,Speculative RAG,tax-persistence|tax-governance
Retrieval-as-memory hybrids,,row-t4,CRAG,tax-persistence|tax-governance
Retrieval-as-memory hybrids,,row-t4,Self-RAG,tax-persistence|tax-governance
Retrieval-as-memory hybrids,,row-t3,FLARE,tax-persistence|tax-governance
Retrieval-as-memory hybrids,,row-t3,ITER-RETGEN,tax-persistence|tax-governance
Retrieval-as-memory hybrids,,row-t4,StructRAG,tax-persistence|tax-governance
Retrieval-as-memory hybrids,,row-t3,HiRAG,tax-persistence|tax-governance
Retrieval-as-memory hybrids,,row-t4,LongRAG,tax-persistence|tax-governance
Retrieval-as-memory hybrids,,row-t4,Multi-Head RAG (MHRAG),tax-persistence|tax-governance
Retrieval-as-memory hybrids,,row-t4,BGE-M3,tax-persistence|tax-governance
Retrieval-as-memory hybrids,,row-t4,ChunkRAG,tax-persistence|tax-governance
Retrieval-as-memory hybrids,,row-t4,AutoRAG,tax-persistence|tax-governance
