company,section,pricing,deployment,hq,compliance,data_handling,funding,customers,mindshare,founders,modalities,volume_claim,conflict_resolution
Nabla + Navina,Healthcare,Free + paid [https://www.eesel.ai/blog/nabla-ai-pricing],Managed-only [https://www.nabla.com/],Europe (Paris France) [https://www.nabla.com/],"SOC 2 Type II; HIPAA; GDPR-compliant [https://www.nabla.com/security]",no data — searched not found [https://www.nabla.com/],"$94M total, $180M val, Series C 2025-06 [https://techcrunch.com/2024/01/05/nabla-raises-another-24-million-for-its-ai-assistant-for-doctors/]","20000+ providers (early 2024) [https://techcrunch.com/2024/01/05/nabla-raises-another-24-million-for-its-ai-assistant-for-doctors/]",no data — searched not found [https://www.nabla.com/],no data — searched not found [https://www.nabla.com/],voice + text [https://www.nabla.com/],internal — undisclosed (HIPAA-governed) [https://www.nabla.com/],LLM-arbitrate [https://www.nabla.com/]
Suki AI,Healthcare,SaaS [https://www.healos.ai/blog/suki-pricing-features-cost-and-the-best-alternatives-in-2025],Managed-only [https://www.suki.ai/],US [https://www.cbinsights.com/company/robin2],"SOC 2 Type II; HIPAA; GDPR-compliant [https://www.suki.ai/security]",no data — searched not found [https://www.suki.ai/],"$70M total, Series D 2024-10 [https://www.businesswire.com/news/home/20241010687252/en/Suki-Secures-$70M-Series-D-Funding-as-Demand-Surges-Expands-Strategic-Partnership-with-MedStar-Health]","MedStar Health (strategic partner); 400+ organizations [https://www.businesswire.com/news/home/20241010687252/en/Suki-Secures-$70M-Series-D-Funding-as-Demand-Surges-Expands-Strategic-Partnership-with-MedStar-Health]",no data — searched not found [https://www.suki.ai/],no data — searched not found [https://www.suki.ai/],voice + text [https://www.suki.ai/],internal — undisclosed (400+ orgs) [https://www.suki.ai/],none specified [https://www.suki.ai/]
DeepScribe,Healthcare,Enterprise only [https://aws.amazon.com/marketplace/pp/prodview-dbzumpxmtnqvu],Managed-only [https://www.deepscribe.ai/],US [https://pitchbook.com/profiles/company/264826-18],"SOC 2 Type II; HIPAA; GDPR-compliant [https://www.deepscribe.ai/security]",Trains on de-identified clinical data only with BAA in place; PHI never used without customer consent [https://www.deepscribe.ai/privacy],"$30M total, Series A 2022-01 [https://techcrunch.com/2022/01/12/ai-powered-transcription-platform-deepscribe-raises-30m-to-unburden-doctors-from-tedious-data-entry/]",51-200 ppl [https://techcrunch.com/2022/01/12/ai-powered-transcription-platform-deepscribe-raises-30m-to-unburden-doctors-from-tedious-data-entry/],no data — searched not found [https://www.deepscribe.ai/],no data — searched not found [https://www.deepscribe.ai/],voice + text [https://www.deepscribe.ai/],5M oncology visits/year (vendor claim) [https://www.deepscribe.ai/],append (no resolution) [https://www.deepscribe.ai/]
Abridge,Healthcare,Enterprise only [https://www.abridge.com/],Managed-only [https://www.abridge.com/],US [https://www.crunchbase.com/organization/abridge-d1a4],"SOC 2 Type II, ISO 27001, HIPAA (BAA required) [https://support.abridge.com/hc/en-us/articles/30235280178195-Abridge-HIPAA-Compliance]",Trains on de-identified patient data only (raw PHI never used for training; BAA governs all customer PHI processing) [https://www.abridge.com/privacy],"$616M total, $5.3B val, Series E Extension 2026-04 [https://techcrunch.com/2025/06/24/in-just-4-months-ai-medical-scribe-abridge-doubles-valuation-to-5-3b/]",51-200 ppl [https://www.abridge.com/blog/series-e],no data — searched not found [https://www.abridge.com/],UPMC/CMU-backed; founder Shiv Rao (UPMC practicing cardiologist; ex-UPMC corporate VC) [https://fortune.com/2025/02/17/abridge-ai-founder-ceo-shiv-rao-practicing-doctor-profile-250-million-funding/],voice + text [https://www.abridge.com/],1.5M+ medical-encounter dataset (vendor claim) [https://www.abridge.com/],append (no resolution) [https://www.abridge.com/]
OpenEvidence (DeepConsult + Visits),Healthcare,no data — searched not found [https://www.openevidence.com/],no data — searched not found [https://www.openevidence.com/],no data — searched not found [https://www.openevidence.com/],no data — searched not found [https://www.openevidence.com/],no data — searched not found [https://www.openevidence.com/],no data — searched not found [https://www.openevidence.com/],no data — searched not found [https://www.openevidence.com/],no data — searched not found [https://www.openevidence.com/],no data — searched not found [https://www.openevidence.com/],text [https://www.openevidence.com/],35M peer-reviewed publications indexed (vendor claim) [https://www.openevidence.com/],none specified [https://www.openevidence.com/]
Heidi Health,Healthcare,no data — searched not found [https://www.heidihealth.com/],no data — searched not found [https://www.heidihealth.com/],Australia (Melbourne) [https://techcrunch.com/2025/10/05/heidi-health-raises-65m-series-b-led-by-steve-cohens-point72/],no data — searched not found [https://www.heidihealth.com/],no data — searched not found [https://www.heidihealth.com/],"$65M, $465M val, Series B 2025-10 [https://techcrunch.com/2025/10/05/heidi-health-raises-65m-series-b-led-by-steve-cohens-point72/]","2M consults/week; 116 countries; clinicians [https://techcrunch.com/2025/10/05/heidi-health-raises-65m-series-b-led-by-steve-cohens-point72/]",no data — searched not found [https://www.heidihealth.com/],no data — searched not found [https://www.heidihealth.com/],voice + text [https://www.heidihealth.com/],internal — undisclosed (HIPAA/GDPR) [https://www.heidihealth.com/],none specified [https://www.heidihealth.com/]
Harvey Memory,Legal,Enterprise only [https://softwarefinder.com/legal/harvey-ai],"Both (managed + on-prem option) [https://www.harvey.ai/blog/memory-in-harvey]",US [https://en.wikipedia.org/wiki/Harvey_(software)],"SOC 2 Type II, ISO 27001, GDPR-compliant, EU-US DPF [https://trust.harvey.ai/]",Never trains on customer data (contractual commitment to all AI providers: no retention no human access no training on customer data) [https://www.harvey.ai/blog/security-by-design],"$1.1B total, $11.0B val, Growth round 2026-03 [https://techcrunch.com/2025/12/04/legal-ai-startup-harvey-confirms-8b-valuation/]","$195M ARR; 1000+ enterprise clients; A&O Shearman, Macfarlanes, Paul Weiss [https://www.harvey.ai/customers]",no data — searched not found [https://www.harvey.ai/],no data — searched not found [https://www.harvey.ai/],text [https://www.harvey.ai/],internal — undisclosed (1000+ enterprise clients) [https://www.harvey.ai/],none specified [https://www.harvey.ai/]
Luminance Institutional Memory,Legal,Enterprise only [https://www.luminance.com/],Managed-only [https://www.luminance.com/],UK (Cambridge) [https://www.luminance.com/],"ISO 27001; SOC 2 Type II; GDPR-compliant [https://www.luminance.com/security]",Never trains on customer data (contractual commitment to no model training on customer data) [https://www.luminance.com/privacy],"$115M total, Series C 2025-02 [https://www.cnbc.com/2024/04/02/legal-tech-startup-luminance-rides-ai-hype-to-40-million-fundraise.html]",51-200 ppl [https://www.cnbc.com/2024/04/02/legal-tech-startup-luminance-rides-ai-hype-to-40-million-fundraise.html],no data — searched not found [https://www.luminance.com/],no data — searched not found [https://www.luminance.com/],text [https://www.luminance.com/],internal — undisclosed [https://www.luminance.com/],overwrite [https://www.luminance.com/]
Filevine LOIS,Legal,Enterprise only [https://www.filevine.com/pricing/],Managed-only [https://www.filevine.com/lois/],US [https://www.zoominfo.com/c/filevine-inc/367467293],"SOC 2 Type II; HIPAA; GDPR-compliant [https://www.filevine.com/security]",no data — searched not found [https://www.filevine.com/],"$508M total; two 2025 rounds (Insight/Accel/Halo) [https://news.crunchbase.com/enterprise/filevine-legal-tech-vc-funding-ironclad/]","$61M ARR; 1K+ customers; 100k legal professionals [https://getlatka.com/companies/filevine]",no data — searched not found [https://www.filevine.com/],no data — searched not found [https://www.filevine.com/],text [https://www.filevine.com/],internal — undisclosed (~6k customers; 100k legal professionals) [https://www.filevine.com/],overwrite [https://www.filevine.com/]
Eve Legal,Legal,no data — searched not found [https://www.eve.legal/],no data — searched not found [https://www.eve.legal/],no data — searched not found [https://www.eve.legal/],no data — searched not found [https://www.eve.legal/],no data — searched not found [https://www.eve.legal/],no data — searched not found [https://www.eve.legal/],900+ plaintiff firms at GA (2025) [https://www.eve.legal/],no data — searched not found [https://www.eve.legal/],no founders named publicly [https://www.eve.legal/],text [https://www.eve.legal/],internal — undisclosed (firm-level store; litigation domain) [https://www.eve.legal/],LLM-arbitrate [https://www.eve.legal/]
Spellbook Library,Legal,no data — searched not found [https://www.spellbook.legal/],no data — searched not found [https://www.spellbook.legal/],Canada (Toronto) [https://www.spellbook.legal/],no data — searched not found [https://www.spellbook.legal/],no data — searched not found [https://www.spellbook.legal/],"$31M total, Series A 2024-01 [https://www.businesswire.com/news/home/20240124392330/en/Legal-AI-Startup-Spellbook-Raises-%2420M-Series-A-Funding-Round-Following-10x-Revenue-Growth]","86000+ contracts/month opened [https://www.businesswire.com/news/home/20240124392330/en/Legal-AI-Startup-Spellbook-Raises-%2420M-Series-A-Funding-Round-Following-10x-Revenue-Growth]",no data — searched not found [https://www.spellbook.legal/],no data — searched not found [https://www.spellbook.legal/],text [https://www.spellbook.legal/],no scale claim [https://www.spellbook.legal/],none specified [https://www.spellbook.legal/]
Clio Duo / Manage AI,Legal,no data — searched not found [https://www.clio.com/],no data — searched not found [https://www.clio.com/],no data — searched not found [https://www.clio.com/],no data — searched not found [https://www.clio.com/],no data — searched not found [https://www.clio.com/],no data — searched not found [https://www.clio.com/],no data — searched not found [https://www.clio.com/],no data — searched not found [https://www.clio.com/],no data — searched not found [https://www.clio.com/],text [https://www.clio.com/],internal — undisclosed (dominant SMB market) [https://www.clio.com/],none specified [https://www.clio.com/]
CoCounsel Legal (Thomson Reuters),Legal,no data — searched not found [https://www.thomsonreuters.com/en/products/cocounsel.html],no data — searched not found [https://www.thomsonreuters.com/en/products/cocounsel.html],no data — searched not found [https://www.thomsonreuters.com/en/products/cocounsel.html],no data — searched not found [https://www.thomsonreuters.com/en/products/cocounsel.html],no data — searched not found [https://www.thomsonreuters.com/en/products/cocounsel.html],Public company (Thomson Reuters) [https://www.thomsonreuters.com/],1M users across 107 countries [https://www.thomsonreuters.com/en/products/cocounsel.html],no data — searched not found [https://www.thomsonreuters.com/],Thomson Reuters (public company) [https://www.thomsonreuters.com/],text [https://www.thomsonreuters.com/],internal — undisclosed (1M users 107 countries) [https://www.thomsonreuters.com/],none specified [https://www.thomsonreuters.com/]
Hebbia Matrix,Legal,no data — searched not found [https://www.hebbia.com/],no data — searched not found [https://www.hebbia.com/],US (New York) [https://www.hebbia.com/],no data — searched not found [https://www.hebbia.com/],no data — searched not found [https://www.hebbia.com/],"$130M total, $700M val, Series B 2024-07 [https://techcrunch.com/2024/07/09/ai-startup-hebbia-rased-130m-at-a-700m-valuation-on-13-million-of-profitable-revenue/]","Asset managers, investment banks, law firms, pharma [https://techcrunch.com/2024/07/09/ai-startup-hebbia-rased-130m-at-a-700m-valuation-on-13-million-of-profitable-revenue/]",no data — searched not found [https://www.hebbia.com/],no data — searched not found [https://www.hebbia.com/],text [https://www.hebbia.com/],no scale claim [https://www.hebbia.com/],none specified [https://www.hebbia.com/]
Sierra,Customer support/voice,Enterprise only [https://sierra.ai],Managed-only [https://sierra.ai],US [https://sierra.ai],"SOC 2 Type II; GDPR; CCPA [https://sierra.ai/security]",no data — searched not found [https://sierra.ai],no data — searched not found [https://sierra.ai],"WeightWatchers, SiriusXM, Sonos, Casper [https://sierra.ai]",no data — searched not found [https://sierra.ai],Bret Taylor (ex-Salesforce co-CEO) and Clay Bavor (ex-Google VP) [https://sierra.ai],voice + text [https://sierra.ai],no scale claim [https://sierra.ai],LLM-arbitrate [https://sierra.ai]
Inworld AI,Gaming/NPC,Starter $22/mo; Pro $82/mo; Enterprise custom [https://inworld.ai/pricing],Both [https://inworld.ai],US [https://inworld.ai],"SOC 2 Type II; GDPR-compliant [https://inworld.ai/security]",no data — searched not found [https://inworld.ai],"$125M+ raised (Lightspeed/KP/Founders Fund/M12/Samsung) [https://techcrunch.com/2023/04/05/inworld-ai-raises-50-million-to-help-game-studios-build-ai-powered-npc-characters/]","ILMxLAB, Epic Games (Unreal), Unity, Niantic [https://inworld.ai]",no data — searched not found [https://inworld.ai],"Ilya Gelfenbeyn, Kylan Gibbs (CEO), Michael Ermolenko [https://inworld.ai/about]",text + voice + behavior [https://inworld.ai],no scale claim [https://inworld.ai],LLM-arbitrate [https://inworld.ai]
Convai,Gaming/NPC,Starter $22/mo; Growth $82/mo; Enterprise custom [https://convai.com/pricing],Both [https://convai.com/],"US (San Jose CA) [https://convai.com/]","SOC 2 Type II; GDPR (Enterprise) [https://convai.com/trust]",no data — searched not found [https://convai.com],$5M seed [https://www.tracxn.com/d/companies/convai],"Niantic, Roblox developers [https://convai.com]",no data — searched not found [https://convai.com],Nandakishor M (CEO) [https://tracxn.com],text + voice + behavior [https://convai.com],no scale claim [https://convai.com],LLM-arbitrate [https://convai.com]
Charisma.ai,Gaming/NPC,Self-serve free tier; Pro/Enterprise custom [https://charisma.ai/pricing],Managed-only [https://charisma.ai],"UK [https://charisma.ai]",GDPR compliant (Data Protection Act 2018) [https://charisma.ai/privacy],no data — searched not found [https://charisma.ai],no data — searched not found [https://charisma.ai],"Entertainment / interactive narrative clients [https://charisma.ai]",no data — searched not found [https://charisma.ai],Guy Gadney (CEO) [https://charisma.ai/about],text + voice [https://charisma.ai],no scale claim [https://charisma.ai],LLM-arbitrate [https://charisma.ai]
Latitude (Voyage),Gaming/NPC,Voyage free/paid tiers [https://voyage.app/],Managed-only [https://latitude.io/],"US [https://latitude.io/]",no data — searched not found [https://latitude.io/],no data — searched not found [https://latitude.io/],"$3.3M seed (NFX / Album VC / Griffin Gaming) + Voyage backed by NFX / Google AI Futures Fund / Midjourney [https://techcrunch.com/2021/02/04/latitude-seed-funding/]",AI Dungeon 2M+ users [https://latitude.io/],no data — searched not found [https://latitude.io/],Nick Walton (CEO/co-founder; BYU DL lab) [https://techcrunch.com/2021/02/04/latitude-seed-funding/],text [https://latitude.io/],no scale claim [https://latitude.io/],LLM-arbitrate [https://latitude.io/]
Replika,Gaming/NPC,Free / Pro $7.99/mo / Lifetime $299.99 [https://replika.com/pricing],Managed-only [https://replika.com],"US (San Francisco) [https://www.crunchbase.com/organization/replika]",GDPR issues: €5M fine by Italy's Garante for inadequate privacy notices and no age verification; banned in Italy [https://captaincompliance.com/education/replikas-e5-million-gdpr-fine-key-takeaways-for-ai-developers/],"Conversation data stored server-side; GDPR second investigation ongoing re training methods [https://replika.com/legal/privacy]","$11M total raised [https://www.prnewswire.com/news-releases/replika-ai-confidant-raises-65-million-in-series-a2-funding-on-heels-of-the-personal-chatbot-opening-to-15-million-users-on-the-waitlist-300564092.html]",10M+ users [https://replika.com],no data — searched not found [https://replika.com],Eugenia Kuyda (founder/CEO) [https://www.linkedin.com/in/eugenia-kuyda-638a8a1b/],text + voice [https://replika.com],no scale claim [https://replika.com],LLM-arbitrate [https://replika.com]
Nomi AI,Gaming/NPC,Free / Premium $15.99/mo [https://nomi.ai],Managed-only [https://nomi.ai],"US (Baltimore MD) [https://www.thebanner.com/economy/nomi-ai-companions-baltimore-KIY3WFD45NFI5PFCILJBNKMEZU/]",GDPR non-compliance: removed from Google Play in EU 2024; privacy policy stale (dated Apr 2023 as of 2025) [https://medium.com/@nomiai_exposed/when-compliance-becomes-optional-how-nomi-ais-ceo-instructs-users-to-bypass-eu-regulatory-6b5fcdbe176c],"User conversation data stored; DPO not confirmed; policy outdated [https://nomi.ai/privacy]",Self-funded; no external VC raised [https://www.thebanner.com/economy/nomi-ai-companions-baltimore-KIY3WFD45NFI5PFCILJBNKMEZU/],1M+ users tried a Nomi relationship [https://www.thebanner.com/economy/nomi-ai-companions-baltimore-KIY3WFD45NFI5PFCILJBNKMEZU/],no data — searched not found [https://nomi.ai],Alex Cardinell (founder/CEO; Carnegie Mellon dropout; Towson MD) [https://nomi.ai/author/alex/],text + voice [https://nomi.ai],no scale claim [https://nomi.ai],LLM-arbitrate [https://nomi.ai]
Soul Machines,Gaming/NPC,Enterprise only [https://www.soulmachines.com/],Managed-only [https://www.soulmachines.com/],"New Zealand (Auckland) [https://www.soulmachines.com/about-soul-machines]",Privacy policy + Data Retention Policy published [https://www.soulmachines.com/privacy-policy],"Separate Privacy Policy and Data Retention Policy; requires actor consent for face scan data [https://www.soulmachines.com/privacy-policy]",no data — searched not found [https://www.soulmachines.com/],"Unilever, NatWest, Procter & Gamble [https://www.soulmachines.com/]",no data — searched not found [https://www.soulmachines.com/],"Mark Sagar (co-founder; double Academy Award winner; ex-Weta Digital) and Greg Cross (co-founder; serial tech entrepreneur); both stepped down 2024 [https://www.nzherald.co.nz/business/founders-out-new-investor-in-at-slimmed-down-soul-machines/FNVWHTJTUFEWZP65B2CAWNMPUU/]",text + voice + video avatar [https://www.soulmachines.com/],no scale claim [https://www.soulmachines.com/],LLM-arbitrate [https://www.soulmachines.com/]
Spirit AI Character Engine,Gaming/NPC,no data — searched not found [https://www.spirit.ai/],no data — searched not found [https://www.spirit.ai/],"UK [https://www.crunchbase.com/organization/spirit-ai]",no data — searched not found [https://www.spirit.ai/],no data — searched not found [https://www.spirit.ai/],no data — searched not found [https://www.crunchbase.com/organization/spirit-ai],"Game studios, interactive fiction authors [https://intfiction.org/t/character-engine-spirit-ai/40846]",no data — searched not found [https://www.spirit.ai/],Steve Andre (CEO) [https://www.crunchbase.com/organization/spirit-ai],text + voice [https://www.spirit.ai/],no scale claim [https://www.spirit.ai/],LLM-arbitrate [https://www.spirit.ai/]
Figure Helix,Robotics/embodied,no data — searched not found [https://www.figure.ai/helix],Managed hardware deployment (robots at partner sites) [https://www.figure.ai/helix],"US (Sunnyvale CA) [https://www.figure.ai/]",no data — searched not found [https://www.figure.ai/],Onboard GPU inference; robot performance logs feed training data flywheel [https://www.figure.ai/news/helix],"$675M raised (OpenAI/Microsoft/Nvidia/Intel/Amazon) [https://www.figure.ai/]",BMW Spartanburg plant (11-month deployment; 90k+ parts loaded) [https://www.figure.ai/news/helix-logistics],"HN high: multiple top-100 posts [https://www.figure.ai/]",Brett Adcock (founder/CEO) [https://www.figure.ai/],vision + proprioception + language [https://www.figure.ai/helix],no scale claim [https://www.figure.ai/helix],LLM-arbitrate [https://www.figure.ai/helix]
π0.5 (Physical Intelligence),Robotics/embodied,no data — searched not found [https://www.physicalintelligence.company/],Cloud inference + on-robot deployment (websocket streaming) [https://github.com/Physical-Intelligence/openpi],"US (San Francisco) [https://www.physicalintelligence.company/]",no data — searched not found [https://www.physicalintelligence.company/],"Trained on Open X-Embodiment + proprietary in-house datasets; open-source weights available [https://github.com/Physical-Intelligence/openpi]","$400M raised (Sequoia/Khosla/Amazon) [https://www.physicalintelligence.company/]",Robot hardware partners (Boston Dynamics etc.) [https://www.physicalintelligence.company/],no data — searched not found [https://www.physicalintelligence.company/],"Chelsea Finn (Stanford Prof), Sergey Levine, Karol Hausman, Brian Ichter, Lachy Groom [https://www.physicalintelligence.company/]",vision + proprioception + language [https://www.physicalintelligence.company/],no scale claim [https://www.physicalintelligence.company/],LLM-arbitrate [https://www.physicalintelligence.company/]
Wayve GAIA-2/3,Robotics/embodied,no data — searched not found [https://wayve.ai/science/gaia/],Research/internal tool — not sold separately [https://wayve.ai/science/gaia/],"UK (London) [https://wayve.ai/]",no data — searched not found [https://wayve.ai/],Synthetic data from GAIA feeds Wayve AI Driver training; no third-party data sales [https://wayve.ai/science/gaia/],"$1.5B Series D (SoftBank lead) [https://wayve.ai/press/series-d/]","Uber (Tokyo robotaxi pilot 2026); Nissan LEAF partnership [https://wayve.ai/press/series-d/]",no data — searched not found [https://wayve.ai/],"Amar Shah (CEO/founder; Cambridge PhD) [https://wayve.ai/about/]",video + sensor + language [https://wayve.ai/science/gaia/],no scale claim [https://wayve.ai/science/gaia/],LLM-arbitrate [https://wayve.ai/science/gaia/]
