use_case,rank,system_name,tier,section,total_score,anti_passed,hard_passed,weighted_score,tiebreaker_score,notes
UC-04 enterprise-coding,WL-10,Krutrim Kruti (Ola),T2,Dedicated memory layers,,True,False,,,"FALSE-NEGATIVE WATCH: missing=multi_tenancy,sso_rbac | R-hard failed: multi_tenancy missing; sso_rbac missing; compliance lacks SOC 2; audit log / auditable missing"
UC-04 enterprise-coding,WL-11,NAVER HyperCLOVA X THINK,T1,Dedicated memory layers,,True,False,,,"FALSE-NEGATIVE WATCH: missing=multi_tenancy,sso_rbac | R-hard failed: multi_tenancy missing; sso_rbac missing; compliance lacks SOC 2; audit log / auditable missing"
UC-04 enterprise-coding,WL-12,AutoGLM (Zhipu AI),T2,Dedicated memory layers,,True,False,,,"FALSE-NEGATIVE WATCH: missing=multi_tenancy,sso_rbac | R-hard failed: multi_tenancy missing; sso_rbac missing; compliance lacks SOC 2; audit log / auditable missing"
UC-04 enterprise-coding,WL-13,LangMem (LangChain),T2,Framework-embedded memory,,True,False,,,FALSE-NEGATIVE WATCH: missing=sso_rbac | R-hard failed: sso_rbac missing; audit log / auditable missing
UC-04 enterprise-coding,WL-14,LlamaIndex Memory,T2,Framework-embedded memory,,True,False,,,FALSE-NEGATIVE WATCH: missing=sso_rbac | R-hard failed: sso_rbac missing
UC-04 enterprise-coding,WL-15,AutoGen Memory,T2,Framework-embedded memory,,True,False,,,FALSE-NEGATIVE WATCH: missing=sso_rbac | R-hard failed: sso_rbac missing
UC-04 enterprise-coding,WL-16,Mastra Memory,T2,Framework-embedded memory,,True,False,,,FALSE-NEGATIVE WATCH: missing=sso_rbac | R-hard failed: sso_rbac missing
UC-04 enterprise-coding,WL-17,Semantic Kernel Memory,T2,Framework-embedded memory,,True,False,,,FALSE-NEGATIVE WATCH: missing=sso_rbac | R-hard failed: sso_rbac missing; audit log / auditable missing
UC-04 enterprise-coding,WL-18,Pydantic-AI + Hindsight,T2,Framework-embedded memory,,True,False,,,"FALSE-NEGATIVE WATCH: missing=multi_tenancy,sso_rbac | R-hard failed: multi_tenancy missing; sso_rbac missing; audit log / auditable missing"
UC-04 enterprise-coding,WL-19,LangGraph Persistence,T2,Framework-embedded memory,,True,False,,,FALSE-NEGATIVE WATCH: missing=sso_rbac | R-hard failed: sso_rbac missing
UC-04 enterprise-coding,WL-20,smolagents Memory,T2,Framework-embedded memory,,True,False,,,"FALSE-NEGATIVE WATCH: missing=multi_tenancy,sso_rbac | R-hard failed: multi_tenancy missing; sso_rbac missing"
UC-04 enterprise-coding,WL-21,Strands Agents Memory (AWS),T2,Framework-embedded memory,,True,False,,,FALSE-NEGATIVE WATCH: missing=sso_rbac | R-hard failed: sso_rbac missing; compliance lacks SOC 2; audit log / auditable missing
UC-04 enterprise-coding,WL-22,Google ADK Memory,T2,Framework-embedded memory,,True,False,,,FALSE-NEGATIVE WATCH: missing=sso_rbac | R-hard failed: sso_rbac missing; audit log / auditable missing
UC-04 enterprise-coding,WL-23,AGiXT Adaptive Memory,T2,Framework-embedded memory,,True,False,,,"FALSE-NEGATIVE WATCH: missing=multi_tenancy,sso_rbac | R-hard failed: multi_tenancy missing; sso_rbac missing; audit log / auditable missing"
UC-04 enterprise-coding,WL-24,n8n AI Agent Memory,T1,Framework-embedded memory,,True,False,,,"FALSE-NEGATIVE WATCH: missing=multi_tenancy,sso_rbac | R-hard failed: multi_tenancy missing; sso_rbac missing"
UC-04 enterprise-coding,WL-25,Voiceflow Memory,T1,Framework-embedded memory,,True,False,,,"FALSE-NEGATIVE WATCH: missing=multi_tenancy,sso_rbac | R-hard failed: multi_tenancy missing; sso_rbac missing; audit log / auditable missing"
UC-04 enterprise-coding,WL-26,Botpress LLMz,T1,Framework-embedded memory,,True,False,,,"FALSE-NEGATIVE WATCH: missing=multi_tenancy,sso_rbac | R-hard failed: multi_tenancy missing; sso_rbac missing; audit log / auditable missing"
UC-04 enterprise-coding,WL-27,Relevance AI Memory,T1,Framework-embedded memory,,True,False,,,"FALSE-NEGATIVE WATCH: missing=multi_tenancy,sso_rbac | R-hard failed: multi_tenancy missing; sso_rbac missing; compliance lacks SOC 2; audit log / auditable missing"
UC-04 enterprise-coding,WL-28,Lindy AI Memory,T1,Framework-embedded memory,,True,False,,,"FALSE-NEGATIVE WATCH: missing=multi_tenancy,sso_rbac | R-hard failed: multi_tenancy missing; sso_rbac missing; audit log / auditable missing"
UC-04 enterprise-coding,WL-29,Vapi (voice agents),T2,Framework-embedded memory,,True,False,,,"FALSE-NEGATIVE WATCH: missing=multi_tenancy,sso_rbac | R-hard failed: multi_tenancy missing; sso_rbac missing; audit log / auditable missing"
UC-04 enterprise-coding,WL-30,Retell AI,T2,Framework-embedded memory,,True,False,,,"FALSE-NEGATIVE WATCH: missing=multi_tenancy,sso_rbac | R-hard failed: multi_tenancy missing; sso_rbac missing; audit log / auditable missing"
UC-04 enterprise-coding,WL-31,Stack AI,T2,Framework-embedded memory,,True,False,,,"FALSE-NEGATIVE WATCH: missing=multi_tenancy,sso_rbac | R-hard failed: multi_tenancy missing; sso_rbac missing"
UC-04 enterprise-coding,WL-32,LinkedIn Cognitive Memory Agent,T1,Platform-provider memory,,True,False,,,"FALSE-NEGATIVE WATCH: missing=multi_tenancy,sso_rbac | R-hard failed: multi_tenancy missing; sso_rbac missing; audit log / auditable missing"
UC-04 enterprise-coding,WL-33,Perplexity Memory,T1,Platform-provider memory,,True,False,,,FALSE-NEGATIVE WATCH: missing=sso_rbac | R-hard failed: sso_rbac missing; audit log / auditable missing
UC-04 enterprise-coding,WL-34,Lovable,T2,Coding-agent memory,,True,False,,,FALSE-NEGATIVE WATCH: missing=sso_rbac | R-hard failed: sso_rbac missing; audit log / auditable missing
UC-04 enterprise-coding,WL-35,Perplexity Comet,T1,Browser-agent memory,,True,False,,,FALSE-NEGATIVE WATCH: missing=sso_rbac | R-hard failed: sso_rbac missing
UC-04 enterprise-coding,WL-36,Brave Leo,T2,Browser-agent memory,,True,False,,,"FALSE-NEGATIVE WATCH: missing=multi_tenancy,sso_rbac | R-hard failed: multi_tenancy missing; sso_rbac missing; audit log / auditable missing"
UC-04 enterprise-coding,WL-37,Tencent ima.copilot,T1,Personal AI / PKM / lifelogging memory,,True,False,,,"FALSE-NEGATIVE WATCH: missing=multi_tenancy,sso_rbac | R-hard failed: multi_tenancy missing; sso_rbac missing; compliance lacks SOC 2; audit log / auditable missing"
UC-04 enterprise-coding,WL-38,Tana,T2,Personal AI / PKM / lifelogging memory,,True,False,,,FALSE-NEGATIVE WATCH: missing=sso_rbac | R-hard failed: sso_rbac missing; compliance lacks SOC 2; audit log / auditable missing
UC-04 enterprise-coding,WL-39,Logseq,T2,Personal AI / PKM / lifelogging memory,,True,False,,,"FALSE-NEGATIVE WATCH: missing=multi_tenancy,sso_rbac | R-hard failed: multi_tenancy missing; sso_rbac missing; compliance lacks SOC 2"
UC-04 enterprise-coding,WL-40,Capacities,T2,Personal AI / PKM / lifelogging memory,,True,False,,,"FALSE-NEGATIVE WATCH: missing=multi_tenancy,sso_rbac | R-hard failed: multi_tenancy missing; sso_rbac missing; compliance lacks SOC 2; audit log / auditable missing"
UC-04 enterprise-coding,WL-41,Heptabase,T2,Personal AI / PKM / lifelogging memory,,True,False,,,FALSE-NEGATIVE WATCH: missing=sso_rbac | R-hard failed: sso_rbac missing; compliance lacks SOC 2; audit log / auditable missing
UC-04 enterprise-coding,WL-42,Craft AI,T1,Personal AI / PKM / lifelogging memory,,True,False,,,"FALSE-NEGATIVE WATCH: missing=multi_tenancy,sso_rbac | R-hard failed: multi_tenancy missing; sso_rbac missing; audit log / auditable missing"
UC-04 enterprise-coding,WL-43,Mymind,T2,Personal AI / PKM / lifelogging memory,,True,False,,,FALSE-NEGATIVE WATCH: missing=sso_rbac | R-hard failed: sso_rbac missing; compliance lacks SOC 2; audit log / auditable missing
UC-04 enterprise-coding,WL-44,Supernotes AI,T2,Personal AI / PKM / lifelogging memory,,True,False,,,"FALSE-NEGATIVE WATCH: missing=multi_tenancy,sso_rbac | R-hard failed: multi_tenancy missing; sso_rbac missing; compliance lacks SOC 2; audit log / auditable missing"
UC-04 enterprise-coding,WL-45,Saner.ai,T2,Personal AI / PKM / lifelogging memory,,True,False,,,"FALSE-NEGATIVE WATCH: missing=multi_tenancy,sso_rbac | R-hard failed: multi_tenancy missing; sso_rbac missing; compliance lacks SOC 2; audit log / auditable missing"
UC-04 enterprise-coding,WL-46,Amplenote,T2,Personal AI / PKM / lifelogging memory,,True,False,,,"FALSE-NEGATIVE WATCH: missing=multi_tenancy,sso_rbac | R-hard failed: multi_tenancy missing; sso_rbac missing; compliance lacks SOC 2; audit log / auditable missing"
UC-04 enterprise-coding,WL-47,Scrintal,T2,Personal AI / PKM / lifelogging memory,,True,False,,,"FALSE-NEGATIVE WATCH: missing=multi_tenancy,sso_rbac | R-hard failed: multi_tenancy missing; sso_rbac missing; compliance lacks SOC 2; audit log / auditable missing"
UC-04 enterprise-coding,WL-48,Apple Notes + Apple Intelligence,T1,Personal AI / PKM / lifelogging memory,,True,False,,,FALSE-NEGATIVE WATCH: missing=sso_rbac | R-hard failed: sso_rbac missing; compliance lacks SOC 2
UC-04 enterprise-coding,WL-49,Heyday,T2,Personal AI / PKM / lifelogging memory,,True,False,,,"FALSE-NEGATIVE WATCH: missing=multi_tenancy,sso_rbac | R-hard failed: multi_tenancy missing; sso_rbac missing; compliance lacks SOC 2"
UC-04 enterprise-coding,WL-50,Mem.ai,T2,Personal AI / PKM / lifelogging memory,,True,False,,,FALSE-NEGATIVE WATCH: missing=sso_rbac | R-hard failed: sso_rbac missing; audit log / auditable missing
UC-04 enterprise-coding,WL-51,Reflect,T2,Personal AI / PKM / lifelogging memory,,True,False,,,FALSE-NEGATIVE WATCH: missing=sso_rbac | R-hard failed: sso_rbac missing; compliance lacks SOC 2; audit log / auditable missing
UC-04 enterprise-coding,WL-52,Microsoft Recall,T1,Personal AI / PKM / lifelogging memory,,True,False,,,"FALSE-NEGATIVE WATCH: missing=multi_tenancy,sso_rbac | R-hard failed: multi_tenancy missing; sso_rbac missing; compliance lacks SOC 2"
UC-04 enterprise-coding,WL-53,Personal.ai,T2,Personal AI / PKM / lifelogging memory,,True,False,,,FALSE-NEGATIVE WATCH: missing=sso_rbac | R-hard failed: sso_rbac missing; compliance lacks SOC 2; audit log / auditable missing
UC-04 enterprise-coding,WL-54,Memories.ai LVMM 2.0 / Project LUCI,T2,Voice-first / wearable AI memory,,True,False,,,FALSE-NEGATIVE WATCH: missing=sso_rbac | R-hard failed: sso_rbac missing; compliance lacks SOC 2; audit log / auditable missing
UC-04 enterprise-coding,WL-55,Plaud NotePin,T1,Voice-first / wearable AI memory,,True,False,,,FALSE-NEGATIVE WATCH: missing=sso_rbac | R-hard failed: sso_rbac missing
UC-04 enterprise-coding,WL-56,Omi,T1,Voice-first / wearable AI memory,,True,False,,,"FALSE-NEGATIVE WATCH: missing=multi_tenancy,sso_rbac | R-hard failed: multi_tenancy missing; sso_rbac missing"
UC-04 enterprise-coding,WL-57,Bee,T1,Voice-first / wearable AI memory,,True,False,,,FALSE-NEGATIVE WATCH: missing=sso_rbac | R-hard failed: sso_rbac missing; compliance lacks SOC 2
UC-04 enterprise-coding,WL-58,Friend,T1,Voice-first / wearable AI memory,,True,False,,,FALSE-NEGATIVE WATCH: missing=sso_rbac | R-hard failed: sso_rbac missing; compliance lacks SOC 2
UC-04 enterprise-coding,WL-59,Anthropic Auto Dream,T1,Claude Code memory mechanisms,,True,False,,,"FALSE-NEGATIVE WATCH: missing=multi_tenancy,sso_rbac | R-hard failed: multi_tenancy missing; sso_rbac missing; audit log / auditable missing"
UC-04 enterprise-coding,WL-60,Palantir Ontology,T1,Knowledge-graph platforms,,True,False,,,"FALSE-NEGATIVE WATCH: missing=multi_tenancy,sso_rbac | R-hard failed: multi_tenancy missing; sso_rbac missing"
UC-04 enterprise-coding,WL-61,Chroma,T1,Vector-database infrastructure,,True,False,,,FALSE-NEGATIVE WATCH: missing=sso_rbac | R-hard failed: sso_rbac missing; audit log / auditable missing
UC-04 enterprise-coding,WL-62,LanceDB,T1,Vector-database infrastructure,,True,False,,,FALSE-NEGATIVE WATCH: missing=sso_rbac | R-hard failed: sso_rbac missing; audit log / auditable missing
UC-04 enterprise-coding,WL-63,Turbopuffer,T1,Vector-database infrastructure,,True,False,,,FALSE-NEGATIVE WATCH: missing=sso_rbac | R-hard failed: sso_rbac missing
UC-04 enterprise-coding,WL-64,Marqo,T2,Vector-database infrastructure,,True,False,,,FALSE-NEGATIVE WATCH: missing=sso_rbac | R-hard failed: sso_rbac missing
UC-04 enterprise-coding,WL-65,Clarivate,T1,Enterprise-search adjacencies,,True,False,,,"FALSE-NEGATIVE WATCH: missing=multi_tenancy,sso_rbac | R-hard failed: multi_tenancy missing; sso_rbac missing"
UC-04 enterprise-coding,WL-66,Causaly,T1,— Scientific / research AI memory,,True,False,,,"FALSE-NEGATIVE WATCH: missing=multi_tenancy,sso_rbac | R-hard failed: multi_tenancy missing; sso_rbac missing; audit log / auditable missing"
UC-04 enterprise-coding,WL-67,Elicit,T2,— Scientific / research AI memory,,True,False,,,"FALSE-NEGATIVE WATCH: missing=multi_tenancy,sso_rbac | R-hard failed: multi_tenancy missing; sso_rbac missing"
UC-04 enterprise-coding,WL-68,Hippocratic AI Polaris,T1,— Healthcare AI memory,,True,False,,,"FALSE-NEGATIVE WATCH: missing=multi_tenancy,sso_rbac | R-hard failed: multi_tenancy missing; sso_rbac missing"
UC-04 enterprise-coding,WL-69,Nabla + Navina,T1,— Healthcare AI memory,,True,False,,,"FALSE-NEGATIVE WATCH: missing=multi_tenancy,sso_rbac | R-hard failed: multi_tenancy missing; sso_rbac missing"
UC-04 enterprise-coding,WL-70,Suki AI,T1,— Healthcare AI memory,,True,False,,,"FALSE-NEGATIVE WATCH: missing=multi_tenancy,sso_rbac | R-hard failed: multi_tenancy missing; sso_rbac missing"
UC-04 enterprise-coding,WL-71,DeepScribe,T1,— Healthcare AI memory,,True,False,,,"FALSE-NEGATIVE WATCH: missing=multi_tenancy,sso_rbac | R-hard failed: multi_tenancy missing; sso_rbac missing"
UC-04 enterprise-coding,WL-72,Abridge,T1,— Healthcare AI memory,,True,False,,,"FALSE-NEGATIVE WATCH: missing=multi_tenancy,sso_rbac | R-hard failed: multi_tenancy missing; sso_rbac missing"
UC-04 enterprise-coding,WL-73,Harvey Memory,T1,— Legal AI memory,,True,False,,,"FALSE-NEGATIVE WATCH: missing=multi_tenancy,sso_rbac | R-hard failed: multi_tenancy missing; sso_rbac missing"
UC-04 enterprise-coding,WL-74,Luminance Institutional Memory,T1,— Legal AI memory,,True,False,,,"FALSE-NEGATIVE WATCH: missing=multi_tenancy,sso_rbac | R-hard failed: multi_tenancy missing; sso_rbac missing"
UC-04 enterprise-coding,WL-75,Filevine LOIS,T1,— Legal AI memory,,True,False,,,"FALSE-NEGATIVE WATCH: missing=multi_tenancy,sso_rbac | R-hard failed: multi_tenancy missing; sso_rbac missing"
UC-04 enterprise-coding,WL-76,Sierra,T1,— Customer support / voice agent memory,,True,False,,,"FALSE-NEGATIVE WATCH: missing=multi_tenancy,sso_rbac | R-hard failed: multi_tenancy missing; sso_rbac missing; audit log / auditable missing"
UC-04 enterprise-coding,WL-77,Decagon,T1,— Customer support / voice agent memory,,True,False,,,"FALSE-NEGATIVE WATCH: missing=multi_tenancy,sso_rbac | R-hard failed: multi_tenancy missing; sso_rbac missing; audit log / auditable missing"
UC-04 enterprise-coding,WL-78,Cognigy,T1,— Customer support / voice agent memory,,True,False,,,"FALSE-NEGATIVE WATCH: missing=multi_tenancy,sso_rbac | R-hard failed: multi_tenancy missing; sso_rbac missing"
UC-04 enterprise-coding,WL-79,ASAPP GenerativeAgent,T1,— Customer support / voice agent memory,,True,False,,,"FALSE-NEGATIVE WATCH: missing=multi_tenancy,sso_rbac | R-hard failed: multi_tenancy missing; sso_rbac missing; audit log / auditable missing"
UC-04 enterprise-coding,WL-80,PolyAI,T2,— Customer support / voice agent memory,,True,False,,,"FALSE-NEGATIVE WATCH: missing=multi_tenancy,sso_rbac | R-hard failed: multi_tenancy missing; sso_rbac missing; audit log / auditable missing"
UC-04 enterprise-coding,WL-81,Intercom Fin,T2,— Customer support / voice agent memory,,True,False,,,"FALSE-NEGATIVE WATCH: missing=multi_tenancy,sso_rbac | R-hard failed: multi_tenancy missing; sso_rbac missing; audit log / auditable missing"
UC-04 enterprise-coding,WL-82,Inworld AI,T1,— Gaming / NPC character memory,,True,False,,,"FALSE-NEGATIVE WATCH: missing=multi_tenancy,sso_rbac | R-hard failed: multi_tenancy missing; sso_rbac missing; audit log / auditable missing"
UC-04 enterprise-coding,WL-83,Convai (Mimir),T1,— Gaming / NPC character memory,,True,False,,,"FALSE-NEGATIVE WATCH: missing=multi_tenancy,sso_rbac | R-hard failed: multi_tenancy missing; sso_rbac missing; audit log / auditable missing"
UC-04 enterprise-coding,WL-84,Charisma.ai,T1,— Gaming / NPC character memory,,True,False,,,"FALSE-NEGATIVE WATCH: missing=multi_tenancy,sso_rbac | R-hard failed: multi_tenancy missing; sso_rbac missing; compliance lacks SOC 2; audit log / auditable missing"
UC-04 enterprise-coding,WL-85,Character.ai,T1,— Gaming / NPC character memory,,True,False,,,"FALSE-NEGATIVE WATCH: missing=multi_tenancy,sso_rbac | R-hard failed: multi_tenancy missing; sso_rbac missing; compliance lacks SOC 2; audit log / auditable missing"
UC-04 enterprise-coding,WL-86,Replika,T2,— Gaming / NPC character memory,,True,False,,,"FALSE-NEGATIVE WATCH: missing=multi_tenancy,sso_rbac | R-hard failed: multi_tenancy missing; sso_rbac missing; compliance lacks SOC 2; audit log / auditable missing"
UC-04 enterprise-coding,WL-87,Nomi AI,T2,— Gaming / NPC character memory,,True,False,,,"FALSE-NEGATIVE WATCH: missing=multi_tenancy,sso_rbac | R-hard failed: multi_tenancy missing; sso_rbac missing; compliance lacks SOC 2; audit log / auditable missing"
UC-04 enterprise-coding,WL-88,Soul Machines,T2,— Gaming / NPC character memory,,True,False,,,"FALSE-NEGATIVE WATCH: missing=multi_tenancy,sso_rbac | R-hard failed: multi_tenancy missing; sso_rbac missing; compliance lacks SOC 2; audit log / auditable missing"
UC-04 enterprise-coding,WL-89,Tesla FSD V13 — Occupancy + 4D World,T1,— Robotics / autonomous-driving / embodied memory,,True,False,,,"FALSE-NEGATIVE WATCH: missing=multi_tenancy,sso_rbac | R-hard failed: multi_tenancy missing; sso_rbac missing; audit log / auditable missing"
UC-04 enterprise-coding,WL-90,Skild Brain,T1,— Robotics / autonomous-driving / embodied memory,,True,False,,,"FALSE-NEGATIVE WATCH: missing=multi_tenancy,sso_rbac | R-hard failed: multi_tenancy missing; sso_rbac missing; compliance lacks SOC 2; audit log / auditable missing"
UC-04 enterprise-coding,WL-91,ELSA Speak,T1,— Education AI memory,,True,False,,,"FALSE-NEGATIVE WATCH: missing=multi_tenancy,sso_rbac | R-hard failed: multi_tenancy missing; sso_rbac missing; compliance lacks SOC 2; audit log / auditable missing"
UC-04 enterprise-coding,WL-92,MagicSchool,T1,— Education AI memory,,True,False,,,"FALSE-NEGATIVE WATCH: missing=multi_tenancy,sso_rbac | R-hard failed: multi_tenancy missing; sso_rbac missing; audit log / auditable missing"
UC-04 enterprise-coding,WL-93,SchoolAI,T2,— Education AI memory,,True,False,,,"FALSE-NEGATIVE WATCH: missing=multi_tenancy,sso_rbac | R-hard failed: multi_tenancy missing; sso_rbac missing"
UC-04 enterprise-coding,WL-94,Speak,T2,— Education AI memory,,True,False,,,"FALSE-NEGATIVE WATCH: missing=multi_tenancy,sso_rbac | R-hard failed: multi_tenancy missing; sso_rbac missing; compliance lacks SOC 2; audit log / auditable missing"
UC-06 contact-center,WL-1,Krutrim Kruti (Ola),T2,Dedicated memory layers,,True,False,,,"FALSE-NEGATIVE WATCH: missing=throughput,latency,multi_tenancy | R-hard failed: throughput missing; latency missing; multi_tenancy missing; compliance lacks PCI-DSS; compliance lacks SOC 2"
UC-06 contact-center,WL-2,NAVER HyperCLOVA X THINK,T1,Dedicated memory layers,,True,False,,,"FALSE-NEGATIVE WATCH: missing=modalities,throughput,latency,multi_tenancy | R-hard failed: voice modality missing; throughput missing; latency missing; multi_tenancy missing; compliance lacks PCI-DSS; compliance lacks SOC 2"
UC-06 contact-center,WL-3,M3-Agent (ByteDance),T2,Dedicated memory layers,,True,False,,,"FALSE-NEGATIVE WATCH: missing=throughput,latency,multi_tenancy,compliance | R-hard failed: throughput missing; latency missing; multi_tenancy missing; compliance lacks PCI-DSS; compliance lacks SOC 2"
UC-06 contact-center,WL-4,AutoGLM (Zhipu AI),T2,Dedicated memory layers,,True,False,,,"FALSE-NEGATIVE WATCH: missing=modalities,throughput,latency,multi_tenancy | R-hard failed: voice modality missing; throughput missing; latency missing; multi_tenancy missing; compliance lacks PCI-DSS; compliance lacks SOC 2"
UC-06 contact-center,WL-5,n8n AI Agent Memory,T1,Framework-embedded memory,,True,False,,,"FALSE-NEGATIVE WATCH: missing=throughput,latency,multi_tenancy | R-hard failed: throughput missing; latency missing; multi_tenancy missing; compliance lacks PCI-DSS"
UC-06 contact-center,WL-6,Voiceflow Memory,T1,Framework-embedded memory,,True,False,,,"FALSE-NEGATIVE WATCH: missing=throughput,latency,multi_tenancy | R-hard failed: throughput missing; latency missing; multi_tenancy missing; compliance lacks PCI-DSS"
UC-06 contact-center,WL-7,Vapi (voice agents),T2,Framework-embedded memory,,True,False,,,"FALSE-NEGATIVE WATCH: missing=throughput,latency,multi_tenancy | R-hard failed: throughput missing; latency missing; multi_tenancy missing"
UC-06 contact-center,WL-8,Retell AI,T2,Framework-embedded memory,,True,False,,,"FALSE-NEGATIVE WATCH: missing=throughput,latency,multi_tenancy | R-hard failed: throughput missing; latency missing; multi_tenancy missing; compliance lacks PCI-DSS"
UC-06 contact-center,WL-9,Gemini Enterprise Agent Platform Memory Bank (rebrand of Vertex AI Memory Bank),T1,Platform-provider memory,,True,False,,,"FALSE-NEGATIVE WATCH: missing=throughput,latency | R-hard failed: voice modality missing; throughput missing; latency missing; compliance lacks PCI-DSS"
UC-06 contact-center,WL-10,Memories.ai LVMM 2.0 / Project LUCI,T2,Voice-first / wearable AI memory,,True,False,,,"FALSE-NEGATIVE WATCH: missing=throughput,latency | R-hard failed: throughput missing; latency missing; compliance lacks PCI-DSS; compliance lacks SOC 2"
UC-06 contact-center,WL-11,Limitless,T1,Voice-first / wearable AI memory,,True,False,,,"FALSE-NEGATIVE WATCH: missing=throughput,latency,compliance | R-hard failed: throughput missing; latency missing; compliance lacks PCI-DSS; compliance lacks SOC 2"
UC-06 contact-center,WL-12,Plaud NotePin,T1,Voice-first / wearable AI memory,,True,False,,,"FALSE-NEGATIVE WATCH: missing=throughput,latency | R-hard failed: throughput missing; latency missing; compliance lacks PCI-DSS"
UC-06 contact-center,WL-13,Omi,T1,Voice-first / wearable AI memory,,True,False,,,"FALSE-NEGATIVE WATCH: missing=throughput,latency,multi_tenancy | R-hard failed: throughput missing; latency missing; multi_tenancy missing; compliance lacks PCI-DSS"
UC-06 contact-center,WL-14,Bee,T1,Voice-first / wearable AI memory,,True,False,,,"FALSE-NEGATIVE WATCH: missing=throughput,latency | R-hard failed: throughput missing; latency missing; compliance lacks PCI-DSS; compliance lacks SOC 2"
UC-06 contact-center,WL-15,Friend,T1,Voice-first / wearable AI memory,,True,False,,,"FALSE-NEGATIVE WATCH: missing=throughput,latency | R-hard failed: throughput missing; latency missing; compliance lacks PCI-DSS; compliance lacks SOC 2"
UC-06 contact-center,WL-16,Sandbar Stream,T2,Voice-first / wearable AI memory,,True,False,,,"FALSE-NEGATIVE WATCH: missing=throughput,latency,multi_tenancy,compliance | R-hard failed: throughput missing; latency missing; multi_tenancy missing; compliance lacks PCI-DSS; compliance lacks SOC 2"
