section,row_name,field,value,source_url,notes
claude-code-mechanisms,Memobase MCP,pricing,free / open source (Apache-2.0); no published cloud pricing,https://github.com/memodb-io/memobase,FastAPI server; self-hosted
claude-code-mechanisms,Memobase MCP,deployment,self-hosted — Postgres + Redis; Docker Compose; no managed cloud offering confirmed,https://github.com/memodb-io/memobase,Open-source; no cloud SaaS
claude-code-mechanisms,claude-supermemory,mindshare,2.6k GitHub stars; small but growing Claude Code ecosystem signal,https://github.com/supermemoryai/claude-supermemory,Requires Supermemory Pro subscription
claude-code-mechanisms,claude-supermemory,pricing,requires Supermemory Pro (pricing not publicly listed; contact sales),https://github.com/supermemoryai/claude-supermemory,Plugin is free but requires paid Supermemory backend
claude-code-mechanisms,claude-supermemory,deployment,cloud — Supermemory managed API; no self-host option,https://github.com/supermemoryai/claude-supermemory,Cloud-only memory backend
claude-code-mechanisms,mcp-memory (Puliczek),mindshare,142 GitHub stars; below detection threshold,https://github.com/Puliczek/mcp-memory,Very small community
claude-code-mechanisms,mcp-memory (Puliczek),pricing,free — Cloudflare free tier: 1k memories / ~28k queries per month; no paid tier,https://github.com/Puliczek/mcp-memory,Runs on Cloudflare Workers free tier
claude-code-mechanisms,mcp-memory (Puliczek),deployment,serverless — Cloudflare Workers + Vectorize + D1; one-click Cloudflare deploy,https://github.com/Puliczek/mcp-memory,Zero separate server required
claude-code-mechanisms,local-memory-mcp,mindshare,5 GitHub stars; very early / below threshold,https://github.com/studiomeyer-io/local-memory-mcp,Brand-new project (April 2026)
claude-code-mechanisms,local-memory-mcp,pricing,free / open source (MIT); no paid tier,https://github.com/studiomeyer-io/local-memory-mcp,Zero config; npx install; no cloud
claude-code-mechanisms,local-memory-mcp,deployment,local — SQLite + FTS5; zero cloud dependency; no API keys required,https://github.com/studiomeyer-io/local-memory-mcp,Fully local-only
benchmarks,ImplicitMemBench,citations,0 (too recent — April 2026 preprint; not yet indexed on Semantic Scholar),https://arxiv.org/abs/2604.08064,April 2026 preprint; no citation count yet
benchmarks,ImplicitMemBench,founders,University of Hong Kong (Chonghan Qin Xiachong Feng Lingpeng Kong) + Harbin Institute of Technology (Weitao Ma Xiaocheng Feng),https://arxiv.org/abs/2604.08064,Confirmed from arxiv abstract page
benchmarks,ImplicitMemBench,mindshare,no data — searched not found; brand-new preprint April 2026,https://arxiv.org/abs/2604.08064,No GitHub repo; no independent adoption signal
benchmarks,MemEvoBench,citations,0 (too recent — April 17 2026 preprint; not yet indexed on Semantic Scholar),https://arxiv.org/abs/2604.15774,April 2026 preprint
benchmarks,MemEvoBench,founders,Weiwei Xie Shaoxiong Guo Fan Zhang Tian Xia Xue Yang Lizhuang Ma Junchi Yan Qibing Ren — affiliations not confirmed in abstract; likely Shanghai Jiao Tong University based on author names,https://arxiv.org/abs/2604.15774,Affiliations not confirmed from search; SJTU likely based on Junchi Yan affiliation
benchmarks,MemEvoBench,mindshare,no data — searched not found; brand-new preprint April 2026,https://arxiv.org/abs/2604.15774,No GitHub repo found
benchmarks,ICLR 2026 MemAgents Workshop,created,2026-04-27 (workshop held April 27 2026 at ICLR 2026 in Rio de Janeiro),https://sites.google.com/view/memagent-iclr26/,Workshop date confirmed from ICLR virtual schedule
benchmarks,ICLR 2026 MemAgents Workshop,mindshare,no data — searched not found; workshop proceedings not yet indexed,https://sites.google.com/view/memagent-iclr26/,Too recent for independent mindshare signal
benchmarks,LongMemEval,modalities,text (synthetic multi-session chat histories),https://arxiv.org/abs/2410.10813,Confirmed from paper abstract
benchmarks,LongMemEval,mindshare,240 citations (Semantic Scholar); most-cited dedicated agent-memory benchmark in 2025; commercial vendors (Mem0 Zep Letta) all report against it,https://www.semanticscholar.org/paper/fd48dc6b433cfcd220b6e769c6179d8ef6fcf862,Primary benchmark signal for this section
benchmarks,LongMemEval,pricing,not applicable — open benchmark; free to use,https://github.com/xiaowu0162/LongMemEval,MIT licensed; hosted on GitHub + HuggingFace
benchmarks,LongMemEval,deployment,not applicable — evaluation harness; run locally against model API,https://github.com/xiaowu0162/LongMemEval,Python scripts; no deployment needed
benchmarks,LongMemEval,tax-conflict,not applicable (evaluation benchmark),https://arxiv.org/abs/2410.10813,Read-only eval set
benchmarks,LoCoMo,modalities,text + multimodal dialogue (includes image-grounded turns),https://arxiv.org/abs/2402.17753,Confirmed from paper — tests multimodal dialogue memory
benchmarks,LoCoMo,mindshare,395 citations (Semantic Scholar); heavily used as industry benchmark by Mem0 Zep Letta ByteRover etc,https://www.semanticscholar.org/paper/0bf3a1867f7245b8a702093901c66b08b518eafc,2nd most cited memory benchmark after LongMemEval
benchmarks,LoCoMo,pricing,not applicable — open benchmark; free to use,https://snap-research.github.io/locomo/,Apache-2.0 licensed
benchmarks,LoCoMo,deployment,not applicable — evaluation harness; run locally,https://github.com/snap-research/locomo,Python + Jupyter notebooks
benchmarks,LoCoMo,tax-conflict,not applicable (evaluation benchmark),https://arxiv.org/abs/2402.17753,Read-only eval set
benchmarks,BABILong,modalities,text (bAbI synthetic reasoning tasks interleaved with PG-19 book passages),https://arxiv.org/abs/2406.10149,Confirmed from paper
benchmarks,BABILong,mindshare,196 citations (Semantic Scholar); standard long-context reasoning eval especially for recurrence models,https://www.semanticscholar.org/paper/b47507f12a8b7d26f78a484e32a08d61d3f87358,NeurIPS 2024 Datasets & Benchmarks
benchmarks,BABILong,pricing,not applicable — open benchmark; free to use,https://github.com/booydar/babilong,Apache-2.0 licensed
benchmarks,BABILong,deployment,not applicable — run locally,https://github.com/booydar/babilong,Python; also on HuggingFace datasets
benchmarks,BABILong,tax-conflict,not applicable (evaluation benchmark),https://arxiv.org/abs/2406.10149,Read-only eval set
benchmarks,RULER,modalities,text (configurable synthetic tasks),https://arxiv.org/abs/2404.06654,Confirmed from paper
benchmarks,RULER,mindshare,820 citations (Semantic Scholar); heavily used in long-context LLM release evaluations by NVIDIA and others,https://www.semanticscholar.org/paper/ac5824e9ff924a937d9eef379d0b581de2417678,COLM 2024; one of most-cited long-context benchmarks
benchmarks,RULER,pricing,not applicable — open benchmark; free to use,https://github.com/NVIDIA/RULER,Apache-2.0 licensed
benchmarks,RULER,deployment,not applicable — run locally,https://github.com/NVIDIA/RULER,Python; requires model API access
benchmarks,RULER,tax-conflict,not applicable (evaluation benchmark),https://arxiv.org/abs/2404.06654,Read-only eval set
benchmarks,HELMET,modalities,text (7 categories: RAG summarisation re-ranking classification many-shot ICL long-doc QA),https://arxiv.org/abs/2410.02694,Confirmed from paper
benchmarks,HELMET,mindshare,96 citations (Semantic Scholar); Hugging Face endorsed; Princeton NLP pedigree,https://www.semanticscholar.org/paper/4a2c19f0cfc48f166a8fd34cb8fb2bcfcb275569,ICLR 2025
benchmarks,HELMET,pricing,not applicable — open benchmark; free to use,https://github.com/princeton-nlp/HELMET,MIT licensed
benchmarks,HELMET,deployment,not applicable — run locally,https://github.com/princeton-nlp/HELMET,Python
benchmarks,HELMET,tax-conflict,not applicable (evaluation benchmark),https://arxiv.org/abs/2410.02694,Read-only eval set
benchmarks,InfiniteBench (∞Bench),modalities,text (English + Chinese: novels code math summarisation retrieval),https://arxiv.org/abs/2402.13718,Confirmed from paper
benchmarks,InfiniteBench (∞Bench),mindshare,330 citations (Semantic Scholar); adopted as 100K+ capability reference in LLM releases,https://www.semanticscholar.org/paper/f05e84702562cb693dd68d3d1c88072519a7bd71,ACL 2024
benchmarks,InfiniteBench (∞Bench),pricing,not applicable — open benchmark; free to use,https://github.com/OpenBMB/InfiniteBench,MIT licensed
benchmarks,InfiniteBench (∞Bench),deployment,not applicable — run locally,https://github.com/OpenBMB/InfiniteBench,Python; HuggingFace datasets
benchmarks,InfiniteBench (∞Bench),tax-conflict,not applicable (evaluation benchmark),https://arxiv.org/abs/2402.13718,Read-only eval set
benchmarks,LongBench,modalities,text (bilingual: English + Chinese; 21 datasets),https://arxiv.org/abs/2308.14508,Confirmed from paper
benchmarks,LongBench,mindshare,1200 citations (Semantic Scholar); one of most-cited long-context benchmarks; standard in Chinese NLP,https://www.semanticscholar.org/paper/b31a5884a8ebe96b6300839b28608b97f8f8ef76,ACL 2024; LongBench v2 at ACL 2025
benchmarks,LongBench,pricing,not applicable — open benchmark; free to use,https://github.com/THUDM/LongBench,MIT licensed
benchmarks,LongBench,deployment,not applicable — run locally,https://github.com/THUDM/LongBench,Python; HuggingFace
benchmarks,LongBench,tax-conflict,not applicable (evaluation benchmark),https://arxiv.org/abs/2308.14508,Read-only eval set
benchmarks,MemBench,modalities,text (agent memory mechanisms across 7 evaluated systems),https://arxiv.org/abs/2506.21605,Confirmed from paper
benchmarks,MemoryAgentBench,modalities,text (multi-turn dialogue fed as incremental chunks),https://arxiv.org/abs/2507.05257,Confirmed from paper
benchmarks,MemoryAgentBench,pricing,not applicable — open benchmark; free to use (unlicensed GitHub),https://github.com/HUST-AI-HYZ/MemoryAgentBench,ICLR 2026 accepted paper
benchmarks,MemoryAgentBench,deployment,not applicable — run locally,https://github.com/HUST-AI-HYZ/MemoryAgentBench,Python
benchmarks,MemoryAgentBench,tax-conflict,not applicable (evaluation benchmark),https://arxiv.org/abs/2507.05257,Read-only eval set
benchmarks,MemoryArena,modalities,text (multi-session agent task loops),https://arxiv.org/abs/2602.16313,Confirmed from paper
benchmarks,MemoryBench (Tsinghua THUIR),modalities,text (declarative + procedural memory tasks; Chinese-leaning),https://arxiv.org/abs/2510.17281,Confirmed from paper
benchmarks,NIAH (Needle in a Haystack),mindshare,no academic citations (informal GitHub project); de-facto first-pass filter for all frontier LLM releases; universally referenced,https://github.com/gkamradt/LLMTest_NeedleInAHaystack,Standard in every LLM release evaluation 2023-present
benchmarks,NIAH (Needle in a Haystack),pricing,not applicable — open source; free to use,https://github.com/gkamradt/LLMTest_NeedleInAHaystack,MIT licensed
benchmarks,NIAH (Needle in a Haystack),deployment,not applicable — run locally,https://github.com/gkamradt/LLMTest_NeedleInAHaystack,Jupyter notebook; Python
observability,Zep / Graphiti,citations,not applicable — commercial product with a paper (arxiv 2501.13956 has ~50 cites),https://www.semanticscholar.org/,Graphiti paper exists but Zep-as-observability is a product not a paper
observability,Zep / Graphiti,funding,$500K pre-seed (YC W24 March 2024); $3M seed (2024); total ~$3.5M raised,https://www.crunchbase.com/organization/zep-ai,YC W24 + undisclosed angels
observability,Zep / Graphiti,customers,no data — searched not found; Zep reports $1M ARR in 2024 with 5-person team,https://getlatka.com/companies/getzep.com,No named enterprise customer list found
observability,Zep / Graphiti,pricing,free tier: 2500 messages/mo + 2.5MB graph data; paid: $1.25/1000 messages + $2.50/MB extra; Enterprise custom with HIPAA BAA,https://www.getzep.com/pricing/,Confirmed May 2026
observability,Zep / Graphiti,deployment,cloud (Zep managed) or self-hosted (Graphiti OSS + Neo4j); Enterprise: BYOK BYOM BYOC VPC,https://www.getzep.com/pricing/,Multiple deployment options
observability,Zep / Graphiti,hq,San Francisco CA (YC W24 company),https://www.ycombinator.com/companies/zep-ai,YC W24 batch
observability,Zep / Graphiti,repro,not applicable — commercial product (Graphiti paper has partial reproducibility),https://github.com/getzep/graphiti,Graphiti is OSS; Zep cloud is managed
observability,Zep / Graphiti,code-release,Graphiti is Apache-2.0 OSS (github.com/getzep/graphiti); Zep cloud is closed,https://github.com/getzep/graphiti,Code for the memory graph layer is public
observability,Galileo (galileo.ai),created,2021 (founded 2021 by Atindriyo Sanyal Vikram Chatterji Yash Sheth; seed May 2022),https://www.prnewswire.com/news-releases/galileo-raises-45m-series-b-funding-to-bring-evaluation-intelligence-to-generative-ai-teams-everywhere-302276383.html,Founded 2021; first product round seed May 2022
observability,Galileo (galileo.ai),modalities,text (LLM trace + agent step monitoring),https://galileo.ai/,Confirmed from Galileo docs
observability,Galileo (galileo.ai),funding,$68M total ($10M seed + $13M Series A + $45M Series B Oct 2024); Scale Venture Partners + Premji Invest led Series B,https://www.prnewswire.com/news-releases/galileo-raises-45m-series-b-funding-to-bring-evaluation-intelligence-to-generative-ai-teams-everywhere-302276383.html,834% revenue growth since start of 2024
observability,Galileo (galileo.ai),customers,no data — searched not found; 834% revenue growth signal indicates meaningful enterprise adoption but no named customers found,https://galileo.ai/,Enterprise GenAI observability users
observability,Galileo (galileo.ai),pricing,free: 5K traces/mo; Pro: $100+/mo (50K traces); Enterprise: custom (VPC on-prem); runtime guardrails on Enterprise only,https://galileo.ai/pricing,Confirmed from pricing page
observability,Galileo (galileo.ai),compliance,SOC 2 Type II (enterprise); no public HIPAA statement found,https://galileo.ai/,SOC 2 enterprise tier
observability,Galileo (galileo.ai),data_handling,cloud-hosted (SaaS); Enterprise option: VPC or on-premises deployment,https://galileo.ai/pricing,Enterprise data isolation available
observability,Galileo (galileo.ai),deployment,SaaS cloud; Enterprise: VPC or on-prem,https://galileo.ai/pricing,OpenTelemetry-compatible
observability,Galileo (galileo.ai),hq,San Francisco CA,https://galileo.ai/about,Founded in SF 2021
observability,Galileo (galileo.ai),volume,no data — searched not found; 834% revenue growth but no trace volume claim found,https://galileo.ai/,No public volume figure
observability,Langfuse,created,2023-03 (Langfuse founded March 2023; LLM observability beta summer 2023; GA Feb 2024),https://langfuse.com/handbook/chapters/story,Founders: Marc Klingen Max Deichmann Clemens Rawert
observability,Langfuse,modalities,text (LLM trace + memory span instrumentation),https://langfuse.com/,Confirmed from docs
observability,Langfuse,founders,Marc Klingen (CEO) + Max Deichmann + Clemens Rawert; Berlin-based; acquired by ClickHouse Jan 2026,https://langfuse.com/blog/joining-clickhouse,Acquisition announced Jan 16 2026
observability,Langfuse,pricing,free: 50K observations/mo; Pro: $59/mo; Team: $199/mo; Enterprise: custom; acquired by ClickHouse so pricing evolution ongoing,https://www.langchain.com/pricing,Pre-acquisition pricing confirmed; post-acquisition TBD
observability,Langfuse,compliance,SOC 2 (pre-acquisition); ClickHouse enterprise compliance expected post-acquisition,https://langfuse.com/,ClickHouse has SOC 2 Type II
observability,Langfuse,data_handling,cloud-hosted SaaS or self-hosted (OSS; MIT licensed); ClickHouse backend post-acquisition,https://langfuse.com/,Self-host for compliance-sensitive deployments
observability,Langfuse,deployment,SaaS cloud (Berlin + SF) or self-hosted Docker/K8s; ClickHouse native integration post-acquisition,https://langfuse.com/,26M SDK installs/month; 20k+ GitHub stars
observability,Langfuse,volume,26 million SDK installs per month (pre-acquisition claim),https://siliconangle.com/2026/01/16/database-maker-clickhouse-raises-400m-acquires-ai-observability-startup-langfuse/,Confirmed from ClickHouse acquisition announcement
observability,Mem0 (with AgentOps),created,2024-01 (Mem0 launched January 2024 as open-source; observability features added with AgentOps integration),https://mem0.ai/series-a,Mem0 launched Jan 2024 per Series A announcement
observability,Mem0 (with AgentOps),funding,$3.9M seed (Kindred Ventures) + $20M Series A (Basis Set Ventures + YC + Peak XV); total $24M raised,https://techcrunch.com/2025/10/28/mem0-raises-24m-from-yc-peak-xv-and-basis-set-to-build-the-memory-layer-for-ai-apps/,Series A Oct 2025; total $24M
observability,Mem0 (with AgentOps),customers,80k+ developers signed up; 186M API calls/mo (Q3 2025); AWS Agent SDK exclusive memory provider,https://techcrunch.com/2025/10/28/mem0-raises-24m-from-yc-peak-xv-and-basis-set-to-build-the-memory-layer-for-ai-apps/,AWS partnership is key enterprise signal
observability,Mem0 (with AgentOps),pricing,free Hobby (10K memories 1K retrieval/mo); Starter $19/mo; Pro $249/mo; Enterprise custom,https://mem0.ai/pricing,Graph memory requires Pro tier
observability,Mem0 (with AgentOps),compliance,SOC 2 Type II + HIPAA BAA (Enterprise tier); BYOK encryption,https://mem0.ai/security,Enterprise compliance confirmed
observability,Mem0 (with AgentOps),data_handling,cloud-managed (US East); Enterprise: on-prem or VPC isolation; OpenMemory for local self-host,https://mem0.ai/security,Zero-trust access controls + audit logs
observability,Mem0 (with AgentOps),deployment,SaaS cloud API; Enterprise: dedicated VPC; OpenMemory: local Docker Compose,https://mem0.ai/security,Multiple deployment tiers
observability,Mem0 (with AgentOps),hq,San Francisco CA (YC S24),https://www.ycombinator.com/companies/mem0,YC S24 company
observability,Ratine,pricing,free / open source (MIT); no paid tier,https://github.com/goweft/ratine,v0.1.0 released April 2 2026; 1 GitHub star
observability,Ratine,compliance,not applicable — offline scanner tool; no data processed externally,https://github.com/goweft/ratine,Zero network calls; all local
observability,Ratine,data_handling,local only — reads local memory files; no network calls; no data sent externally,https://github.com/goweft/ratine,Privacy-preserving by design
observability,Ratine,deployment,local CLI — Python; pip install; no server required,https://github.com/goweft/ratine,npx-style zero-dependency CLI
observability,AgentOps,created,2023 (founded 2023 by Alex Reibman Adam Silverman Braelyn Boynton; pre-seed Aug 2024),https://techcrunch.com/2024/08/28/san-franciscos-ai-hackathons-agency-lets-you-see-what-your-ai-agents-do/,AgentOps founded 2023; $2.6M pre-seed Aug 2024
observability,AgentOps,funding,$2.6M pre-seed (645 Ventures + Afore Capital; Aug 2024),https://www.finsmes.com/2024/08/agency-ai-raises-2-6m-in-pre-seed-funding.html,No YC confirmed; 645 Ventures led
observability,AgentOps,customers,no data — searched not found; 400+ LLM integrations claim but no named customers found,https://www.agentops.ai/,Enterprise claim unverified
observability,AgentOps,pricing,free tier; Pro/Enterprise pricing not publicly listed; contact sales,https://www.agentops.ai/,Confirmed from docs: free tier available
observability,AgentOps,compliance,no data — searched not found,https://www.agentops.ai/,No SOC 2 or HIPAA claim found
observability,AgentOps,data_handling,cloud-hosted SaaS; traces sent to AgentOps servers,https://www.agentops.ai/,No self-host option confirmed
observability,AgentOps,deployment,SaaS cloud; SDK integration into agent code,https://www.agentops.ai/,Python + TypeScript SDKs
