system_name,modalities,volume_claim,conflict_resolution,source_url_modalities,source_url_volume,source_url_conflict
VEKTOR Memory,text,no scale claim,LLM-arbitrate,https://dev.to/vektor_memory_43f51a32376/vektor-openai-agents-sdk-production-memory-in-three-lines-59p6,https://dev.to/vektor_memory_43f51a32376/vektor-openai-agents-sdk-production-memory-in-three-lines-59p6,https://dev.to/vektor_memory_43f51a32376/vektor-openai-agents-sdk-production-memory-in-three-lines-59p6
Memory Store,text,no scale claim,none specified,https://www.ycombinator.com/companies/memory-store,https://memory.store/,https://memory.store/
Interloom,text,processing millions of enterprise cases (vendor claim),none specified,https://interloom.com/,https://fortune.com/2026/03/23/interloom-ai-agents-raises-16-million-venture-funding/,https://interloom.com/
Nyne,text,no scale claim,none specified,https://nyne.ai,https://techcrunch.com/2026/03/13/nyne-founded-by-a-father-son-duo-gives-ai-agents-the-human-context-theyre-missing/,https://nyne.ai
NeoCognition,text,no scale claim,none specified,https://www.prnewswire.com/news-releases/neocognition-emerges-from-stealth-with-40-million-seed-round-to-advance-specialized-intelligence-and-expert-agents-302749108.html,https://techcrunch.com/2026/04/21/ai-research-lab-neocognition-lands-40m-seed-to-build-agents-that-learn-like-humans/,https://techcrunch.com/2026/04/21/ai-research-lab-neocognition-lands-40m-seed-to-build-agents-that-learn-like-humans/
MemoraX AI,text,no scale claim,none specified,https://eu.36kr.com/en/p/3785834045583875,https://eu.36kr.com/en/p/3785834045583875,https://eu.36kr.com/en/p/3785834045583875
Trace,text,no scale claim,none specified,https://www.ycombinator.com/companies/trace-so,https://techcrunch.com/2026/02/26/trace-raises-3-million-to-solve-the-agent-adoption-problem/,https://www.ycombinator.com/companies/trace-so
Cellon (Memory.inc),text,no scale claim,none specified,https://en.wowtale.net/2026/04/30/233992/,https://en.wowtale.net/2026/04/30/233992/,https://en.wowtale.net/2026/04/30/233992/
MemWal (Walrus),text,no scale claim (blockchain-backed; no upper limit stated),append (no resolution),https://decrypt.co/365834/agentic-memory-walrus-takes-on-ais-next-big-bottleneck,https://decrypt.co/365834/agentic-memory-walrus-takes-on-ais-next-big-bottleneck,https://decrypt.co/365834/agentic-memory-walrus-takes-on-ais-next-big-bottleneck
Jamba (AI21 Labs),text,256K context on single 8-GPU node; Reasoning 3B fits 250K context on laptop,none specified,https://www.ai21.com/jamba/,https://www.ai21.com/jamba/,https://www.ai21.com/jamba/
LangMem (LangChain),text,no scale claim,LLM-arbitrate,https://langchain-ai.github.io/langmem/concepts/conceptual_guide/,https://langchain-ai.github.io/langmem/,https://langchain-ai.github.io/langmem/concepts/conceptual_guide/
CrewAI Memory,text,no scale claim,LLM-arbitrate,https://docs.crewai.com/en/concepts/memory,https://docs.crewai.com/en/concepts/memory,https://docs.crewai.com/en/concepts/memory
LlamaIndex Memory,text,no scale claim,append (no resolution),https://github.com/run-llama/llama_index,https://github.com/run-llama/llama_index,https://github.com/run-llama/llama_index
AutoGen Memory,text,no scale claim,append (no resolution),https://github.com/microsoft/autogen,https://github.com/microsoft/autogen,https://github.com/microsoft/autogen
Mastra Memory,text,no scale claim,none specified,https://mastra.ai/docs/memory/overview,https://mastra.ai/research/observational-memory,https://mastra.ai/docs/memory/overview
Semantic Kernel Memory,text,no scale claim,overwrite,https://learn.microsoft.com/en-us/semantic-kernel/frameworks/agent/agent-memory,https://learn.microsoft.com/en-us/semantic-kernel/frameworks/agent/agent-memory,https://learn.microsoft.com/en-us/semantic-kernel/frameworks/agent/agent-memory
Pydantic-AI + Hindsight,text,no scale claim,none specified,https://hindsight.vectorize.io/blog/2026/03/09/pydantic-ai-persistent-memory,https://hindsight.vectorize.io/blog/2026/03/09/pydantic-ai-persistent-memory,https://hindsight.vectorize.io/blog/2026/03/09/pydantic-ai-persistent-memory
LangGraph Persistence,text,no scale claim,overwrite,https://docs.langchain.com/oss/python/langgraph/persistence,https://docs.langchain.com/oss/python/langgraph/persistence,https://docs.langchain.com/oss/python/langgraph/persistence
smolagents Memory,text,no scale claim,append (no resolution),https://huggingface.co/docs/smolagents/tutorials/memory,https://huggingface.co/docs/smolagents/tutorials/memory,https://huggingface.co/docs/smolagents/tutorials/memory
Agno (Phidata) Memory,text,no scale claim,overwrite,https://docs.phidata.com/agents/memory,https://docs.phidata.com/agents/memory,https://docs.phidata.com/agents/memory
Strands Agents Memory (AWS),text,no scale claim,LLM-arbitrate,https://docs.aws.amazon.com/bedrock-agentcore/latest/devguide/strands-sdk-memory.html,https://docs.aws.amazon.com/bedrock-agentcore/latest/devguide/strands-sdk-memory.html,https://docs.aws.amazon.com/bedrock-agentcore/latest/devguide/strands-sdk-memory.html
OpenAI Agents SDK Memory,text,no scale claim,overwrite,https://openai.github.io/openai-agents-python/ref/memory/,https://openai.github.io/openai-agents-python/ref/memory/,https://openai.github.io/openai-agents-python/ref/memory/
Google ADK Memory,text,no scale claim,overwrite,https://google.github.io/adk-docs/sessions/memory/,https://google.github.io/adk-docs/sessions/memory/,https://google.github.io/adk-docs/sessions/memory/
Haystack Memory (deepset),text,no scale claim,append (no resolution),https://haystack.deepset.ai/,https://haystack.deepset.ai/,https://haystack.deepset.ai/
Spring AI ChatMemory,text,no scale claim,append (no resolution),https://docs.spring.io/spring-ai/reference/api/chat-memory.html,https://docs.spring.io/spring-ai/reference/api/chat-memory.html,https://docs.spring.io/spring-ai/reference/api/chat-memory.html
DSPy History,text,no scale claim,not applicable,https://dspy.ai/api/primitives/History/,https://dspy.ai/api/primitives/History/,https://dspy.ai/api/primitives/History/
Mistral Agents API,text,no scale claim,none specified,https://docs.mistral.ai/studio-api/agents/introduction,https://docs.mistral.ai/studio-api/agents/introduction,https://docs.mistral.ai/studio-api/agents/introduction
Anthropic Managed Agents — Memory,text,no scale claim,none specified,https://platform.claude.com/docs/en/managed-agents/overview,https://platform.claude.com/docs/en/managed-agents/overview,https://platform.claude.com/docs/en/managed-agents/overview
Anthropic Claude Memory,text,no scale claim,manual,https://platform.claude.com/docs/en/agents-and-tools/tool-use/memory-tool,https://platform.claude.com/docs/en/agents-and-tools/tool-use/memory-tool,https://claudefa.st/blog/guide/mechanics/auto-dream
OpenAI ChatGPT Memory,text,internal — undisclosed,LLM-arbitrate,https://openai.com/index/memory-and-new-controls-for-chatgpt/,https://help.openai.com/en/articles/8590148-memory-faq,https://openai.com/index/memory-and-new-controls-for-chatgpt/
Google Gemini Memory,text,internal — undisclosed,LLM-arbitrate,https://blog.google/products/gemini/temporary-chats-privacy-controls/,https://blog.google/products/gemini/temporary-chats-privacy-controls/,https://blog.google/products/gemini/temporary-chats-privacy-controls/
Microsoft Copilot Memory,text,internal — undisclosed,overwrite,https://learn.microsoft.com/en-us/copilot/microsoft-365/copilot-personalization-memory,https://techcommunity.microsoft.com/blog/microsoft365copilotblog/introducing-copilot-memory-a-more-productive-and-personalized-ai-for-the-way-you/4432059,https://learn.microsoft.com/en-us/copilot/microsoft-365/copilot-personalization-memory
LinkedIn Cognitive Memory Agent,text,internal — undisclosed,none specified,https://www.linkedin.com/blog/engineering/ai/the-linkedin-generative-ai-application-tech-stack-personalization-with-cognitive-memory-agent,https://www.linkedin.com/blog/engineering/ai/the-linkedin-generative-ai-application-tech-stack-personalization-with-cognitive-memory-agent,https://www.infoq.com/news/2026/04/linkedin-cognitive-memory-agent/
Cloudflare Agent Memory,text,no scale claim,none specified,https://www.infoq.com/news/2026/04/cloudflare-agent-memory-beta/,https://www.infoq.com/news/2026/04/cloudflare-agent-memory-beta/,https://www.infoq.com/news/2026/04/cloudflare-agent-memory-beta/
AWS Bedrock AgentCore Memory,text,no scale claim,none specified,https://docs.aws.amazon.com/bedrock-agentcore/latest/devguide/memory-integrate-lang.html,https://docs.aws.amazon.com/bedrock-agentcore/latest/devguide/memory-integrate-lang.html,https://docs.aws.amazon.com/bedrock-agentcore/latest/devguide/memory-integrate-lang.html
Vertex AI Memory Bank,text,no scale claim,none specified,https://docs.cloud.google.com/agent-builder/agent-engine/memory-bank/quickstart-adk,https://docs.cloud.google.com/agent-builder/agent-engine/memory-bank/quickstart-adk,https://docs.cloud.google.com/agent-builder/agent-engine/memory-bank/quickstart-adk
Perplexity Memory,text,internal — undisclosed,LLM-arbitrate,https://www.perplexity.ai/help-center/en/articles/10968016-memory,https://www.perplexity.ai/help-center/en/articles/10968016-memory,https://www.perplexity.ai/help-center/en/articles/10968016-memory
Grok Memory (xAI),text,internal — undisclosed,LLM-arbitrate,https://www.maginative.com/article/xai-upgrades-grok-with-personalized-memory-and-custom-workspaces/,https://www.maginative.com/article/xai-upgrades-grok-with-personalized-memory-and-custom-workspaces/,https://www.maginative.com/article/xai-upgrades-grok-with-personalized-memory-and-custom-workspaces/
Mistral Le Chat — Memories,text,internal — undisclosed,LLM-arbitrate,https://help.mistral.ai/en/articles/396497-how-do-you-handle-my-data-when-using-the-memories-feature,https://help.mistral.ai/en/articles/396497-how-do-you-handle-my-data-when-using-the-memories-feature,https://help.mistral.ai/en/articles/396497-how-do-you-handle-my-data-when-using-the-memories-feature
Meta AI Memory,text,internal — undisclosed,LLM-arbitrate,https://www.meta.com/help/artificial-intelligence/948583263661526/,https://www.meta.com/help/artificial-intelligence/948583263661526/,https://www.meta.com/help/artificial-intelligence/948583263661526/
Devin (Cognition),text,no scale claim,none specified,https://docs.devin.ai/product-guides/knowledge,https://docs.devin.ai/product-guides/knowledge,https://docs.devin.ai/product-guides/knowledge
Augment Code,text,no scale claim,none specified,https://www.augmentcode.com,https://www.augmentcode.com,https://www.augmentcode.com
OpenAI Codex (cloud agent),text,internal — undisclosed,none specified,https://developers.openai.com/codex/memories,https://developers.openai.com/codex/memories,https://developers.openai.com/codex/memories
Aider,text,no scale claim,none specified,https://aider.chat,https://aider.chat,https://aider.chat
Continue.dev Memory MCP,text,no scale claim,none specified,https://hub.continue.dev/continuedev/memory-mcp,https://hub.continue.dev/continuedev/memory-mcp,https://hub.continue.dev/continuedev/memory-mcp
Lovable,text,no scale claim,none specified,https://lovable.dev,https://lovable.dev,https://lovable.dev
Bolt.new (StackBlitz),text,no scale claim,none specified,https://bolt.new,https://bolt.new,https://bolt.new
Tabnine,text,internal — undisclosed,none specified,https://docs.tabnine.com/main/getting-started/context-engine,https://docs.tabnine.com/main/getting-started/context-engine,https://docs.tabnine.com/main/getting-started/context-engine
Replit Agent,text,no scale claim,none specified,https://replit.com/products/agent,https://replit.com/products/agent,https://replit.com/products/agent
Sweep AI,text,no scale claim,none specified,https://sweep.dev,https://sweep.dev,https://sweep.dev
Perplexity Comet,text,internal — undisclosed,none specified,https://www.perplexity.ai/comet,https://www.perplexity.ai/comet,https://www.perplexity.ai/comet
Dia (Atlassian),text + image,internal — undisclosed,none specified,https://www.diabrowser.com,https://www.diabrowser.com,https://www.diabrowser.com
Microsoft Edge Copilot Mode + Journeys,text + image,internal — undisclosed,none specified,https://blogs.windows.com/msedgedev/2025/07/28/introducing-copilot-mode-in-edge-a-new-way-to-browse-the-web/,https://blogs.windows.com/msedgedev/2025/07/28/introducing-copilot-mode-in-edge-a-new-way-to-browse-the-web/,https://blogs.windows.com/msedgedev/2025/07/28/introducing-copilot-mode-in-edge-a-new-way-to-browse-the-web/
Fellou,text + image,no scale claim,none specified,https://fellou.ai/,https://fellou.ai/,https://fellou.ai/
Browserbase,text,no scale claim,none specified,https://www.browserbase.com/,https://www.browserbase.com/,https://www.browserbase.com/
Brave Leo,text,no scale claim,none specified,https://brave.com/leo/,https://brave.com/leo/,https://brave.com/leo/
Opera AI (formerly Aria),text,no scale claim,none specified,https://blogs.opera.com/news/2025/02/aria-gets-memory-feature-new-ai-feature-drop/,https://blogs.opera.com/news/2025/02/aria-gets-memory-feature-new-ai-feature-drop/,https://blogs.opera.com/news/2025/02/aria-gets-memory-feature-new-ai-feature-drop/
Sigma (Private AI Browser),text,no scale claim,none specified,https://www.sigmabrowser.com/,https://www.sigmabrowser.com/,https://www.sigmabrowser.com/
Tencent ima.copilot,text,internal — undisclosed,none specified,https://ima.qq.com,https://ima.qq.com,https://ima.qq.com
Notion AI,text,up to 50 pages per query (workspace-scoped),not applicable,https://www.notion.com/product/ai,https://www.notion.com/releases/2026-01-20,https://www.notion.com/product/ai
Obsidian Smart Connections,text,local vault (no upper bound claimed),overwrite,https://github.com/brianpetro/obsidian-smart-connections,https://github.com/brianpetro/obsidian-smart-connections,https://github.com/brianpetro/obsidian-smart-connections
Tana,text,no scale claim,overwrite,https://tana.inc/,https://tana.inc/knowledge-graph,https://tana.inc/
Logseq,text,no scale claim,append (no resolution),https://logseq.com/,https://logseq.com/,https://logseq.com/
RemNote AI,text,no scale claim,overwrite,https://www.remnote.com/,https://www.remnote.com/,https://www.remnote.com/
Capacities,text,no scale claim,overwrite,https://capacities.io/,https://capacities.io/,https://capacities.io/
Heptabase,text,no scale claim,overwrite,https://heptabase.com/,https://heptabase.com/,https://heptabase.com/
Craft AI,text,no scale claim,overwrite,https://www.craft.do/,https://www.craft.do/,https://www.craft.do/
Mymind,text + image,no scale claim,none specified,https://access.mymind.com/pricing,https://access.mymind.com/pricing,https://access.mymind.com/pricing
Supernotes AI,text,no scale claim,overwrite,https://supernotes.app/,https://supernotes.app/,https://supernotes.app/
Saner.ai,text,no scale claim,none specified,https://www.saner.ai/,https://www.saner.ai/,https://www.saner.ai/
Amplenote,text,no scale claim,overwrite,https://www.amplenote.com/,https://www.amplenote.com/,https://www.amplenote.com/
Scrintal,text,no scale claim,overwrite,https://scrintal.com/,https://scrintal.com/,https://scrintal.com/
Apple Notes + Apple Intelligence,text + image,internal — undisclosed,overwrite,https://www.apple.com/apple-intelligence/,https://www.apple.com/apple-intelligence/,https://www.apple.com/apple-intelligence/
Heyday,text,no scale claim,none specified,https://www.heyday.xyz/,https://www.heyday.xyz/,https://www.heyday.xyz/
Mem.ai,text,no scale claim,none specified,https://mem.ai/,https://mem.ai/,https://mem.ai/
Reflect,text,no scale claim,overwrite,https://reflect.app/,https://reflect.app/,https://reflect.app/
Microsoft Recall,text + image,internal — undisclosed (screen capture snapshots),overwrite,https://www.microsoft.com/en-us/windows/copilot-plus-pcs,https://www.microsoft.com/en-us/windows/copilot-plus-pcs,https://www.microsoft.com/en-us/windows/copilot-plus-pcs
Personal.ai,text,internal — undisclosed,none specified,https://www.personal.ai/,https://www.personal.ai/,https://www.personal.ai/
Era Computer,voice + text,no scale claim,none specified,https://techcrunch.com/2026/04/23/era-computer-raises-11m-to-build-a-software-platform-for-ai-gadgets/,https://techcrunch.com/2026/04/23/era-computer-raises-11m-to-build-a-software-platform-for-ai-gadgets/,https://techcrunch.com/2026/04/23/era-computer-raises-11m-to-build-a-software-platform-for-ai-gadgets/
Limitless,voice + image,local-first lifelog (no upper bound stated),append (no resolution),https://www.limitless.ai/,https://www.limitless.ai/,https://www.limitless.ai/
Plaud NotePin,voice,no scale claim,append (no resolution),https://www.plaud.ai,https://www.plaud.ai,https://global.plaud.ai/pages/ai-data-usage-transparency-policy
Omi,voice,no scale claim (lifelong capture),append (no resolution),https://www.omi.me,https://github.com/BasedHardware/omi,https://www.omi.me
Bee,voice,no scale claim (lifelong capture),append (no resolution),https://bee.computer,https://bee.computer,https://bee.computer
Friend,voice,no scale claim,append (no resolution),https://friend.com,https://friend.com,https://friend.com
Sandbar Stream,voice,no scale claim,none specified,https://www.sandbar.com,https://www.sandbar.com,https://www.sandbar.com
Granola,voice,no scale claim,append (no resolution),https://www.granola.ai,https://www.granola.ai,https://www.granola.ai
Otter.ai,voice,internal — undisclosed,append (no resolution),https://otter.ai,https://otter.ai,https://otter.ai
Read.ai,voice,internal — undisclosed,append (no resolution),https://www.read.ai,https://www.read.ai,https://www.read.ai
Stardog,text,no scale claim,none specified,https://www.stardog.com/,https://www.stardog.com/,https://www.stardog.com/
TopQuadrant (TopBraid EDG),text,no scale claim,none specified,https://www.topquadrant.com/,https://www.topquadrant.com/products/topbraid-edg/,https://www.topquadrant.com/
Neo4j,text,no scale claim (billions of nodes in practice),overwrite,https://neo4j.com/,https://neo4j.com/,https://neo4j.com/
TigerGraph,text,no scale claim,overwrite,https://www.tigergraph.com/,https://www.tigergraph.com/,https://www.tigergraph.com/
AllegroGraph (Franz),text,trillion-triple scale (FedShard architecture; vendor claim),overwrite,https://allegrograph.com/,https://franz.com/agraph/support/documentation/current/,https://allegrograph.com/
Ontotext GraphDB / Graphwise,text,no scale claim,overwrite,https://graphwise.ai/,https://www.ontotext.com/products/graphdb/,https://graphwise.ai/
PoolParty (now Graphwise),text,no scale claim,overwrite,https://www.poolparty.biz/,https://graphwise.ai/,https://www.poolparty.biz/
Palantir Ontology,text,internal — undisclosed,overwrite,https://www.palantir.com/platforms/foundry/ontology/,https://www.palantir.com/platforms/foundry/ontology/,https://www.palantir.com/platforms/foundry/ontology/
Diffbot,text,1T+ facts / 10B+ entities (vendor claim),LLM-arbitrate,https://www.diffbot.com/,https://www.diffbot.com/products/knowledge-graph/,https://www.diffbot.com/
FalkorDB,text,no scale claim,overwrite,https://www.falkordb.com/,https://www.falkordb.com/,https://www.falkordb.com/
Memgraph,text,no scale claim,overwrite,https://memgraph.com/,https://memgraph.com/,https://memgraph.com/
Amazon Neptune Analytics,text,no scale claim,overwrite,https://aws.amazon.com/neptune/,https://aws.amazon.com/neptune/,https://aws.amazon.com/neptune/
Apache AGE,text,no scale claim,overwrite,https://age.apache.org,https://age.apache.org,https://age.apache.org
Kuzu,text,no scale claim,overwrite,https://kuzudb.github.io,https://kuzudb.github.io,https://kuzudb.github.io
ArangoDB,text,no scale claim,overwrite,https://arangodb.com,https://arangodb.com,https://arangodb.com
Dgraph,text,no scale claim,overwrite,https://dgraph.io,https://dgraph.io,https://dgraph.io
NebulaGraph,text,trillion-edge graphs (vendor claim),overwrite,https://nebula-graph.io,https://nebula-graph.io,https://nebula-graph.io
Pinecone,text,no scale claim (serverless; billions of vectors in practice),overwrite,https://www.pinecone.io/,https://docs.pinecone.io/,https://docs.pinecone.io/
Weaviate,text,no scale claim,overwrite,https://weaviate.io/,https://weaviate.io/,https://weaviate.io/
Qdrant,text,no scale claim,overwrite,https://qdrant.tech/,https://qdrant.tech/,https://qdrant.tech/
Chroma,text,no scale claim,overwrite,https://www.trychroma.com/,https://www.trychroma.com/,https://www.trychroma.com/
Milvus,text,billions of vectors (CNCF-grade; vendor claim),overwrite,https://milvus.io/,https://github.com/milvus-io/milvus,https://milvus.io/
LanceDB,text,petabyte-scale on disk (vendor claim),overwrite,https://lancedb.com/,https://lancedb.com/,https://lancedb.com/
Turbopuffer,text,no scale claim,overwrite,https://turbopuffer.com/,https://turbopuffer.com/docs,https://turbopuffer.com/
Elasticsearch / OpenSearch,text,no scale claim (petabytes in enterprise use),overwrite,https://www.elastic.co/,https://www.elastic.co/,https://www.elastic.co/
Vespa,text,no scale claim (Spotify / Yahoo / Perplexity scale),overwrite,https://vespa.ai,https://vespa.ai,https://vespa.ai
Activeloop Deep Lake,text + image,no scale claim,overwrite,https://activeloop.ai,https://activeloop.ai,https://activeloop.ai
MongoDB Atlas Vector Search,text,no scale claim,overwrite,https://www.mongodb.com/products/platform/atlas-vector-search,https://www.mongodb.com/products/platform/atlas-vector-search,https://www.mongodb.com/products/platform/atlas-vector-search
pgvector,text,no scale claim,overwrite,https://github.com/pgvector/pgvector,https://github.com/pgvector/pgvector,https://github.com/pgvector/pgvector
Marqo,text + image,no scale claim,overwrite,https://www.marqo.ai,https://www.marqo.ai,https://www.marqo.ai
Snowflake Cortex Search,text,no scale claim,overwrite,https://docs.snowflake.com/en/user-guide/snowflake-cortex/cortex-search/cortex-search-overview,https://docs.snowflake.com/en/user-guide/snowflake-cortex/cortex-search/cortex-search-overview,https://docs.snowflake.com/en/user-guide/snowflake-cortex/cortex-search/cortex-search-overview
Databricks Vector Search,text,billions of vectors (vendor claim),overwrite,https://www.databricks.com/product/machine-learning/vector-search,https://www.databricks.com/product/machine-learning/vector-search,https://www.databricks.com/product/machine-learning/vector-search
Glean,text,internal — undisclosed,none specified,https://www.glean.com/,https://www.glean.com/,https://www.glean.com/
FutureHouse,text,no scale claim (philanthropically funded research; no upper limit stated),LLM-arbitrate,https://www.futurehouse.org/,https://www.futurehouse.org/,https://www.futurehouse.org/
Causaly,text,500M facts / 70M directional relationships (vendor claim),overwrite,https://www.causaly.com/,https://www.causaly.com/,https://www.causaly.com/
BenevolentAI,text,petabyte-scale from 85+ data sources (vendor claim),overwrite,https://www.benevolent.com/,https://www.benevolent.com/,https://www.benevolent.com/
LabGenius (EVA),text,no scale claim (closed-loop wet-lab; no upper limit stated),none specified,https://www.labgenius.app/,https://www.labgenius.app/,https://www.labgenius.app/
Elicit,text,35M+ publications indexed (vendor claim),append (no resolution),https://elicit.com/,https://elicit.com/,https://elicit.com/
Scite.ai,text,no scale claim (1B+ citation snippets implied),append (no resolution),https://scite.ai/,https://scite.ai/,https://scite.ai/
Iris.ai,text,no scale claim,append (no resolution),https://iris.ai/,https://iris.ai/,https://iris.ai/
ResearchRabbit,text,no scale claim,append (no resolution),https://www.researchrabbit.ai/,https://www.researchrabbit.ai/,https://www.researchrabbit.ai/
Hippocratic AI Polaris,voice + text,internal — undisclosed (HIPAA-governed; no upper limit stated),append (no resolution),https://hippocraticai.com/polaris-3/,https://hippocraticai.com/polaris-3/,https://hippocraticai.com/personalized-interactions/
K Health,text,internal — undisclosed (proprietary EMR dataset),none specified,https://khealth.com/,https://khealth.com/,https://khealth.com/
Nabla + Navina,voice + text,internal — undisclosed (HIPAA-governed),LLM-arbitrate,https://www.nabla.com/,https://www.nabla.com/,https://www.nabla.com/
Suki AI,voice + text,internal — undisclosed (400+ orgs),none specified,https://www.suki.ai/,https://www.suki.ai/,https://www.suki.ai/
DeepScribe,voice + text,5M oncology visits/year (vendor claim),append (no resolution),https://www.deepscribe.ai/,https://www.deepscribe.ai/,https://www.deepscribe.ai/
Abridge,voice + text,1.5M+ medical-encounter dataset (vendor claim),append (no resolution),https://www.abridge.com/,https://www.abridge.com/,https://www.abridge.com/
OpenEvidence (DeepConsult + Visits),text,35M peer-reviewed publications indexed (vendor claim),none specified,https://www.openevidence.com/,https://www.openevidence.com/,https://www.openevidence.com/
Heidi Health,voice + text,internal — undisclosed (HIPAA/GDPR),none specified,https://www.heidihealth.com/,https://www.heidihealth.com/,https://www.heidihealth.com/
Harvey Memory,text,internal — undisclosed (1000+ enterprise clients),none specified,https://www.harvey.ai/blog/memory-in-harvey,https://www.harvey.ai/blog/memory-in-harvey,https://www.harvey.ai/blog/memory-in-harvey
Luminance Institutional Memory,text,internal — undisclosed,overwrite,https://www.luminance.com/,https://www.luminance.com/,https://www.luminance.com/
Filevine LOIS,text,internal — undisclosed (~6k customers; 100k legal professionals),overwrite,https://www.filevine.com/,https://www.filevine.com/,https://www.filevine.com/
Eve (Legal),text,no scale claim (900+ plaintiff firms),none specified,https://www.eve.legal/,https://www.eve.legal/,https://www.eve.legal/
Spellbook Library,text,no scale claim,none specified,https://www.spellbook.legal/,https://www.spellbook.legal/,https://www.spellbook.legal/
Clio Duo / Manage AI,text,internal — undisclosed (dominant SMB market),none specified,https://www.clio.com/features/legal-ai-software/,https://www.clio.com/features/legal-ai-software/,https://www.clio.com/features/legal-ai-software/
CoCounsel Legal (Thomson Reuters),text,internal — undisclosed (1M users 107 countries),none specified,https://www.thomsonreuters.com/en/products/cocounsel.html,https://www.thomsonreuters.com/en/products/cocounsel.html,https://www.thomsonreuters.com/en/products/cocounsel.html
Hebbia Matrix,text,no scale claim,none specified,https://www.hebbia.com/,https://www.hebbia.com/,https://www.hebbia.com/
Sierra,text,internal — undisclosed ($15.8B valuation; $100M ARR),none specified,https://sierra.ai,https://sierra.ai,https://sierra.ai
Decagon,voice + text,internal — undisclosed,none specified,https://decagon.ai,https://decagon.ai,https://decagon.ai
Cognigy,voice + text,1B+ annual interactions (vendor claim),none specified,https://www.cognigy.com,https://www.cognigy.com,https://www.cognigy.com/product-updates/an-ultimate-guide-to-ai-agent-memory
ASAPP GenerativeAgent,text,internal — undisclosed,none specified,https://www.asapp.com,https://www.asapp.com,https://www.asapp.com/blog/from-models-to-memory-the-next-big-leap-in-ai-agents-in-customer-experience
