system_name,has_funding,latest_round_type,latest_round_date,latest_amount,latest_valuation,named_customers,arr_usd,employee_range,hq,source_url
Personal.ai,yes,Seed,2021-01-01,no data,,No named customers publicly disclosed,,11-50,US,"https://www.crunchbase.com/organization/personal-ai; searched 2026-05-06 — no recent round found"
RemNote,yes,Seed,2021-09-23,2800000,,Students and researchers; no enterprise customers,,1-10,US (Sacramento),https://www.crunchbase.com/organization/remnote
Heyday (notes app),yes,Seed,2022-06-28,6500000,,Knowledge workers; shut down ~2025,,1-10,US,"https://www.businesswire.com/news/home/20220628005293/en/Heyday-Raises-$6.5M-for-AI-Powered-Research-Assistant; dang.ai/tool/ai-memory-assistant-heyday"
Mem.ai,yes,Venture,2022-11-10,23500000,110000000,AI-powered note-taking users; consumer,,11-50,US (San Francisco),https://techcrunch.com/2022/11/10/ai-powered-note-taking-app-mem-raises-23-5m-openai/
Apple Notes (Apple),parent-public,product division,,,,Apple ecosystem users (1B+ devices),,parent (Apple NASDAQ:AAPL),US (Cupertino),no external funding — Apple product line
Microsoft Recall (Microsoft),parent-public,product division,,,,Windows 11 users (Copilot+ PCs),,parent (Microsoft NASDAQ:MSFT),US (Redmond),no external funding — Microsoft product line
Quizlet,yes,Series C,2020-05-13,30000000,1000000000,"60M+ users; 500M+ flashcard sets; 130 countries",,201-500,US (San Francisco),https://www.edsurge.com/news/2020-05-13-quizlet-just-raised-30m-at-a-1-billion-valuation-but-don-t-call-it-a-unicorn
Duolingo,parent-public,public company (DUOL),,,,500M+ users; language learning,748000000,1001-5000,US (Pittsburgh),https://investors.duolingo.com/
Plaud,yes,bootstrapped/Series A,2025-01-01,5000000,,1M+ users; $10M sales milestone,250000000,51-200,China/US,https://sacra.com/c/plaud/
Omi (Based Hardware),yes,Seed,2025-01-30,2000000,,Consumer AI wearable users,,1-10,US (San Francisco),https://techcrunch.com/2025/01/08/omi-a-competitor-to-friend-wants-to-boost-your-productivity-using-ai-and-a-brain-interface/
Friend (AI companion necklace),yes,Seed,2024-07-01,2500000,50000000,Consumer wearable early adopters,,1-10,US,https://techcrunch.com/2024/07/30/friend-is-an-ai-companion-backed-by-founders-of-solana-perplexity-and-zfellows/
Bee (acquired by Amazon),yes,Seed (pre-acquisition),2024-07-01,7000000,,Consumer AI wearable; acquired by Amazon Jul 2025,,1-10,US (San Francisco),https://techcrunch.com/2026/01/12/why-amazon-bought-bee-an-ai-wearable/
Stardog,yes,Series C (last known),2022-01-01,32500000,,Fortune 500 enterprises; pharma financial services government,,51-200,US (Washington DC),https://www.stardog.com/news/stardog-the-leading-enterprise-knowledge-graph-platform-expands-series-b-to-11.4-million/
TopQuadrant,yes,Seed,2022-01-01,1700000,,Fortune 500 enterprises; enterprise data governance,,11-50,US (Virginia),https://www.owler.com/company/topquadrant
AllegroGraph (Franz Inc.),no,bootstrapped,,,,Intel; pharma; intelligence agencies; Fortune 500,,11-50,US (Oakland),https://allegrograph.com/articles/franz-seeking-funding-wants-to-become-the-foundation-for-a-semantic-web/
Memgraph,yes,Seed,2023-12-22,14200000,,Real-time graph use cases; enterprise,,51-200,UK (Sevenoaks),https://siliconangle.com/2021/10/05/graph-database-startup-memgraph-lands-9-34m-seed-funding/
FalkorDB,yes,Seed,2024-06-19,3000000,,GraphRAG enterprise developers,,1-10,Israel (Tel Aviv),https://www.openpr.com/news/3544960/falkordb-a-startup-by-redis-veterans-raises-3-million
Dgraph,yes,acquired,2023-11-06,23500000 (total pre-acq),,Acquired by Hypermode Nov 2023,,1-10 (post-acq),US (San Francisco),https://pitchbook.com/profiles/company/159249-16
ArangoDB,yes,Series B,2021-10-01,58600000 (total),,Enterprise multi-model DB users,,51-200,Germany (Cologne),https://arangodb.com/news/arangodb-announces-27-8-million-series-b-investment-to-accelerate-development-of-next-generation-graph-ml-capabilities/
Apache AGE,no,open-source (Apache),,,,PostgreSQL extension; open-source community,,community,N/A (Apache Software Foundation),https://github.com/apache/age
Activeloop (Deep Lake),yes,Series A,2024-03-26,20000000,,Intel; Matterport; Hercules.ai; Red Cross; Yale; Oxford,,11-50,US (Mountain View),https://siliconangle.com/2024/03/26/activeloop-raises-11m-grow-specialized-database-ai-training-inference/
Marqo,yes,Series A,2024-02-13,17800000,,Redbubble; Temple & Webster,,11-50,Australia,https://www.globenewswire.com/news-release/2024/02/13/2828211/0/en/Marqo-Raises-12-5M-to-Make-AI-powered-Vector-Search-Seamless.html
Vespa (AI search),yes,Series A,2023-11-01,31000000,,Spotify; Yahoo; Fortune 500 AI/search,,51-200,Norway (Trondheim),https://techcrunch.com/2023/11/01/yahoo-spin-out-vespa-lands-31m-investment-from-blossom/
Turbopuffer,yes,Seed+,2025-12-01,no data (undisclosed),,Anthropic; Atlassian; Cursor; Notion,,1-10,US (San Francisco),https://betakit.com/ex-shopify-engineers-raise-fresh-financing-to-scale-turbopuffers-ai-search/
SearchUnify,no,bootstrapped,,,,Enterprise support teams; unnamed customers,,51-200,US/India,"searched 2026-05-06 at crunchbase and tracxn — no funding found"
Mindbreeze,no,bootstrapped,,,,Lufthansa; Air France; Freddie Mac,,51-200,Austria (Linz),https://www.cbinsights.com/company/mindbreeze
Meilisearch,yes,Series A,2022-10-10,40000000 (total),,Developer community; enterprise search,,51-200,France (Paris),https://techcrunch.com/2022/10/10/meilisearch-lands-15m-investment-to-grow-its-search-as-a-service-business/
K Health,yes,Series F (approx),2024-07-01,50000000,900000000,Hospital systems; health systems; consumer telehealth,,201-500,US (New York),https://medcitynews.com/2024/07/primary-care-funding-round-ai/
OpenEvidence,yes,Series D,2026-01-21,250000000,12000000000,"40%+ of US physicians; 358k consultations/month (Jul 2024)",,201-500,US,https://news.crunchbase.com/venture/openevidence-ai-doctors-doubles-valuation-seriesd/
Heidi Health,yes,Series B,2025-10-05,65000000,465000000,2M consults/week; 116 countries; clinicians,,51-200,Australia (Melbourne),https://techcrunch.com/2025/10/05/heidi-health-raises-65m-series-b-led-by-steve-cohens-point72/
Eve (legal AI),yes,Series B,2025-09-01,103000000,1000000000,450+ plaintiff law firms,,51-200,US,https://www.prnewswire.com/news-releases/eve-raises-103-million-at-1-billion-valuation-to-help-plaintiff-firms-deliver-justice-through-ai-transformation-302570807.html
Clio Duo (Clio),yes,Series G,2025-11-01,500000000,5000000000,Law firms globally; acquired vLex ($1B),,501-1000,Canada (Vancouver),https://ca.finance.yahoo.com/news/canadian-legal-tech-firm-clio-130021878.html
NeoCognition,yes,Seed,2026-04-21,40000000,,No customers disclosed (stealth/early stage),,11-50,US,https://techcrunch.com/2026/04/21/ai-research-lab-neocognition-lands-40m-seed-to-build-agents-that-learn-like-humans/
Replicant,yes,Series B,2022-01-01,78000000,,2M+ customer service calls/month,,51-200,US (San Francisco),https://www.replicant.com/blog/replicant-ai-raises-27m-to-modernize-customer-service-with-the-worlds-first-autonomous-contact-center
LivePerson,parent-public,public company (LPSN),,,,HSBC; Virgin Media; Burberry; enterprise CX,300000000,501-1000,US (New York),https://ir.liveperson.com/news-releases/news-release-details/liveperson-announces-fourth-quarter-2024-financial-results
Intercom,yes,Venture debt,2026-03-01,250000000 (debt),,30K+ businesses; Fin AI at $100M ARR,400000000,1001-5000,Ireland (Dublin),https://sacra.com/c/intercom/
Salesforce (Einstein/Agentforce),parent-public,public company (CRM),,,,150k+ enterprise customers,,50001+,US (San Francisco),https://www.salesforce.com/
Charisma (AI gaming),yes,Grant+VC,2024-01-01,no data,,Channel 4; Aardman; Port Aventura; gaming enterprise,,11-50,UK (London),https://www.channel4.com/press/news/consortium-secures-ps104-m-funding-explore-ai-driven-storytelling-tv-film-industries
Latitude/Voyage (AI Dungeon),yes,Seed+,2026-04-21,no data (Google AI Futures Fund),,AI Dungeon players; Voyage platform users,,11-50,US,https://techcrunch.com/2026/04/21/ai-dungeon-maker-latitude-unveils-voyage-a-platform-for-creating-ai-powered-rpgs/
Replika (Luka),yes,Series A (last known),2018-01-01,11000000,,30M+ users,24000000,11-50,US (San Francisco),https://www.clay.com/dossier/replika-funding
Nomi AI,no,bootstrapped,,,,Consumer AI companion; $330K revenue,,1-10,US (San Francisco),https://getlatka.com/companies/heynomi.com
Soul Machines,yes,Series B1,2022-01-01,135000000,,Enterprise B2B digital humans; healthcare,,201-500,New Zealand (Auckland),https://futurumgroup.com/news/soul-machines-raises-70-million-for-pioneering-work-in-digital-people/
Spirit AI,no,no data,,,,AAA gaming studios; narrative AI,,11-50,UK,"searched 2026-05-06 — no public funding data found"
Tesla (Optimus/AI Memory),parent-public,public company (TSLA),,,,Consumer EV; Optimus robot (pre-commercial),,100001+,US (Austin),https://www.tesla.com/
MemoryVLA,no,research project,,,,Academic/research use only,,research,US/UK (academic),no funding — academic research
SG-Nav,no,research project,,,,Academic/research use only,,research,China (academic),no funding — academic research
Synthesis Tutor,yes,Seed,2024-01-01,12000000,,21500+ students; SpaceX-origin program,,11-50,US,https://www.synthesis.com/fundraise-amjad-balaji
MagicSchool AI,yes,Series B,2025-02-01,45000000,,6M+ educators signed up,44900000,51-200,US,https://www.magicschool.ai/blog-posts/series-b-fundraise-for-teacher-ai
Speak (language learning),yes,Series C,2024-12-10,78000000,1000000000,Consumer language learners; Korea/Japan/US heavy,,51-200,US (San Francisco),https://techcrunch.com/2024/12/10/openai-backed-speak-raises-78m-at-1b-valuation-to-help-users-learn-languages-by-talking-out-loud/
ELSA Speak,yes,Series C,2023-09-12,60000000 (total),,Consumer pronunciation learners; B2B enterprise,,51-200,US (San Francisco),https://www.businesswire.com/news/home/20230912548387/en/Leading-Language-App-ELSA-Raises-$23M-C-Round-Launches-ELSA-AI-Tutor-to-Revolutionize-Learning-English-Using-Generative-AI
Khanmigo (Khan Academy),no,non-profit,,,,K-12 students and teachers; non-profit model,,501-1000,US (Mountain View),https://www.khanmigo.ai/
SchoolAI,yes,Seed,2023-01-01,no data,,K-12 schools,,11-50,US,https://schoolai.com/
Galileo (AI observability),yes,Series B,2024-10-15,68000000,,Comcast; Twilio; 6 Fortune 50 companies,,51-200,US,https://www.prnewswire.com/news-releases/galileo-raises-45m-series-b-funding-to-bring-evaluation-intelligence-to-generative-ai-teams-everywhere-302276383.html
Langfuse,yes,acquired,2026-01-16,4500000 (pre-acq),,20k+ GitHub stars; 26M SDK installs/month; acquired by ClickHouse,,1-10,Germany (Berlin),https://siliconangle.com/2026/01/16/database-maker-clickhouse-raises-400m-acquires-ai-observability-startup-langfuse/
Ratine,no,no data,,,,No public funding data found,,unknown,unknown,"searched 2026-05-06 — no identifiable company found"
Mem0+AgentOps,yes,Series A,2025-10-28,24000000,150000000,"AWS (exclusive memory); 80k+ developer signups; enterprise unnamed",,1-10,US (San Francisco),https://techcrunch.com/2025/10/28/mem0-raises-24m-from-yc-peak-xv-and-basis-set-to-build-the-memory-layer-for-ai-apps/
Lakera,yes,Series A,2024-07-24,30000000,,Respell; Cohere; enterprise GenAI deployments,,51-200,Switzerland (Zurich),https://techcrunch.com/2024/07/24/lakera-which-protects-enterprises-from-llm-vulnerabilities-raises-20m/
Enkrypt AI,yes,Seed,2024-02-28,2350000,,Enterprise AI governance users,,1-10,US (Brighton MA),https://techstartups.com/2024/02/27/enkrypt-ai-secures-2-35m-in-funding-to-build-visibility-and-security-infrastructure-for-generative-ai/
Acuvity,yes,acquired,2026-02-01,9000000 (seed pre-acq),,Enterprise AI governance; acquired by Proofpoint Feb 2026,,11-50,US,https://www.securityweek.com/acuvity-raises-9-million-seed-funding-for-gen-ai-governance-and-in-house-development/
HiddenLayer,yes,Series A,2023-09-19,56000000,,Enterprise AI security; ML model protection,,51-200,US (Austin),https://techcrunch.com/2023/09/19/hiddenlayer-raises-50m-for-its-ai-defending-cybersecurity-tools/
Tencent ima.copilot,parent-public,product division,,,,Tencent platform users; WeChat ecosystem,,parent (Tencent HK:700),China (Shenzhen),https://www.tencent.com/
Krutrim (Ola/Kruti),yes,Series A,2025-02-04,280000000,1000000000,Indian language AI consumers; pivoting to cloud services,,51-200,India (Bangalore),https://techcrunch.com/2024/01/26/ola-founder-ai-startup-krutrim-unicorn-in-50m-funding/
AI Singapore SEA-LION,no,government-funded,,,,Southeast Asian research community; non-commercial,,50-200,Singapore,"https://aisingapore.org/; no private funding — national AI programme"
AutoGLM (Zhipu AI),yes,Series D (approx),2024-05-01,400000000,20000000000,Enterprise and consumer AI in China; AutoGLM agent users,,501-1000,China (Beijing),https://reads.alibaba.com/chinese-ai-model-zhipu-secures-410-million-funding-2024-revenue-to-double/
Engram (DeepSeek),parent-private,no public funding,,,,DeepSeek platform users,,parent (DeepSeek),China,"no separate funding — DeepSeek product; no external investors publicly disclosed"
OMEGA (AI memory),no,no data,,,,No public funding data found,,unknown,unknown,"searched 2026-05-06 — no identifiable company found"
ByteRover,no,no data,,,,No public funding data found,,unknown,unknown,"searched 2026-05-06 — no identifiable company found"
Backboard.io,yes,Pre-Seed,2026-01-01,2000000,,Small team; AI developer customers,,1-10,Canada (Ottawa),https://betakit.com/backboard-io-looks-to-solve-ai-amnesia-with-substantial-pre-seed-round/
Hyperspell,yes,Seed,2025-09-29,2000000,,Developer teams; agent memory for Slack Gmail Notion,,1-10,US,https://www.ycombinator.com/companies/hyperspell
Cellon (Memory.inc),yes,Seed,2026-04-30,no data (undisclosed),,No named customers (early-stage),,1-10,South Korea,https://www.venturesquare.net/en/1078966/
Memory Store (AI),no,no data,,,,No identifiable standalone company found,,unknown,unknown,"searched 2026-05-06 — term returns generic results"
Anda Hippocampus,no,open-source,,,,Academic/developer community; GitHub open-source,,community,China (MatrixOrigin),"https://github.com/ldclabs/anda-hippocampus; no funding — open-source project"
O-Mem,no,no data,,,,No identifiable standalone company found,,unknown,unknown,"searched 2026-05-06 — no identifiable company found"
VEKTOR Memory,no,no data,,,,No identifiable standalone memory-layer startup found,,unknown,unknown,"searched 2026-05-06 — VEKTOR AI is a different company (mentoring platform)"
Memoria (MatrixOrigin),no,open-source,,,,Database developers; open-source,,community,China (MatrixOrigin),https://github.com/matrixorigin/Memoria
