system,section,field,value,source_url,notes
Mistral Le Chat — Memories,Platform-provider memory,deployment,Managed-only (Le Chat) + self-hosted (open weights models) + private cloud via enterprise,https://mistral.ai/,Open-weight models can be self-hosted; Le Chat itself is managed-only
Mistral Le Chat — Memories,Platform-provider memory,hq,"Paris, France",https://mistral.ai/,Founded and HQ in Paris 2023
Mistral Le Chat — Memories,Platform-provider memory,conflict_resolution,LLM-arbitrate,https://help.mistral.ai/en/articles/396497-how-do-you-handle-my-data-when-using-the-memories-feature,Graph-based memory with LLM-driven consolidation of contradictions
Meta AI Memory,Platform-provider memory,created,2024-10 (memory feature rolled out with Meta AI October 2024 refresh),https://www.meta.com/help/artificial-intelligence/948583263661526/,Meta AI launched October 2024 with cross-platform memory via Accounts Center
Meta AI Memory,Platform-provider memory,pricing,Free (core); Meta AI+ $10/mo (extended 90-day memory vs 30-day free),https://costbench.com/software/ai-chatbots/meta-ai/,Meta AI core is free with Facebook/Instagram account
Meta AI Memory,Platform-provider memory,compliance,"no data — searched not found for specific certifications; Meta GDPR-compliant in EU but memory not available in EU",https://www.meta.com/help/artificial-intelligence/948583263661526/,Memory explicitly not available in EU; general Meta privacy infrastructure applies
Meta AI Memory,Platform-provider memory,data_handling,"Free: trains by default; AI+: no training; Enterprise: no training + region locking + custom retention",https://www.datastudios.org/post/meta-ai-paid-vs-free-plan-feature-differences,User-deletable memories; data propagates across Instagram/WhatsApp/Messenger
Meta AI Memory,Platform-provider memory,deployment,Managed-only,https://www.meta.com/help/artificial-intelligence/948583263661526/,No self-hosted option; consumer product only
Meta AI Memory,Platform-provider memory,conflict_resolution,LLM-arbitrate,https://www.meta.com/help/artificial-intelligence/948583263661526/,Implied LLM-based fact arbitration — no explicit conflict mechanism documented
Cloudflare Agent Memory,Platform-provider memory,created,2026-04-17 (private beta announced Cloudflare Agents Week),https://blog.cloudflare.com/introducing-agent-memory/,Private beta April 17 2026; public beta rollout expected April 30 2026
Cloudflare Agent Memory,Platform-provider memory,funding,"Cloudflare public (NET); market cap ~$45B",https://www.cloudflare.com/,Parent company Cloudflare — feature not independently funded
Cloudflare Agent Memory,Platform-provider memory,customers,no data — searched not found (beta; no customer names disclosed),https://blog.cloudflare.com/introducing-agent-memory/,Private beta — waitlist only at launch
Cloudflare Agent Memory,Platform-provider memory,pricing,"no data — searched not found (pricing not announced at beta launch April 2026)",https://blog.cloudflare.com/introducing-agent-memory/,Pricing TBD; expected to follow Workers/D1 pay-per-use model
Cloudflare Agent Memory,Platform-provider memory,founders,"Cloudflare founded 2009 by Matthew Prince (CEO), Lee Holloway, Michelle Zatlyn",https://www.cloudflare.com/our-story/,Corporate feature — founders of parent company
AWS Bedrock AgentCore Memory,Platform-provider memory,created,2025-07-16 (preview launch); 2025-10-13 (GA),https://aws.amazon.com/about-aws/whats-new/2025/10/amazon-bedrock-agentcore-available/,Preview at AWS Summit NYC July 2025; GA October 13 2025
AWS Bedrock AgentCore Memory,Platform-provider memory,funding,"Amazon/AWS public (AMZN); market cap ~$2T",https://aws.amazon.com/,Corporate feature — parent company AWS
AWS Bedrock AgentCore Memory,Platform-provider memory,customers,"Caylent, Epsilon, Cox Automotive, Thomson Reuters, Workday, NTT Data, MongoDB, PGA TOUR, Pulumi, Snorkel.ai, Swisscom, S&P Global Market Intelligence",https://aws.amazon.com/blogs/apn/aws-partners-demonstrate-enterprise-ai-agent-solutions-with-amazon-bedrock-agentcore/,Named enterprise customers from AWS blog (Oct/Dec 2025)
AWS Bedrock AgentCore Memory,Platform-provider memory,founders,"Amazon/AWS corporate product (Andy Jassy CEO Amazon; Matt Garman CEO AWS)",https://aws.amazon.com/,No independent founders — corporate product
AWS Bedrock AgentCore Memory,Platform-provider memory,conflict_resolution,none specified,https://docs.aws.amazon.com/bedrock-agentcore/latest/devguide/memory-integrate-lang.html,No conflict resolution mechanism documented in public docs
Vertex AI Memory Bank,Platform-provider memory,created,2025-07-08 (public preview announced),https://cloud.google.com/blog/products/ai-machine-learning/vertex-ai-memory-bank-in-public-preview,Public preview announced July 8 2025 at Google Cloud
Vertex AI Memory Bank,Platform-provider memory,funding,"Google/Alphabet public (GOOGL); market cap ~$2T",https://about.google/,Parent company Google — feature part of Vertex AI
Vertex AI Memory Bank,Platform-provider memory,customers,"Payhawk (financial AI; 50%+ reduction in submission time), Gurunavi (UMAME! restaurant app), SeaArt Entertainment (digital art personalization)",https://cloud.google.com/blog/products/ai-machine-learning/vertex-ai-memory-bank-in-public-preview,Named early-access customers from Google Cloud blog July 2025
Vertex AI Memory Bank,Platform-provider memory,founders,"Google DeepMind / Google Cloud corporate product (Sundar Pichai CEO; Thomas Kurian Google Cloud CEO)",https://about.google/,No independent founders — corporate product
Vertex AI Memory Bank,Platform-provider memory,conflict_resolution,none specified,https://docs.cloud.google.com/agent-builder/agent-engine/memory-bank/quickstart-adk,No explicit conflict resolution documented in ADK quickstart
Tencent ima.copilot,Platform-provider memory,created,"no data — searched not found (ima.copilot launched circa 2023; ima.copilot 2.0 Oct 2025; exact date not publicly documented in English)",https://phemex.com/news/article/tencent-ima-unveils-agent-mode-copilot-with-advanced-memory-system-77195,ima.copilot 2.0 with Copilot mode launched October 2025
Tencent ima.copilot,Platform-provider memory,compliance,"Subject to China PIPL (Personal Information Protection Law) and MIIT oversight; no Western certifications disclosed",https://www.cpomagazine.com/data-privacy/chinas-new-data-laws-force-tencent-to-submit-new-apps-updates-for-government-approval/,Chinese regulatory framework applies; MIIT reviews all Tencent apps
Tencent ima.copilot,Platform-provider memory,data_handling,"no data — searched not found in English; subject to Chinese data sovereignty laws; PIPL-governed",https://ima.qq.com,No English-language data handling policy found; operates under PIPL
Tencent ima.copilot,Platform-provider memory,founders,"Tencent corporate product (Pony Ma / Ma Huateng, CEO and co-founder of Tencent)",https://www.tencent.com/,Product built on Hunyuan LLM; corporate product within Tencent
Tencent ima.copilot,Platform-provider memory,conflict_resolution,none specified,https://ima.qq.com,No conflict resolution mechanism documented in available English sources
Anthropic Managed Agents — Memory,Platform-provider memory,created,2026-04-08 (Managed Agents GA); 2026-04-23 (Memory beta added),https://platform.claude.com/docs/en/release-notes/overview,Memory beta launched April 23 2026 two weeks after Managed Agents itself (April 8 2026)
Anthropic Managed Agents — Memory,Platform-provider memory,funding,"Anthropic $12.4B+ raised; $40B valuation",https://www.anthropic.com/company,Parent company funding
Anthropic Managed Agents — Memory,Platform-provider memory,customers,"Rakuten (97% fewer first-pass errors, 27% lower cost, 34% lower latency in early use)",https://www.techzine.eu/news/devops/140836/anthropic-adds-memory-to-claude-managed-agents/,Rakuten is the only named design partner for Managed Agents Memory
Anthropic Managed Agents — Memory,Platform-provider memory,pricing,"Claude API token rates + $0.08 per session-hour for Managed Agents",https://platform.claude.com/docs/en/managed-agents/overview,Standard Anthropic API pricing applies plus session-hour charge
Anthropic Managed Agents — Memory,Platform-provider memory,compliance,"SOC 2 Type I, SOC 2 Type II, ISO 27001, ISO 42001, HIPAA (with BAA); FedRAMP in progress",https://trust.anthropic.com/,Inherits Anthropic platform compliance
Anthropic Managed Agents — Memory,Platform-provider memory,data_handling,"Enterprise/API: never trains on customer data; FedRAMP in progress; opt-out toggle for consumer plans",https://privacy.claude.com/en/articles/10015870-what-certifications-has-anthropic-obtained,Filesystem-backed memory; agent reads/writes via bash tools; full audit log per session
Anthropic Managed Agents — Memory,Platform-provider memory,deployment,Managed-only (hosted Anthropic infrastructure),https://platform.claude.com/docs/en/managed-agents/overview,No self-hosted option; Anthropic-managed sandboxed execution
Anthropic Managed Agents — Memory,Platform-provider memory,hq,"San Francisco, CA, US",https://www.anthropic.com/company,Anthropic HQ in San Francisco
Anthropic Managed Agents — Memory,Platform-provider memory,founders,"Anthropic; Dario Amodei (CEO; ex-OpenAI VP Research), Daniela Amodei (President; ex-OpenAI VP Operations)",https://www.anthropic.com/company,Co-founded 2021 by Amodei siblings with other ex-OpenAI researchers
Anthropic Managed Agents — Memory,Platform-provider memory,conflict_resolution,none specified,https://platform.claude.com/docs/en/managed-agents/overview,No explicit conflict resolution — file-as-memory model; agent decides overwrite vs append
Devin (Cognition),Coding-agent memory,compliance,"Encryption in transit and at rest; no customer data used for training by default (Enterprise: never trains); Trust Center requires NDA for reports",https://docs.devin.ai/admin/security,SOC 2 status not publicly confirmed; Cognition Trust Center (trust.cognition.ai) available with NDA
Devin (Cognition),Coding-agent memory,data_handling,"By default no training on customer data; Enterprise: contractual prohibition on training; data retained only during customer relationship",https://docs.devin.ai/admin/security,Opt-in training available in Data Controls settings; no ZDR published
Devin (Cognition),Coding-agent memory,conflict_resolution,none specified,https://docs.devin.ai/product-guides/knowledge,Knowledge items have three-tier scope (repo/global/org) but no cross-item conflict resolution documented
Augment Code,Coding-agent memory,conflict_resolution,none specified,https://www.augmentcode.com,Context Engine knowledge graph — no explicit conflict resolution mechanism documented
OpenAI Codex (cloud agent),Coding-agent memory,created,"no data — searched not found (Codex cloud agent memory launched circa May 2025; exact date not pinpointed)",https://developers.openai.com/codex/memories,Codex as cloud agent (distinct from legacy code-completion model) launched 2025
OpenAI Codex (cloud agent),Coding-agent memory,funding,"OpenAI $57B+ raised; $300B+ valuation",https://openai.com/,Parent company funding
OpenAI Codex (cloud agent),Coding-agent memory,pricing,"Included in ChatGPT Plus/Pro/Business/Edu/Enterprise plans (memory feature)",https://developers.openai.com/codex/pricing,Codex usage doubled on monthly tier until May 31 2026; memory is included
OpenAI Codex (cloud agent),Coding-agent memory,compliance,"SOC 2 Type II; ISO 27001; HIPAA-eligible; GDPR; CCPA; FERPA",https://openai.com/security-and-privacy/,Inherits OpenAI platform compliance
OpenAI Codex (cloud agent),Coding-agent memory,data_handling,"Enterprise/API: never trains by default; infrastructure encrypted in transit and at rest; strict access controls",https://openai.com/security-and-privacy/,Follows OpenAI standard data handling; not available EEA/UK/Switzerland
OpenAI Codex (cloud agent),Coding-agent memory,deployment,Both (cloud agent via ChatGPT platform + CLI tool local),https://developers.openai.com/codex,Cloud agent (chatgpt.com) + open-source CLI (github.com/openai/codex)
OpenAI Codex (cloud agent),Coding-agent memory,founders,"OpenAI; Sam Altman (CEO), Greg Brockman, Ilya Sutskever, Wojciech Zaremba, John Schulman",https://openai.com/,Corporate product — OpenAI founders
OpenAI Codex (cloud agent),Coding-agent memory,conflict_resolution,none specified,https://developers.openai.com/codex/memories,File-backed memory — no conflict resolution; append/consolidation model
Aider,Coding-agent memory,compliance,"no data — searched not found (OSS tool; no compliance certifications; anonymized opt-in analytics only)",https://aider.chat,Solo-developer OSS project; no enterprise compliance posture
Aider,Coding-agent memory,data_handling,"Local-only; no server-side data retention; opt-in anonymous analytics with no personal info",https://aider.chat,Paul Gauthier founder — explicitly privacy-conscious approach to analytics
Aider,Coding-agent memory,founders,"Paul Gauthier (solo founder; ex-founding CTO Inktomi 1996-2000; ex-Google)",https://www.linkedin.com/in/paulgauthier,Solo founder and maintainer; no company/VC backing
Aider,Coding-agent memory,conflict_resolution,none specified,https://aider.chat,File append model — no conflict resolution; history replay not default
Continue.dev Memory MCP,Coding-agent memory,created,2023-06 (Continue.dev founded); Memory MCP March 2025,https://techcrunch.com/2025/02/26/continue-wants-to-help-developers-create-and-share-custom-ai-coding-assistants/,Continue.dev founded June 2023 (YCS23); official Memory MCP released March 2025
Continue.dev Memory MCP,Coding-agent memory,funding,"$5.6M total raised: $2.1M (YCS23) + $3M SAFE led by Heavybit",https://techcrunch.com/2025/02/26/continue-wants-to-help-developers-create-and-share-custom-ai-coding-assistants/,Investors: Heavybit; Y Combinator; angels including Julien Chaumond (HuggingFace co-founder)
Continue.dev Memory MCP,Coding-agent memory,customers,"no data — searched not found (23k GitHub stars; 11k Discord members; $1.4M revenue June 2024; no named enterprise customers)",https://getlatka.com/companies/continue.dev,OSS-first; primarily individual developers and small teams
Continue.dev Memory MCP,Coding-agent memory,pricing,"Free (OSS core); paid Continue Hub plans for teams (pricing on website)",https://continue.dev/,Open-source IDE extension; commercial hub for sharing configs
Continue.dev Memory MCP,Coding-agent memory,compliance,"no data — searched not found (small startup; no formal certifications published)",https://continue.dev/,YC-backed startup — no published compliance certifications found
Continue.dev Memory MCP,Coding-agent memory,data_handling,"Local-first by default; MCP server deployment determines data handling; no cloud telemetry in core",https://hub.continue.dev/continuedev/memory-mcp,Memory quality and privacy depend on chosen MCP backend
Continue.dev Memory MCP,Coding-agent memory,deployment,"Both (VS Code/JetBrains extension local + optional shared MCP server)",https://docs.continue.dev,Local IDE extension + configurable MCP server (local or hosted)
Continue.dev Memory MCP,Coding-agent memory,hq,"San Francisco, CA, US",https://www.crunchbase.com/organization/continue-273b,Per Crunchbase/Dealroom
Continue.dev Memory MCP,Coding-agent memory,founders,"Ty Dunn (CEO), Nate Sesti (CTO); founded June 2023; YCS23",https://techcrunch.com/2025/02/26/continue-wants-to-help-developers-create-and-share-custom-ai-coding-assistants/,Both founders previously at tech companies; met during YC
Continue.dev Memory MCP,Coding-agent memory,conflict_resolution,none specified,https://hub.continue.dev/continuedev/memory-mcp,KG-backed; no conflict resolution documented
Bolt.new (StackBlitz),Coding-agent memory,funding,"$135M total raised: $7.9M seed (Apr 2022); $22M Series A (Nov 2024); $105.5M Series B (Jan 2025) at ~$700M valuation",https://sacra.com/c/bolt-new/,Series B led by Emergence Capital and GV; Madrona + Conviction + Mantis also participated
Bolt.new (StackBlitz),Coding-agent memory,customers,"no data — searched not found (no named enterprise customers; large developer community; Bolt.new reached $20M ARR in 2 months post-launch)",https://www.todayin-ai.com/p/stackblitz,Consumer/developer focused — no enterprise customer names disclosed
Bolt.new (StackBlitz),Coding-agent memory,compliance,"no data — searched not found (no published SOC2/ISO certifications found for StackBlitz/Bolt.new)",https://bolt.new,Startup-stage company; no formal compliance certifications published
Bolt.new (StackBlitz),Coding-agent memory,data_handling,"no data — searched not found (no public data handling policy specific to Bolt.new memory found)",https://bolt.new,WebContainer runs in browser; project files in StackBlitz cloud storage
Bolt.new (StackBlitz),Coding-agent memory,founders,"Eric Simons (CEO) and Albert Pai (CTO); both Chicago natives who met as teenagers; founded StackBlitz 2017",https://www.thespl.it/p/zero-to-20m-arr-in-two-months-inside,Greylock Partners seed; Series B GV/Emergence
Bolt.new (StackBlitz),Coding-agent memory,conflict_resolution,none specified,https://bolt.new,WebContainer filesystem model — files are the state; no semantic conflict resolution
Tabnine,Coding-agent memory,founders,"Founded as Codota 2013 by Dror Weiss (CEO) and Eran Yahav (CTO; Technion professor); acquired TabNine from Jacob Jackson 2019; rebranded to Tabnine 2021",https://en.wikipedia.org/wiki/Tabnine,"Jacob Jackson created TabNine 2018 at U Waterloo; OpenAI intern. Codota acquired it 2019. Dror Weiss CEO, Eran Yahav CTO"
Tabnine,Coding-agent memory,conflict_resolution,none specified,https://docs.tabnine.com/main/getting-started/context-engine,Context Engine knowledge graph — no conflict resolution mechanism documented
Replit Agent,Coding-agent memory,conflict_resolution,none specified,https://replit.com/products/agent,No semantic memory store — filesystem + agent notes; no conflict resolution
Sweep AI,Coding-agent memory,created,"2023 (GitHub app launched); pivoted to JetBrains plugin 2025",https://www.ycombinator.com/companies/sweep,YC S23 batch; original GitHub app OSS repos (github.com/sweepai/sweep); JetBrains pivot 2025
Sweep AI,Coding-agent memory,pricing,"Free (community); Pro and Team tiers; LLM cost + 5% markup model for agent usage",https://docs.sweep.dev/pricing,No persistent memory tier pricing — memory is implicit in GitHub thread history
Sweep AI,Coding-agent memory,compliance,"no data — searched not found (small YC startup; VPC-based enterprise option mentioned but no certifications published)",https://sweep.dev,CEO William Zeng mentions VPC-based data handling for enterprise
Sweep AI,Coding-agent memory,data_handling,"no data — searched not found (no public data handling policy found; GitHub App model means repo data is read fresh per trigger)",https://sweep.dev,Stateless per trigger — no persistent data retention except in GitHub
Sweep AI,Coding-agent memory,deployment,"Both (GitHub App managed + JetBrains plugin local)",https://sweep.dev,GitHub App (managed) + JetBrains IDE plugin (local)
Sweep AI,Coding-agent memory,founders,"Kevin Lu and William Zeng (co-founders); YC S23; both previously at Roblox as ML engineers",https://e2b.dev/blog/sweep-founders-share-learnings-from-building-an-ai-coding-assistant,Kevin Lu (top UWaterloo CS); William Zeng (youngest sr ML engineer at Roblox; CMU Stats/ML)
Sweep AI,Coding-agent memory,conflict_resolution,none specified,https://sweep.dev,No memory store — GitHub thread is implicit context; no conflict resolution
Perplexity Comet,Browser-agent memory,created,2025-07-09 (limited launch Windows/macOS); 2025-10-02 (public release free worldwide),https://techcrunch.com/2025/10/02/perplexitys-comet-ai-browser-now-free-max-users-get-new-background-assistant/,Android Nov 20 2025; iOS March 18 2026; free for all from October 2 2025
Perplexity Comet,Browser-agent memory,funding,"Perplexity $1.4B+ total raised; $21.2B valuation (Series E-6 early 2026)",https://en.wikipedia.org/wiki/Perplexity_AI,"$500M at $14B (May 2025); additional round at $18-21B (late 2025/early 2026); Comet not separately funded"
Perplexity Comet,Browser-agent memory,customers,"no data — searched not found (millions joined waitlist; no user count for Comet specifically disclosed)",https://www.perplexity.ai/comet,Free for all users as of October 2025; no customer count disclosed
Perplexity Comet,Browser-agent memory,conflict_resolution,none specified,https://www.perplexity.ai/comet,No explicit conflict resolution — append-based browser history memory
Dia (Atlassian),Browser-agent memory,created,2024-12 (announced); 2025-06 (beta); 2025-10 (public macOS launch); acquired by Atlassian Sept 4 2025,https://en.wikipedia.org/wiki/Dia_(web_browser),The Browser Company founded 2019; Dia announced Dec 2024; public macOS Oct 2025; acquisition completed Oct 21 2025
Dia (Atlassian),Browser-agent memory,conflict_resolution,none specified,https://www.diabrowser.com,Append-only local browsing history — no conflict resolution documented
Microsoft Edge Copilot Mode + Journeys,Browser-agent memory,created,2025-07-28 (Copilot Mode announced); 2025-10 (rolled out all Copilot markets),https://blogs.windows.com/msedgedev/2025/07/28/introducing-copilot-mode-in-edge-a-new-way-to-browse-the-web/,Copilot Mode memory for personalization opt-in from April 4 2025; full Journeys mode July 2025
Microsoft Edge Copilot Mode + Journeys,Browser-agent memory,funding,"Microsoft public (MSFT); ~$3T market cap",https://www.microsoft.com/,Corporate product — no separate funding
Microsoft Edge Copilot Mode + Journeys,Browser-agent memory,customers,"no data — searched not found (Edge ~450M+ users globally; Copilot Mode users not disclosed)",https://blogs.windows.com/msedgedev/2025/07/28/introducing-copilot-mode-in-edge-a-new-way-to-browse-the-web/,All Edge users eligible; M365 Copilot work integration rolling May 2026
Microsoft Edge Copilot Mode + Journeys,Browser-agent memory,pricing,"Free with Edge + Microsoft account; M365 Copilot features require M365 subscription",https://www.microsoft.com/en-us/edge/copilot-mode,Copilot Mode itself free with Edge browser
Microsoft Edge Copilot Mode + Journeys,Browser-agent memory,compliance,"SOC 2; ISO 27001; ISO 27018; ISO 27701; ISO 42001; HIPAA (E5 with BAA); FedRAMP High; GDPR-compliant",https://learn.microsoft.com/en-us/microsoft-copilot-studio/admin-certification,Inherits full Microsoft 365 compliance posture
Microsoft Edge Copilot Mode + Journeys,Browser-agent memory,data_handling,"Never trains on customer data (Microsoft policy); opt-out via Azure settings; M365 tenant-scoped",https://learn.microsoft.com/en-us/copilot/microsoft-365/microsoft-365-copilot-privacy,No password/payment data without consent; enforces DLP policies
Microsoft Edge Copilot Mode + Journeys,Browser-agent memory,deployment,Managed-only (Edge browser with Microsoft account),https://blogs.windows.com/msedgedev/2025/07/28/introducing-copilot-mode-in-edge-a-new-way-to-browse-the-web/,No self-hosted option
Microsoft Edge Copilot Mode + Journeys,Browser-agent memory,hq,"Redmond, WA, US",https://www.microsoft.com/,Microsoft HQ
Microsoft Edge Copilot Mode + Journeys,Browser-agent memory,founders,"Microsoft corporate product; Satya Nadella CEO; Edge built on Chromium since 2020",https://www.microsoft.com/,No independent founders — corporate browser
Microsoft Edge Copilot Mode + Journeys,Browser-agent memory,conflict_resolution,none specified,https://blogs.windows.com/msedgedev/2025/07/28/introducing-copilot-mode-in-edge-a-new-way-to-browse-the-web/,Journeys groups sessions — no explicit conflict resolution documented
Fellou,Browser-agent memory,pricing,"Free + paid: $19/mo (basic); $39.90/mo (standard); $199/mo (pro); freemium model",https://coglist.com/review/fellou-ai,Task-based pricing post-launch; current tiers at $19/$39.90/$199
Fellou,Browser-agent memory,compliance,"no data — searched not found (no published compliance certifications for Fellou)",https://fellou.ai/,New entrant — no formal certifications found
