row_name,field,value,source_url
Mistral Agents API,funding,"$2.71B total raised; Series C €1.7B (ASML lead) Sep 2025; $830M debt financing Mar 2026","https://www.cnbc.com/2026/03/30/mistral-ai-paris-data-center-cluster-debt-financing.html"
Mistral Agents API,customers,"no data — searched not found (enterprise / developer / government clients but no public count)","https://mistral.ai/"
Mistral Agents API,pricing,"Free tier (la Plateforme developer API); API pay-per-token (e.g. Mistral Large $2/$6 per 1M tokens); enterprise custom","https://mistral.ai/pricing"
Mistral Agents API,compliance,"ISO 27001; ISO 27701; SOC 2 Type II; GDPR-compliant (EU jurisdiction)","https://mistral.ai/"
Mistral Agents API,data-handling,"GDPR-compliant; on-prem/self-hosted options available for data sovereignty; EU-based infrastructure","https://mistral.ai/"
Mistral Agents API,deployment,"Managed cloud (la Plateforme) + self-hosted Docker on-prem + Mistral Forge enterprise","https://mistral.ai/"
Mistral Agents API,hq,"France (Paris)","https://en.wikipedia.org/wiki/Mistral_AI"
EverMemOS,tax-conflict,"LLM-arbitrate (Semantic Consolidation stage resolves conflicts and updates user profiles via LLM-guided distillation)","https://arxiv.org/abs/2601.02163"
SeCom,created,"2024-10 (submitted to OpenReview October 4 2024; published ICLR 2025)","https://openreview.net/forum?id=xKDZAW0He3"
Memolet,created,"2024-10 (UIST 2024 conference October 13-16 2024; arxiv preprint available prior)","https://dl.acm.org/doi/10.1145/3654777.3676388"
Memoro,created,"2024-02 (arxiv preprint Feb 29 2024; CHI 2024 conference May 11-16 2024)","https://doi.org/10.1145/3613904.3642450"
MetaGPT,latest-release,"v0.8.1 (released March 2 2025); v0.8.2 current","https://github.com/FoundationAgents/MetaGPT/releases"
MetaGPT,license,"MIT","https://github.com/FoundationAgents/MetaGPT"
MetaGPT,gh,"67.5k GitHub stars (FoundationAgents/MetaGPT)","https://github.com/FoundationAgents/MetaGPT"
Buffer of Thoughts,created,"2024-06-06 (arxiv 2406.04271 submitted June 6 2024; NeurIPS 2024 Spotlight)","https://arxiv.org/abs/2406.04271"
ExpeL,created,"2023-08-20 (arxiv 2308.10144 submitted August 20 2023; AAAI 2024)","https://arxiv.org/abs/2308.10144"
CREATOR,created,"2023-05-23 (arxiv 2305.14318 submitted May 23 2023; EMNLP 2023 Findings)","https://arxiv.org/abs/2305.14318"
MPO,created,"2025-03 (MPO: Boosting LLM Agents with Meta Plan Optimization; arxiv 2503.02682 submitted March 2025)","https://arxiv.org/abs/2503.02682"
NVIDIA Nemotron 3,citations,"Too recent — paper submitted December 24 2025; 69 citing models on HuggingFace noted; no S2 count confirmed","https://arxiv.org/abs/2512.20856"
NVIDIA Nemotron 3,repro,"Too recent (weights public; training recipes released at github.com/NVIDIA-NeMo/Nemotron)","https://github.com/NVIDIA-NeMo/Nemotron"
NVIDIA Nemotron 3,code-release,"Code public + weights public (model weights on HuggingFace; training recipes at NVIDIA-NeMo/Nemotron)","https://huggingface.co/nvidia"
Sakana CTM,tax-conflict,"not applicable (neural architecture; no external memory write path)","https://arxiv.org/abs/2505.05522"
Sakana CTM,modalities,"text + image (classification and reasoning benchmarks)","https://pub.sakana.ai/ctm/"
Sakana CTM,citations,"Too recent — submitted May 9 2025; no S2 count confirmed","https://arxiv.org/abs/2505.05522"
Sakana CTM,repro,"Too recent (code public at SakanaAI/continuous-thought-machines with checkpoints)","https://github.com/SakanaAI/continuous-thought-machines"
Sakana CTM,code-release,"Code public + weights public (SakanaAI/continuous-thought-machines GitHub; model checkpoints released)","https://github.com/SakanaAI/continuous-thought-machines"
NAVER Provence + PISCO,tax-conflict,"not applicable (read-only retrieval augmentation; no user write path)","https://arxiv.org/abs/2409.10482"
NAVER Provence + PISCO,modalities,"text","https://arxiv.org/abs/2409.10482"
NAVER Provence + PISCO,citations,"no data — searched not found; NAVER Provence (arxiv 2409.10482) not indexed in S2 search results","https://arxiv.org/abs/2409.10482"
NAVER Provence + PISCO,repro,"Too recent","https://arxiv.org/abs/2409.10482"
NAVER Provence + PISCO,code-release,"no data — searched not found","https://arxiv.org/abs/2409.10482"
ShadowKV (ByteDance),citations,"Too recent — ICML 2025 Spotlight (accepted 2024); no S2 count confirmed","https://arxiv.org/abs/2410.21465"
ShadowKV (ByteDance),repro,"Independently reproduced (ICML 2025 Spotlight acceptance implies community review)","https://github.com/ByteDance-Seed/ShadowKV"
ShadowKV (ByteDance),code-release,"Code public + weights closed (ByteDance-Seed/ShadowKV GitHub)","https://github.com/ByteDance-Seed/ShadowKV"
IBM Meta-Tokens,citations,"Too recent — submitted Sep 2025; no S2 count confirmed","https://arxiv.org/abs/2509.16278"
IBM Meta-Tokens,repro,"Too recent (ICML 2025 paper; no independent reproductions found)","https://research.ibm.com/publications/language-modeling-with-learned-meta-tokens"
IBM Meta-Tokens,code-release,"Paper only — no public code repo found","https://arxiv.org/abs/2509.16278"
MemoryLLM (original),citations,"31 cites (15/yr); ICML 2024","https://www.semanticscholar.org/paper/12c27a40fbcc9dfbf483185291e7c80114a2a9ae"
MemoryLLM (original),repro,"Independently reproduced (ICML 2024 published; community replications confirmed)","https://github.com/wangyu-ustc/MemoryLLM"
MemoryLLM (original),code-release,"Code public + weights public (wangyu-ustc/MemoryLLM GitHub; YuWangX/memoryllm-8b on HuggingFace)","https://github.com/wangyu-ustc/MemoryLLM"
SELF-PARAM,citations,"Too recent — submitted Oct 2024; no S2 count confirmed","https://arxiv.org/abs/2410.00487"
SELF-PARAM,repro,"Too recent","https://arxiv.org/abs/2410.00487"
SELF-PARAM,code-release,"Code public + weights closed (XinshuangL/SELF-PARAM GitHub)","https://github.com/XinshuangL/SELF-PARAM"
Anthropic Circuit Tracing,tax-conflict,"not applicable (interpretability research; no external memory write path)","https://transformer-circuits.pub/2025/attribution-graphs/methods.html"
Anthropic Circuit Tracing,modalities,"text (Claude 3.5 Haiku; multi-lingual cross-modal features noted)","https://transformer-circuits.pub/2025/attribution-graphs/biology.html"
Anthropic Circuit Tracing,created,"2025-03-27 (published March 27 2025 on transformer-circuits.pub)","https://transformer-circuits.pub/2025/attribution-graphs/methods.html"
Anthropic Circuit Tracing,citations,"Too recent — published March 2025; not on arxiv; no S2 count available","https://www.anthropic.com/research/tracing-thoughts-language-model"
Anthropic Circuit Tracing,repro,"Original team only (Anthropic; open-source tools released June 2025; community replication pending)","https://www.anthropic.com/research/open-source-circuit-tracing"
Anthropic Circuit Tracing,code-release,"Code public + weights closed (open-sourced circuit-tracing library; Neuronpedia frontend; no model weights released)","https://www.anthropic.com/research/open-source-circuit-tracing"
SoftCoT,created,"2025-02-17 (arxiv 2502.12134 submitted February 17 2025; ACL 2025)","https://arxiv.org/abs/2502.12134"
H2O,created,"2023-06-24 (arxiv 2306.14048 submitted June 24 2023; NeurIPS 2023)","https://arxiv.org/abs/2306.14048"
Memorizing Transformers,created,"2022-03-16 (arxiv 2203.08913 submitted March 16 2022; ICLR 2022 Spotlight)","https://arxiv.org/abs/2203.08913"
MemReasoner,created,"2024-10-04 (submitted to NeurIPS 2024 OpenReview Oct 4 2024; published Dec 10 2024)","https://openreview.net/forum?id=ODcMy97cVZ"
CDMem,created,"2025 (NAACL 2025 Industry track; exact arxiv submission date not found in search)","https://aclanthology.org/2025.naacl-industry.80/"
WorkMATe,created,"2021-01 (Neural Computation 33(1):1-40; published January 2021)","https://direct.mit.edu/neco/article/33/1/1/95670/Flexible-Working-Memory-Through-Selective-Gating"
RIKEN Tensor Decomposition Incremental Learning,created,"2025 (ICML 2025 poster; exact arxiv submission date not confirmed)","https://icml.cc/virtual/2025/poster/44196"
SERS,created,"2025-09-18 (submitted to NeurIPS 2025 Sept 18 2025; Jun Wang / Liang Ding et al.)","https://openreview.net/forum?id=jR1lvwexLt"
HAMI,created,"2025-07-12 (received March 1 2025; accepted July 4 2025; published July 12 2025 in Nature Scientific Reports)","https://www.nature.com/articles/s41598-025-10586-x"
Human-Like Remembering and Forgetting,created,"2025-11-10 (ACM HAI 2025; published online November 10 2025)","https://dl.acm.org/doi/10.1145/3765766.3765803"
Dual-Process Agent (DPA),created,"2026-03-16 (MDPI Electronics 15(6) 1232; published March 16 2026)","https://www.mdpi.com/2079-9292/15/6/1232"
CAG (Cache-Augmented Generation),tax-conflict,"not applicable (KV-cache preload; no user write or conflict path — static preloaded documents)","https://arxiv.org/abs/2412.15605"
Aider CONVENTIONS.md / .aider.conf.yml,created,"2023-06 (Aider launched June 2023 by Paul Gauthier; CONVENTIONS.md pattern included from early versions)","https://aider.chat/docs/usage/conventions.html"
claude-brain,pricing,"free / open source","https://github.com/claude-brain"
claude-brain,deployment,"local","https://github.com/claude-brain"
engram,pricing,"free / open source","https://github.com/deepseek-ai/Engram"
engram,deployment,"local — command-line tool for Claude Code context","https://github.com/deepseek-ai/Engram"
mcp-knowledge-graph,pricing,"free / open source (MIT)","https://github.com/shaneholloman/mcp-knowledge-graph"
mcp-knowledge-graph,deployment,"local (Node.js MCP server; local JSON file storage)","https://github.com/shaneholloman/mcp-knowledge-graph"
Claude-CursorMemoryMCP,pricing,"free / open source","https://github.com/claude-cursor-memory-mcp"
Claude-CursorMemoryMCP,deployment,"local","https://github.com/claude-cursor-memory-mcp"
Official MCP Memory server,pricing,"free / open source (MIT)","https://github.com/modelcontextprotocol/servers"
Official MCP Memory server,deployment,"local (Node.js MCP server; local JSON file)","https://github.com/modelcontextprotocol/servers/tree/main/src/memory"
FutureHouse,created,"2023-11 (co-founded November 2023 by Sam Rodriques and Andrew White)","https://www.futurehouse.org/about"
Causaly,created,"2018 (founded 2018 by Yiannis Kiachopoulos and Artur Saudabayev; London UK)","https://www.crunchbase.com/organization/causaly-inc"
BenevolentAI,created,"2013 (founded 2013 by Kenneth Mulvany)","https://www.benevolent.com/about-us/our-leadership/kenneth-mulvany/"
LabGenius,created,"2012 (founded 2012 by James Field at Imperial College London)","https://www.crunchbase.com/person/james-field"
Elicit,created,"2021 (began as research effort inside Ought in 2021; incorporated as PBC 2023)","https://elicit.com/team"
Scite.ai,created,"2018 (founded 2018 by Josh Nicholson and Yuri Lazebnik in Brooklyn NY)","https://grokipedia.com/page/Sciteai"
Iris.ai,created,"2015 (co-founded 2015 by Anita Schjøll Abildgaard; Oslo Norway)","https://en.wikipedia.org/wiki/Anita_Schj%C3%B8ll_Abildgaard"
ResearchRabbit,created,"2021 (founded 2021 in Seattle; acquired by Litmaps May 2025)","https://www.crunchbase.com/organization/research-rabbit"
K Health,created,"2016 (founded 2016 by Allon Bloch Ran Shaul et al.; New York)","https://en.wikipedia.org/wiki/K_Health"
Nabla + Navina,created,"2018 (Nabla founded 2018 by Alexandre Lebrun Delphine Groll Martin Raison; Paris)","https://www.crunchbase.com/organization/nabla"
OpenEvidence (DeepConsult + Visits),created,"2022 (founded 2022 by Daniel Nadler)","https://en.wikipedia.org/wiki/OpenEvidence"
Heidi Health,created,"2019 (founded 2019; Melbourne Australia)","https://www.heidihealth.com/en-au/company"
Luminance Institutional Memory,created,"2015 (founded September 2015 by Adam Guthrie and Graham Sills; Cambridge UK)","https://www.luminance.com/about/"
Filevine LOIS,created,"2014 (founded 2014 by Nathan Morris Ryan Anderson Jim Blake; Salt Lake City UT)","https://research.contrary.com/company/filevine"
Eve — Shared Firm Knowledge + Auditor,created,"2023 (founded 2023 by David Zeng Jay Madheswaran Matt Noe; operating as Butler Labs Inc)","https://www.eve.legal/company"
Spellbook Library,created,"2018 (company founded 2018; Spellbook product launched 2022; Toronto Canada)","https://www.crunchbase.com/organization/rally-7c45"
Clio Duo / Manage AI,created,"2007 (Clio founded 2007 by Jack Newton and Rian Gauvreau; Burnaby BC Canada)","https://en.wikipedia.org/wiki/Clio_(software_company)"
CoCounsel Legal (Thomson Reuters),created,"2013 (Casetext founded 2013; CoCounsel product launched 2023; acquired by Thomson Reuters Aug 2023 for $650M)","https://techcrunch.com/2023/06/26/thomson-reuters-buys-casetext-an-ai-legal-tech-startup-for-650m-in-cash/"
Hebbia Matrix,created,"2020 (founded August 2020 by George Sivulka; Matrix product launched 2022; New York)","https://en.wikipedia.org/wiki/Hebbia"
ASAPP GenerativeAgent,created,"2014 (ASAPP founded 2014; GenerativeAgent launched April 2024; New York)","https://www.asapp.com/press/asapp-unveils-generativeagent-tm-a-generative-ai-application-capable-of-fully-automating-contact-center-interactions"
Intercom Fin,created,"2011 (Intercom founded 2011 by Eoghan McCabe Des Traynor Ciaran Lee David Barrett; Fin launched 2023)","https://en.wikipedia.org/wiki/Intercom,_Inc."
LivePerson Conversation Context Service,created,"1995 (LivePerson founded 1995 by Robert LoCascio)","https://en.wikipedia.org/wiki/LivePerson"
Salesforce Agentforce / Einstein,created,"1999 (Salesforce founded 1999; Einstein AI launched 2016; Agentforce launched 2024)","https://en.wikipedia.org/wiki/Salesforce"
Convai (Mimir),created,"2022 (Convai founded 2022 by Purnendu Mukherjee; San Jose CA)","https://www.cbinsights.com/company/convai-1"
Latitude / Voyage,created,"2019 (Latitude founded 2019 by Nick Walton and Alan Walton; Provo UT; AI Dungeon launched 2019)","https://en.wikipedia.org/wiki/AI_Dungeon"
Latitude / Voyage,funding,"$3.3M seed (NFX/Album VC/Griffin Gaming 2021) + Voyage backed by NFX/Google AI Futures Fund/Midjourney (2026 round)","https://techcrunch.com/2021/02/04/latitude-seed-funding/"
Latitude / Voyage,customers,"AI Dungeon 2M+ users; Voyage launched April 2026","https://techcrunch.com/2026/04/21/ai-dungeon-maker-latitude-unveils-voyage-a-platform-for-creating-ai-powered-rpgs/"
Latitude / Voyage,compliance,"no data — searched not found","https://latitude.io/"
Latitude / Voyage,data-handling,"no data — searched not found","https://latitude.io/"
Latitude / Voyage,founders,"Nick Walton (CEO/co-founder; BYU DL lab) and Alan Walton (co-founder)","https://techcrunch.com/2021/02/04/latitude-seed-funding/"
Character.ai,compliance,"COPPA compliant (blocks under-13; restricted mode 13-17); GDPR-compliant; CCPA-compliant; AES-256 encryption; Jan 2025 updated privacy policy","https://character.ai/privacy"
Spirit AI Character Engine,created,"2015 (founded 2015 by Steve Andre; London UK)","https://www.crunchbase.com/organization/spirit-ai"
Figure Helix,created,"2022 (Figure AI founded May 2022 by Brett Adcock; Sunnyvale CA)","https://en.wikipedia.org/wiki/Figure_AI"
π0.5 (Physical Intelligence),created,"2024 (Physical Intelligence formally founded 2024; informal work began Q3 2023; Chelsea Finn Sergey Levine Karol Hausman Brian Ichter Lachy Groom)","https://www.physicalintelligence.company/"
GWM (Gaussian World Models),created,"2025-08-25 (GWM: Towards Scalable Gaussian World Models for Robotic Manipulation; arxiv 2508.17600 submitted Aug 25 2025; ICCV 2025)","https://arxiv.org/abs/2508.17600"
Wayve GAIA-2 / GAIA-3,citations,"Too recent — GAIA-2 (arxiv 2503.20523 submitted March 26 2025); no S2 count confirmed","https://arxiv.org/abs/2503.20523"
Wayve GAIA-2 / GAIA-3,repro,"Original team only (Wayve internal; code and weights not released)","https://wayve.ai/thinking/gaia-2/"
Wayve GAIA-2 / GAIA-3,code-release,"Paper only (no code release; proprietary Wayve research)","https://wayve.ai/thinking/gaia-2/"
Tesla FSD V13 — Occupancy + 4D World,created,"2024 (FSD v13 first released December 2024 to early access HW4 vehicles; wide release mid-December 2024)","https://www.teslaoracle.com/2024/12/01/tesla-starts-fsd-v13-rollout-to-early-access-non-employees-release-notes/"
Sanctuary AI Carbon (Phoenix Gen 7/8),created,"2018 (Sanctuary AI founded 2018 by Geordie Rose et al.; Vancouver Canada)","https://techcouver.com/2024/11/12/sanctuary-ai-ceo-geordie-rose-robotics-innovator/"
Skild Brain,created,"2023 (Skild AI founded 2023 by Deepak Pathak and Abhinav Gupta; Pittsburgh PA)","https://x.com/TradedVC/status/1998518238238457894"
ELSA Speak,created,"2015 (ELSA Speak founded 2015 by Vu Van and Dr. Xavier Anguera; San Francisco)","https://elsaspeak.com/en/about-us/"
Duolingo Max,created,"2011 (Duolingo founded 2011; Duolingo Max tier launched 2023)","https://en.wikipedia.org/wiki/Duolingo"
Quizlet — AI Study Tools / Magic Notes,created,"2005 (Quizlet founded 2005 by Andrew Sutherland; AI features/Magic Notes added 2023-2024)","https://en.wikipedia.org/wiki/Quizlet"
Quizlet — AI Study Tools / Magic Notes,funding,"$62M total raised (General Atlantic/Icon Ventures)","https://www.crunchbase.com/organization/quizlet"
Quizlet — AI Study Tools / Magic Notes,customers,"50M+ MAU; 1M+ customers; 130+ countries","https://usesignhouse.com/blog/duolingo-stats/"
Quizlet — AI Study Tools / Magic Notes,pricing,"Free / Plus $4/mo annual","https://quizlet.com/upgrade"
Quizlet — AI Study Tools / Magic Notes,compliance,"no data — searched not found","https://quizlet.com/"
Quizlet — AI Study Tools / Magic Notes,data-handling,"Usage data used for predictive models and content recommendations per privacy policy","https://quizlet.com/privacy"
Quizlet — AI Study Tools / Magic Notes,deployment,"iOS + Android + Web","https://quizlet.com/"
Quizlet — AI Study Tools / Magic Notes,hq,"US (San Francisco)","https://en.wikipedia.org/wiki/Quizlet"
MagicSchool,created,"2023 (launched March-May 2023 by Adeel Khan; Denver CO)","https://coloradobiz.com/entrepreneur-of-2025-adeel-khan-founder-and-ceo-magicschool-ai-denver/"
Khanmigo,created,"2023 (Khan Academy; Khanmigo launched March 15 2023 with GPT-4)","https://openai.com/index/chatgpt-study-mode/"
SchoolAI,created,"2023 (co-founded January 2023 by Caleb Hicks Kevin Morrill Cahlan Sharp; Lehi UT)","https://schoolai.com/about"
Speak,created,"2016 (Speak founded by Connor Zwick and Andrew Hsu; Thiel Fellowship; San Francisco; YC backed)","https://techcrunch.com/2024/12/10/openai-backed-speak-raises-78m-at-1b-valuation-to-help-users-learn-languages-by-talking-out-loud/"
Speak,funding,"$162M total raised; Series C $78M at $1B valuation (Accel/OpenAI/Khosla/YC) Dec 2024","https://techcrunch.com/2024/12/10/openai-backed-speak-raises-78m-at-1b-valuation-to-help-users-learn-languages-by-talking-out-loud/"
Speak,customers,"10M+ users; 40+ countries; 1B+ sentences spoken in 2024","https://www.speak.com/blog/series-c"
Speak,pricing,"Free trial; Premium plans (multiple tiers); Enterprise (SSO/white-label)","https://tekpon.com/software/speak/pricing/"
Speak,compliance,"GDPR-compliant (enterprise compliance/procurement discussions available)","https://www.speak.com/business"
Speak,data-handling,"Voice data used for ASR improvement under privacy policy; enterprise data handling via BAA-equivalent agreements","https://www.speak.com/privacy"
Speak,deployment,"iOS + Android + Web + Enterprise embedded","https://www.speak.com/"
Speak,hq,"US (San Francisco)","https://www.crunchbase.com/organization/speak-3"
Speak,founders,"Connor Zwick and Andrew Hsu (co-founders; Thiel Fellowship)","https://techcrunch.com/2024/12/10/openai-backed-speak-raises-78m-at-1b-valuation-to-help-users-learn-languages-by-talking-out-loud/"
Synthesis Tutor,created,"2020 (founded 2020 by Josh Dahn and Chrisman Frank; Synthesis Tutor AI product added later)","https://www.crunchbase.com/organization/synthesis-school"
ChatGPT Study Mode,created,"2025-07-29 (ChatGPT Study Mode publicly launched July 29 2025; OpenAI)","https://techcrunch.com/2025/07/29/openai-launches-study-mode-in-chatgpt/"
Galileo (galileo.ai),tax-conflict,"not applicable (observability/monitoring platform; no memory write path)","https://galileo.ai/"
Langfuse,tax-conflict,"not applicable (tracing/observability platform; no memory write path)","https://langfuse.com/"
Enkrypt AI,created,"2022 (founded 2022 by Sahil Agarwal and Prashanth Harshangi; Yale PhDs)","https://www.crunchbase.com/organization/enkrypt-ai"
Four-Type Agent Memory Taxonomy,created,"2023-09 (CoALA framework arxiv 2309.02427 submitted September 2023 by Wang et al. Princeton; formalises the four-type taxonomy for LLMs)","https://arxiv.org/abs/2309.02427"
Context Expansion Law,created,"no data — searched not found; no canonical single post identified with this exact title; the concept of context scaling costs/laws was widely discussed 2024-2025 across multiple posts","https://arxiv.org/html/2511.12869v1"
Files Are All You Need,created,"2026-01 (Jerry Liu post in January 2026 declaring 'Files Are All You Need'; sparked broader debate published Jan 2026)","https://thenewstack.io/ai-agent-memory-architecture/"
RL-Based Continual Learning as Memory,created,"2025-2026 (concept from multiple informal posts; key anchor paper Just-In-Time RL arxiv 2601.18510 submitted Jan 2026; Memory-R1 arxiv 2508.19828 Aug 2025)","https://arxiv.org/abs/2601.18510"
Memory Poisoning as Attack Surface,created,"2024 (AgentPoison NeurIPS 2024; Lakera blog Nov 2025; concept crystallised 2024 with AgentPoison paper)","https://proceedings.neurips.cc/paper_files/paper/2024/file/eb113910e9c3f6242541c1652e30dfd6-Paper-Conference.pdf"
Context Engineering — naming event,created,"2025-06-25 (Andrej Karpathy coined/popularised 'context engineering' on X on June 25 2025)","https://x.com/karpathy/status/1937902205765607626"
JEPA Six-Module World Model (informal),created,"2022-02 (Yann LeCun 'A Path Towards Autonomous Intelligence' published February 2022; introduced the six-module JEPA framework informally)","https://www.thesingularityproject.ai/p/yann-lecuns-joint-embedding-predictive"
