row_name,consistency_model,consistency_cite,versioning,versioning_cite,tombstoning,tombstoning_cite,schema_evolution,schema_evolution_cite,namespace,namespace_cite,contradiction,contradiction_cite,forgetting,forgetting_cite
AgentOps,not specified - vendor docs do not address this dimension,taxonomy/tags.json,immutable append-log,taxonomy/tags.json,append-only no delete,taxonomy/tags.json,schema with migration,inferred from primary tags (storage/update/governance),not specified - vendor docs do not address this dimension,taxonomy/tags.json,N/A,https://www.agentops.ai/,none (permanent),inferred from primary tags (storage/update/governance)
Agentic Memory,not specified - paper does not address this dimension,taxonomy/tags.json,snapshots,inferred from primary tags (storage/update/governance),not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,LLM resolves and overwrites,https://arxiv.org/abs/2601.01885,consolidation/summarization,taxonomy/tags.json
Agentic Plan Caching (APC),not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,free-form / no schema,inferred from primary tags (storage/update/governance),not specified - paper does not address this dimension,taxonomy/tags.json,LLM resolves and overwrites,https://neurips.cc/virtual/2025/poster/116166,not specified - paper does not address this dimension,taxonomy/tags.json
Agno (Phidata) Memory,not specified - vendor docs do not address this dimension,taxonomy/tags.json,immutable append-log,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,schema with migration,inferred from primary tags (storage/update/governance),per-tenant,inferred from primary tags (storage/update/governance),always overwrite (last-write-wins),https://docs.phidata.com/agents/memory,none (permanent),inferred from primary tags (storage/update/governance)
AiT (Associative Transformer),strong,inferred from primary tags (storage/update/governance),none,inferred from primary tags (storage/update/governance),not specified - paper does not address this dimension,taxonomy/tags.json,schema locked,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance),N/A,https://arxiv.org/abs/2309.12862,LRU eviction,inferred from primary tags (storage/update/governance)
Aider,strong,inferred from primary tags (storage/update/governance),immutable append-log,taxonomy/tags.json,append-only no delete,taxonomy/tags.json,free-form / no schema,inferred from primary tags (storage/update/governance),hierarchical,inferred from primary tags (storage/update/governance),always append (no resolution),inferred from primary tags (storage/update/governance),user-controlled forget,inferred from primary tags (storage/update/governance)
Aider CONVENTIONS.md / .aider.conf.yml,strong,inferred from primary tags (storage/update/governance),snapshots,inferred from primary tags (storage/update/governance),hard-delete supported,inferred from primary tags (storage/update/governance),free-form / no schema,inferred from primary tags (storage/update/governance),hierarchical,inferred from primary tags (storage/update/governance),always overwrite (last-write-wins),https://aider.chat/docs/usage/conventions.html,user-controlled forget,inferred from primary tags (storage/update/governance)
Aleph Alpha PhariaAI / PhariaCatch,not specified - vendor docs do not address this dimension,taxonomy/tags.json,snapshots,inferred from primary tags (storage/update/governance),soft-delete only,inferred from primary tags (storage/update/governance),free-form / no schema,inferred from primary tags (storage/update/governance),hierarchical,inferred from primary tags (storage/update/governance),always overwrite (last-write-wins),inferred from primary tags (storage/update/governance),not specified - vendor docs do not address this dimension,taxonomy/tags.json
Algolia (NeuralSearch),not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,schema with migration,inferred from primary tags (storage/update/governance),per-tenant,inferred from primary tags (storage/update/governance),N/A,https://www.algolia.com,not specified - vendor docs do not address this dimension,taxonomy/tags.json
Alita,not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,LLM resolves and overwrites,inferred from primary tags (storage/update/governance),not specified - paper does not address this dimension,taxonomy/tags.json
Alita-G,not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,LLM resolves and overwrites,https://arxiv.org/abs/2510.23601,not specified - paper does not address this dimension,taxonomy/tags.json
AllegroGraph (Franz),not specified - vendor docs do not address this dimension,taxonomy/tags.json,immutable append-log,taxonomy/tags.json,soft-delete only,inferred from primary tags (storage/update/governance),schema with migration,inferred from primary tags (storage/update/governance),per-tenant,inferred from primary tags (storage/update/governance),always overwrite (last-write-wins),https://allegrograph.com/,none (permanent),inferred from primary tags (storage/update/governance)
AlphaEdit,N/A,inferred from primary tags (storage/update/governance),snapshots,inferred from primary tags (storage/update/governance),not specified - paper does not address this dimension,taxonomy/tags.json,schema locked,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance),LLM resolves and overwrites,inferred from primary tags (storage/update/governance),not specified - paper does not address this dimension,taxonomy/tags.json
Amazon Neptune Analytics,not specified - vendor docs do not address this dimension,taxonomy/tags.json,immutable append-log,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,schema with migration,inferred from primary tags (storage/update/governance),per-tenant,inferred from primary tags (storage/update/governance),always overwrite (last-write-wins),https://aws.amazon.com/neptune/,none (permanent),inferred from primary tags (storage/update/governance)
Amplenote,not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,hard-delete supported,inferred from primary tags (storage/update/governance),schema with migration,inferred from primary tags (storage/update/governance),per-tenant,inferred from primary tags (storage/update/governance),always overwrite (last-write-wins),https://www.amplenote.com/,user-controlled forget,inferred from primary tags (storage/update/governance)
Anda Hippocampus,not specified - vendor docs do not address this dimension,taxonomy/tags.json,snapshots,inferred from primary tags (storage/update/governance),not specified - vendor docs do not address this dimension,taxonomy/tags.json,schema with migration,inferred from primary tags (storage/update/governance),per-tenant,inferred from primary tags (storage/update/governance),LLM resolves and overwrites,inferred from primary tags (storage/update/governance),consolidation/summarization,taxonomy/tags.json
Anthropic Circuit Tracing,N/A,inferred from primary tags (storage/update/governance),none,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance),schema locked,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance)
Anthropic Claude Memory,strong,inferred from primary tags (storage/update/governance),snapshots,inferred from primary tags (storage/update/governance),hard-delete supported,inferred from primary tags (storage/update/governance),free-form / no schema,inferred from primary tags (storage/update/governance),hierarchical,inferred from primary tags (storage/update/governance),always overwrite (last-write-wins),https://claudefa.st/blog/guide/mechanics/auto-dream,consolidation/summarization,taxonomy/tags.json
Anthropic Managed Agents — Memory,strong,inferred from primary tags (storage/update/governance),snapshots,inferred from primary tags (storage/update/governance),not specified - paper does not address this dimension,taxonomy/tags.json,free-form / no schema,inferred from primary tags (storage/update/governance),hierarchical,inferred from primary tags (storage/update/governance),LLM resolves and overwrites,inferred from primary tags (storage/update/governance),not specified - paper does not address this dimension,taxonomy/tags.json
Apache AGE,not specified - vendor docs do not address this dimension,taxonomy/tags.json,immutable append-log,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,schema with migration,inferred from primary tags (storage/update/governance),per-tenant,inferred from primary tags (storage/update/governance),always overwrite (last-write-wins),https://age.apache.org,none (permanent),inferred from primary tags (storage/update/governance)
Apple Notes + Apple Intelligence,not specified - vendor docs do not address this dimension,taxonomy/tags.json,immutable append-log,taxonomy/tags.json,hard-delete supported,inferred from primary tags (storage/update/governance),schema with migration,inferred from primary tags (storage/update/governance),hierarchical,inferred from primary tags (storage/update/governance),always overwrite (last-write-wins),https://www.apple.com/apple-intelligence/,user-controlled forget,inferred from primary tags (storage/update/governance)
ArangoDB,not specified - vendor docs do not address this dimension,taxonomy/tags.json,immutable append-log,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,schema with migration,inferred from primary tags (storage/update/governance),per-tenant,inferred from primary tags (storage/update/governance),always overwrite (last-write-wins),https://arangodb.com,none (permanent),inferred from primary tags (storage/update/governance)
AriGraph,not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,schema with migration,inferred from primary tags (storage/update/governance),not specified - paper does not address this dimension,taxonomy/tags.json,LLM resolves and overwrites,https://arxiv.org/abs/2407.04363,not specified - paper does not address this dimension,taxonomy/tags.json
Arigraph,not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,schema with migration,inferred from primary tags (storage/update/governance),not specified - paper does not address this dimension,taxonomy/tags.json,LLM resolves and overwrites,https://arxiv.org/abs/2407.04363,not specified - paper does not address this dimension,taxonomy/tags.json
Atlas,not specified - paper does not address this dimension,taxonomy/tags.json,snapshots,inferred from primary tags (storage/update/governance),not specified - paper does not address this dimension,taxonomy/tags.json,schema with migration,inferred from primary tags (storage/update/governance),not specified - paper does not address this dimension,taxonomy/tags.json,N/A,https://arxiv.org/abs/2208.03299,not specified - paper does not address this dimension,taxonomy/tags.json
Augment Code,not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,schema with migration,inferred from primary tags (storage/update/governance),per-tenant,inferred from primary tags (storage/update/governance),LLM resolves and overwrites,inferred from primary tags (storage/update/governance),not specified - vendor docs do not address this dimension,taxonomy/tags.json
AutoGLM (Zhipu AI),not specified - vendor docs do not address this dimension,taxonomy/tags.json,snapshots,inferred from primary tags (storage/update/governance),not specified - vendor docs do not address this dimension,taxonomy/tags.json,free-form / no schema,inferred from primary tags (storage/update/governance),hierarchical,inferred from primary tags (storage/update/governance),LLM resolves and overwrites,inferred from primary tags (storage/update/governance),not specified - vendor docs do not address this dimension,taxonomy/tags.json
AutoGen Memory,not specified - vendor docs do not address this dimension,taxonomy/tags.json,immutable append-log,taxonomy/tags.json,append-only no delete,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,per-tenant,inferred from primary tags (storage/update/governance),always append (no resolution),https://github.com/microsoft/autogen,none (permanent),inferred from primary tags (storage/update/governance)
AutoRAG,not specified - paper does not address this dimension,taxonomy/tags.json,none,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance),not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,N/A,https://arxiv.org/abs/2410.20878,N/A,inferred from primary tags (storage/update/governance)
BABILong,N/A,inferred from primary tags (storage/update/governance),none,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance),not specified - paper does not address this dimension,taxonomy/tags.json,N/A,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance)
BAI-LAB MemoryOS,not specified - paper does not address this dimension,taxonomy/tags.json,snapshots,inferred from primary tags (storage/update/governance),not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,LLM resolves and overwrites,inferred from primary tags (storage/update/governance),consolidation/summarization,taxonomy/tags.json
BGE-M3,not specified - paper does not address this dimension,taxonomy/tags.json,none,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance),schema with migration,inferred from primary tags (storage/update/governance),not specified - paper does not address this dimension,taxonomy/tags.json,N/A,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance)
Backboard,not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,schema with migration,inferred from primary tags (storage/update/governance),per-tenant,inferred from primary tags (storage/update/governance),not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json
Bee,not specified - vendor docs do not address this dimension,taxonomy/tags.json,immutable append-log,taxonomy/tags.json,append-only no delete,taxonomy/tags.json,schema with migration,inferred from primary tags (storage/update/governance),per-user,inferred from primary tags (storage/update/governance),always append (no resolution),https://bee.computer,user-controlled forget,inferred from primary tags (storage/update/governance)
BenevolentAI,not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,schema with migration,inferred from primary tags (storage/update/governance),per-tenant,inferred from primary tags (storage/update/governance),always overwrite (last-write-wins),https://www.benevolent.com/,not specified - vendor docs do not address this dimension,taxonomy/tags.json
Beyond RAG for Agent Memory,not specified - paper does not address this dimension,taxonomy/tags.json,none,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance),not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,LLM resolves and overwrites,https://arxiv.org/abs/2602.02007,N/A,inferred from primary tags (storage/update/governance)
Bolt.new (StackBlitz),strong,inferred from primary tags (storage/update/governance),snapshots,inferred from primary tags (storage/update/governance),hard-delete supported,inferred from primary tags (storage/update/governance),free-form / no schema,inferred from primary tags (storage/update/governance),hierarchical,inferred from primary tags (storage/update/governance),always overwrite (last-write-wins),inferred from primary tags (storage/update/governance),user-controlled forget,inferred from primary tags (storage/update/governance)
Botpress LLMz,not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,schema with migration,inferred from primary tags (storage/update/governance),per-tenant,inferred from primary tags (storage/update/governance),LLM resolves and overwrites,https://botpress.com/features/knowledge-bases,not specified - vendor docs do not address this dimension,taxonomy/tags.json
Brave Leo,strong,inferred from primary tags (storage/update/governance),snapshots,inferred from primary tags (storage/update/governance),hard-delete supported,inferred from primary tags (storage/update/governance),free-form / no schema,inferred from primary tags (storage/update/governance),hierarchical,inferred from primary tags (storage/update/governance),not specified - vendor docs do not address this dimension,taxonomy/tags.json,user-controlled forget,inferred from primary tags (storage/update/governance)
BrowserAgent,not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,schema with migration,inferred from primary tags (storage/update/governance),not specified - paper does not address this dimension,taxonomy/tags.json,LLM resolves and overwrites,https://arxiv.org/abs/2510.10666,not specified - paper does not address this dimension,taxonomy/tags.json
Browserbase,strong,inferred from primary tags (storage/update/governance),snapshots,inferred from primary tags (storage/update/governance),not specified - vendor docs do not address this dimension,taxonomy/tags.json,free-form / no schema,inferred from primary tags (storage/update/governance),hierarchical,inferred from primary tags (storage/update/governance),always overwrite (last-write-wins),inferred from primary tags (storage/update/governance),TTL-based,inferred from primary tags (storage/update/governance)
Buffer of Thoughts,not specified - paper does not address this dimension,taxonomy/tags.json,immutable append-log,taxonomy/tags.json,append-only no delete,taxonomy/tags.json,free-form / no schema,inferred from primary tags (storage/update/governance),not specified - paper does not address this dimension,taxonomy/tags.json,LLM resolves and overwrites,no data,none (permanent),inferred from primary tags (storage/update/governance)
ByteRover,not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json
CAG (Cache-Augmented Generation),strong,inferred from primary tags (storage/update/governance),none,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance),schema locked,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance),LRU eviction,inferred from primary tags (storage/update/governance)
CAM,not specified - paper does not address this dimension,taxonomy/tags.json,snapshots,inferred from primary tags (storage/update/governance),not specified - paper does not address this dimension,taxonomy/tags.json,schema with migration,inferred from primary tags (storage/update/governance),not specified - paper does not address this dimension,taxonomy/tags.json,LLM resolves and overwrites,https://arxiv.org/abs/2510.05520,consolidation/summarization,taxonomy/tags.json
CDMem,not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,schema with migration,inferred from primary tags (storage/update/governance),not specified - paper does not address this dimension,taxonomy/tags.json,LLM resolves and overwrites,https://aclanthology.org/2025.naacl-industry.80/,TTL-based,inferred from primary tags (storage/update/governance)
CL of LLMs Survey,not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,N/A,https://dl.acm.org/doi/10.1145/3735633,not specified - paper does not address this dimension,taxonomy/tags.json
CLAUDE.md,strong,https://docs.claude.com/en/docs/claude-code/memory,snapshots,https://docs.claude.com/en/docs/claude-code/memory,hard-delete supported,https://docs.claude.com/en/docs/claude-code/memory,free-form / no schema,https://docs.claude.com/en/docs/claude-code/memory,hierarchical,https://docs.claude.com/en/docs/claude-code/memory,always overwrite (last-write-wins),https://docs.claude.com/en/docs/claude-code/memory,user-controlled forget,https://docs.claude.com/en/docs/claude-code/memory
COLA,not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,LLM resolves and overwrites,https://arxiv.org/abs/2503.09263,not specified - paper does not address this dimension,taxonomy/tags.json
CRAG,not specified - paper does not address this dimension,taxonomy/tags.json,none,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance),schema with migration,inferred from primary tags (storage/update/governance),not specified - paper does not address this dimension,taxonomy/tags.json,N/A,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance)
CREATOR,not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,schema with migration,inferred from primary tags (storage/update/governance),not specified - paper does not address this dimension,taxonomy/tags.json,LLM resolves and overwrites,no data,not specified - paper does not address this dimension,taxonomy/tags.json
Capacities,not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,hard-delete supported,inferred from primary tags (storage/update/governance),schema with migration,inferred from primary tags (storage/update/governance),per-tenant,inferred from primary tags (storage/update/governance),always overwrite (last-write-wins),https://capacities.io/,user-controlled forget,inferred from primary tags (storage/update/governance)
Causaly,not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,schema with migration,inferred from primary tags (storage/update/governance),per-tenant,inferred from primary tags (storage/update/governance),always overwrite (last-write-wins),https://www.causaly.com/,not specified - vendor docs do not address this dimension,taxonomy/tags.json
Cellon (Memory.inc),not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,schema with migration,inferred from primary tags (storage/update/governance),per-tenant,inferred from primary tags (storage/update/governance),LLM resolves and overwrites,inferred from primary tags (storage/update/governance),not specified - vendor docs do not address this dimension,taxonomy/tags.json
Character.ai,not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,hard-delete supported,inferred from primary tags (storage/update/governance),not specified - vendor docs do not address this dimension,taxonomy/tags.json,per-tenant,inferred from primary tags (storage/update/governance),always overwrite (last-write-wins),https://character.ai,user-controlled forget,inferred from primary tags (storage/update/governance)
Charisma.ai,not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,hard-delete supported,inferred from primary tags (storage/update/governance),schema with migration,inferred from primary tags (storage/update/governance),per-tenant,inferred from primary tags (storage/update/governance),always overwrite (last-write-wins),https://charisma.ai,user-controlled forget,inferred from primary tags (storage/update/governance)
ChatGPT Study Mode,not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,hard-delete supported,inferred from primary tags (storage/update/governance),schema with migration,inferred from primary tags (storage/update/governance),not specified - paper does not address this dimension,taxonomy/tags.json,LLM resolves and overwrites,https://openai.com/index/chatgpt-study-mode/,user-controlled forget,inferred from primary tags (storage/update/governance)
