use_case,rank,tier,system_name,system_tier,section,section_bonus,pref_score,soft_penalty,raw_score,confidence,final_score,anti_passed,hard_bucket,notes
UC-06 Contact-center,6,candidate,Limitless,T1,Voice-first / wearable AI memory,5.0,10.00,2.0,13.000,0.806,10.484,True,candidate,candidate-reasons: compliance undeclared (need ⊇ {'SOC 2'}) | R-soft penalty: throughput undeclared | R-soft penalty: latency undeclared
UC-06 Contact-center,7,candidate,PolyAI,T2,— Customer support / voice agent memory,5.0,8.00,2.0,11.000,0.710,7.806,True,candidate,candidate-reasons: multi_tenancy undeclared | R-soft penalty: throughput undeclared | R-soft penalty: latency undeclared
UC-06 Contact-center,8,candidate,Omi,T1,Voice-first / wearable AI memory,5.0,5.00,2.0,8.000,0.790,6.323,True,candidate,candidate-reasons: multi_tenancy undeclared | R-soft penalty: throughput undeclared | R-soft penalty: latency undeclared
UC-06 Contact-center,9,candidate,Retell AI,T2,Framework-embedded memory,5.0,5.00,2.0,8.000,0.790,6.323,True,candidate,candidate-reasons: multi_tenancy undeclared | R-soft penalty: throughput undeclared | R-soft penalty: latency undeclared
UC-06 Contact-center,10,candidate,Cognigy,T1,— Customer support / voice agent memory,5.0,5.00,2.0,8.000,0.758,6.065,True,candidate,candidate-reasons: multi_tenancy undeclared | R-soft penalty: throughput undeclared | R-soft penalty: latency undeclared
UC-08 Legal research,1,verified-pass,Zep — governance posture,T1,"Memory governance, privacy & safety",5.0,18.00,0.0,23.000,0.855,19.661,True,verified-pass,
UC-08 Legal research,2,verified-pass,Zep & Graphiti,T1,Dedicated memory layers,5.0,13.00,1.0,17.000,0.887,15.081,True,verified-pass,R-soft penalty: deployment lacks VPC/self-host
UC-08 Legal research,3,candidate,Zep / Graphiti,T1,Memory observability & monitoring,0.0,18.00,0.0,18.000,0.871,15.677,True,candidate,candidate-reasons: compliance undeclared (need ⊇ {'SOC 2'}); data_handling unknown
UC-08 Legal research,4,candidate,Graphiti MCP Server (Zep),T1,Claude Code memory mechanisms,0.0,13.00,0.0,13.000,0.806,10.484,True,candidate,candidate-reasons: compliance undeclared (need ⊇ {'SOC 2'}); data_handling unknown
UC-08 Legal research,5,candidate,Stardog,T1,Knowledge-graph platforms,0.0,13.00,1.0,12.000,0.823,9.871,True,candidate,candidate-reasons: conflict_res undeclared; data_handling unknown | R-soft penalty: deployment lacks VPC/self-host
UC-08 Legal research,6,candidate,SearchUnify,T1,Enterprise-search adjacencies,5.0,8.00,1.0,12.000,0.790,9.484,True,candidate,candidate-reasons: conflict_res undeclared | R-soft penalty: deployment lacks VPC/self-host
UC-08 Legal research,7,candidate,Mindbreeze InSpire,T2,Enterprise-search adjacencies,5.0,8.00,1.0,12.000,0.758,9.097,True,candidate,candidate-reasons: conflict_res undeclared; data_handling unknown | R-soft penalty: deployment lacks VPC/self-host
UC-08 Legal research,8,candidate,Hebbia Matrix,T2,— Legal AI memory,5.0,8.00,1.0,12.000,0.726,8.710,True,candidate,candidate-reasons: compliance undeclared (need ⊇ {'SOC 2'}); conflict_res undeclared; data_handling unknown | R-soft penalty: deployment lacks VPC/self-host
UC-08 Legal research,9,candidate,TopQuadrant (TopBraid EDG),T1,Knowledge-graph platforms,0.0,8.00,0.0,8.000,0.758,6.065,True,candidate,candidate-reasons: compliance undeclared (need ⊇ {'SOC 2'}); conflict_res undeclared; data_handling unknown
UC-08 Legal research,10,candidate,Suki AI,T1,— Healthcare AI memory,0.0,8.00,1.0,7.000,0.742,5.194,True,candidate,candidate-reasons: multi_tenancy undeclared; conflict_res undeclared; data_handling unknown | R-soft penalty: deployment lacks VPC/self-host
UC-09 Financial analyst,1,verified-pass,Zep — governance posture,T1,"Memory governance, privacy & safety",5.0,20.00,0.0,25.000,0.855,21.371,True,verified-pass,
UC-09 Financial analyst,2,verified-pass,Zep & Graphiti,T1,Dedicated memory layers,5.0,15.00,1.0,19.000,0.887,16.855,True,verified-pass,R-soft penalty: deployment lacks VPC/self-host
UC-09 Financial analyst,3,candidate,Galileo (galileo.ai),T1,Memory observability & monitoring,5.0,15.00,0.0,20.000,0.839,16.774,True,candidate,candidate-reasons: data_handling unknown
UC-09 Financial analyst,4,candidate,Langfuse,T1,Memory observability & monitoring,5.0,15.00,0.0,20.000,0.839,16.774,True,candidate,candidate-reasons: data_handling unknown
UC-09 Financial analyst,5,candidate,Graphiti MCP Server (Zep),T1,Claude Code memory mechanisms,0.0,20.00,0.0,20.000,0.806,16.129,True,candidate,candidate-reasons: compliance undeclared (need ⊇ {'SOC 2'}); encryption undeclared; sso_rbac undeclared; data_handling unknown
UC-09 Financial analyst,6,candidate,Mem0 (with AgentOps),T1,Memory observability & monitoring,5.0,10.00,0.0,15.000,0.839,12.581,True,candidate,candidate-reasons: versioning undeclared; data_handling unknown
UC-09 Financial analyst,7,candidate,Mem0 Security / OpenMemory,T1,"Memory governance, privacy & safety",5.0,10.00,0.0,15.000,0.839,12.581,True,candidate,candidate-reasons: versioning undeclared; data_handling unknown
UC-09 Financial analyst,8,candidate,LangSmith,T1,Memory observability & monitoring,5.0,10.00,1.0,14.000,0.823,11.516,True,candidate,candidate-reasons: data_handling unknown | R-soft penalty: deployment lacks VPC/self-host
UC-09 Financial analyst,9,candidate,AgentOps,T2,Memory observability & monitoring,5.0,10.00,1.0,14.000,0.806,11.290,True,candidate,candidate-reasons: compliance undeclared (need ⊇ {'SOC 2'}); data_handling unknown | R-soft penalty: deployment lacks VPC/self-host
UC-09 Financial analyst,10,candidate,Nabla + Navina,T1,— Healthcare AI memory,5.0,10.00,1.0,14.000,0.758,10.613,True,candidate,candidate-reasons: encryption undeclared; sso_rbac undeclared; data_handling unknown | R-soft penalty: deployment lacks VPC/self-host
UC-11 Multi-agent coordination,1,verified-pass,Langflow Memory,T1,Framework-embedded memory,5.0,16.00,1.0,20.000,0.903,18.065,True,verified-pass,R-soft penalty: a2a_support undeclared
UC-11 Multi-agent coordination,2,verified-pass,Letta / MemGPT,T1,Dedicated memory layers,5.0,16.00,1.0,20.000,0.871,17.419,True,verified-pass,R-soft penalty: a2a_support undeclared
UC-11 Multi-agent coordination,3,verified-pass,LangGraph Persistence,T2,Framework-embedded memory,5.0,13.00,0.0,18.000,0.887,15.968,True,verified-pass,
UC-11 Multi-agent coordination,4,verified-pass,Flowise Memory,T1,Framework-embedded memory,5.0,13.00,1.0,17.000,0.935,15.903,True,verified-pass,R-soft penalty: a2a_support undeclared
UC-11 Multi-agent coordination,5,verified-pass,smolagents Memory,T2,Framework-embedded memory,5.0,13.00,1.0,17.000,0.887,15.081,True,verified-pass,R-soft penalty: a2a_support undeclared
UC-11 Multi-agent coordination,6,verified-pass,Zep & Graphiti,T1,Dedicated memory layers,5.0,11.00,1.0,15.000,0.887,13.306,True,verified-pass,R-soft penalty: a2a_support undeclared
UC-11 Multi-agent coordination,7,verified-pass,LangMem (LangChain),T2,Framework-embedded memory,5.0,10.00,0.0,15.000,0.871,13.065,True,verified-pass,
UC-11 Multi-agent coordination,8,verified-pass,Mem0,T1,Dedicated memory layers,5.0,11.00,2.0,14.000,0.919,12.871,True,verified-pass,R-soft penalty: a2a_support undeclared | R-soft penalty: consistency=eventual without explicit reconciliation
UC-11 Multi-agent coordination,9,verified-pass,Zep / Graphiti,T1,Memory observability & monitoring,5.0,11.00,2.0,14.000,0.871,12.194,True,verified-pass,R-soft penalty: a2a_support undeclared | R-soft penalty: consistency=eventual without explicit reconciliation
UC-11 Multi-agent coordination,10,verified-pass,Cognee,T1,Dedicated memory layers,5.0,11.00,2.0,14.000,0.839,11.742,True,verified-pass,R-soft penalty: a2a_support undeclared | R-soft penalty: consistency=eventual without explicit reconciliation
