section,subgroup,tier,row_name,unresearched_columns
"Recent method papers — theorized, no distinct product",— Factual & long-term memory (token-level),row-t4,R³Mem,tax-governance|claims|mindshare
"Recent method papers — theorized, no distinct product",— Experiential & procedural memory (agent learning from experience),row-t3,SAGE,tax-governance|claims
"Recent method papers — theorized, no distinct product",— Factual & long-term memory (token-level),row-t4,SCM,tax-governance|claims|mindshare
"Recent method papers — theorized, no distinct product",— Working memory & context management,row-t4,Sculptor,tax-governance|claims|mindshare
"Recent method papers — theorized, no distinct product",— Parametric & latent memory (memory in weights / KV / hidden states),row-t4,SDM Activations,tax-governance|claims|mindshare
"Recent method papers — theorized, no distinct product",— Experiential & procedural memory (agent learning from experience),row-t4,SEAgent,tax-governance|claims|mindshare
"Recent method papers — theorized, no distinct product",— Factual & long-term memory (token-level),row-t3,SeCom,tax-governance|claims|mindshare
"Recent method papers — theorized, no distinct product",— Continual learning & catastrophic forgetting,row-t4,SERS,tax-governance|claims|mindshare
"Recent method papers — theorized, no distinct product",— Factual & long-term memory (token-level),row-t4,SGMem,tax-governance|claims|mindshare
"Recent method papers — theorized, no distinct product",— Experiential & procedural memory (agent learning from experience),row-t4,SkillWeaver,tax-governance|claims|mindshare
"Recent method papers — theorized, no distinct product",— Parametric & latent memory (memory in weights / KV / hidden states),row-t3,SnapKV,tax-governance|claims|mindshare
"Recent method papers — theorized, no distinct product",— Parametric & latent memory (memory in weights / KV / hidden states),row-t3,SoftCoT,tax-governance|claims|mindshare
"Recent method papers — theorized, no distinct product",— Cognitive-architecture-inspired memory,row-t4,SYNAPSE,tax-governance|mindshare
"Recent method papers — theorized, no distinct product",— Factual & long-term memory (token-level),row-t4,S³,tax-governance|claims|mindshare
"Recent method papers — theorized, no distinct product",— Factual & long-term memory (token-level),row-t4,TierMem,mindshare
"Recent method papers — theorized, no distinct product",— Experiential & procedural memory (agent learning from experience),row-t3,Toolformer,tax-governance
"Recent method papers — theorized, no distinct product",— Experiential & procedural memory (agent learning from experience),row-t4,ToolGen,tax-governance|claims|mindshare
"Recent method papers — theorized, no distinct product",— Experiential & procedural memory (agent learning from experience),row-t3,ToolLLM,tax-governance|claims|mindshare
"Recent method papers — theorized, no distinct product",— Experiential & procedural memory (agent learning from experience),row-t4,ToolMem,tax-governance|claims|mindshare
"Recent method papers — theorized, no distinct product",— Working memory & context management,row-t3,Transformer-XL,tax-governance|claims
"Recent method papers — theorized, no distinct product",— Working memory & context management,row-t4,TransformerFAM,tax-governance|mindshare
"Recent method papers — theorized, no distinct product",— Parametric & latent memory (memory in weights / KV / hidden states),row-t4,Transformer²,tax-governance|mindshare
"Recent method papers — theorized, no distinct product",— Experiential & procedural memory (agent learning from experience),row-t4,UFO2,tax-governance|claims|mindshare
"Recent method papers — theorized, no distinct product",— World-model & imagination memory,row-t4,V-JEPA (original),tax-governance|mindshare
"Recent method papers — theorized, no distinct product",— World-model & imagination memory,row-t4,V-JEPA 2,tax-governance|mindshare
"Recent method papers — theorized, no distinct product",— Factual & long-term memory (token-level),row-t4,WebWeaver,tax-governance|claims|mindshare
"Recent method papers — theorized, no distinct product",— Parametric & latent memory (memory in weights / KV / hidden states),row-t3,WISE,tax-governance|claims|mindshare
"Recent method papers — theorized, no distinct product",— Parametric & latent memory (memory in weights / KV / hidden states),row-t3,WorkMATe,tax-governance|claims|mindshare
