system_name,field_name,value,source_url
Supernotes AI,funding,"£150K pre-seed (Feb 2021; Flamefinch Partners); subscription-funded since","https://www.uktech.news/news/supernotes-london-startup-funding-20210223"
Supernotes AI,customers,no data — indie subscription product; no published customer count,https://supernotes.app/
Supernotes AI,pricing,"Starter free (100 cards); Unlimited $8.08/mo (annual) or $5.39/mo (4-year)","https://supernotes.app/pricing/"
Supernotes AI,compliance,no formal certifications; encrypted in transit (SSL) and at rest (AES-256); not E2EE,https://help.supernotes.app/en/collections/1791118-pricing-plans
Supernotes AI,data_handling,Never sells data or shows ads; notes belong to user; staff cannot access note content without permission,https://supernotes.app/faq/
Supernotes AI,deployment,Managed-only,https://supernotes.app/
Supernotes AI,hq,GB (London UK),https://www.uktech.news/news/supernotes-london-startup-funding-20210223
Supernotes AI,founders,"Tobias Whetton (CEO) and Connor Neblett (CTO)","https://nesslabs.com/supernotes-featured-tool"
Supernotes AI,mindshare,no data — below detection threshold,https://supernotes.app/
Saner.ai,created,2023,https://www.crunchbase.com/organization/saner-ai-ai-second-brain
Saner.ai,funding,"$120K pre-seed (Aug 2024; Techstars + Google Accelerator); $880K ARR July 2025","https://www.crunchbase.com/organization/saner-ai-ai-second-brain"
Saner.ai,customers,no data — no named customers; 8-person team; $880K ARR,https://getlatka.com/companies/saner.ai#team
Saner.ai,pricing,"Free (30 AI req/mo; 100 notes); Starter $8/mo; Standard $16/mo — from product claims row",https://www.saner.ai/
Saner.ai,compliance,no formal certifications found,https://hub.saner.ai/en/help/articles/9983529-security-and-privacy
Saner.ai,data_handling,Encrypted in transit and at rest; developer says app does not share user data with other companies,https://hub.saner.ai/en/help/articles/9983529-security-and-privacy
Saner.ai,deployment,Managed-only,https://www.saner.ai/
Saner.ai,hq,VN/US (founders Vietnam-based; US-incorporated),https://vn.linkedin.com/in/anh-ngo-austin
Saner.ai,founders,"Giap Galvin Vo (CEO), Anh Ngo (COO), Quang Tran (co-founder)","https://www.crunchbase.com/organization/saner-ai-ai-second-brain"
Saner.ai,mindshare,no data — below detection threshold,https://www.saner.ai/
Amplenote,created,2019,https://www.crunchbase.com/organization/amplenote
Amplenote,funding,Bootstrapped; Alloy.dev / founder-funded; no VC rounds found,https://www.crunchbase.com/organization/amplenote
Amplenote,customers,no data — no published customer count,https://www.amplenote.com/
Amplenote,pricing,"Free; Pro $7/mo; Unlimited $12/mo; Founder $20/mo (annual) — from product claims row",https://www.amplenote.com/
Amplenote,compliance,no formal certifications listed publicly,https://www.amplenote.com/privacy_policy
Amplenote,data_handling,no explicit data-training statement found; privacy policy standard; no data selling,https://www.amplenote.com/privacy_policy
Amplenote,deployment,Managed-only,https://www.amplenote.com/
Amplenote,hq,US,https://www.crunchbase.com/organization/amplenote
Amplenote,founders,"Jordan Phillips and Bill Harding (co-founders; bootstrapped via Alloy.dev)","https://www.amplenote.com/about_us"
Amplenote,mindshare,no data — below detection threshold,https://www.amplenote.com/
Scrintal,created,2020 (Stockholm Sweden),https://techcrunch.com/2023/01/18/scrintal-raises-1-million-for-its-visual-collaboration-tool/
Scrintal,funding,"$1.08M seed (Jan 2023; Spintop Ventures + Icebreaker)","https://tracxn.com/d/companies/scrintal/__5qk7WKe90qBBXU6capayshfFjETNYv7R_B_8EbFhtjo/funding-and-investors"
Scrintal,customers,no data — niche visual PKM; no published customer count,https://scrintal.com/
Scrintal,pricing,"Free; Pro $9/mo (annual) — from product claims row",https://scrintal.com/
Scrintal,compliance,no formal certifications found,https://scrintal.com/
Scrintal,data_handling,no explicit data handling statement found,https://scrintal.com/
Scrintal,deployment,Managed-only,https://scrintal.com/
Scrintal,hq,SE (Stockholm Sweden),https://techcrunch.com/2023/01/18/scrintal-raises-1-million-for-its-visual-collaboration-tool/
Scrintal,founders,"Ece Kural (CEO; ex-Stockholm University PhD) and Furkan Bayraktar (CTO)","https://careers.scrintal.com/people/909223-ece-kural"
Scrintal,mindshare,no data — below detection threshold,https://scrintal.com/
Apple Notes + Apple Intelligence,created,2007 (Notes app debuted with iOS 1.0; Apple Intelligence launched 2024),https://en.wikipedia.org/wiki/Notes_(Apple)
Apple Notes + Apple Intelligence,compliance,"ISO/IEC 27001 and ISO/IEC 27018 (covers iCloud services including Notes); not HIPAA-eligible for ePHI","https://support.apple.com/guide/certifications/apple-internet-services-security-apc34d2c0468b/web"
Apple Notes + Apple Intelligence,funding,not applicable — Apple Inc. is a $3T+ public company (AAPL),https://www.apple.com/
Apple Notes + Apple Intelligence,customers,not applicable — bundled with all Apple devices; 2B+ active Apple devices,https://www.apple.com/
Apple Notes + Apple Intelligence,founders,not applicable — Apple Inc. founded 1976 by Steve Jobs / Steve Wozniak / Ronald Wayne,https://www.apple.com/
Apple Notes + Apple Intelligence,mindshare,no data — below detection threshold (Apple Notes is built-in; no independent press signal),https://www.apple.com/apple-intelligence/
Heyday,pricing,$19/mo (monthly) or $179/yr (annual) — browser extension AI research assistant,https://aihungry.com/tools/heyday/pricing
Heyday,compliance,no formal certifications found; data encrypted,https://www.heyday.xyz/
Heyday,data_handling,User data encrypted; company states only user has access; no selling of data,https://www.heyday.xyz/
Heyday,deployment,Managed-only (browser extension + cloud),https://www.heyday.xyz/
Heyday,founders,"Samiur Rahman and Sam DeBrule (co-founders; launched 2021; Product Hunt #1 April 2022)","https://www.businesswire.com/news/home/20220628005293/en/Heyday-Raises-$6.5M-for-AI-Powered-Research-Assistant-that-Makes-Knowledge-Workers-Smarter"
Heyday,mindshare,no data — below detection threshold,https://www.heyday.xyz/
Mem.ai,created,2017 (first funding Apr 2021),https://www.crunchbase.com/organization/mem-labs
Mem.ai,data_handling,Never sells personal information; data hosted on Google Cloud; annual pen tests; no explicit training-opt-out statement found,https://get.mem.ai/pages/privacy
Mem.ai,founders,"Kevin Moody (CEO) and Dennis Xu (co-founder)","https://newsletter.mem.ai/p/why-we-started-mem"
Reflect,created,"2021 (earliest public activity; exact founding date unclear; profitable indie product)","https://reflect.app/blog/reflect-is-profitable"
Reflect,funding,"SAFE at $15M post-money cap (community/crowdfunded via Wefunder); bootstrapped growth","https://wefunder.com/reflect"
Reflect,customers,no data — $20K+ MRR indie product; no named enterprise customers,https://reflect.app/blog/reflect-is-profitable
Reflect,pricing,$10/mo or $120/yr (no free plan; 14-day trial),https://www.saasworthy.com/product/reflect-app/pricing
Reflect,compliance,no formal certifications; end-to-end encrypted (XChaCha20-Poly1305),https://reflect.academy/security-and-encryption
Reflect,data_handling,"End-to-end encrypted; password never leaves device; AI features send selected text to OpenAI/Anthropic/Google APIs only","https://reflect.academy/security-and-encryption"
Reflect,deployment,Managed-only,https://reflect.app/
Reflect,hq,US,https://www.crunchbase.com/organization/reflect-5e11
Reflect,founders,"Alex MacCaw (founder; ex-Clearbit CEO; ex-Stripe); co-built with Ocavue and Vojtech Rinik","https://indiebites.com/78"
Reflect,mindshare,no data — below detection threshold,https://reflect.app/
Microsoft Recall,created,2024 (announced May 2024; GA rollout April 2025),https://en.wikipedia.org/wiki/Windows_Recall
Microsoft Recall,compliance,Integrates with Microsoft Purview for enterprise compliance; on-device local storage; VBS Enclave + TPM encryption — no standalone Recall-specific certifications found,https://learn.microsoft.com/en-us/windows/client-management/manage-recall
Microsoft Recall,funding,not applicable — Microsoft Corporation ($3T+ public company),https://www.microsoft.com/
Microsoft Recall,customers,not applicable — bundled Windows 11 Copilot+ PC feature; no separate customer list,https://www.microsoft.com/
Microsoft Recall,founders,not applicable — Microsoft founded 1975 by Bill Gates and Paul Allen,https://www.microsoft.com/
Personal.ai,pricing,Premium $33.33/mo; no free plan; custom enterprise plans,https://www.personal.ai/pricing
Personal.ai,compliance,no formal certifications found,https://www.personal.ai/privacy
Personal.ai,data_handling,no explicit data-training statement found publicly,https://www.personal.ai/privacy
Personal.ai,deployment,Managed-only,https://www.personal.ai/
Personal.ai,founders,"Suman Kanuganti (CEO & Co-founder; ex-Qualcomm; co-founded since 2020)","https://www.linkedin.com/in/kanugantisuman"
Personal.ai,mindshare,no data — below detection threshold,https://www.personal.ai/
Limitless,created,2022 (as Rewind AI; rebranded Limitless April 2024; acquired by Meta December 2025),https://sacra.com/c/limitless/
Limitless,funding,"$34.3M total over 4 rounds (a16z, First Round Capital, NEA, Sam Altman)","https://techcrunch.com/2025/12/05/meta-acquires-ai-device-startup-limitless/"
Limitless,customers,no data — consumer wearable + app; no enterprise customer list; acquired by Meta Dec 2025,https://techcrunch.com/2025/12/05/meta-acquires-ai-device-startup-limitless/
Limitless,compliance,no data — searched not found; product wound down post-Meta acquisition,https://techcrunch.com/2025/12/05/meta-acquires-ai-device-startup-limitless/
Limitless,data_handling,no data — searched not found; product discontinued Dec 2025 post-acquisition,https://techcrunch.com/2025/12/05/meta-acquires-ai-device-startup-limitless/
Plaud NotePin,created,no data — company founded circa 2022; NotePin launched 2023,https://www.plaud.ai/pages/our-story
Plaud NotePin,data_handling,"By default audio stored locally on device; Private Sync Cloud (PSC) optional; AES-256 at rest; TLS 1.2 in transit; audio deleted after transcription","https://support.plaud.ai/hc/en-us/articles/10453707032719-Does-Plaud-save-my-transcription-data-How-is-my-personal-data-and-information-protected"
Omi,funding,"$2M seed (Jan 2025; Draper Associates, 468 Capital; prior $700K bootstrapped)","https://www.omi.me/blogs/news/omi-raises-2m-from-tim-draper"
Omi,compliance,"SOC 2 + HIPAA compliant (achieved 2025 via Delve); GDPR and ISO 27001 certifications upcoming","https://www.omi.me/blogs/news/omi-is-now-soc2-hipaa-compliant"
Omi,data_handling,"All data encrypted in transit and at rest; hybrid: cloud by default; full local/self-hosted MIT option available","https://www.omi.me/pages/privacy"
Bee,created,2024 (founded 2023; $7M raised Jul 2024; acquired by Amazon Jul 2025),https://techcrunch.com/2024/07/29/former-squad-and-twitter-execs-raise-7m-to-build-a-hardware-ai-assistant/
Bee,funding,"$7M (Exor, Greycroft, New Wave VC; Jul 2024); acquired by Amazon Jul 2025 for undisclosed sum","https://techcrunch.com/2024/07/29/former-squad-and-twitter-execs-raise-7m-to-build-a-hardware-ai-assistant/"
Bee,customers,no data — consumer wearable; no enterprise customers; acquired by Amazon,https://techcrunch.com/2025/07/22/amazon-acquires-bee-the-ai-wearable-that-records-everything-you-say/
Bee,compliance,no formal certifications found pre-acquisition; Amazon acquisition ongoing,https://techcrunch.com/2025/07/22/amazon-acquires-bee-the-ai-wearable-that-records-everything-you-say/
Bee,data_handling,"Never stores raw audio — only text transcripts processed in cloud; working on on-device AI processing; topic/location-based pauses","https://techcrunch.com/2024/07/29/former-squad-and-twitter-execs-raise-7m-to-build-a-hardware-ai-assistant/"
Friend,created,2024 (founded 2024; $2.5M seed Jul 2024; began shipping summer 2025),https://techcrunch.com/2024/07/30/friend-is-an-ai-companion-backed-by-founders-of-solana-perplexity-and-zfellows/
Friend,funding,"$10M total (self-raised $2.5M seed + additional $7.5M; backers: Caffeinated Capital, Z Fellows, Perplexity CEO Aravind Srinivas, Solana founders)","https://sacra.com/c/friend/"
Friend,customers,no data — consumer product; no enterprise customers,https://friend.com/
Friend,compliance,No formal certifications; no independent security audit published; data use terms include biometric consent and training clause,https://www.aicerts.ai/news/friend-pendant-sparks-ai-wearable-privacy-debate/
Friend,data_handling,"Audio stored locally in 32MB ring buffer (~3h); no cloud storage of conversations; terms permit data use for model training (biometric consent clause)","https://www.aicerts.ai/news/friend-pendant-sparks-ai-wearable-privacy-debate/"
Sandbar Stream,pricing,"Ring preorder $249 (silver) / $299 (gold); Pro subscription $10/mo (free 3mo for preorders)","https://techcrunch.com/2026/03/10/sandbar-secures-23m-series-a-for-its-ai-note-taking-ring/"
Sandbar Stream,compliance,no formal certifications found; encryption at rest and in transit; no data selling stated,https://www.sandbar.com/stream
Sandbar Stream,data_handling,"Encrypted at rest and in transit; no data selling; user can delete data at any time; supports export to Notion","https://www.techi.com/sandbar-stream-smart-ring-wearable-ai-privacy-creativity/"
Sandbar Stream,deployment,Managed-only (preorder; shipping summer 2026),https://www.sandbar.com/stream
Read.ai,created,2021,https://www.read.ai/post/read-ai-raises-21mm-unveils-connected-intelligence-for-meetings-email-and-messaging
Read.ai,funding,"$81M total (Madrona + Goodwater Capital; Series B $50M); valuation $450M","https://www.read.ai/post/read-ai-raises-21mm-unveils-connected-intelligence-for-meetings-email-and-messaging"
Read.ai,data_handling,"Never uses meeting content for training unless explicit opt-in; Customer Experience Program is opt-in only; does not sell user data","https://support.read.ai/hc/en-us/articles/25702259763091-Security-Privacy-Overview"
Era Computer,hq,US (San Francisco),https://techcrunch.com/2026/04/23/era-computer-raises-11m-to-build-a-software-platform-for-ai-gadgets/
Obsidian Smart Connections,funding,no data — bootstrapped OSS plugin; no external funding found,https://github.com/brianpetro/obsidian-smart-connections
RemNote AI,mindshare,no data — below detection threshold; no significant HN or press coverage found,https://www.remnote.com/
Craft AI,mindshare,no data — below detection threshold; no significant HN or press coverage found,https://www.craft.do/
Mem.ai,mindshare,no data — below detection threshold; no significant HN or press coverage found,https://mem.ai/
Plaud NotePin,mindshare,no data — below detection threshold; no significant HN or press coverage found,https://www.plaud.ai/
Sandbar Stream,mindshare,no data — below detection threshold; no significant HN or press coverage found,https://www.sandbar.com/
