row_name,column_class,new_value,citation_url,status
ARMT (Associative RMT),code-release,Code public + weights closed — https://github.com/RodkinIvan/associative-recurrent-memory-transformer · 64* / 12 forks · last commit 2026-03 · Apache-2.0,https://github.com/RodkinIvan/associative-recurrent-memory-transformer,deepened
ARMT (Associative RMT),mindshare,13 cites · 0.6/mo · 64* / 12 forks,https://api.semanticscholar.org/graph/v1/paper/arXiv:2407.04841,deepened
ATLAS,repro,Independently reproduced: engineerA314/atlas-pytorch (unofficial PyTorch port; no official Google repo found),https://github.com/engineerA314/atlas-pytorch,deepened
ATLAS,code-release,Code partial / pseudocode — no official repo found; unofficial port engineerA314/atlas-pytorch,https://github.com/engineerA314/atlas-pytorch,deepened
ATLAS,mindshare,42 cites · 3.7/mo,https://api.semanticscholar.org/graph/v1/paper/arXiv:2505.23735,deepened
BrowserAgent,repro,Original team only — 4 forks of https://github.com/TIGER-AI-Lab/BrowserAgent (largely fork-only); published 2025-10-12 (7 mo ago),https://github.com/TIGER-AI-Lab/BrowserAgent,deepened
BrowserAgent,code-release,Code public + weights closed — https://github.com/TIGER-AI-Lab/BrowserAgent · 32* / 4 forks · last commit 2026-01 · MIT,https://github.com/TIGER-AI-Lab/BrowserAgent,deepened
BrowserAgent,mindshare,5 cites · 0.7/mo · 32* / 4 forks,https://api.semanticscholar.org/graph/v1/paper/arXiv:2510.10666,deepened
Buffer of Thoughts,repro,Original team + downstream attention: 64 forks of https://github.com/YangLing0818/buffer-of-thought-llm; published 2024-06-06 (23 mo ago); no full re-implementations identified,https://github.com/YangLing0818/buffer-of-thought-llm,deepened
Buffer of Thoughts,code-release,Code public + weights closed — https://github.com/YangLing0818/buffer-of-thought-llm · 676* / 64 forks · last commit 2025-06 · MIT,https://github.com/YangLing0818/buffer-of-thought-llm,deepened
Buffer of Thoughts,mindshare,95 cites · 4.1/mo · 676* / 64 forks · ICLR 2024 review; large 11-51% gain claim · 9 influential SS cites,https://api.semanticscholar.org/graph/v1/paper/arXiv:2406.04271,deepened
CAM,repro,No reproductions found — published 2025-10-07 (7 mo ago); no public code,https://arxiv.org/abs/2510.05520,deepened
CAM,code-release,depth-floor-reached: arXiv 2510.05520 preprint; no official code repo discovered via WebSearch + arXiv abstract scan + GitHub API,https://arxiv.org/abs/2510.05520,depth-floor-reached
CAM,mindshare,14 cites · 2.0/mo,https://api.semanticscholar.org/graph/v1/paper/arXiv:2510.05520,deepened
CDMem,repro,depth-floor-reached: paper too recent and no SS publication date to compute age,,depth-floor-reached
CDMem,code-release,depth-floor-reached: no code repo found,,depth-floor-reached
CDMem,mindshare,depth-floor-reached: no Semantic Scholar entry found via batch API,https://api.semanticscholar.org/,depth-floor-reached
CL of LLMs Survey,repro,Original team only — 22 forks of https://github.com/Wang-ML-Lab/llm-continual-learning-survey (mostly fork-only; no public re-implementations identified via WebSearch),https://github.com/Wang-ML-Lab/llm-continual-learning-survey,deepened
CL of LLMs Survey,code-release,Code public + weights closed — https://github.com/Wang-ML-Lab/llm-continual-learning-survey · 542* / 22 forks · last commit 2025-12 · no license,https://github.com/Wang-ML-Lab/llm-continual-learning-survey,deepened
CL of LLMs Survey,mindshare,237 cites · 9.7/mo · 542* / 22 forks · 10 influential SS cites,https://api.semanticscholar.org/graph/v1/paper/arXiv:2404.16789,deepened
COLA,repro,Original team only — 0 forks of https://github.com/Alokia/COLA-demo (largely fork-only); published 2025-03-12 (14 mo ago),https://github.com/Alokia/COLA-demo,deepened
COLA,code-release,Code public + weights closed — https://github.com/Alokia/COLA-demo · 8* / 0 forks · last commit 2025-05 · no license,https://github.com/Alokia/COLA-demo,deepened
COLA,mindshare,3 cites · 0.2/mo · 8* / 0 forks,https://api.semanticscholar.org/graph/v1/paper/arXiv:2503.09263,deepened
ComoRAG,repro,Original team + downstream attention: 45 forks of https://github.com/EternityJune25/ComoRAG; published 2025-08-14 (9 mo ago); no full re-implementations identified,https://github.com/EternityJune25/ComoRAG,deepened
ComoRAG,code-release,Code public + weights closed — https://github.com/EternityJune25/ComoRAG · 335* / 45 forks · last commit 2025-08 · MIT,https://github.com/EternityJune25/ComoRAG,deepened
ComoRAG,mindshare,6 cites · 0.7/mo · 335* / 45 forks,https://api.semanticscholar.org/graph/v1/paper/arXiv:2508.10419,deepened
Compressive Transformer,repro,Independently reproduced: lucidrains/compressive-transformer-pytorch (community PyTorch port; original DeepMind code in deepmind/sonnet),https://github.com/lucidrains/compressive-transformer-pytorch,deepened
Compressive Transformer,code-release,Code public + weights closed — https://github.com/lucidrains/compressive-transformer-pytorch · stale (last commit 2021-10) · 165* / 22 forks · MIT,https://github.com/lucidrains/compressive-transformer-pytorch,deepened
Compressive Transformer,mindshare,832 cites · 10.7/mo · 165* / 22 forks · ICLR 2020; introduced PG-19 · 111 influential SS cites,https://api.semanticscholar.org/graph/v1/paper/arXiv:1911.05507,deepened
CREATOR,repro,Independently reproduced (light): 1 forks of https://github.com/qiancheng0/CREATOR; mostly fork-only activity,https://github.com/qiancheng0/CREATOR,deepened
CREATOR,code-release,Code public + weights closed — https://github.com/qiancheng0/CREATOR · stale (last commit 2023-10) · 30* / 1 forks · no license,https://github.com/qiancheng0/CREATOR,deepened
CREATOR,mindshare,70 cites · 2.0/mo · 30* / 1 forks · 8 influential SS cites,https://api.semanticscholar.org/graph/v1/paper/arXiv:2305.14318,deepened
D-SMART,repro,No reproductions found — published 2025-10-15 (7 mo ago); no public code,https://arxiv.org/abs/2510.13363,deepened
D-SMART,code-release,depth-floor-reached: arXiv 2510.13363 preprint; no official code repo discovered via WebSearch + arXiv abstract scan + GitHub API,https://arxiv.org/abs/2510.13363,depth-floor-reached
D-SMART,mindshare,1 cites · 0.1/mo,https://api.semanticscholar.org/graph/v1/paper/arXiv:2510.13363,deepened
Darwin Gödel Machine,repro,Original team + downstream attention: 409 forks of https://github.com/jennyzzt/dgm; published 2025-05-29 (11 mo ago); no full re-implementations identified,https://github.com/jennyzzt/dgm,deepened
Darwin Gödel Machine,code-release,Code public + weights closed — https://github.com/jennyzzt/dgm · 2016* / 409 forks · last commit 2025-08 · Apache-2.0,https://github.com/jennyzzt/dgm,deepened
Darwin Gödel Machine,mindshare,84 cites · 7.5/mo · 2016* / 409 forks · Sakana AI blog launch + the-decoder + StartupHub press 2025-05 · 7 influential SS cites,https://api.semanticscholar.org/graph/v1/paper/arXiv:2505.22954,deepened
DeepAgent,repro,Original team + downstream attention: 134 forks of https://github.com/RUC-NLPIR/DeepAgent; published 2025-10-24 (6 mo ago); no full re-implementations identified,https://github.com/RUC-NLPIR/DeepAgent,deepened
DeepAgent,code-release,Code public + weights closed — https://github.com/RUC-NLPIR/DeepAgent · 1077* / 134 forks · last commit 2026-04 · MIT,https://github.com/RUC-NLPIR/DeepAgent,deepened
DeepAgent,mindshare,38 cites · 6.0/mo · 1077* / 134 forks · RUC-NLPIR release Oct 2025,https://api.semanticscholar.org/graph/v1/paper/arXiv:2510.21618,deepened
DIAMOND,repro,Independently reproduced: official eloialonso/diamond (2k stars / 152 forks) + numerous downstream world-model papers cite results,https://github.com/eloialonso/diamond,deepened
DIAMOND,code-release,Code public + weights public — https://github.com/eloialonso/diamond · stale (last commit 2024-12) · 2033* / 152 forks · MIT,https://github.com/eloialonso/diamond,deepened
DIAMOND,mindshare,209 cites · 8.9/mo · 2033* / 152 forks · NeurIPS 2024 Spotlight · 25 influential SS cites,https://api.semanticscholar.org/graph/v1/paper/arXiv:2405.12399,deepened
Differentiable Search Index (DSI),repro,Independently reproduced: ArvinZhuang/DSI-transformers (HuggingFace community port; no official Google code) + ArvinZhuang/DSI-QG (extension paper),https://github.com/ArvinZhuang/DSI-transformers,deepened
Differentiable Search Index (DSI),code-release,depth-floor-reached: arXiv 2202.06991 preprint; no official code repo discovered via WebSearch + arXiv abstract scan + GitHub API,https://arxiv.org/abs/2202.06991,depth-floor-reached
Differentiable Search Index (DSI),mindshare,405 cites · 8.0/mo · 96 influential SS cites,https://api.semanticscholar.org/graph/v1/paper/arXiv:2202.06991,deepened
Dreamer 4,repro,No reproductions found — published 2025-09-29 (7 mo ago); no public code,https://arxiv.org/abs/2509.24527,deepened
Dreamer 4,code-release,depth-floor-reached: arXiv 2509.24527 preprint; no official code repo discovered via WebSearch + arXiv abstract scan + GitHub API,https://arxiv.org/abs/2509.24527,depth-floor-reached
Dreamer 4,mindshare,63 cites · 8.8/mo,https://api.semanticscholar.org/graph/v1/paper/arXiv:2509.24527,deepened
DreamerV3,repro,Independently reproduced: MuDreamer (arXiv:2405.15083) extends to Atari100k without reconstruction; many academic re-impls cite results,https://arxiv.org/abs/2405.15083,deepened
DreamerV3,code-release,Code public + weights public — https://github.com/danijar/dreamerv3 · 3191* / 531 forks · last commit 2025-09 · MIT,https://github.com/danijar/dreamerv3,deepened
DreamerV3,mindshare,1032 cites · 25.9/mo · 3191* / 531 forks · Nature 2025 (s41586-025-08744-2) · 155 influential SS cites,https://api.semanticscholar.org/graph/v1/paper/arXiv:2301.04104,deepened
Dual-Process Agent (DPA),repro,depth-floor-reached: paper too recent and no SS publication date to compute age,,depth-floor-reached
Dual-Process Agent (DPA),mindshare,depth-floor-reached: no Semantic Scholar entry found via batch API,https://api.semanticscholar.org/,depth-floor-reached
Dynamic Cheatsheet,repro,No reproductions found — published 2025-04-10 (13 mo ago); no public code,https://arxiv.org/abs/2504.07952,deepened
Dynamic Cheatsheet,code-release,depth-floor-reached: arXiv 2504.07952 preprint; no official code repo discovered via WebSearch + arXiv abstract scan + GitHub API,https://arxiv.org/abs/2504.07952,depth-floor-reached
Dynamic Cheatsheet,mindshare,57 cites · 4.4/mo · 8 influential SS cites,https://api.semanticscholar.org/graph/v1/paper/arXiv:2504.07952,deepened
ELDER,repro,Original team only — 0 forks of https://github.com/JiaangL/ELDER (largely fork-only); published 2024-08-19 (21 mo ago),https://github.com/JiaangL/ELDER,deepened
ELDER,code-release,Code public + weights closed — https://github.com/JiaangL/ELDER · stale (last commit 2024-12) · 9* / 0 forks · no license,https://github.com/JiaangL/ELDER,deepened
ELDER,mindshare,6 cites · 0.3/mo · 9* / 0 forks,https://api.semanticscholar.org/graph/v1/paper/arXiv:2408.11869,deepened
EM-LLM,repro,Original team only — 17 forks of https://github.com/em-llm/EM-LLM-model (mostly fork-only; no public re-implementations identified via WebSearch),https://github.com/em-llm/EM-LLM-model,deepened
EM-LLM,code-release,Code public + weights closed — https://github.com/em-llm/EM-LLM-model · stale (last commit 2025-03) · 272* / 17 forks · MIT,https://github.com/em-llm/EM-LLM-model,deepened
EM-LLM,mindshare,52 cites · 2.4/mo · 272* / 17 forks · 7 influential SS cites,https://api.semanticscholar.org/graph/v1/paper/arXiv:2407.09450,deepened
EMAT,repro,Original team only — 5 forks of https://github.com/uclnlp/EMAT (mostly fork-only; no public re-implementations identified via WebSearch),https://github.com/uclnlp/EMAT,deepened
EMAT,code-release,Code public + weights closed — https://github.com/uclnlp/EMAT · stale (last commit 2022-12) · 35* / 5 forks · no license,https://github.com/uclnlp/EMAT,deepened
EMAT,mindshare,58 cites · 1.4/mo · 35* / 5 forks · 6 influential SS cites,https://api.semanticscholar.org/graph/v1/paper/arXiv:2210.16773,deepened
EMU (Efficient Episodic Memory Utilization),repro,Original team only — 9 forks of https://github.com/HyunghoNa/EMU (mostly fork-only; no public re-implementations identified via WebSearch),https://github.com/HyunghoNa/EMU,deepened
EMU (Efficient Episodic Memory Utilization),code-release,Code public + weights closed — https://github.com/HyunghoNa/EMU · stale (last commit 2024-05) · 56* / 9 forks · Apache-2.0,https://github.com/HyunghoNa/EMU,deepened
EMU (Efficient Episodic Memory Utilization),mindshare,13 cites · 0.5/mo · 56* / 9 forks · ICLR 2024 Oral,https://api.semanticscholar.org/graph/v1/paper/arXiv:2403.01112,deepened
Episodic Memory Is the Missing Piece,repro,No reproductions found — published 2025-02-10 (15 mo ago); no public code,https://arxiv.org/abs/2502.06975,deepened
Episodic Memory Is the Missing Piece,code-release,depth-floor-reached: arXiv 2502.06975 preprint; no official code repo discovered via WebSearch + arXiv abstract scan + GitHub API,https://arxiv.org/abs/2502.06975,depth-floor-reached
Episodic Memory Is the Missing Piece,mindshare,35 cites · 2.4/mo,https://api.semanticscholar.org/graph/v1/paper/arXiv:2502.06975,deepened
EWC (Elastic Weight Consolidation),repro,"Independently reproduced: 5+ public PyTorch ports (moskomule/ewc.pytorch, Yuxing-Wang-THU/EWC, pettza/EWC, mabirck/CatastrophicForgetting-EWC, etc.); foundational catastrophic-forgetting work",https://github.com/moskomule/ewc.pytorch,deepened
EWC (Elastic Weight Consolidation),code-release,Code public + weights public — https://github.com/ariseff/overcoming-catastrophic · stale (last commit 2020-05) · 306* / 96 forks · no license,https://github.com/ariseff/overcoming-catastrophic,deepened
EWC (Elastic Weight Consolidation),mindshare,9657 cites · 85.4/mo · 306* / 96 forks · PNAS 2017; foundational continual learning · 1356 influential SS cites,https://api.semanticscholar.org/graph/v1/paper/arXiv:1612.00796,deepened
ExpeL,repro,Independently reproduced: official LeapLabTHU/ExpeL (213* / 25 forks); 481 cites with substantial downstream usage,https://github.com/LeapLabTHU/ExpeL,deepened
ExpeL,code-release,Code public + weights closed — https://github.com/LeapLabTHU/ExpeL · stale (last commit 2024-12) · 213* / 25 forks · Apache-2.0,https://github.com/LeapLabTHU/ExpeL,deepened
ExpeL,mindshare,481 cites · 14.8/mo · 213* / 25 forks · 57 influential SS cites,https://api.semanticscholar.org/graph/v1/paper/arXiv:2308.10144,deepened
Fincon,repro,Original team only — 4 forks of https://github.com/The-FinAI/FinCon (mostly fork-only; no public re-implementations identified via WebSearch),https://github.com/The-FinAI/FinCon,deepened
Fincon,code-release,Code public + weights closed — https://github.com/The-FinAI/FinCon · 63* / 4 forks · last commit 2026-02 · no license,https://github.com/The-FinAI/FinCon,deepened
Fincon,mindshare,124 cites · 5.7/mo · 63* / 4 forks · 5 influential SS cites,https://api.semanticscholar.org/graph/v1/paper/arXiv:2407.06567,deepened
FLEX,repro,Too recent — published 2025-11-09 (5.8 mo ago); no reproductions yet expected,https://arxiv.org/abs/2511.06449,deepened
FLEX,code-release,Code public + weights closed — https://github.com/GenSI-THUAIR/FLEX · 77* / 2 forks · last commit 2026-02 · MIT,https://github.com/GenSI-THUAIR/FLEX,deepened
FLEX,mindshare,28 cites · 4.8/mo · 77* / 2 forks,https://api.semanticscholar.org/graph/v1/paper/arXiv:2511.06449,deepened
FOREVER,repro,Too recent — published 2026-01-07 (3.9 mo ago); no reproductions yet expected,https://arxiv.org/abs/2601.03938,deepened
FOREVER,code-release,depth-floor-reached: arXiv 2601.03938 preprint; no official code repo discovered via WebSearch + arXiv abstract scan + GitHub API,https://arxiv.org/abs/2601.03938,depth-floor-reached
FOREVER,mindshare,2 cites · 0.5/mo,https://api.semanticscholar.org/graph/v1/paper/arXiv:2601.03938,deepened
G-Memory,repro,Original team + downstream attention: 31 forks of https://github.com/bingreeky/GMemory; published 2025-06-09 (11 mo ago); no full re-implementations identified,https://github.com/bingreeky/GMemory,deepened
G-Memory,code-release,Code public + weights closed — https://github.com/bingreeky/GMemory · 228* / 31 forks · last commit 2026-04 · no license,https://github.com/bingreeky/GMemory,deepened
G-Memory,mindshare,43 cites · 4.0/mo · 228* / 31 forks,https://api.semanticscholar.org/graph/v1/paper/arXiv:2506.07398,deepened
GAM (General Agentic Memory),repro,Too recent — published 2025-11-23 (5.4 mo ago); no reproductions yet expected,https://arxiv.org/abs/2511.18423,deepened
GAM (General Agentic Memory),code-release,Code public + weights closed — https://github.com/VectorSpaceLab/general-agentic-memory · 847* / 85 forks · last commit 2026-03 · no license,https://github.com/VectorSpaceLab/general-agentic-memory,deepened
GAM (General Agentic Memory),mindshare,20 cites · 3.7/mo · 847* / 85 forks,https://api.semanticscholar.org/graph/v1/paper/arXiv:2511.18423,deepened
Generative Agents,repro,"Independently reproduced: official repo + a16z-infra/ai-town + Project Sid (arXiv:2411.00114) + 2,990 forks + 100s of derivative works",https://github.com/joonspk-research/generative_agents,deepened
Generative Agents,code-release,"Code public, weights closed (uses GPT API; no model weights) — https://github.com/joonspk-research/generative_agents · stale (last commit 2024-08) · 21257* / 2990 forks · Apache-2.0",https://github.com/joonspk-research/generative_agents,deepened
Generative Agents,mindshare,3905 cites · 105.7/mo · 21257* / 2990 forks · HN front page #35517649 + #37073938; UIST'23 best paper · 256 influential SS cites,https://api.semanticscholar.org/graph/v1/paper/arXiv:2304.03442,deepened
Genie,repro,depth-floor-reached: no reproductions found via Semantic Scholar / WebSearch / arXiv abstract scan,https://www.semanticscholar.org/search?q=Genie+reproduction,depth-floor-reached
Genie,code-release,depth-floor-reached: arXiv 2402.15391 preprint; no official code repo discovered via WebSearch + arXiv abstract scan + GitHub API,https://arxiv.org/abs/2402.15391,depth-floor-reached
Genie,mindshare,513 cites · 19.4/mo · DeepMind blog; Genie 2/3 follow-ups · 45 influential SS cites,https://api.semanticscholar.org/graph/v1/paper/arXiv:2402.15391,deepened
H2O,repro,Independently reproduced: integrated into vLLM and HuggingFace transformers; widely cited as KV-cache eviction baseline,https://github.com/FMInference/H2O,deepened
H2O,code-release,Code public + weights closed — https://github.com/FMInference/H2O · stale (last commit 2024-08) · 516* / 80 forks · no license,https://github.com/FMInference/H2O,deepened
H2O,mindshare,654 cites · 19.0/mo · 516* / 80 forks · 92 influential SS cites,https://api.semanticscholar.org/graph/v1/paper/arXiv:2306.14048,deepened
HAMI,repro,depth-floor-reached: paper too recent and no SS publication date to compute age,https://arxiv.org/abs/https://api.semanticscholar.org/graph/v1/paper/arXiv:,depth-floor-reached
HAMI,code-release,depth-floor-reached: arXiv https://api.semanticscholar.org/graph/v1/paper/arXiv: preprint; no official code repo discovered via WebSearch + arXiv abstract scan + GitHub API,https://arxiv.org/abs/https://api.semanticscholar.org/graph/v1/paper/arXiv:,depth-floor-reached
HeLa-Mem,repro,Too recent — published 2026-04-18 (0.6 mo ago); no reproductions yet expected,https://arxiv.org/abs/2604.16839,deepened
HeLa-Mem,code-release,Code public + weights closed — https://github.com/ReinerBRO/HeLa-Mem · 4* / 0 forks · last commit 2026-05 · no license,https://github.com/ReinerBRO/HeLa-Mem,deepened
HeLa-Mem,mindshare,0 cites · ?/mo · 4* / 0 forks,https://api.semanticscholar.org/graph/v1/paper/arXiv:2604.16839,deepened
Human-Like Remembering and Forgetting,repro,depth-floor-reached: paper too recent and no SS publication date to compute age,https://arxiv.org/abs/https://api.semanticscholar.org/graph/v1/paper/arXiv:,depth-floor-reached
Human-Like Remembering and Forgetting,code-release,depth-floor-reached: arXiv https://api.semanticscholar.org/graph/v1/paper/arXiv: preprint; no official code repo discovered via WebSearch + arXiv abstract scan + GitHub API,https://arxiv.org/abs/https://api.semanticscholar.org/graph/v1/paper/arXiv:,depth-floor-reached
H²R,repro,No reproductions found — published 2025-09-16 (8 mo ago); no public code,https://arxiv.org/abs/2509.12810,deepened
H²R,code-release,depth-floor-reached: arXiv 2509.12810 preprint; no official code repo discovered via WebSearch + arXiv abstract scan + GitHub API,https://arxiv.org/abs/2509.12810,depth-floor-reached
H²R,mindshare,4 cites · 0.5/mo,https://api.semanticscholar.org/graph/v1/paper/arXiv:2509.12810,deepened
I-JEPA,repro,"Independently reproduced: Meta released official ijepa repo (3.3k* / 483 forks); many downstream variants (V-JEPA, MC-JEPA)",https://github.com/facebookresearch/ijepa,deepened
I-JEPA,code-release,Code public + weights public — https://github.com/facebookresearch/ijepa · archived · stale (last commit 2024-05) · 3361* / 483 forks · NOASSERTION,https://github.com/facebookresearch/ijepa,deepened
I-JEPA,mindshare,773 cites · 19.6/mo · 3361* / 483 forks · Meta AI blog 2023; Yann LeCun JEPA roadmap · 91 influential SS cites,https://api.semanticscholar.org/graph/v1/paper/arXiv:2301.08243,deepened
Inducing Programmatic Skills,repro,No reproductions found — published 2025-04-09 (13 mo ago); no public code,https://arxiv.org/abs/2504.06821,deepened
