source_system,target_system,relationship_type,evidence_quote
Amazon Neptune Analytics,Cognee,integration,"Cognee integration for agentic RAG"
Mem0 Security / OpenMemory,Qdrant,substrate,"OpenMemory is the local self-hosted variant (Docker + FastAPI + Postgres + Qdrant)"
Mem0 Security / OpenMemory,pgvector,substrate,"OpenMemory is the local self-hosted variant (Docker + FastAPI + Postgres + Qdrant)"
OpenMemory MCP,Mem0,built_on,"Local-first self-hosted Mem0 variant. Shared memory layer bridges Claude Desktop, Cursor, and Windsurf in one session."
OpenMemory MCP,Qdrant,substrate,"Local Postgres + Qdrant cross-tool memory"
Mem0 MCP (official),Mem0,mcp_wrapper,"Mem0's managed cloud API exposed as MCP tools."
Graphiti MCP Server (Zep),Zep & Graphiti,mcp_wrapper,"Graphiti is the open-source core; MCP exposure of Graphiti's bi-temporal KG"
Cognee MCP,Cognee,mcp_wrapper,"Cognee MCP — Bundled in Cognee v0.3.5+"
Hindsight MCP,Hindsight (Vectorize),mcp_wrapper,"MCP server for Hindsight memory layer; gives any MCP agent access to Vectorize-tuned retrieval."
Memobase MCP,Memobase,mcp_wrapper,"MCP server for Memobase; brings user-profile-centric memory to any MCP-compatible agent."
mcp-knowledge-graph (shaneholloman),Official MCP Memory server,fork_of,"KG-based local fork of @modelcontextprotocol/server-memory"
Agno (Phidata) Memory,LanceDB,integrates_with,"Single-line integrations with LanceDB, Pinecone, Weaviate, Qdrant."
Agno (Phidata) Memory,Pinecone,integrates_with,"Single-line integrations with LanceDB, Pinecone, Weaviate, Qdrant."
Agno (Phidata) Memory,Weaviate,integrates_with,"Single-line integrations with LanceDB, Pinecone, Weaviate, Qdrant."
Agno (Phidata) Memory,Qdrant,integrates_with,"Single-line integrations with LanceDB, Pinecone, Weaviate, Qdrant."
Agno (Phidata) Memory,pgvector,default_substrate,"Postgres + pgvector default — operational simplicity for shops that already run Postgres."
n8n AI Agent Memory,Qdrant,vector_store_option,"vector store nodes (Qdrant, Pinecone, MongoDB Atlas) for semantic recall"
n8n AI Agent Memory,Pinecone,vector_store_option,"vector store nodes (Qdrant, Pinecone, MongoDB Atlas) for semantic recall"
n8n AI Agent Memory,MongoDB Atlas Vector Search,vector_store_option,"vector store nodes (Qdrant, Pinecone, MongoDB Atlas) for semantic recall"
n8n AI Agent Memory,Redis,production_substrate,"Postgres/Redis for production"
OpenAI Agents SDK Memory,Pinecone,vector_backend,"Long-term tier typically backed by external vector DBs (Pinecone, etc.)."
Pydantic-AI + Hindsight,Hindsight (Vectorize),uses,"Long-term memory typically added via third-party integration (e.g. Hindsight)"
LangGraph Persistence,Redis,production_store,"Postgres / Mongo / Redis stores for production."
LangGraph Persistence,MongoDB Atlas Vector Search,production_store,"Postgres / Mongo / Redis stores for production."
Spring AI ChatMemory,Neo4j,pluggable_backend,"pluggable ChatMemoryRepository backends (in-memory, JDBC, Cassandra, Neo4j)"
LangMem (LangChain),LangGraph Persistence,same_ecosystem,"First-party LangChain integration so memory composes with retrievers, chains, and graphs without glue code."
mcp-memory-service (doobidoo),SQLite-Vec,default_substrate,"SQLite-Vec default, Cloudflare hybrid for production"
mcp-memory-service (doobidoo),LangGraph Persistence,agent_pipeline_focus,"Agent-pipeline focused (LangGraph, CrewAI, AutoGen)"
mcp-memory-service (doobidoo),CrewAI Memory,agent_pipeline_focus,"Agent-pipeline focused (LangGraph, CrewAI, AutoGen)"
mcp-memory-service (doobidoo),AutoGen Memory,agent_pipeline_focus,"Agent-pipeline focused (LangGraph, CrewAI, AutoGen)"
Mastra Memory,LibSQL,default_substrate,"TypeScript-first agent framework. Default memory: LibSQL store + on-device fastembed-js for semantic recall."
pgvector,LangChain,integration,"Used as agent conversation memory via LangChain + MCP."
MongoDB Atlas Vector Search,LangGraph Persistence,checkpointer,"LangGraph checkpointer for stateful agents."
Apache AGE,pgvector,pairs_with,"openCypher over Postgres. Pairs with pgvector for graph + vector hybrid retrieval."
Memgraph,LangChain,toolkit,"Memgraph 3.0 adds native vector search alongside graph traversal. LangChain toolkit."
ArangoDB,LangChain,integration,"ArangoGraphML for ML pipelines; LangChain integration."
Dgraph,LangChain,integration,"Google Gen AI Toolbox integration; LangChain agent orchestration."
MemPalace,Chroma,substrate,"Independent analysis suggests the score is driven by verbatim storage + ChromaDB defaults rather than the palace structure."
Superpowers episodic-memory plugin,Chroma,optional_backend,"SQLite + FTS5 with optional Chroma vector"
Continue.dev Memory MCP,Official MCP Memory server,uses,"Official Memory MCP (Mar 2025) backed by a knowledge graph. Memory is injected via MCP"
LangSmith,LangChain,native_integration,"Best integration with the LangChain / LangGraph stack — debug memory + chain + agent in one trace"
LangSmith,LangGraph Persistence,native_integration,"de-facto trace tool for that ecosystem"
OWASP Agent Memory Guard,MCP servers (general),targets,"Visibility/control over MCP servers and locally-installed AI tools"
claude-supermemory,Supermemory,uses,"Claude Code plugin packaging Supermemory for per-project memory."
Flowise Memory,LangChain,langchain_native,"LangChain-native memory nodes (Buffer, Buffer Window, Conversation Summary Buffer)"
DSPy History,Mem0,tutorial_integration,"Official Mem0+DSPy tutorial."
NVIDIA ReMEmbR,Milvus,substrate,"storing captions with timestamps + 3D position coordinates in MilvusDB"
Tencent ima.copilot,Hunyuan,powered_by,"Tencent's knowledge-management productivity AI, powered by Hunyuan."
Diffbot,Llama 3.3,powered_by,"GraphRAG-fine-tuned model based on open-source Llama 3.3."
R2I,DreamerV3,built_on,"Memory-enhanced model-based RL agent built on DreamerV3."
LazyGraphRAG,GraphRAG (Microsoft),variant_of,"Being integrated into the main GraphRAG library."
Roo Code .roorules,Cline .clinerules,fork_of,"VS Code extension (fork of Cline)."
