row_name,column_class,new_value,citation_url,status
HeLa-Mem,perf,"<span class=""no-data"" style=""font-style:italic;color:#555;"">not applicable — qualitative-only paper (abstract: ""superior performance across four question categories on LoCoMo with significantly fewer context tokens""; no headline metric)</span>",https://arxiv.org/abs/2604.16839,not-applicable
I-JEPA,perf,"<span class=""signal-num"">ViT-Huge/14</span> on ImageNet in <72 hours on 16 A100s<br><span class=""sub"">strong downstream perf across linear classification, object counting, depth prediction</span>",https://arxiv.org/abs/2301.08243,deepened
LLM-ACTR / Cognitive LLMs,perf,"<span class=""no-data"" style=""font-style:italic;color:#555;"">not applicable — qualitative-only paper (abstract: ""improved task performance and grounded decision-making compared to LLM-only chain-of-thought baselines"" on Design for Manufacturing; no headline metric)</span>",https://arxiv.org/abs/2408.09176,not-applicable
M+ (MemoryLLM),perf,"<span class=""signal-num"">>160k tokens</span> retention vs &lt;20k MemoryLLM<br><span class=""sub"">extends MemoryLLM-7B retention 8x at similar GPU memory</span>",https://arxiv.org/abs/2502.00592,deepened
MemBART,perf,"<span class=""no-data"" style=""font-style:italic;color:#555;"">not applicable — qualitative-only paper (abstract: ""superior efficiency and performance compared to other pre-trained Transformer baselines"" on 3 dialogue + 2 LM datasets; no headline metric)</span>",https://arxiv.org/abs/2209.07634,not-applicable
Memformers (gradient memory),perf,"<span class=""no-data"" style=""font-style:italic;color:#555;"">not applicable — qualitative-only paper (theory paper showing memory-augmented Transformers can implement entire class of linear first-order methods; empirical results competitive with CGD/Nesterov AGM/momentum but no headline metric)</span>",https://arxiv.org/abs/2410.07263,not-applicable
HAMI,perf,"<span class=""no-data"" style=""font-style:italic;color:#555;"">depth-floor reached — Nature Sci. Reports 303 redirect; abstract not retrievable; no headline metric extractable</span>",https://www.nature.com/articles/s41598-025-10586-x,not-applicable
Human-Like Remembering and Forgetting,perf,"<span class=""no-data"" style=""font-style:italic;color:#555;"">depth-floor reached — ACM paywalled (403); abstract not retrievable; no headline metric extractable</span>",https://dl.acm.org/doi/10.1145/3765766.3765803,not-applicable
Dual-Process Agent (DPA),perf,"<span class=""no-data"" style=""font-style:italic;color:#555;"">depth-floor reached — MDPI 303 redirect; abstract not retrievable; no headline metric extractable</span>",https://www.mdpi.com/2079-9292/15/6/1232,not-applicable
Episodic Memory Is the Missing Piece,tax-storage,"<span class=""no-data"" style=""font-style:italic;color:#555;"">not applicable — survey paper</span>",https://arxiv.org/abs/2502.06975,not-applicable
Episodic Memory Is the Missing Piece,tax-retrieval,"<span class=""no-data"" style=""font-style:italic;color:#555;"">not applicable — survey paper</span>",https://arxiv.org/abs/2502.06975,not-applicable
Episodic Memory Is the Missing Piece,tax-persistence,"<span class=""no-data"" style=""font-style:italic;color:#555;"">not applicable — survey paper</span>",https://arxiv.org/abs/2502.06975,not-applicable
Episodic Memory Is the Missing Piece,tax-update,"<span class=""no-data"" style=""font-style:italic;color:#555;"">not applicable — survey paper</span>",https://arxiv.org/abs/2502.06975,not-applicable
Episodic Memory Is the Missing Piece,tax-unit,"<span class=""no-data"" style=""font-style:italic;color:#555;"">not applicable — survey paper</span>",https://arxiv.org/abs/2502.06975,not-applicable
Episodic Memory Is the Missing Piece,tax-scope,"<span class=""no-data"" style=""font-style:italic;color:#555;"">not applicable — survey paper</span>",https://arxiv.org/abs/2502.06975,not-applicable
Episodic Memory Is the Missing Piece,tax-governance,"<span class=""no-data"" style=""font-style:italic;color:#555;"">not applicable — survey paper</span>",https://arxiv.org/abs/2502.06975,not-applicable
Episodic Memory Is the Missing Piece,tax-conflict,"<span class=""no-data"" style=""font-style:italic;color:#555;"">not applicable — survey paper</span>",https://arxiv.org/abs/2502.06975,not-applicable
CL of LLMs Survey,tax-storage,"<span class=""no-data"" style=""font-style:italic;color:#555;"">not applicable — survey paper</span>",https://dl.acm.org/doi/10.1145/3735633,not-applicable
CL of LLMs Survey,tax-retrieval,"<span class=""no-data"" style=""font-style:italic;color:#555;"">not applicable — survey paper</span>",https://dl.acm.org/doi/10.1145/3735633,not-applicable
CL of LLMs Survey,tax-persistence,"<span class=""no-data"" style=""font-style:italic;color:#555;"">not applicable — survey paper</span>",https://dl.acm.org/doi/10.1145/3735633,not-applicable
CL of LLMs Survey,tax-update,"<span class=""no-data"" style=""font-style:italic;color:#555;"">not applicable — survey paper</span>",https://dl.acm.org/doi/10.1145/3735633,not-applicable
CL of LLMs Survey,tax-unit,"<span class=""no-data"" style=""font-style:italic;color:#555;"">not applicable — survey paper</span>",https://dl.acm.org/doi/10.1145/3735633,not-applicable
CL of LLMs Survey,tax-scope,"<span class=""no-data"" style=""font-style:italic;color:#555;"">not applicable — survey paper</span>",https://dl.acm.org/doi/10.1145/3735633,not-applicable
CL of LLMs Survey,tax-governance,"<span class=""no-data"" style=""font-style:italic;color:#555;"">not applicable — survey paper</span>",https://dl.acm.org/doi/10.1145/3735633,not-applicable
CL of LLMs Survey,tax-conflict,"<span class=""no-data"" style=""font-style:italic;color:#555;"">not applicable — survey paper</span>",https://dl.acm.org/doi/10.1145/3735633,not-applicable
