system_name,pedigree,source_url
Memoria (MatrixOrigin),MatrixOrigin (Chinese HTAP database company); no named founders publicly identified,https://medium.com/@matrixorigin-database/benchmarking-memoria-on-longmemeval-strong-memory-retrieval-clear-reader-separation-ee6c89c75d76
OpenMemory,no data,https://github.com/CaviraOSS/OpenMemory
Memori,no data,https://github.com/MemoriLabs/Memori
MemMachine,no data,https://github.com/MemMachine/MemMachine
Memary,no data,https://github.com/kingjulio8238/Memary
Anda Hippocampus,no data,https://github.com/ldclabs/anda-hippocampus
O-Mem,OPPO PersonalAI Research (corporate lab); no individual founding researchers publicly identified,https://github.com/OPPO-PersonalAI/O-Mem
Jamba (AI21 Labs),Tel Aviv-based; co-founders Yoav Shoham (Stanford AI professor emeritus) and Amnon Shashua (Hebrew University professor; also founded Mobileye); Pitango / Google / Nvidia-backed,https://en.wikipedia.org/wiki/AI21_Labs
Aleph Alpha PhariaAI / PhariaCatch,German sovereign AI; founder Jonas Andrulis (ex-Apple AI research); Bosch / Schwarz Group strategic investors,https://medium.com/birds-view/biggest-ai-funding-in-europe-behind-the-scenes-of-aleph-alphas-500m-usd-series-b-d240dda878af
NAVER HyperCLOVA X THINK,NAVER Labs (Korean internet giant); corporate research lab; no individual founders,https://navercorp.com/en/tech/hyperclovax
M3-Agent (ByteDance),ByteDance Research (Seed team); corporate research; no individual founders,https://github.com/ByteDance-Seed/m3-agent
AutoGLM (Zhipu AI),Zhipu AI (Tsinghua University spin-off); founded by Tang Jie and Jie Tang (Tsinghua CS professors),https://xiao9905.github.io/AutoGLM/
LangMem (LangChain),LangChain; founder Harrison Chase (Harvard CS/statistics; ex-Robust Intelligence ML lead; ex-Kensho),https://blog.langchain.com/series-b/
CrewAI Memory,CrewAI; founder João Moura (NYU Stern MBA; ex-Clearbit; ~20 years software engineering; open source creator of Machinery),https://siliconangle.com/2024/10/22/agentic-ai-startup-crewai-closes-18m-funding-round/
LlamaIndex Memory,LlamaIndex; co-founder Jerry Liu (ex-Uber ML; Carnegie Mellon grad); YC-backed,https://www.llamaindex.ai/blog/files-are-all-you-need
AutoGen Memory,Microsoft Research; open-source multi-agent framework from Microsoft,https://microsoft.github.io/autogen/
Mastra Memory,no data,https://mastra.ai/docs/memory/overview
Semantic Kernel Memory,Microsoft; open-source SDK from Microsoft,https://learn.microsoft.com/en-us/semantic-kernel/frameworks/agent/agent-memory
Pydantic-AI + Hindsight,Pydantic; founded by Samuel Colvin (ex-Habito; Python OSS author); Vectorize partnership,https://hindsight.vectorize.io/blog/2026/03/09/pydantic-ai-persistent-memory
LangGraph Persistence,LangChain; Harrison Chase (Harvard CS; ex-Robust Intelligence),https://blog.langchain.com/series-b/
smolagents Memory,Hugging Face; Hugging Face open-source AI team (Clement Delangue CEO; Thomas Wolf CSO),https://huggingface.co/docs/smolagents/tutorials/memory
Agno (Phidata) Memory,no data,https://docs.phidata.com/agents/memory
Strands Agents Memory (AWS),Amazon Web Services; corporate product,https://docs.aws.amazon.com/bedrock-agentcore/latest/devguide/strands-sdk-memory.html
OpenAI Agents SDK Memory,OpenAI; corporate product (Sam Altman CEO; Greg Brockman; ex-OpenAI researchers),https://openai.github.io/openai-agents-python/ref/memory/
Google ADK Memory,Google DeepMind; corporate product,https://google.github.io/adk-docs/sessions/memory/
n8n AI Agent Memory,n8n (Berlin-based workflow automation); founder Jan Oberhauser,https://docs.n8n.io/advanced-ai/examples/understand-memory/
Voiceflow Memory,Voiceflow; co-founders Braden Ream and Michael Hood (ex-Shopify); a16z-backed,https://docs.voiceflow.com/docs/memory
Flowise Memory,FlowiseAI; YC S23; founders Hen Yen (ex-ExxonMobil data scientist) and Henry Heng,https://www.ycombinator.com/companies/flowiseai
Langflow Memory,Langflow (acquired by DataStax); no individual founders publicly prominent,https://docs.langflow.org/memory
Anthropic Claude Memory,Anthropic; founded by Dario Amodei (ex-OpenAI VP Research) and Daniela Amodei (ex-OpenAI VP Operations); multiple ex-OpenAI co-founders,https://platform.claude.com/docs/en/agents-and-tools/tool-use/memory-tool
OpenAI ChatGPT Memory,OpenAI; founded by Sam Altman Greg Brockman Ilya Sutskever Wojciech Zaremba and John Schulman,https://openai.com/index/memory-and-new-controls-for-chatgpt/
Google Gemini Memory,Google DeepMind; corporate product led by Demis Hassabis (CEO Google DeepMind),https://blog.google/products/gemini/temporary-chats-privacy-controls/
Microsoft Copilot Memory,Microsoft; corporate product (Satya Nadella CEO),https://learn.microsoft.com/en-us/copilot/microsoft-365/copilot-personalization-memory
Perplexity Memory,Perplexity AI; founders Aravind Srinivas (IIT Madras + UC Berkeley PhD; ex-OpenAI/Google DeepMind) Denis Yarats (NYU PhD; ex-Meta FAIR) Johnny Ho (ex-Quora; ex-Tower Research) and Andy Konwinski (Databricks co-founder),https://www.perplexity.ai/hub/blog/perplexity-raises-series-b-funding-round
Grok Memory (xAI),xAI; founded by Elon Musk with ex-DeepMind and ex-OpenAI researchers including Igor Babuschkin (ex-DeepMind) and Yuhuai Wu (ex-Google Brain),https://www.maginative.com/article/xai-upgrades-grok-with-personalized-memory-and-custom-workspaces/
Meta AI Memory,Meta; corporate product led by Yann LeCun (Chief AI Scientist),https://www.meta.com/help/artificial-intelligence/948583263661526/
Mistral Le Chat — Memories,Mistral AI (Paris); co-founders Arthur Mensch (ex-Google DeepMind) Guillaume Lample and Timothée Lacroix (both ex-Meta FAIR),https://help.mistral.ai/en/articles/396497-how-do-you-handle-my-data-when-using-the-memories-feature
Mistral Agents API,Mistral AI; co-founders Arthur Mensch (ex-Google DeepMind) Guillaume Lample and Timothée Lacroix (both ex-Meta FAIR),https://docs.mistral.ai/studio-api/agents/introduction
Devin (Cognition),Founders Fund-backed; co-founders Scott Wu (Harvard CS; 3× IOI gold medalist) Steven Hao and Walden Yan (all competitive programming gold medalists); $400M+ raised,https://techcrunch.com/2025/09/08/cognition-ai-defies-turbulence-with-a-400m-raise-at-10-2b-valuation/
Augment Code,Sutter Hill Ventures; CEO Scott Dietzen (ex-Zuora CEO) Igor Ostrovsky and Guy Gur-Ari; backed by Eric Schmidt's Innovation Endeavors; $252M raised,https://techcrunch.com/2024/04/24/eric-schmidt-backed-augment-a-github-copilot-rival-launches-out-of-stealth-with-252m/
Replit Agent,a16z / Coatue-backed; founders Amjad Masad (ex-Facebook) and Haya Odeh; $400M raised at $9B valuation,https://replit.com/news/funding-announcement
Lovable,Accel / CapitalG; Swedish AI coding startup; founder Anton Osika (Swedish engineer); $330M raised at $6.6B,https://techcrunch.com/2025/12/18/vibe-coding-startup-lovable-raises-330m-at-a-6-6b-valuation/
Perplexity Comet,Perplexity AI; founders Aravind Srinivas (IIT Madras + UC Berkeley PhD; ex-OpenAI/Google DeepMind) and Denis Yarats (NYU PhD; ex-Meta FAIR),https://www.perplexity.ai/comet
Dia (Atlassian),The Browser Company (founded Josh Miller ex-Union Square Ventures; and Hursh Agrawal); acquired by Atlassian for $610M Sep 2025,https://www.diabrowser.com
Fellou,LongRiver Investments; no founders publicly identified; $40M seed,https://fellou.ai/
Browserbase,Kleiner Perkins / Notable Capital; founders Paul Klein IV (ex-Scale AI) and Cason Fields; $40M Series B,https://www.browserbase.com/blog/series-b-and-beyond
Granola,Spark Capital / Index Ventures; co-founders Chris Pedregal (built Socratic acquired by Google) and Sam Stephenson (designer; ex-Carv); $125M at $1.5B,https://techcrunch.com/2026/03/25/granola-raises-125m-hits-1-5b-valuation-as-it-expands-from-meeting-notetaker-to-enterprise-ai-app/
Otter.ai,Draper / Spectrum Equity; founder Sam Liang (Stanford PhD in distributed systems; ex-Google location services; serial entrepreneur; founded Alohar Mobile acquired by Alibaba 2013) and Yun Fu,https://otter.ai/blog/otter-raises-50-million
Read.ai,Goodwater / Madrona; co-founders David Shim (ex-CEO Foursquare; founded Placed acquired by Snapchat 2017) Robert Williams and Elliott Waldron (both ex-Foursquare/Placed),https://www.read.ai/post/read-ai-raises-21mm-unveils-connected-intelligence-for-meetings-email-and-messaging
Limitless,a16z / Sam Altman-backed; founder Dan Siroker (Stanford CS; ex-Obama campaign Analytics Director; ex-Google PM; founded Optimizely to $120M ARR); pivoted from Rewind AI 2024,https://techcrunch.com/2024/04/17/a16z-backed-rewind-pivots-to-build-ai-powered-pendant-to-record-your-conversations/
Plaud NotePin,self-funded; founders Nathan Xu (Wuhan University grad; banking/VC background; serial entrepreneur) and Charles Liu (Shenzhen factory owner); bootstrapped to $180M ARR,https://www.plaud.ai/pages/our-story
Omi,Thiel Fellow founder Nik Shevchenko; co-founder Joan Cabezas (founded TripPlanner.ai to 3M+ users; acquired by Layla.ai 2024); BasedHardware; Kickstarter origin,https://techcrunch.com/2025/01/08/omi-a-competitor-to-friend-wants-to-boost-your-productivity-using-ai-and-a-brain-interface/
Bee,Amazon acquired 2025; co-founders Maria de Lourdes Zollo (ex-Twitter Spaces; ex-Snap) and Ethan Sutin (founded Squad; ex-Twitter engineering lead); Greycroft / Exor-backed,https://techcrunch.com/2024/07/29/former-squad-and-twitter-execs-raise-7m-to-build-a-hardware-ai-assistant/
Friend,2.5M self-raised; solo founder Avi Schiffmann (teenage COVID tracker website to tens of millions of users; Harvard dropout; Ukraine refugee housing; Solana/Perplexity angels; bought friend.com domain for $1.8M),https://techcrunch.com/2024/07/30/friend-is-an-ai-companion-backed-by-founders-of-solana-perplexity-and-zfellows/
Sandbar Stream,ex-CTRL-Labs (Meta-acquired) co-founders Mina Fahmi (ex-Kernel; ex-Magic Leap) and Kirak Hong (ex-Google; CTRL-Labs neural interface work); True Ventures pre-seed,https://techcrunch.com/2025/11/05/former-meta-employees-launch-stream-a-smart-ring-that-takes-voice-notes-and-controls-music/
Era Computer,ex-Humane team; CEO Liz Dorman (ex-Humane AI orchestration; ex-HP) CTO Alex Ollman (ex-HP agentic frameworks) CPO Megan Gole (ex-Sutter Hill / io project); Betaworks pre-seed,https://techcrunch.com/2026/04/23/era-computer-raises-11m-to-build-a-software-platform-for-ai-gadgets/
Sierra,Benchmark / Sequoia-backed; co-founders Bret Taylor (ex-Facebook CTO; Salesforce co-CEO; OpenAI board chair; co-created Google Maps; founded Quip acquired by Salesforce for $750M) and Clay Bavor (ex-Google 18 years; led Gmail/Drive/VR),https://fortune.com/2024/02/13/bret-taylor-clay-bavor-ai-startup-sierra-110-million-funding-sequoia-benchmark/
Decagon,Accel / a16z-backed; co-founders Jesse Zhang (Harvard CS; ex-CEO Lowkey acquired by Niantic; ex-Citadel/Google) and Ashwin Sreenivas (Stanford; ex-Palantir; co-founded Helia); $650M valuation,https://decagon.ai/blog/series-a
Harvey AI,OpenAI / GV / Sequoia; co-founders Winston Weinberg (USC Law JD; ex-O'Melveny & Myers litigator) and Gabriel Pereyra (ex-Google Brain; ex-Meta AI research scientist); $11B valuation,https://www.harvey.ai/company
Pinecone,AWS / True Ventures-backed; founder Edo Liberty (Yale CS PhD; ex-Yahoo Research Director; ex-AWS Head of Amazon AI Labs; former head of SageMaker algorithms),https://www.pinecone.io/company/
Weaviate,SemVentures / Index Ventures; co-founders Bob van Luijt (ArtEZ music degree; Berklee; started software company at 15; built Weaviate from his consultancy Kubrickology) and Etienne Dilocker; Dutch origin,https://weaviate.io/blog/history-of-weaviate
Qdrant,Benchmark / Unusual Ventures; founder Andrey Vasnetsov (Bauman Moscow State Technical University BS/MS; ex-Mail.Ru Group; ex-Tinkoff Bank ML lead; founded Qdrant 2021 from personal vector search project),https://qdrant.tech/about-us/
Chroma,Bloomberg Beta / AI Grant / Madrona; co-founders Jeff Huber (ML background; co-founded with Anton Troynikov; focused on ML-to-production problem),https://www.madrona.com/chromas-jeff-huber-on-vector-databases-and-getting-ai-into-production/
Milvus,Zilliz (Alibaba veterans); founded by Charles Xie (ex-Alibaba cloud) and Xiaofan Luan; Apache/LF AI project,https://milvus.io/
LanceDB,no data,https://lancedb.com/
Turbopuffer,no data,https://turbopuffer.com/
Galileo (galileo.ai),ex-Google AI founders; Vikram Chatterji (Carnegie Mellon; ex-Google AI PM 2018-2021) Atindriyo Sanyal (ex-Apple Siri; ex-Uber AI) and Yash Sheth (ex-Google staff engineer); Walden Catalyst-backed,https://galileo.ai/about
Langfuse,no data,https://langfuse.com/
Inworld AI,Lightspeed / Kleiner Perkins / Disney Accelerator; co-founders Ilya Gelfenbeyn and Michael Ermolenko (ex-API.AI founders; API.AI acquired by Google 2016) and Kylan Gibbs (ex-Google DeepMind; Bain & Company),https://research.contrary.com/company/inworld-ai
Character.ai,a16z / Google; co-founders Noam Shazeer (ex-Google Brain; co-inventor of Transformer) and Daniel De Freitas (ex-Google); valued at $5B+,https://character.ai
FutureHouse,Eric Schmidt-backed; founder Sam Rodriques (MIT Physics PhD; ex-Francis Crick Institute; neurotechnology researcher; TIME100 AI 2025),https://www.futurehouse.org/team/sam-rodriques
Hippocratic AI Polaris,Stanford / Johns Hopkins / Google advisors; founder Munjal Shah (UCSD CS BS; Stanford CS MS; serial healthcare AI entrepreneur; ex-CEO Health IQ; 42+ startup investments),https://hippocraticai.com/team/
Abridge,UPMC / CMU-backed; founder Shiv Rao (UPMC practicing cardiologist; ex-UPMC corporate VC; helped fund CMU ML in Health; TIME100 AI 2024); CMU-trained team,https://fortune.com/2025/02/17/abridge-ai-founder-ceo-shiv-rao-practicing-doctor-profile-250-million-funding/
Harvey AI (legal memory),OpenAI / GV / Sequoia; co-founders Winston Weinberg (ex-O'Melveny litigator) and Gabriel Pereyra (ex-Google Brain; ex-Meta AI); $11B valuation,https://www.harvey.ai/blog/memory-in-harvey
Lakera Guard,no data,https://www.lakera.ai/lakera-guard
GraphRAG (Microsoft),Microsoft Research; lead authors Darren Edge (Sr Director) Ha Trinh (Sr Data Scientist) Jonathan Larson (Partner Data Architect) and team — all Microsoft Research,https://www.microsoft.com/en-us/research/project/graphrag/
EWC (Elastic Weight Consolidation),Google DeepMind; lead author James Kirkpatrick with Razvan Pascanu Neil Rabinowitz Demis Hassabis Raia Hadsell and 10 co-authors — all DeepMind,https://arxiv.org/abs/1612.00796
Transformer-XL,CMU + Google Brain; Zihang Dai Yiming Yang Jaime Carbonell Ruslan Salakhutdinov (all CMU) and Zhilin Yang Quoc V. Le (Google),https://arxiv.org/abs/1901.02860
Generative Agents,Stanford HCI + Stanford NLP; Joon Sung Park Joseph C. O'Brien Carrie J. Cai Meredith Ringel Morris Percy Liang and Michael S. Bernstein — UIST 2023 Best Paper,https://arxiv.org/abs/2304.03442
Toolformer,Meta AI Research (FAIR) + Universitat Pompeu Fabra; Timo Schick Jane Dwivedi-Yu Roberto Dessì Roberta Raileanu Luke Zettlemoyer Nicola Cancedda Thomas Scialom,https://arxiv.org/abs/2302.04761
Reflexion,Northeastern + MIT + Princeton; Noah Shinn Federico Cassano Edward Berman (Northeastern) Ashwin Gopinath (MIT) Karthik Narasimhan and Shunyu Yao (Princeton); NeurIPS 2023,https://arxiv.org/abs/2303.11366
REALM,Google Research; Kelvin Guu Kenton Lee Zora Tung Panupong Pasupat and Ming-Wei Chang — all Google AI Language,https://arxiv.org/abs/2002.08909
RETRO,DeepMind (London); 28 authors including Sebastian Borgeaud Arthur Mensch Jordan Hoffmann Laurent Sifre Oriol Vinyals — all DeepMind,https://arxiv.org/abs/2112.04426
Compressive Transformer,Google DeepMind; Jack W. Rae Anna Potapenko Siddhant M. Jayakumar Timothy P. Lillicrap — all DeepMind,https://arxiv.org/abs/1911.05507
DreamerV3,Google DeepMind; Danijar Hafner Jurgis Pasukonis Jimmy Ba Timothy Lillicrap,https://arxiv.org/abs/2301.04104
I-JEPA,Meta FAIR; Mahmoud Assran Quentin Duval Ishan Misra Piotr Bojanowski Pascal Vincent Michael Rabbat Yann LeCun Nicolas Ballas — CVPR 2023,https://arxiv.org/abs/2301.08243
Genie,Google DeepMind + University of British Columbia; 25 authors including Jake Bruce Michael Dennis Ashley Edwards Jack Parker-Holder — DeepMind,https://arxiv.org/abs/2402.15391
Neural Episodic Control,Google DeepMind; Alexander Pritzel Benigno Uria Oriol Vinyals Demis Hassabis Daan Wierstra Charles Blundell — all DeepMind,https://arxiv.org/abs/1703.01988
Titans (Google),Google Research; Ali Behrouz (Cornell + Google) Peilin Zhong and Vahab Mirrokni,https://arxiv.org/abs/2501.00663
MemoryBank,Microsoft Research + Sun Yat-sen University; Wanjun Zhong Lianghong Guo Qiqi Gao He Ye Yanlin Wang (corresponding; Microsoft); AAAI 2024,https://arxiv.org/abs/2305.10250
LoCoMo,University of North Carolina Chapel Hill + USC + Snap Inc.; Adyasha Maharana Dong-Ho Lee Sergey Tulyakov Mohit Bansal Francesco Barbieri Yuwei Fang,https://arxiv.org/abs/2402.17753
LongMemEval,UCLA + Microsoft + Tencent; Di Wu (UCLA) Hongwei Wang Wenhao Yu Yuwei Zhang Kai-Wei Chang Dong Yu; ICLR 2025,https://arxiv.org/abs/2410.10813
Recurrent Memory Transformer (RMT),Moscow Institute of Physics and Technology + AIRI + DeepPavlov.ai; Aydar Bulatov Yuri Kuratov Mikhail S. Burtsev; NeurIPS 2022,https://arxiv.org/abs/2207.06881
HippoRAG / HippoRAG2,Ohio State University NLP Group (OSU-NLP); Bernal Jiménez Gutiérrez Yiheng Shu Yu Gu Michihiro Yasunaga and Yu Su; NeurIPS 2024,https://github.com/OSU-NLP-Group/HippoRAG
LightRAG,HKUDS (University of Hong Kong Data Intelligence Lab) + Beijing University of Posts and Telecommunications; Zirui Guo Lianghao Xia Yanhua Yu Tu Ao and Chao Huang,https://github.com/HKUDS/LightRAG
RAPTOR,Stanford NLP; Parth Sarthi Salman Abdullah Aditi Tuli Shubh Khanna Anna Goldie and Christopher D. Manning; ICLR 2024,https://arxiv.org/abs/2401.18059
MemOS (MemTensor),MemTensor (Shanghai) Technology Co. + Shanghai Jiao Tong University + Renmin University + Zhejiang University + Tsinghua + Peking University consortium,https://arxiv.org/abs/2507.03724
A-MEM,no data — arxiv preprint only,https://arxiv.org/abs/2502.12110
BAI-LAB MemoryOS,BAI Lab (Beijing Academy of AI affiliated); no individual authors confirmed,https://github.com/BAI-LAB/MemoryOS
RULER,NVIDIA Research; no lead author confirmed from search,https://arxiv.org/abs/2404.06654
NVIDIA ReMEmbR,NVIDIA Research; no individual authors confirmed,https://arxiv.org/abs/2409.13682
NVIDIA Isaac GR00T N1.7,NVIDIA Research; corporate robotics foundation model team,https://arxiv.org/abs/2503.14734
DIAMOND,Ecole Polytechnique Fédérale de Lausanne (EPFL); no lead author confirmed from search,https://arxiv.org/abs/2405.12399
InfiniteBench (∞Bench),Tsinghua University + ByteDance; no individual authors confirmed,https://arxiv.org/abs/2402.13718
LongBench,Tsinghua KEG Lab; Yushi Bai Xin Lv Jiajie Zhang et al.; AAAI 2024,https://arxiv.org/abs/2308.14508
BABILong,Sber AI + St. Petersburg HSE; no individual authors confirmed,https://arxiv.org/abs/2406.10149
HELMET,Princeton NLP + AI2; Howard Yen Tianyu Gao Minmin Chen et al.; no lead confirmed,https://arxiv.org/abs/2410.02694
CRAG,Meta AI Research; Xiao Yang et al.; competitive RAG benchmark,https://arxiv.org/abs/2401.15884
Self-RAG,University of Washington + Allen AI; Akari Asai Zeqiu Wu Yizhong Wang Avirup Sil and Hannaneh Hajishirzi; ICLR 2024,https://arxiv.org/abs/2310.11511
FLARE,Carnegie Mellon University; Zhengbao Jiang Sean Welleck Josifina Arteaga Frank F. Xu Graham Neubig; EMNLP 2023,https://arxiv.org/abs/2305.06983
ITER-RETGEN,National University of Singapore; no individual authors confirmed,https://arxiv.org/abs/2305.15294
KAG,Ant Group / Alibaba; no individual authors confirmed,https://arxiv.org/abs/2409.13731
HyDE,Carnegie Mellon University; Luyu Gao Xueguang Ma Jimmy Lin Jamie Callan; SIGIR 2023,https://arxiv.org/abs/2212.10496
Adaptive-RAG,Seoul National University; Soyeong Jeong Jinheon Baek Sukmin Cho Sung Ju Hwang Jaewoo Kang; NAACL 2024,https://arxiv.org/abs/2403.14403
RAFT,UC Berkeley; Tianhao Zhang and team; no lead confirmed,https://arxiv.org/abs/2403.10131
CAG (Cache-Augmented Generation),National Taiwan University; no individual authors confirmed,https://arxiv.org/abs/2412.15605
BGE-M3,Beijing Academy of AI (BAAI); Jianlv Chen et al.; dense/sparse/multi-vector retrieval,https://arxiv.org/abs/2402.03216
Differentiable Search Index (DSI),Google Research; Yi Tay Vinh Q. Tran Xavier Garcia Jinfeng Rao and team — all Google,https://arxiv.org/abs/2202.06991
Memorizing Transformers,Google Brain; Yuhuai Wu Markus Norman Rabe DeLesley Hutchins and Caiming Xiong; ICLR 2022,https://openreview.net/forum?id=TrjbxzRcnf-
EMAT,Facebook AI Research (FAIR); Patrick S. H. Lewis Ethan Perez et al.,https://arxiv.org/abs/2210.16773
AlphaEdit,no data — arxiv preprint; parametric editing,https://arxiv.org/abs/2410.02355
LM2,no data — arxiv preprint,https://arxiv.org/abs/2502.06049
ToolLLM,Tsinghua KEG Lab + ModelBest Inc.; Yujia Qin Shengding Hu Yankai Lin Weize Chen Zhen Zhang et al.; ICLR 2024,https://arxiv.org/abs/2307.16789
MoT (Memory-of-Thought),Peking University; Xiaonan Li and Xipeng Qiu; EMNLP 2023,https://arxiv.org/abs/2305.05181
Agent Workflow Memory,Georgia Tech + CMU; Zora Zheng et al.; no lead confirmed,https://openreview.net/forum?id=NTAhi2JEEE
RMM (Reflective Memory Management),ACL 2025; no lead author / affiliation confirmed,https://arxiv.org/abs/2503.08026
Agentic Memory (2601.01885),no data — 2026 arxiv preprint,https://arxiv.org/abs/2601.01885
Wayve GAIA-2 / GAIA-3,Wayve (London autonomous driving); founder Alex Kendall (Cambridge robotics PhD; ex-Cambridge Ingenia Prize); Softbank / Microsoft-backed,https://wayve.ai/thinking/gaia-3/
Figure Helix,Figure AI; founder Brett Adcock (ex-Vettery CEO acquired by Adecco; ex-Archer Aviation founder); $675M raised,https://www.figure.ai/helix
π0.5 (Physical Intelligence),Physical Intelligence; founders Sergey Levine (UC Berkeley robotics professor) Karol Hausman Chelsea Finn and others (multiple ex-Google Research / Berkeley professors); $400M raised,https://www.pi.website/blog/pi05
Sakana CTM,Sakana AI (Tokyo); founder David Ha (ex-Google Brain Research Director; ex-Stability AI CSO) and Llion Jones (Google Transformer co-author),https://arxiv.org/abs/2505.05522
NAVER Provence + PISCO,NAVER Labs Europe; corporate research,https://arxiv.org/abs/2501.16214
Engram (DeepSeek),DeepSeek (High-Flyer Capital spin-off); founder Liang Wenfeng; Chinese AI lab,https://arxiv.org/abs/2601.07372
Anthropic Circuit Tracing,Anthropic; mechanistic interpretability team (Chris Olah and team),https://transformer-circuits.pub/2025/attribution-graphs/methods.html
MemoryAgentBench,no data — 2025 arxiv benchmark paper,https://arxiv.org/abs/2507.05257
MemBench,no data — 2025 arxiv benchmark paper,https://arxiv.org/abs/2506.21605
Darwin Gödel Machine,Sakana AI; David Ha (ex-Google Brain) and team,https://arxiv.org/abs/2505.22954
MemAgent (2507.02259),no data — 2025 arxiv preprint,https://arxiv.org/abs/2507.02259
MIRIX,no data — 2025 arxiv preprint,https://arxiv.org/abs/2507.07957
Alita,no data — 2025 arxiv preprint,https://arxiv.org/abs/2505.20286
SkillWeaver,no data — 2025 arxiv preprint,https://arxiv.org/abs/2504.07079
LearnAct,no data — 2025 arxiv preprint,https://arxiv.org/abs/2504.13805
Dynamic Cheatsheet,no data — 2025 arxiv preprint,https://arxiv.org/abs/2504.07952
RepairAgent,no data — 2024 arxiv preprint,https://arxiv.org/abs/2403.17134
Agent S,Simular Research; no institutional affiliation confirmed,https://arxiv.org/abs/2410.08164
UFO2,Microsoft Research; Windows OS agent team,https://arxiv.org/abs/2504.14603
DeepAgent,no data — 2025 arxiv preprint,https://arxiv.org/abs/2510.21618
ReasoningBank,no data — 2025 arxiv preprint,https://arxiv.org/abs/2509.25140
MemOS (MemTensor alt),MemTensor (Shanghai) consortium (SJTU + RUC + Tsinghua + Peking University),https://arxiv.org/abs/2505.22101
EverMemOS,no data — 2026 arxiv preprint,https://arxiv.org/abs/2601.02163
OASIS,no data — 2024 arxiv preprint,https://arxiv.org/abs/2411.11581
From Human Memory to AI Memory (survey),no data — 2025 arxiv survey; multiple Chinese institutions,https://arxiv.org/abs/2504.15965
LLM as OS Kernel,Andrej Karpathy (ex-OpenAI; re-joined OpenAI in 2023 from Tesla AI Director),https://x.com/karpathy/status/1707437820045062561
LLM OS Specs,Andrej Karpathy (ex-OpenAI; at OpenAI when posted Nov 2023),https://x.com/karpathy/status/1723140519554105733
