system_name,deployment,pricing,hq,source_url_deployment,source_url_pricing,source_url_hq
FalkorDB,Both,Free + paid,IL,https://www.falkordb.com/news-updates/byoc-major-cloud-providers/,https://www.falkordb.com/plans/,https://www.cbinsights.com/company/falkordb
Memgraph,Both,Free + paid,UK,https://memgraph.com/docs/getting-started/install-memgraph/memgraph-cloud,https://memgraph.com/pricing,https://memgraph.com/
Amazon Neptune Analytics,Managed-only,Pay-per-use,US,https://aws.amazon.com/neptune/,https://aws.amazon.com/neptune/pricing/,https://aws.amazon.com/
ArangoDB,Both,Pay-per-use,US,https://arangodb.com/download-major/pricing/,https://arango.ai/pricing/,https://www.crunchbase.com/organization/arangodb
Diffbot,Managed-only,SaaS,US,https://www.diffbot.com/pricing/,https://www.diffbot.com/pricing/,https://theorg.com/org/diffbot/offices/hq
Palantir Ontology,Both,Enterprise only,US,https://www.palantir.com/platforms/foundry/,https://www.palantir.com/platforms/foundry/,https://www.palantir.com/
LangChain (LangMem),Both,Free + paid,US,https://github.com/langchain-ai/langmem,https://www.langchain.com/pricing,https://craft.co/langchain/locations
LlamaIndex,Both,Free + paid,US,https://www.llamaindex.ai/pricing,https://www.llamaindex.ai/pricing,https://www.crunchbase.com/organization/llamaindex
CrewAI,Both,Free + paid,US,https://crewai.com/pricing,https://crewai.com/pricing,https://www.cbinsights.com/company/crewai
AutoGen (Microsoft),Both,OSS,US,https://github.com/microsoft/autogen,https://github.com/microsoft/autogen,https://www.microsoft.com/
Mastra,Both,Free + paid,US,https://mastra.ai/docs/deployment/overview,https://mastra.ai/pricing,https://www.crunchbase.com/organization/mastra-44ba
Pydantic-AI + Hindsight,Both,OSS,UK,https://hindsight.vectorize.io/blog/2026/03/09/pydantic-ai-persistent-memory,https://hindsight.vectorize.io/blog/2026/03/09/pydantic-ai-persistent-memory,https://github.com/pydantic/pydantic-ai
Agno (Phidata),Both,Free + paid,US,https://www.agno.com/,https://www.agno.com/,https://www.crunchbase.com/organization/phidata
smolagents (HuggingFace),Both,Free + paid,US,https://github.com/huggingface/smolagents,https://huggingface.co/pricing,https://craft.co/hugging-face/locations
Haystack (deepset),Both,Free + paid,DE,https://www.deepset.ai/products-and-services/haystack-enterprise-platform,https://www.deepset.ai/pricing,https://en.wikipedia.org/wiki/Deepset
n8n,Both,Free + paid,DE,https://docs.n8n.io/choose-n8n/,https://n8n.io/pricing/,https://n8n.io/
Voiceflow,Managed-only,Free + paid,CA,https://www.voiceflow.com/pricing,https://www.voiceflow.com/pricing,https://craft.co/voiceflow/locations
Flowise,Both,OSS,no data,https://docs.flowiseai.com/configuration/deployment,https://flowiseai.com/,https://github.com/FlowiseAI/Flowise
Langflow,Both,OSS,US,https://docs.langflow.org/memory,https://www.langchain.com/pricing,https://github.com/langflow-ai/langflow
Stack AI,Both,Free + paid,US,https://www.stackai.com/pricing,https://www.stackai.com/pricing,https://www.cbinsights.com/company/stack-ai
Relevance AI,Managed-only,Free + paid,AU,https://relevanceai.com/pricing,https://relevanceai.com/pricing,https://www.crunchbase.com/organization/relevance-ai
Lindy AI,Managed-only,Free + paid,US,https://www.lindy.ai/pricing,https://www.lindy.ai/pricing,https://salestools.io/en/report/lindy-ai-headquarters
Vapi,Both,Pay-per-use,US,https://vapi.ai/pricing,https://vapi.ai/pricing,https://www.ycombinator.com/companies/vapi
Retell AI,Both,Pay-per-use,US,https://www.retellai.com/pricing,https://www.retellai.com/pricing,https://www.ycombinator.com/companies/retell-ai
Botpress,Managed-only,Free + paid,US,https://botpress.com/pricing,https://botpress.com/pricing,https://botpress.com/
Devin (Cognition),Both,Free + paid,US,https://devin.ai/pricing/,https://devin.ai/pricing/,https://cognition.ai/
Cursor,Managed-only,Free + paid,US,https://cursor.com/enterprise,https://cursor.com/pricing,https://en.wikipedia.org/wiki/Anysphere
Replit,Managed-only,Free + paid,US,https://replit.com/pricing,https://replit.com/pricing,https://craft.co/repl-it/locations
Lovable,Managed-only,Free + paid,SE,https://lovable.dev/pricing,https://lovable.dev/pricing,https://sweden.dealroom.co/companies/lovable
Bolt.new (StackBlitz),Managed-only,Free + paid,US,https://bolt.new,https://bolt.new,https://www.crunchbase.com/organization/stackblitz
Tabnine,Both,Free + paid,IL,https://www.tabnine.com/pricing/,https://www.tabnine.com/pricing/,https://en.wikipedia.org/wiki/Tabnine
Augment Code,Both,Free + paid,US,https://www.augmentcode.com/pricing,https://www.augmentcode.com/pricing,https://www.cbinsights.com/company/augment-7
Perplexity Comet,Managed-only,Free + paid,US,https://www.perplexity.ai/comet,https://www.perplexity.ai/comet,https://salestools.io/en/report/perplexity-ai-headquarters
Dia (Atlassian),Managed-only,Free + paid,US,https://www.diabrowser.com,https://www.diabrowser.com,https://www.atlassian.com/company
Browserbase,Managed-only,Free + paid,US,https://www.browserbase.com/pricing,https://www.browserbase.com/pricing,https://www.cbinsights.com/company/browserbase
Brave Leo,Managed-only,Free + paid,US,https://brave.com/leo/,https://brave.com/leo/,https://brave.com/about/
Opera AI,Managed-only,Free + paid,NO,https://blogs.opera.com/news/2025/02/aria-gets-memory-feature-new-ai-feature-drop/,https://blogs.opera.com/news/2025/02/aria-gets-memory-feature-new-ai-feature-drop/,https://www.opera.com/about
Notion AI,Managed-only,Free + paid,US,https://www.notion.com/product/ai,https://www.notion.com/pricing,https://www.notion.com/about
RemNote AI,Managed-only,Free + paid,DE,https://www.remnote.com/pricing,https://www.remnote.com/pricing,https://www.remnote.com/
Mem.ai,Managed-only,Free + paid,US,https://get.mem.ai/pricing,https://get.mem.ai/pricing,https://pitchbook.com/profiles/company/327411-82
Microsoft Recall,On-prem,Closed,US,https://learn.microsoft.com/en-us/windows/ai/apis/recall,https://learn.microsoft.com/en-us/windows/ai/apis/recall,https://www.microsoft.com/
Apple Notes + Apple Intelligence,On-prem,Closed,US,https://www.apple.com/apple-intelligence/,https://www.apple.com/apple-intelligence/,https://www.apple.com/
Tana,Managed-only,Free + paid,NO,https://tana.inc/,https://tana.inc/,https://www.crunchbase.com/organization/tana-inc
Limitless,Managed-only,Hardware-bundled,US,https://www.limitless.ai/terms,https://www.analyticsvidhya.com/blog/2024/04/limitless-pendant-the-wearable-ai-assistant/,https://www.crunchbase.com/organization/limitless-ai
Plaud NotePin,Managed-only,Hardware-bundled,US,https://www.plaud.ai/products/notepin,https://www.plaud.ai/products/notepin,https://builtinsf.com/company/plaudai
Omi,Both,Hardware-bundled,US,https://github.com/BasedHardware/omi,https://www.umevo.ai/blogs/ume-all-posts/omi-ai-wearable-deep-dive-subscription-cost-and-developer-kit-review,https://techcrunch.com/2025/01/08/omi-a-competitor-to-friend-wants-to-boost-your-productivity-using-ai-and-a-brain-interface/
Bee,Managed-only,Hardware-bundled,US,https://bee.computer/,https://bee.computer/,https://www.crunchbase.com/organization/bee-41ee
Friend,Managed-only,Hardware-bundled,US,https://friend.com,https://techcrunch.com/2024/07/30/friend-is-an-ai-companion-backed-by-founders-of-solana-perplexity-and-zfellows/,https://en.wikipedia.org/wiki/Friend_(product)
Granola,Managed-only,Free + paid,UK,https://www.granola.ai/pricing,https://www.granola.ai/pricing,https://www.crunchbase.com/organization/granola
Otter.ai,Managed-only,Free + paid,US,https://otter.ai/pricing,https://otter.ai/pricing,https://en.wikipedia.org/wiki/Otter.ai
Read.ai,Managed-only,Free + paid,US,https://www.read.ai/plans-pricing,https://www.read.ai/plans-pricing,https://craft.co/read-ai/locations
Glean,Both,Enterprise only,US,https://www.glean.com/pricing-guide,https://www.glean.com/pricing-guide,https://en.wikipedia.org/wiki/Glean_Technologies
SearchUnify,Managed-only,Enterprise only,US,https://www.searchunify.com/,https://www.capterra.com/p/168152/SearchUnify/,https://www.searchunify.com/company/contact-us/
Coveo,Managed-only,Enterprise only,CA,https://www.coveo.com/en/pricing,https://www.coveo.com/en/pricing,https://ir.coveo.com/en/company-information
Sinequa,Both,Enterprise only,FR,https://www.sinequa.com/product/,https://www.sinequa.com/product/,https://www.crunchbase.com/organization/sinequa
Mindbreeze InSpire,Both,Enterprise only,US,https://www.mindbreeze.com/pricing,https://www.mindbreeze.com/pricing,https://www.mindbreeze.com/company
Clarivate,Both,Enterprise only,UK,https://clarivate.com/,https://www.g2.com/products/clarivate/pricing,https://www.globaldata.com/company-profile/clarivate-plc/locations/
Algolia (NeuralSearch),Managed-only,Free + paid,US,https://www.algolia.com/pricing,https://www.algolia.com/pricing,https://www.algolia.com/about
Anthropic Claude Memory,Managed-only,Free + paid,US,https://platform.claude.com/docs/en/agents-and-tools/tool-use/memory-tool,https://www.anthropic.com/pricing,https://www.anthropic.com/company
OpenAI ChatGPT Memory,Managed-only,Free + paid,US,https://openai.com/index/memory-and-new-controls-for-chatgpt/,https://openai.com/pricing,https://www.crunchbase.com/organization/openai
Google Gemini Memory,Managed-only,Free + paid,US,https://gemini.google.com,https://ai.google.dev/pricing,https://about.google/
Microsoft Copilot Memory,Managed-only,Free + paid,US,https://techcommunity.microsoft.com/blog/microsoft365copilotblog/introducing-copilot-memory-a-more-productive-and-personalized-ai-for-the-way-you/4432059,https://www.microsoft.com/en-us/microsoft-365/copilot/microsoft-365-copilot,https://www.microsoft.com/
Perplexity Memory,Managed-only,Free + paid,US,https://www.perplexity.ai/help-center/en/articles/10968016-memory,https://www.perplexity.ai/pricing,https://salestools.io/en/report/perplexity-ai-headquarters
Grok Memory (xAI),Managed-only,Free + paid,US,https://grok.com/plans,https://grok.com/plans,https://en.wikipedia.org/wiki/XAI_(company)
Mistral Le Chat Memories,Managed-only,Free + paid,FR,https://help.mistral.ai/en/articles/396497-how-do-you-handle-my-data-when-using-the-memories-feature,https://mistral.ai/pricing,https://mistral.ai/
Cloudflare Agent Memory,Managed-only,Pay-per-use,US,https://www.infoq.com/news/2026/04/cloudflare-agent-memory-beta/,https://www.cloudflare.com/plans/,https://www.cloudflare.com/
AWS Bedrock AgentCore Memory,Managed-only,Pay-per-use,US,https://docs.aws.amazon.com/bedrock-agentcore/latest/devguide/memory-integrate-lang.html,https://aws.amazon.com/bedrock/pricing/,https://aws.amazon.com/
Vertex AI Memory Bank,Managed-only,Pay-per-use,US,https://docs.cloud.google.com/agent-builder/agent-engine/memory-bank/quickstart-adk,https://cloud.google.com/vertex-ai/pricing,https://about.google/
AI21 Labs (Jamba),Both,Free + paid,IL,https://www.ai21.com/jamba/,https://docs.ai21.com/docs/usage-cost,https://en.wikipedia.org/wiki/AI21_Labs
Aleph Alpha PhariaAI,Both,Enterprise only,DE,https://aleph-alpha.com/phariaai/,https://aleph-alpha.com/phariaai/,https://aleph-alpha.com/
NAVER HyperCLOVA X THINK,Managed-only,Enterprise only,KR,https://navercorp.com/en/tech/hyperclovax,https://clova.ai/en/hyperclova,https://navercorp.com/en/tech/hyperclovax
Tencent ima.copilot,Managed-only,Free,CN,https://ima.qq.com,https://ima.qq.com,https://www.tencent.com/
AutoGLM (Zhipu AI),Both,Free + paid,CN,https://xiao9905.github.io/AutoGLM/,https://open.bigmodel.cn/pricing,https://www.zhipuai.cn/
FutureHouse,Managed-only,Enterprise only,US,https://www.futurehouse.org/,https://www.futurehouse.org/,https://www.crunchbase.com/organization/futurehouse
Causaly,Managed-only,Enterprise only,UK,https://www.causaly.com/,https://www.causaly.com/,https://www.crunchbase.com/organization/causaly
BenevolentAI,Managed-only,Enterprise only,UK,https://www.benevolent.com/,https://www.benevolent.com/,https://www.crunchbase.com/organization/benevolentai
LabGenius,Managed-only,Enterprise only,UK,https://www.labgenius.app/,https://www.labgenius.app/,https://www.crunchbase.com/organization/labgenius
Hippocratic AI Polaris,Managed-only,Enterprise only,US,https://hippocraticai.com/polaris-3/,https://hippocraticai.com/polaris-3/,https://www.crunchbase.com/organization/hippocratic-ai
Abridge,Managed-only,Enterprise only,US,https://www.abridge.com/,https://www.abridge.com/,https://www.crunchbase.com/organization/abridge-d1a4
DeepScribe,Managed-only,Enterprise only,US,https://www.deepscribe.ai/,https://aws.amazon.com/marketplace/pp/prodview-dbzumpxmtnqvu,https://pitchbook.com/profiles/company/264826-18
Suki AI,Managed-only,SaaS,US,https://www.suki.ai/,https://www.healos.ai/blog/suki-pricing-features-cost-and-the-best-alternatives-in-2025,https://www.cbinsights.com/company/robin2
Nabla,Managed-only,Free + paid,FR,https://www.nabla.com/,https://www.eesel.ai/blog/nabla-ai-pricing,https://www.crunchbase.com/organization/nabla
Harvey,Both,Enterprise only,US,https://www.harvey.ai/blog/memory-in-harvey,https://softwarefinder.com/legal/harvey-ai,https://en.wikipedia.org/wiki/Harvey_(software)
Luminance,Managed-only,Enterprise only,UK,https://www.luminance.com/,https://www.luminance.com/,https://find-and-update.company-information.service.gov.uk/company/09857705
Sierra,Managed-only,Enterprise only,US,https://sierra.ai,https://www.lorikeetcx.ai/articles/sierra-ai-pricing-alternatives,https://sierra.ai/about
Decagon,Managed-only,Enterprise only,US,https://decagon.ai,https://decagon.ai,https://www.crunchbase.com/organization/decagon-485e
Cognigy,Both,Enterprise only,DE,https://www.cognigy.com/platform/cognigy-ai,https://softwarefinder.com/artificial-intelligence/cognigy-ai,https://www.cognigy.com/about
Inworld AI,Both,Free + paid,US,https://inworld.ai/,https://www.eesel.ai/blog/inworld-ai-pricing,https://www.cbinsights.com/company/inworld-ai
Character.ai,Managed-only,Free + paid,US,https://character.ai,https://character.ai/subscription/plus/pricing,https://pitchbook.com/profiles/company/512290-54
Khanmigo,Managed-only,Free + paid,US,https://www.khanmigo.ai/pricing,https://www.khanmigo.ai/pricing,https://www.khanacademy.org/about
Duolingo Max,Managed-only,Free + paid,US,https://blog.duolingo.com/duolingo-max/,https://www.papora.com/learn-english/duolingo-max-what-is-price/,https://www.clay.com/dossier/duolingo-headquarters-office-locations
ELSA Speak,Managed-only,Free + paid,US,https://elsaspeak.com/en/,https://www.saasworthy.com/product/elsa-speak/pricing,https://tracxn.com/d/companies/elsa-speak/__oUqt06y8Fr5r2uVOAaIrTCxiqTQTMJGQoEAHCu57JWE
Quizlet AI Study Tools,Managed-only,Free + paid,US,https://quizlet.com/features/ai-study-tools,https://quizlet.com/upgrade,https://www.crunchbase.com/organization/quizlet
MagicSchool,Managed-only,Free + paid,US,https://www.magicschool.ai/,https://www.magicschool.ai/pricing,https://www.crunchbase.com/organization/magicschool-ai
PolyAI,Managed-only,Enterprise only,UK,https://poly.ai/en,https://poly.ai/pricing,https://www.crunchbase.com/organization/poly-ai
Cresta,Managed-only,Enterprise only,US,https://cresta.com/,https://www.g2.com/products/cresta/pricing,https://www.cbinsights.com/company/cresta
Replika,Managed-only,Free + paid,US,https://replika.ai,https://replikapro.com/replika-pro-ai-cost-pricing/,https://www.crunchbase.com/organization/replika
Nomi AI,Managed-only,Free + paid,US,https://nomi.ai/,https://autogpt.net/nomi-ai-pricing/,https://www.crunchbase.com/organization/nomi-ai
Soul Machines,Managed-only,Enterprise only,NZ,https://www.soulmachines.com/,https://www.soulmachines.com/,https://www.crunchbase.com/organization/soul-machines
Intercom Fin,Managed-only,Pay-per-use,US,https://fin.ai/pricing,https://fin.ai/pricing,https://en.wikipedia.org/wiki/Intercom%2C_Inc.
ASAPP,Managed-only,Enterprise only,US,https://www.asapp.com/,https://www.g2.com/products/asapp/reviews,https://www.cbinsights.com/company/getasapp
Hebbia,Managed-only,Enterprise only,US,https://www.hebbia.com/,https://www.hebbia.com/pricing,https://www.crunchbase.com/organization/hebbia
Filevine LOIS,Managed-only,Enterprise only,US,https://www.filevine.com/lois/,https://www.filevine.com/pricing/,https://www.zoominfo.com/c/filevine-inc/367467293
Harvey,Both,Enterprise only,US,https://www.harvey.ai/blog/memory-in-harvey,https://softwarefinder.com/legal/harvey-ai,https://en.wikipedia.org/wiki/Harvey_(software)
Convai,Both,Free + paid,US,https://convai.com/,https://convai.com/pricing,https://www.crunchbase.com/organization/convai
Charisma.ai,Managed-only,Free + paid,UK,https://charisma.ai,https://charisma.ai,https://www.crunchbase.com/organization/charisma-ai
Latitude / Voyage,Managed-only,Free + paid,US,https://latitude.io,https://latitude.io,https://www.crunchbase.com/organization/latitude-games
Aider,Self-hostable,OSS,US,https://aider.chat,https://aider.chat,https://github.com/Aider-AI/aider
