system,field,value,url,notes
PoolParty (now Graphwise),created,2009,https://www.crunchbase.com/organization/punkt-netservices,Semantic Web Company founded ~2009; PoolParty product predates merger
PoolParty (now Graphwise),funding,"Undisclosed seed 2014; no further rounds",https://www.crunchbase.com/organization/punkt-netservices,Merged into Graphwise 2024
PoolParty (now Graphwise),customers,"No data — searched not found",https://graphwise.ai/,200+ organizations claimed by SWC historically
PoolParty (now Graphwise),pricing,"Enterprise only",https://graphwise.ai/,No list pricing public
PoolParty (now Graphwise),compliance,"No data — searched not found",https://graphwise.ai/,No public compliance certifications found for PoolParty specifically
PoolParty (now Graphwise),data_handling,"No data — searched not found",https://graphwise.ai/,No public data-handling statement
PoolParty (now Graphwise),deployment,"Both (on-prem + SaaS via Azure Marketplace)",https://marketplace.microsoft.com/en-us/product/saas/semanticwebcompanygmbh1721390977903.poolparty-semantic-suite,On-prem and cloud documented
PoolParty (now Graphwise),hq,"EU (Vienna AT / Sofia BG / New York US — distributed post-merger)",https://graphwise.ai/faq/,Main offices in Sofia / Vienna / NYC
PoolParty (now Graphwise),founders,"Andreas Blumauer (CEO) and Martin Kaltenboeck (CFO) — Semantic Web Company co-founders",https://graphwise.ai/blog/graphwise-merger-swc-ontotext/,PoolParty originated at SWC
PoolParty (now Graphwise),mindshare,"Below detection threshold",https://graphwise.ai/,Niche taxonomy management market
Palantir Ontology,created,2003,https://en.wikipedia.org/wiki/Palantir,Palantir Technologies founded 2003 in Palo Alto CA
Palantir Ontology,funding,"$2.46B total over 18 rounds; IPO 2020 NYSE:PLTR",https://tracxn.com/d/companies/palantir/__N9Uaw2GHjG5JVqvNtXcgrGRwXgHpY9cQsxh3xArGQ6A,Valued at $16B at IPO; now public
Palantir Ontology,customers,"Public company — thousands of enterprise/govt customers; revenue $3B+ FY2024",https://www.palantir.com/,US government + Fortune 500
Palantir Ontology,founders,"Peter Thiel, Alex Karp, Joe Lonsdale, Stephen Cohen, Nathan Gettings; Alex Karp is CEO",https://en.wikipedia.org/wiki/Palantir,Founded 2003
Palantir Ontology,mindshare,"Below detection threshold for Ontology-specific signal (Palantir overall is high)",https://www.palantir.com/platforms/foundry/ontology/,Ontology is a feature within Foundry not a standalone product
Diffbot,created,2008,https://www.crunchbase.com/organization/diffbot,First funding 2008; Mike Tung founding CEO
Diffbot,funding,"$12.5M total (Seed + Series A 2016)",https://www.diffbot.com/company/news/20160211.html,$10M Series A announced Feb 2016
Diffbot,customers,"~35 person team; $3.1M revenue 2024",https://getlatka.com/companies/diffbot,Small team; developer API and enterprise subscriptions
Diffbot,data_handling,"No data — searched not found",https://www.diffbot.com/legal/,No explicit 'does not train on customer data' statement found
Diffbot,founders,"Mike Tung (CEO/founder)",https://www.crunchbase.com/organization/diffbot,Ex-Stanford; founded as a web-scraping/KG extraction company
Diffbot,mindshare,"Below detection threshold",https://www.diffbot.com/,Niche web-extraction KG product
FalkorDB,created,2023,https://finder.startupnationcentral.org/company_page/falkordb,Founded 2023 by Redis veterans
FalkorDB,compliance,"No data — searched not found",https://www.falkordb.com/,No public compliance certifications; early-stage startup
FalkorDB,data_handling,"No data — searched not found",https://www.falkordb.com/,No public data-handling policy found
FalkorDB,founders,"Guy Korland (CEO/co-founder, ex-Redis SVP/CTO Incubations), Roi Lipman (CTO/co-founder), Avi Avni (Chief Architect/co-founder)",https://www.openpr.com/news/3544960/falkordb-a-startup-by-redis-veterans-raises-3-million,All three are Redis alumni
Memgraph,created,2016,https://memgraph.com/about-us,Founded 2016 by Dominik Tomicevic and Marko Budiselic
Memgraph,data_handling,"No data — searched not found",https://memgraph.com/security,No explicit 'does not train on customer data' statement found
Memgraph,founders,"Dominik Tomicevic (CEO/co-founder), Marko Budiselic (CTO/co-founder)",https://memgraph.com/about-us,UK-based (London)
Amazon Neptune Analytics,created,2023-11,https://aws.amazon.com/blogs/aws/introducing-amazon-neptune-analytics-a-high-performance-graph-analytics/,Neptune Analytics launched Nov 2023; Neptune DB (original) launched 2018
Amazon Neptune Analytics,funding,"No data — not applicable (AWS internal service; Amazon public)",https://aws.amazon.com/neptune/,AWS is a division of Amazon NYSE:AMZN
Amazon Neptune Analytics,customers,"Thousands across Neptune product line; Samsung Electronics, Pearson, Intuit, Siemens, AstraZeneca, FINRA named",https://aws.amazon.com/neptune/customers/,Neptune Analytics subset not broken out
Amazon Neptune Analytics,founders,"No data — not applicable (AWS internal product team)",https://aws.amazon.com/neptune/,AWS product; no individual founders applicable
Apache AGE,created,2020,https://github.com/apache/age,First Apache Software Foundation donation ~2020; v1.0 released 2022
Apache AGE,pricing,"Free (Apache License 2.0 open-source extension)",https://age.apache.org/,No commercial pricing; pure OSS
Apache AGE,compliance,"Inherits PostgreSQL security model; no standalone SOC2/ISO certifications (ASF project)",https://age.apache.org/,Compliance is provider-dependent (Azure DB for PostgreSQL ships AGE)
Apache AGE,data_handling,"No data — not applicable (self-hosted open source; user responsible for data handling)",https://age.apache.org/,Self-hosted only; no vendor data handling
Apache AGE,deployment,"Self-hosted only (PostgreSQL extension; Azure Database for PostgreSQL ships it managed)",https://age.apache.org/,On-prem or any managed PostgreSQL
Apache AGE,founders,"Apache Software Foundation project (originally developed by Bitnine Global, South Korea)",https://github.com/apache/age,Donated to ASF by Bitnine Global
Apache AGE,license,"Apache-2.0 (correct — not 'not OSS'; the HTML row is wrong — AGE IS OSS)",https://github.com/apache/age,Stars: 3.2k on GitHub apache/age
Apache AGE,latest_release,"v1.5.0 — 2024-03",https://github.com/apache/age/releases,Latest stable release
Kuzu,funding,"No external funding confirmed; acquired by Apple ~Oct 2025",https://betakit.com/apple-strikes-deal-to-acquire-canadian-database-software-startup-kuzu/,Apple acquired Kuzu Oct 2025; Kùzu Inc. was the company
Kuzu,customers,"Research / developer community; Apple acquisition signals enterprise interest",https://betakit.com/apple-strikes-deal-to-acquire-canadian-database-software-startup-kuzu/,Post-acquisition: Apple's use case
Kuzu,pricing,"Free (MIT-licensed open source); acquired by Apple so no commercial cloud",https://kuzudb.github.io/,Core engine is OSS MIT; MCP wrapper unlicensed
Kuzu,compliance,"No data — searched not found",https://kuzudb.github.io/,No compliance certifications — research-origin OSS
Kuzu,data_handling,"No data — not applicable (self-hosted embedded DB; user responsible)",https://kuzudb.github.io/,Offline-first embedded; no vendor data handling
Kuzu,deployment,"Self-hosted only (embedded library; no managed cloud at time of acquisition)",https://kuzudb.github.io/,Single-file embedded deployment
Kuzu,hq,"CA (Toronto Ontario; University of Waterloo origin)",https://betakit.com/apple-strikes-deal-to-acquire-canadian-database-software-startup-kuzu/,Founded in Waterloo; company in Toronto
Kuzu,founders,"Semih Salihoglu (founder/CEO; assoc. professor CS University of Waterloo)",https://kuzudb.github.io/,Research-originated project; Apple acquired Oct 2025
ArangoDB,created,2014,https://en.wikipedia.org/wiki/ArangoDB,ArangoDB GmbH founded 2014 by Claudius Weinberger and Frank Celler
ArangoDB,compliance,"SOC 2 Type II; GDPR-compliant; HIPAA (Enterprise Edition); CCPA",https://arangodb.com/enterprise-server/compliance/,Enterprise Edition provides full compliance toolkit
ArangoDB,data_handling,"Data stays within customer's environment; GDPR right-to-be-forgotten via TTL indexes; encryption 360° in Enterprise Edition",https://arangodb.com/data-privacy-policy/,No 'vendor trains on customer data' concern — self-hosted model
ArangoDB,founders,"Claudius Weinberger (CEO/co-founder), Frank Celler (CTO/co-founder)",https://en.wikipedia.org/wiki/ArangoDB,Founded Cologne Germany; HQ now San Francisco
Dgraph,created,2015,https://hypermode.com/blog/how-dgraph-labs-raised-series-a,Founded 2015 by Manish Rai Jain (ex-Google)
Dgraph,pricing,"No data — searched not found",https://dgraph.io/,Acquired by Istari Digital from Hypermode Oct 2025; pricing not public
Dgraph,compliance,"No data — searched not found",https://dgraph.io/,Small team post-acquisition; no public compliance certifications
Dgraph,data_handling,"No data — searched not found",https://dgraph.io/,No public data-handling statement post-acquisition
Dgraph,deployment,"Both (self-hosted OSS + Hypermode Cloud until Oct 2025 acquisition by Istari)",https://dgraph.io/,Istari Digital now owns Dgraph
Dgraph,founders,"Manish Rai Jain (founder; ex-Google engineer)",https://hypermode.com/blog/dgraph-part-of-hypermode,Acquired by Hypermode Nov 2023; then by Istari Digital Oct 2025
NebulaGraph,created,2018,https://www.nebula-graph.io/about_us,Vesoft Inc. founded Oct 2018 by Sherman Ye
NebulaGraph,funding,"$18M total (Seed + pre-A); investors: Redpoint China Ventures, Matrix Partners China, Source Code Capital, Jeneration",https://techcrunch.com/2020/06/15/vesoft-china-graph-database-8m-funding/,$8M pre-A in June 2020
NebulaGraph,customers,"No data — searched not found",https://nebula-graph.io/,China-centric customer base; no public named logos
NebulaGraph,pricing,"OSS (Apache-2.0) + NebulaGraph Enterprise (commercial)",https://nebula-graph.io/,Open-source free; Enterprise: quote-based
NebulaGraph,compliance,"No data — searched not found",https://nebula-graph.io/,No public compliance certifications
NebulaGraph,data_handling,"No data — not applicable (self-hosted for OSS; Enterprise handles internally)",https://nebula-graph.io/,Self-hosted dominant model
NebulaGraph,deployment,"Both (self-hosted + NebulaGraph Cloud)",https://nebula-graph.io/,OSS self-hosted + managed cloud
NebulaGraph,hq,"US (Cupertino CA; engineering in China)",https://www.cbinsights.com/company/nebulagraph,Vesoft Inc. HQ Cupertino; dev team Hangzhou China
NebulaGraph,founders,"Sherman Ye (founder/CEO)",https://techcrunch.com/2020/06/15/vesoft-china-graph-database-8m-funding/,Former Huawei/Alibaba engineer
Milvus,funding,"$113M total (Zilliz: $43M 2020 + $60M 2022); Zilliz is the commercial entity",https://techcrunch.com/2022/08/24/zilliz-the-startup-behind-the-milvus-open-source-vector-database-for-ai-applications-raises-60m-and-relocates-to-sf/,Milvus is OSS; Zilliz Cloud is managed
Milvus,customers,"10000+ organizations; eBay, Tencent, Walmart, IKEA, Intuit, Compass, Nvidia, PayPal, AT&T, Salesforce, IBM",https://www.prnewswire.com/news-releases/zilliz-celebrates-major-customer-milestone-as-leading-legal-platform-filevine-secures-400m-funding-302571730.html,Zilliz claims 10k+ enterprise users globally
Milvus,pricing,"Free (OSS Apache-2.0) + Zilliz Cloud (pay-per-use managed)",https://milvus.io/,Free self-hosted; Zilliz Cloud has pay-as-you-go
Milvus,compliance,"SOC 2 Type II; HIPAA (Zilliz Cloud); ISO 27001",https://zilliz.com/security,Zilliz Cloud compliance; self-hosted inherits user's posture
Milvus,data_handling,"Customer data not used for model training; Zilliz Cloud data isolation enforced",https://zilliz.com/privacy-policy,Enterprise-grade data isolation per Zilliz privacy policy
Milvus,deployment,"Both (self-hosted OSS + Zilliz Cloud managed)",https://milvus.io/,Lite/standalone/cluster self-hosted modes + managed
Milvus,hq,"US (San Francisco CA — Zilliz HQ)",https://techcrunch.com/2022/08/24/zilliz-the-startup-behind-the-milvus-open-source-vector-database-for-ai-applications-raises-60m-and-relocates-to-sf/,Zilliz relocated to SF 2022; engineering in China
Chroma,compliance,"SOC 2 Type II (Enterprise modules); Apache-2.0 OSS self-hosted",https://www.trychroma.com/,SOC 2 compliance via Chroma Cloud Enterprise
Chroma,data_handling,"Customer data stays within account; BYOK encryption; no vendor training on customer data stated",https://www.trychroma.com/,OSS self-hosted option available; cloud under development
LanceDB,compliance,"SOC 2 Type II (Enterprise; continuous audits); HIPAA; GDPR in progress",https://lancedb.com/docs/enterprise/security/,Enterprise version has formal compliance program
LanceDB,data_handling,"Customer data strictly within account; rigorous data isolation and encryption at rest; only telemetry for health monitoring",https://docs.lancedb.com/enterprise/security,LanceDB Enterprise telemetry only; no training on customer data
LanceDB,founders,"Chang She (CEO/co-founder; ex-second major contributor to pandas; CTO/co-founder DataPad)",https://www.linkedin.com/in/changshe/,YC W22 company
Turbopuffer,created,2023,https://turbopuffer.com/about,Founded 2023 by ex-Shopify engineers
Turbopuffer,data_handling,"No data — searched not found",https://turbopuffer.com/security,SOC 2 / HIPAA / GDPR listed on security page; no explicit 'does not train' statement found
Turbopuffer,founders,"Simon Hørup Eskildsen (CEO/co-founder) and Justine Li (co-founder); both ex-Shopify principal/staff engineers",https://betakit.com/ex-shopify-engineers-raise-fresh-financing-to-scale-turbopuffers-ai-search/,8 years together at Shopify scaling infra
Elasticsearch / OpenSearch,created,2012,https://en.wikipedia.org/wiki/Elastic_NV,Elastic NV founded 2012 by Shay Banon + co-founders; Elasticsearch first released 2010
Elasticsearch / OpenSearch,funding,"$162M pre-IPO; IPO 2018 NYSE:ESTC; public company",https://www.crunchbase.com/organization/elasticsearch,Fully public company since 2018
Elasticsearch / OpenSearch,customers,"Thousands of enterprises; exact count not disclosed",https://www.elastic.co/,Mission-critical deployments across finance, govt, healthcare
Elasticsearch / OpenSearch,data_handling,"Customer data not used for training; ISO 27701 / 27018 certified; GDPR compliant; all cluster access logged",https://www.elastic.co/trust/faq,Formal information security program with CISO and DPO
Elasticsearch / OpenSearch,founders,"Shay Banon (CTO/co-founder), Simon Willnauer, Steven Schuurman, Uri Boness; founded 2012",https://en.wikipedia.org/wiki/Elastic_NV,Shay Banon wrote first Elasticsearch code 2010
Elasticsearch / OpenSearch,mindshare,"Below detection threshold for AI memory context (mature enterprise product; 'elastic jobs' too broad to filter)",https://www.elastic.co/,Ubiquitous in enterprise stacks but not AI-memory-specific
Vespa,created,2023,https://vespa.ai/2023-11-01-blossom-funding/,Vespa.ai spun out as standalone company from Yahoo/Verizon 2023; technology originated 2001 at AllTheWeb (acquired by Yahoo 2003)
Vespa,funding,"$31M Series A — Blossom Capital · 2023-11",https://techcrunch.com/2023/11/01/yahoo-spin-out-vespa-lands-31m-investment-from-blossom/,First external funding
Vespa,customers,"Spotify, Perplexity, Indeed, AlphaSense, Taboola, Vinted, Farfetch; 10M+ Docker Hub downloads",https://vespa.ai/2023-11-01-blossom-funding/,$6.3M revenue 2025 per Latka
Vespa,compliance,"SOC 2 Type II (Vespa Cloud); encryption at rest + in transit; RBAC; audit logging",https://vespa.ai/solutions/vespa-cloud/,Enterprise-grade compliance for cloud offering
Vespa,data_handling,"No data — searched not found",https://vespa.ai/,No explicit 'does not train on customer data' statement found
Vespa,founders,"Bjørn Christian Sebak and Jon Bratseth led the spinout; CEO is Jon Bratseth",https://vespa.ai/company/,Yahoo-origin technology; Trondheim Norway
Activeloop Deep Lake,created,2018,https://www.ycombinator.com/companies/activeloop,Activeloop founded 2018; YC W22
Activeloop Deep Lake,funding,"~$20M total (Seed + $11M Series A)",https://venturebeat.com/data-infrastructure/activeloop-nets-11m-to-give-enterprises-a-better-way-to-leverage-multimodal-data-for-ai/,Series A from Streamlined Ventures + YC + Samsung Next
Activeloop Deep Lake,customers,"No data — searched not found",https://www.activeloop.ai/,No public named logos
Activeloop Deep Lake,compliance,"SOC 2 Type II; SAML/RBAC features",https://www.activeloop.ai/resources/the-future-of-ai-data-we-raised-series-a-to-bring-the-database-for-ai-to-fortune-500/,Serves life sciences / MedTech / legal verticals
Activeloop Deep Lake,data_handling,"No data — searched not found",https://www.activeloop.ai/,No explicit 'does not train on customer data' statement found
Activeloop Deep Lake,founders,"Davit Buniatyan (founder/CEO; Princeton origin)",https://www.ycombinator.com/companies/activeloop,Team from Princeton/Stanford/Google/Tesla
MongoDB Atlas Vector Search,created,2016,https://en.wikipedia.org/wiki/MongoDB_Inc.,Atlas launched 2016; Vector Search added later; MongoDB founded 2007 as 10gen by Dwight Merriman/Kevin Ryan/Eliot Horowitz
MongoDB Atlas Vector Search,funding,"$311M VC pre-IPO; IPO 2017 NASDAQ:MDB; revenue $2.46B FY2026",https://www.crunchbase.com/organization/mongodb-inc,Public company; Atlas is 73% of revenue
MongoDB Atlas Vector Search,customers,"65200+ total customers as of FY2026",https://en.wikipedia.org/wiki/MongoDB_Inc.,Vector Search available in Community Edition from Sept 2025
MongoDB Atlas Vector Search,founders,"Dwight Merriman (co-founder), Kevin P. Ryan (co-founder), Eliot Horowitz (CTO/co-founder)",https://en.wikipedia.org/wiki/MongoDB_Inc.,10gen → MongoDB Inc.
pgvector,funding,"No external funding — open-source project by independent developer",https://github.com/pgvector/pgvector,Andrew Kane created and maintains it individually
pgvector,customers,"No data — not applicable (OSS extension; no tracked customer base)",https://github.com/pgvector/pgvector,Used by Supabase, many self-hosted RAG stacks; no vendor customer list
pgvector,pricing,"Free (PostgreSQL License open source)",https://github.com/pgvector/pgvector,Permissive PostgreSQL license (BSD-style)
pgvector,compliance,"Inherits PostgreSQL security model; no standalone vendor compliance",https://github.com/pgvector/pgvector,Compliance is provider-dependent
pgvector,data_handling,"No data — not applicable (self-hosted OSS; user responsible)",https://github.com/pgvector/pgvector,No vendor; user controls their PostgreSQL instance
pgvector,deployment,"Self-hosted only (PostgreSQL extension; managed via Supabase/AWS RDS/etc.)",https://github.com/pgvector/pgvector,Any PostgreSQL managed service or on-prem
pgvector,hq,"No data — not applicable (individual open-source maintainer; Andrew Kane; location: US)",https://github.com/ankane,No HQ — independent OSS project
pgvector,founders,"Andrew Kane (sole maintainer/creator; first release April 2021)",https://github.com/ankane,Individual OSS project
Marqo,created,2022,https://www.crunchbase.com/organization/marqo,Founded 2022 by Tom Hamer and Jesse Clark
Marqo,data_handling,"Customer data stored only for service delivery; isolated with strong access controls; employees required to complete regular security/privacy training; no vendor training on customer data implied",https://www.marqo.ai/privacy-policy,Privacy policy states data stored only for purpose collected; SOC 2 support
Marqo,founders,"Tom Hamer (CEO/co-founder; ex-AWS engineer), Jesse Clark (CTO/co-founder; physics + ML background)",https://techcrunch.com/2023/08/16/meet-marqo-an-open-source-vector-search-engine-for-ai-applications/,Australian company; Lightspeed-backed
Snowflake Cortex Search,created,2012,https://en.wikipedia.org/wiki/Snowflake_Inc.,Snowflake Inc. founded July 2012 by Benoît Dageville, Thierry Cruanes, Marcin Żukowski; Cortex Search feature released ~2024
Snowflake Cortex Search,funding,"$1.56B pre-IPO; IPO 2020 NYSE:SNOW; $62B valuation at Dec 2024 secondary",https://en.wikipedia.org/wiki/Snowflake_Inc.,Public company
Snowflake Cortex Search,customers,"11500+ as of April 2025 (Snowflake total); 754 Forbes Global 2000 companies",https://www.snowflake.com/en/company/overview/about-snowflake/,Cortex Search is feature within platform
Snowflake Cortex Search,founders,"Benoît Dageville (co-founder), Thierry Cruanes (co-founder), Marcin Żukowski (co-founder); Dageville and Cruanes ex-Oracle; Żukowski co-founder Vectorwise",https://en.wikipedia.org/wiki/Snowflake_Inc.,Frank Slootman was CEO 2019-2024; Sridhar Ramaswamy now CEO
Databricks Vector Search,created,2013,https://en.wikipedia.org/wiki/Databricks,Databricks founded 2013 by 7 UC Berkeley researchers; Vector Search feature added ~2023
Databricks Vector Search,funding,"$20.2B total over 14 rounds; $62B valuation Dec 2024",https://www.crunchbase.com/organization/databricks,Most recently $2B debt Jan 2026
Databricks Vector Search,customers,"9000+ companies including AT&T, Shell, Burberry, Toyota, Adobe; 500+ with >$1M ARR",https://www.databricks.com/company/about-us,Vector Search is feature within platform
Databricks Vector Search,founders,"Ali Ghodsi (CEO/co-founder), Ion Stoica, Matei Zaharia, Patrick Wendell, Reynold Xin, Andy Konwinski, Arsalan Tavakoli-Shiraji",https://www.databricks.com/company/founders,All 7 from UC Berkeley AMPLab / Spark project
Glean,founders,"Arvind Jain (CEO/co-founder; ex-Google distinguished engineer; ex-Rubrik co-founder), T.R. Vishwanath, Piyush Prahladka, Tony Gentilcore",https://www.glean.com/about,Founded 2019 in Palo Alto CA
SearchUnify,created,2007,https://www.cbinsights.com/company/searchunify,Founded 2007; HQ Mountain View CA (US) with India engineering
SearchUnify,data_handling,"Customer data encrypted AES-256; GDPR/CCPA compliant; data retained only as necessary; no training on customer data for generative AI (model not trained on enterprise data)",https://docs.searchunify.com/Content/FAQs/Data-Security.htm,Explicit GDPR/CCPA compliance documented
Clarivate,created,2016,https://en.wikipedia.org/wiki/Clarivate,Clarivate formed 2016 from Thomson Reuters IP&Science; origins trace to 1863 predecessors; SPAC listing 2019 NYSE:CLVT
Clarivate,funding,"Public company (NYSE:CLVT); $1B pre-IPO funding",https://www.crunchbase.com/organization/clarivate-analytics,Went public via Churchill Capital Corp SPAC 2019
Clarivate,customers,"45000+ customers; $2.46B TTM revenue (Dec 2025)",https://www.worldofdaas.com/p/clarivate,Web of Science + Derwent + Cortellis + Clarivate product suite
Clarivate,data_handling,"No data — searched not found",https://clarivate.com/security/,No explicit AI/training policy found; GDPR/ISO 27001 compliance documented
Clarivate,mindshare,"Below detection threshold for AI memory context",https://clarivate.com/,Curated bibliographic product; not developer-facing
Coveo,created,2005,https://en.wikipedia.org/wiki/Coveo,Founded 2005 (some sources say 2004); Quebec City Canada; NYSE:CVO
Coveo,funding,"$339M total; IPO 2021 TSX/NYSE:CVO",https://www.crunchbase.com/organization/coveo,Valued at $1B+ CAD post OMERS 2019 round
Coveo,customers,"650+ SaaS customers; $145M TTM revenue (Dec 2025)",https://ir.coveo.com/en,Commerce/support enterprise focus
Coveo,data_handling,"Customer data not sold; strictly prohibited from using for non-service purposes; generative AI model not trained on enterprise data",https://docs.coveo.com/en/nbpd4153/,Explicit contract terms prohibit training on customer data
Sinequa,data_handling,"Customer data encrypted AES-256 at rest; BYOK option; TLS in transit; no evidence of vendor training on customer data",https://www.sinequa.com/product/security/,Acquired by ChapsVision Nov 2024; security posture maintained
Meilisearch,created,2018,https://www.crunchbase.com/organization/meilisearch,Founded 2018 by Clément Renault, Quentin de Quelen, Thomas Payet
Meilisearch,funding,"$21.8M total (Seed + $15M Series A Oct 2022)",https://techcrunch.com/2022/10/10/meilisearch-lands-15m-investment-to-grow-its-search-as-a-service-business/,Accel-backed Series A
Meilisearch,data_handling,"No data — searched not found",https://www.meilisearch.com/security,SOC 2 Type II / GDPR listed; no explicit 'does not train' statement found
Algolia,created,2012,https://en.wikipedia.org/wiki/Algolia,Founded Oct 2012 by Nicolas Dessaigne and Julien Lemoine (Paris); YC W14
Algolia,compliance,"SOC 2 Type II; SOC 3; ISO 27001; ISO 27017; GDPR-compliant",https://www.algolia.com/distributed-secure/security-compliance,Full compliance suite; updated at least every 18 months
Algolia,data_handling,"PII removed/anonymized before any AI training; data encrypted AES-256 at rest and in transit; BYOK (Algolia Vault); GDPR right-to-erasure supported",https://www.algolia.com/distributed-secure/security-compliance/measures,Explicit statement PII removed before AI training
Mindbreeze InSpire,created,2005,https://tracxn.com/d/companies/mindbreeze/__VveJFXLMwfLRDFSxfVqpHZQ5xSuzsBZfqk13m7fNn1Y,Founded 2005 by Daniel Fallmann in Linz Austria; Fabasoft spin-off
Mindbreeze InSpire,funding,"No external funding — unfunded private company",https://www.crunchbase.com/organization/mindbreeze-gmbh,Bootstrapped; Fabasoft-linked
Mindbreeze InSpire,customers,"No data — searched not found",https://www.mindbreeze.com/,No public customer count or named logos
Mindbreeze InSpire,compliance,"SOC 2 Type II; GDPR-compliant; BSI C5 (German Federal BSI catalogue)",https://inspire.mindbreeze.com/trust/security-data-protection,Annual SOC 2 Type II audits; BSI C5 attestation notable for European regulated industries
