row_name,validated_verticals,validated_verticals_cite,time_to_running,time_to_running_cite,anti_fit,anti_fit_cite,optimised_for,optimised_for_cite,adjacent_infrastructure,adjacent_infrastructure_cite
Backboard,"agent memory, conversational AI (horizontal)",https://backboard.io/,<10min (hosted),https://backboard.io/,no data - searched not found,https://backboard.io/,LoCoMo benchmark performance (long-conversation accuracy),https://backboard.io/,BYO LLM,https://backboard.io/
Hyperspell,"knowledge management, internal productivity (Slack/Gmail/Notion/Drive)",https://hyperspell.com/,<10min (hosted) - SaaS connectors,https://hyperspell.com/,not for non-workplace consumer use cases,https://hyperspell.com/,workplace connectors + cross-source recall,https://hyperspell.com/,BYO LLM; managed connectors + vectors,https://hyperspell.com/
Memoria (MatrixOrigin),agent developers (horizontal); China market,https://www.matrixorigin.io/,no data - searched not found,https://www.matrixorigin.io/,no data - searched not found,https://www.matrixorigin.io/,"retrieval quality (""retrieval-strong"")",https://www.matrixorigin.io/,BYO LLM,https://www.matrixorigin.io/
OpenMemory,"consumer / individual, OSS agent developers",https://github.com/mem0ai/mem0/tree/main/openmemory,"<1hr (Docker compose, OSS)",https://github.com/mem0ai/mem0/tree/main/openmemory,no anti-fit explicitly stated,https://github.com/mem0ai/mem0,local-first / privacy-preserving,https://github.com/mem0ai/mem0/tree/main/openmemory,BYO LLM; self-hosted Postgres + Qdrant,https://github.com/mem0ai/mem0/tree/main/openmemory
Memori,agent developers (horizontal),https://github.com/GibsonAI/memori,<10min (pip install),https://github.com/GibsonAI/memori,no anti-fit explicitly stated,https://github.com/GibsonAI/memori,structured persistence + simplicity,https://github.com/GibsonAI/memori,BYO LLM; SQLite/Postgres,https://github.com/GibsonAI/memori
MemMachine,agent developers (horizontal),https://memmachine.ai/,<1hr (OSS Docker),https://memmachine.ai/,no anti-fit explicitly stated,https://memmachine.ai/,multi-layer memory architecture,https://memmachine.ai/,BYO LLM; bundled stores,https://memmachine.ai/
Memary,"autonomous-agent research, agent developers",https://github.com/kingjulio8238/Memary,<1hr (OSS pip install + Neo4j),https://github.com/kingjulio8238/Memary,no anti-fit explicitly stated,https://github.com/kingjulio8238/Memary,autonomous-agent long-term memory (research-quality),https://github.com/kingjulio8238/Memary,BYO LLM; Neo4j required,https://github.com/kingjulio8238/Memary
Anda Hippocampus,"autonomous agents (horizontal), research",https://github.com/ldclabs/anda,"<1hr (OSS, Rust)",https://github.com/ldclabs/anda,no anti-fit explicitly stated,https://github.com/ldclabs/anda,bio-inspired sleep consolidation (research positioning),https://github.com/ldclabs/anda,BYO LLM; bundled native graph,https://github.com/ldclabs/anda
O-Mem,"consumer / individual, long-horizon agent developers",https://omem.ai/,no data - searched not found,https://omem.ai/,no data - searched not found,https://omem.ai/,self-evolving / personalised long-horizon memory,https://omem.ai/,no data - searched not found,https://omem.ai/
SuperLocalMemory,privacy-sensitive agent developers (consumer + regulated horizontal),https://github.com/superlocalmemory,"<10min (pip install, no LLM keys required)",https://github.com/superlocalmemory,not for use cases that require LLM-based scoring or generation in the memory layer,https://github.com/superlocalmemory,privacy / no LLM calls / Fisher-Rao+BM25+graph fusion,https://github.com/superlocalmemory,fully self-contained — bring nothing,https://github.com/superlocalmemory
VEKTOR Memory,Node.js/TypeScript agent developers,https://github.com/vektor-memory,"<10min (npm install, local SQLite)",https://github.com/vektor-memory,not for Python-only stacks,https://github.com/vektor-memory,TypeScript-native developer experience,https://github.com/vektor-memory,BYO LLM; SQLite local,https://github.com/vektor-memory
Memory Store,"consumer / individual, agent developers (early-stage YC P26)",https://www.ycombinator.com/,no data - searched not found,https://www.ycombinator.com/,no data - searched not found,https://www.ycombinator.com/,cross-agent shared episodic + preference memory,https://www.ycombinator.com/,no data - searched not found,https://www.ycombinator.com/
Interloom,enterprise tacit-knowledge management (DACH),https://interloom.com/,<1week (enterprise procurement),https://interloom.com/,not for consumer / individual use,https://interloom.com/,enterprise tacit-knowledge capture + governance,https://interloom.com/,BYO LLM; managed enterprise store,https://interloom.com/
Nyne,"sales / outbound prospecting, recruiting, BD",https://nyne.ai/,<10min (hosted SaaS),https://nyne.ai/,not for use cases that require strict consent-based data (operates on public web footprint),https://nyne.ai/,people-graph context for B2B agents,https://nyne.ai/,BYO LLM; managed people-graph,https://nyne.ai/
NeoCognition,"autonomous-agent research, vertical-specific learning agents",https://neocognition.ai/,no data - searched not found,https://neocognition.ai/,no data - searched not found,https://neocognition.ai/,world-model / experiential learning,https://neocognition.ai/,no data - searched not found,https://neocognition.ai/
MemoraX AI,"China market, agent developers",https://memorax.ai/,no data - searched not found,https://memorax.ai/,no data - searched not found,https://memorax.ai/,endogenous in-model memory (no external bank),https://memorax.ai/,no data - searched not found,https://memorax.ai/
Trace,agent developers (horizontal),https://www.usetrace.ai/,<10min (hosted SaaS),https://www.usetrace.ai/,no data - searched not found,https://www.usetrace.ai/,context-graph KG memory for agents,https://www.usetrace.ai/,BYO LLM,https://www.usetrace.ai/
Cellon (Memory.inc),Korean consumer / cross-service personal AI,https://memory.inc/,no data - searched not found,https://memory.inc/,no data - searched not found,https://memory.inc/,cross-service context stitching,https://memory.inc/,no data - searched not found,https://memory.inc/
MemWal (Walrus),"decentralised / web3 agents, portable agent memory",https://www.walrus.xyz/,<1hr (Walrus testnet + SDK),https://docs.walrus.xyz/,not for low-latency / high-write-throughput workloads (chain settlement),https://docs.walrus.xyz/,verifiability + portability + no vendor lock-in (on-chain),https://www.walrus.xyz/,BYO LLM; Walrus + Sui chain access,https://docs.walrus.xyz/
Jamba (AI21 Labs),"financial-services, regulated enterprise (Israel + global)",https://www.ai21.com/customers,<10min (AI21 Studio API),https://www.ai21.com/jamba,not for ultra-low-cost commodity inference (premium positioning),https://www.ai21.com/jamba,long context (256K) at lower cost via SSM-Transformer hybrid,https://www.ai21.com/jamba,self-contained model API; or self-host weights,https://www.ai21.com/jamba
Aleph Alpha PhariaAI / PhariaCatch,"government, defence, financial-services, healthcare (DACH/EU sovereign)",https://aleph-alpha.com/,weeks-to-months (custom enterprise / sovereign deployment),https://aleph-alpha.com/,not for SMB / consumer use cases,https://aleph-alpha.com/,EU sovereignty + governed-document memory + audit,https://aleph-alpha.com/,self-hosted on customer compute (sovereign),https://aleph-alpha.com/
AI Singapore SEA-LION,"SE Asian government, public sector, multilingual enterprise",https://aisingapore.org/aiproducts/sea-lion/,<1hr (HuggingFace + sample data),https://huggingface.co/aisingapore,not for English-monolingual use cases (English-first models perform better),https://aisingapore.org/aiproducts/sea-lion/,"SE-Asian language coverage (10 languages, contrastively trained)",https://aisingapore.org/aiproducts/sea-lion/,self-hosted; or use any embedding pipeline,https://huggingface.co/aisingapore
Krutrim Kruti (Ola),"Indian consumer, multilingual agentic assistance",https://olakrutrim.com/,<10min (Krutrim app or API),https://olakrutrim.com/,no data - searched not found,https://olakrutrim.com/,Indian-language agentic assistance (multimodal),https://olakrutrim.com/,self-contained Krutrim platform,https://olakrutrim.com/
NAVER HyperCLOVA X THINK,"Korean enterprise, government, sovereign AI",https://clova.ai/,<10min (NAVER Cloud API),https://clova.ai/,not optimised for non-Korean use cases,https://clova.ai/,Korean sovereignty + 128K reasoning,https://clova.ai/,NAVER Cloud platform,https://clova.ai/
M3-Agent (ByteDance),research only,https://arxiv.org/,not applicable - research paper / code release,https://arxiv.org/,not applicable - research paper,https://arxiv.org/,episodic + semantic multimodal memory graph (research),https://arxiv.org/,not applicable - research paper,https://arxiv.org/
AutoGLM (Zhipu AI),"Chinese consumer, GUI agentic browsing",https://chatglm.cn/,<10min (Zhipu app),https://chatglm.cn/,no data - searched not found,https://chatglm.cn/,GUI agent + cross-session task memory,https://chatglm.cn/,self-contained Zhipu platform,https://chatglm.cn/
LangMem (LangChain),agent developers (horizontal); broad LangChain user base,https://langchain-ai.github.io/langmem/,<10min (pip install langmem),https://langchain-ai.github.io/langmem/,not for non-LangChain stacks (Python-first),https://langchain-ai.github.io/langmem/,cognitive-typed memory (episodic/semantic/procedural) inside LangGraph,https://langchain-ai.github.io/langmem/,requires LangChain / LangGraph; BYO LLM + store,https://langchain-ai.github.io/langmem/
CrewAI Memory,agent developers (horizontal),https://docs.crewai.com/concepts/memory,<10min (pip install crewai),https://docs.crewai.com/concepts/memory,not for non-CrewAI stacks,https://docs.crewai.com/concepts/memory,multi-agent orchestration with built-in memory tiers,https://docs.crewai.com/concepts/memory,requires CrewAI; integrates Mem0 for long-term,https://docs.crewai.com/concepts/memory
LlamaIndex Memory,"RAG developers, agent developers (horizontal)",https://docs.llamaindex.ai/en/stable/module_guides/deploying/agents/memory/,<10min (pip install llama-index),https://docs.llamaindex.ai/en/stable/module_guides/deploying/agents/memory/,not for non-Python stacks,https://docs.llamaindex.ai/en/stable/module_guides/deploying/agents/memory/,FIFO + Memory Blocks for chat agent context,https://docs.llamaindex.ai/en/stable/module_guides/deploying/agents/memory/,requires LlamaIndex; BYO LLM + vector store,https://docs.llamaindex.ai/en/stable/module_guides/deploying/agents/memory/
AutoGen Memory,"research, agent developers (horizontal)",https://microsoft.github.io/autogen/,<10min (pip install autogen),https://microsoft.github.io/autogen/,not for non-AutoGen stacks,https://microsoft.github.io/autogen/,Microsoft Research multi-agent + teachable corrections,https://microsoft.github.io/autogen/,requires AutoGen; BYO LLM + vector store,https://microsoft.github.io/autogen/
Mastra Memory,Node.js/TypeScript agent developers,https://mastra.ai/docs/agents/memory,<10min (npm install @mastra/core),https://mastra.ai/docs/agents/memory,not for Python-only stacks,https://mastra.ai/,TypeScript-native developer experience + LibSQL semantic recall,https://mastra.ai/,requires Mastra; BYO LLM; LibSQL bundled,https://mastra.ai/
Semantic Kernel Memory,"Microsoft enterprise, .NET / C# / Java agent developers",https://learn.microsoft.com/en-us/semantic-kernel/,<10min (NuGet install),https://learn.microsoft.com/en-us/semantic-kernel/,not for non-Microsoft / non-SK stacks,https://learn.microsoft.com/en-us/semantic-kernel/,Microsoft enterprise integration (Azure-first),https://learn.microsoft.com/en-us/semantic-kernel/,requires Semantic Kernel; BYO LLM (Azure-first); BYO vector store,https://learn.microsoft.com/en-us/semantic-kernel/
Pydantic-AI + Hindsight,Pydantic-AI developers (horizontal),https://ai.pydantic.dev/,<1hr (Pydantic-AI + bolt-on Hindsight),https://ai.pydantic.dev/,not for stateful agent flows out-of-the-box,https://ai.pydantic.dev/,type-safe Pydantic-AI agents (memory bolted on),https://ai.pydantic.dev/,requires Pydantic-AI + external memory layer,https://ai.pydantic.dev/
LangGraph Persistence,LangGraph agent developers (horizontal),https://langchain-ai.github.io/langgraph/concepts/persistence/,<10min (pip install langgraph),https://langchain-ai.github.io/langgraph/,not for non-LangGraph workflows,https://langchain-ai.github.io/langgraph/,durable graph-state checkpointing + Store System for cross-thread memory,https://langchain-ai.github.io/langgraph/concepts/persistence/,requires LangGraph; checkpointer (SQLite/Postgres),https://langchain-ai.github.io/langgraph/concepts/persistence/
smolagents Memory,"research, prototyping, HuggingFace community",https://huggingface.co/docs/smolagents/,<10min (pip install smolagents),https://huggingface.co/docs/smolagents/,"not for production multi-session use - in-process Python list, no persistence",https://huggingface.co/docs/smolagents/,simplicity / barebones agent loop,https://huggingface.co/docs/smolagents/,BYO persistence if needed; smolagents itself bundles nothing,https://huggingface.co/docs/smolagents/
Agno (Phidata) Memory,agent developers (horizontal),https://docs.agno.com/,<10min (pip install agno),https://docs.agno.com/,not for non-Agno stacks,https://docs.agno.com/,agent storage + memory + tools in one framework,https://docs.agno.com/,requires Agno; BYO LLM + DBs (SQLite/Postgres),https://docs.agno.com/
Strands Agents Memory (AWS),"AWS enterprise, Bedrock-native agents",https://strandsagents.com/,<1hr (AWS account + Bedrock + Mem0/AgentCore wiring),https://strandsagents.com/,not for non-AWS stacks,https://strandsagents.com/,AWS Bedrock integration via code-first SDK,https://strandsagents.com/,requires AWS; Bedrock + Mem0 / AgentCore Memory,https://strandsagents.com/
OpenAI Agents SDK Memory,OpenAI enterprise + developers (horizontal),https://openai.github.io/openai-agents-python/,<10min (pip install + OpenAI key),https://openai.github.io/openai-agents-python/,not for non-OpenAI providers (provider-coupled),https://openai.github.io/openai-agents-python/,OpenAI-native agent SDK with Sessions + categorised memory,https://openai.github.io/openai-agents-python/,requires OpenAI API; BYO persistence layer,https://openai.github.io/openai-agents-python/
Google ADK Memory,"Google Cloud enterprise, Vertex AI agent developers",https://google.github.io/adk-docs/,<10min (pip install google-adk + GCP key),https://google.github.io/adk-docs/,not for non-GCP stacks,https://google.github.io/adk-docs/,Google Cloud / Vertex AI integration,https://google.github.io/adk-docs/,requires Google ADK; Vertex AI Memory Bank,https://google.github.io/adk-docs/
Haystack Memory (deepset),"RAG developers, enterprise search",https://docs.haystack.deepset.ai/,<10min (pip install haystack-ai),https://docs.haystack.deepset.ai/,not for non-Haystack pipelines (pipeline-native),https://docs.haystack.deepset.ai/,declarative pipelines + ChatMessageStore (experimental),https://docs.haystack.deepset.ai/,requires Haystack 2.x; BYO LLM + vector store,https://docs.haystack.deepset.ai/
Spring AI ChatMemory,"Java enterprise, Spring developers",https://docs.spring.io/spring-ai/reference/,<10min (Maven dependency),https://docs.spring.io/spring-ai/reference/,not for non-Java / non-Spring stacks,https://docs.spring.io/spring-ai/reference/,Java-native Spring Advisor pattern,https://docs.spring.io/spring-ai/reference/,requires Spring AI; BYO LLM + vector store,https://docs.spring.io/spring-ai/reference/
DSPy History,"research, agent developers using DSPy compilers",https://dspy.ai/,<10min (pip install dspy),https://dspy.ai/,not for non-DSPy programs,https://dspy.ai/,typed Signature-field history primitive,https://dspy.ai/,requires DSPy; BYO LLM,https://dspy.ai/
Pydantic-AI MemoryTool,Pydantic-AI + Anthropic developers,https://ai.pydantic.dev/,<10min (pip install + Anthropic key),https://ai.pydantic.dev/,not for non-Anthropic providers (delegates to Anthropic memory tool),https://ai.pydantic.dev/,model-provider memory delegation (DX),https://ai.pydantic.dev/,requires Pydantic-AI + Anthropic,https://ai.pydantic.dev/
Inngest AgentKit — Network State,event-driven multi-agent network developers,https://agentkit.inngest.com/,<1hr (Inngest account + AgentKit),https://agentkit.inngest.com/,not for non-Inngest stacks,https://agentkit.inngest.com/,durable event-driven multi-agent state,https://agentkit.inngest.com/,requires Inngest; BYO LLM,https://agentkit.inngest.com/
Rivet Memory Node (Ironclad),"legal-tech, visual-graph developers",https://rivet.ironcladapp.com/,"<10min (Rivet desktop app, OSS)",https://rivet.ironcladapp.com/,not for code-first agent developers,https://rivet.ironcladapp.com/,visual-graph programming + first-class memory node,https://rivet.ironcladapp.com/,requires Rivet; BYO LLM,https://rivet.ironcladapp.com/
AGiXT Adaptive Memory,"OSS automation, hobbyist agent developers",https://josh-xt.github.io/AGiXT/,"<1hr (Docker compose, OSS)",https://josh-xt.github.io/AGiXT/,not for enterprise-grade SLA workloads,https://josh-xt.github.io/AGiXT/,provider-spanning + plugin storage,https://josh-xt.github.io/AGiXT/,BYO LLM; bundled storage,https://josh-xt.github.io/AGiXT/
n8n AI Agent Memory,"automation engineers, internal IT, contact center, KM",https://n8n.io/,<1hr (n8n self-host or cloud),https://n8n.io/,not for code-first agent stacks (low-code workflow positioning),https://n8n.io/,low-code workflow + pluggable memory,https://docs.n8n.io/advanced-ai/intro-tutorial/,requires n8n; BYO LLM + Postgres/Redis/vector,https://docs.n8n.io/advanced-ai/intro-tutorial/
Voiceflow Memory,"contact center, conversational AI, customer support",https://www.voiceflow.com/,<10min (hosted SaaS),https://www.voiceflow.com/,not for code-first developers,https://www.voiceflow.com/,low-code chatbot designer + sliding-window buffer,https://www.voiceflow.com/,requires Voiceflow; BYO LLM,https://www.voiceflow.com/
Flowise Memory,"OSS LangChain users, prototyping (horizontal)",https://flowiseai.com/,"<1hr (Docker, OSS)",https://flowiseai.com/,not for production-grade SLA workloads,https://flowiseai.com/,visual LangChain canvas + memory nodes,https://flowiseai.com/,requires Flowise; BYO LLM + vector store,https://flowiseai.com/
Langflow Memory,agent developers (horizontal),https://www.langflow.org/,<10min (DataStax-hosted) or <1hr (self-host),https://www.langflow.org/,not for code-first only stacks,https://www.langflow.org/,visual flow building + Mem0/Redis integrations,https://www.langflow.org/,requires Langflow; BYO LLM; SQLite buffer bundled,https://www.langflow.org/
Botpress LLMz,"contact center, customer support, internal IT",https://botpress.com/,<10min (hosted SaaS),https://botpress.com/,no data - searched not found,https://botpress.com/,conversational AI + per-plan vector quota + KB,https://botpress.com/,requires Botpress; BYO LLM,https://botpress.com/
Relevance AI Memory,"sales, support, internal IT",https://relevanceai.com/,<10min (hosted SaaS),https://relevanceai.com/,no data - searched not found,https://relevanceai.com/,low-code agent platform + dual-scope memory,https://relevanceai.com/,requires Relevance AI; managed,https://relevanceai.com/
Lindy AI Memory,"personal productivity, sales, scheduling, executive assistance",https://www.lindy.ai/,<10min (hosted SaaS),https://www.lindy.ai/,not for code-first developers,https://www.lindy.ai/,selective high-signal memory injection,https://www.lindy.ai/,requires Lindy; managed,https://www.lindy.ai/
Vapi (voice agents),"voice agents (telephony, scheduling, support)",https://vapi.ai/,<10min (hosted SaaS),https://vapi.ai/,not for non-voice / non-realtime use cases,https://vapi.ai/,low-latency voice + structured workflow state,https://vapi.ai/,BYO LLM + STT/TTS providers (or use Vapi defaults),https://vapi.ai/
Retell AI,"voice agents, contact center",https://www.retellai.com/,<10min (hosted SaaS),https://www.retellai.com/,not for non-voice use cases,https://www.retellai.com/,low-latency voice + integration-based long-term,https://www.retellai.com/,BYO LLM + integrations (or Retell-managed),https://www.retellai.com/
Stack AI,"internal IT, knowledge management, enterprise compliance",https://www.stack-ai.com/,<10min (hosted SaaS),https://www.stack-ai.com/,not for agent-state memory; this is enterprise-KB RAG only,https://www.stack-ai.com/,enterprise KB connectors + access controls + citations,https://www.stack-ai.com/,BYO LLM; managed connectors,https://www.stack-ai.com/
Mistral Agents API,"financial-services, legal, government (EU sovereign focus)",https://docs.mistral.ai/agents/,<10min (Mistral La Plateforme key),https://docs.mistral.ai/agents/,not for self-hosted-only deployments,https://docs.mistral.ai/agents/,EU sovereign AI + branching conversation trees,https://docs.mistral.ai/agents/,self-contained Mistral platform,https://docs.mistral.ai/agents/
Anthropic Managed Agents — Memory,agent developers using Claude (horizontal),https://docs.claude.com/en/docs/agents-and-tools/tool-use/memory-tool,<10min (Claude API key + memory tool),https://docs.claude.com/en/docs/agents-and-tools/tool-use/memory-tool,not for non-Claude providers,https://docs.claude.com/en/docs/agents-and-tools/tool-use/memory-tool,filesystem-as-memory + tool-driven persistence,https://docs.claude.com/en/docs/agents-and-tools/tool-use/memory-tool,requires Claude API + managed filesystem,https://docs.claude.com/en/docs/agents-and-tools/tool-use/memory-tool
Anthropic Claude Memory,"consumer / individual, knowledge workers (broad)",https://www.anthropic.com/news/memory,<10min (Claude.ai sign-up; memory built-in),https://www.anthropic.com/news/memory,not for fine-grained programmatic memory control - opaque consumer feature,https://www.anthropic.com/news/memory,user-friendly persistent memory + Auto Dream consolidation,https://www.anthropic.com/news/memory,self-contained Claude consumer product,https://www.anthropic.com/news/memory
OpenAI ChatGPT Memory,consumer / individual (broad),https://help.openai.com/en/articles/8590148-memory-faq,<10min (ChatGPT sign-up),https://help.openai.com/en/articles/8590148-memory-faq,not for enterprise / programmatic memory; not for compliance-regulated data without ChatGPT Enterprise,https://help.openai.com/en/articles/8590148-memory-faq,auto-extracted persistent facts about the user,https://help.openai.com/en/articles/8590148-memory-faq,self-contained ChatGPT product,https://help.openai.com/en/articles/8590148-memory-faq
Google Gemini Memory,consumer / individual + Google Workspace users,https://blog.google/products/gemini/personal-context-app/,<10min (Google account + Gemini),https://blog.google/products/gemini/personal-context-app/,not for non-Google ecosystems,https://blog.google/products/gemini/personal-context-app/,"Google ecosystem personal context (Gmail, Drive, Calendar)",https://blog.google/products/gemini/personal-context-app/,self-contained Google ecosystem,https://blog.google/products/gemini/personal-context-app/
Microsoft Copilot Memory,Microsoft 365 enterprise (broad regulated industries),https://learn.microsoft.com/en-us/copilot/microsoft-365/microsoft-365-copilot-memory,<1day (M365 tenant + Copilot license),https://learn.microsoft.com/en-us/copilot/microsoft-365/microsoft-365-copilot-memory,not for non-M365 / non-Microsoft tenants,https://learn.microsoft.com/en-us/copilot/microsoft-365/microsoft-365-copilot-memory,compliance + tenant-scoped governance via Exchange,https://learn.microsoft.com/en-us/copilot/microsoft-365/microsoft-365-copilot-memory,requires M365 + Exchange,https://learn.microsoft.com/en-us/copilot/microsoft-365/microsoft-365-copilot-memory
LinkedIn Cognitive Memory Agent,internal LinkedIn (Hiring Assistant + GenAI products),https://www.linkedin.com/blog/engineering/,not applicable - internal LinkedIn-only system,https://www.linkedin.com/blog/engineering/,not deployable - internal LinkedIn infrastructure only,https://www.linkedin.com/blog/engineering/,episodic+semantic+procedural memory at LinkedIn scale,https://www.linkedin.com/blog/engineering/,not applicable - internal,https://www.linkedin.com/blog/engineering/
Cloudflare Agent Memory,Cloudflare Workers / edge developers,https://developers.cloudflare.com/agents/,<10min (Cloudflare account + Workers),https://developers.cloudflare.com/agents/,not for non-Cloudflare-edge stacks,https://developers.cloudflare.com/agents/,edge latency + Cloudflare-native (Workers/Durable Objects),https://developers.cloudflare.com/agents/,requires Cloudflare; BYO LLM,https://developers.cloudflare.com/agents/
AWS Bedrock AgentCore Memory,AWS enterprise (regulated industries via Bedrock),https://docs.aws.amazon.com/bedrock-agentcore/latest/devguide/memory-getting-started.html,<1day (AWS account + Bedrock + AgentCore wiring),https://docs.aws.amazon.com/bedrock-agentcore/latest/devguide/memory-getting-started.html,not for non-AWS stacks,https://docs.aws.amazon.com/bedrock-agentcore/latest/devguide/memory-getting-started.html,AWS Bedrock-native managed memory + IAM governance,https://docs.aws.amazon.com/bedrock-agentcore/latest/devguide/memory-getting-started.html,requires AWS Bedrock + AgentCore,https://docs.aws.amazon.com/bedrock-agentcore/latest/devguide/memory-getting-started.html
Vertex AI Memory Bank,Google Cloud enterprise,https://cloud.google.com/vertex-ai/generative-ai/docs/agent-engine/memory-bank/overview,<1day (GCP project + Vertex AI Agent Engine),https://cloud.google.com/vertex-ai/generative-ai/docs/agent-engine/memory-bank/overview,not for non-GCP stacks; Preview maturity,https://cloud.google.com/vertex-ai/generative-ai/docs/agent-engine/memory-bank/overview,GCP Vertex-native managed memory,https://cloud.google.com/vertex-ai/generative-ai/docs/agent-engine/memory-bank/overview,requires Vertex AI Agent Engine,https://cloud.google.com/vertex-ai/generative-ai/docs/agent-engine/memory-bank/overview
Perplexity Memory,consumer / individual research / power users,https://www.perplexity.ai/,<10min (Perplexity Pro sign-up),https://www.perplexity.ai/,not for enterprise programmatic memory; consumer-only,https://www.perplexity.ai/,auto-distillation across model swaps,https://www.perplexity.ai/,self-contained Perplexity Pro,https://www.perplexity.ai/
Grok Memory (xAI),consumer / individual (X / Grok users),https://x.ai/,<10min (X / Grok sign-up),https://x.ai/,not for enterprise programmatic use,https://x.ai/,preference distillation + user-deletable,https://x.ai/,self-contained xAI / X,https://x.ai/
Mistral Le Chat — Memories,consumer / individual + EU enterprise,https://chat.mistral.ai/,<10min (Le Chat sign-up),https://chat.mistral.ai/,not for enterprise programmatic use,https://chat.mistral.ai/,graph-based explicit + implicit memories,https://chat.mistral.ai/,self-contained Le Chat,https://chat.mistral.ai/
Meta AI Memory,"consumer / individual (broad - Instagram, WhatsApp, Messenger, FB)",https://www.meta.ai/,<10min (Meta account),https://www.meta.ai/,not for enterprise / programmatic; not for users who want segregated cross-app data,https://www.meta.ai/,cross-platform Meta family persistence,https://www.meta.ai/,self-contained Meta family,https://www.meta.ai/
Devin (Cognition),coding agents only - software engineering teams,https://devin.ai/,<10min (Devin sign-up),https://devin.ai/,not for non-coding tasks; high cost per session,https://devin.ai/,autonomous SWE work + structured Knowledge,https://devin.ai/,self-contained Devin platform,https://devin.ai/
Augment Code,coding agents only - enterprise dev teams,https://www.augmentcode.com/,<1day (enterprise install + repo indexing),https://www.augmentcode.com/,not for non-coding tasks,https://www.augmentcode.com/,real-time semantic Context Engine across repos / commits / CI,https://www.augmentcode.com/,self-contained Augment platform; repo + CI hooks,https://www.augmentcode.com/
OpenAI Codex (cloud agent),coding agents only,https://openai.com/codex/,<10min (ChatGPT Pro / Plus + Codex),https://openai.com/codex/,not for non-coding tasks,https://openai.com/codex/,file-backed memory under ~/.codex/memories,https://openai.com/codex/,self-contained Codex environment,https://openai.com/codex/
