landscape_id,name,source_id,source_categories,source_url,match_method
model-context-protocol-mcp-spec--modelcontextprotocol-io,Model Context Protocol,agentic-community,Agentic/Agent Protocols,https://github.com/agentic-community/agentic-landscape,homepage_url
neo4j--neo4j-com,Neo4j,agentic-community,Infrastructure/Knowledge Graphs,https://github.com/agentic-community/agentic-landscape,homepage_url
openai-agents-sdk--gh-openai-openai-agents-python,openai-agents-python,antgroup,,https://github.com/antgroup/agentic-ai-landscape,repo_url
openai-codex-cli--gh-openai-codex,codex,antgroup,,https://github.com/antgroup/agentic-ai-landscape,repo_url
openllmetry-traceloop--gh-traceloop-openllmetry,OpenLLMetry,agentic-community,Agentic/Observability,https://github.com/agentic-community/agentic-landscape,repo_url
openrlhf--gh-openrlhf-openrlhf,OpenRLHF,antgroup,,https://github.com/antgroup/agentic-ai-landscape,repo_url
pgvector--gh-pgvector-pgvector,pgvector,agentic-community,Infrastructure/Vector DBs,https://github.com/agentic-community/agentic-landscape,repo_url
pgvector--gh-pgvector-pgvector,pgvector,antgroup,,https://github.com/antgroup/agentic-ai-landscape,repo_url
phidata-agno--agno-com,Agno,agentic-community,Agentic/Frameworks,https://github.com/agentic-community/agentic-landscape,homepage_url
pipecat-daily--pipecat-ai,Pipecat,agentic-community,Agentic/Voice Agents,https://github.com/agentic-community/agentic-landscape,homepage_url
promptfoo--promptfoo-dev,Promptfoo,agentic-community,Agentic/Evaluations,https://github.com/agentic-community/agentic-landscape,homepage_url
pydantic-ai--ai-pydantic-dev,Pydantic AI,agentic-community,Agentic/Frameworks,https://github.com/agentic-community/agentic-landscape,homepage_url
qdrant-cloud--cloud-qdrant-io,Qdrant,agentic-community,Infrastructure/Vector DBs,https://github.com/agentic-community/agentic-landscape,homepage_url
retell-ai--retellai-com,Retell AI,yc-sylph,Voice Agent Platform,https://github.com/SylphAI-Inc/yc-agent-landscape,homepage_url
sglang--gh-sgl-project-sglang,SGLang,agentic-community,LLMs/Serving,https://github.com/agentic-community/agentic-landscape,repo_url
sglang--gh-sgl-project-sglang,sglang,antgroup,,https://github.com/antgroup/agentic-ai-landscape,repo_url
smolagents-hugging-face--gh-huggingface-smolagents,Smolagents,agentic-community,Agentic/Frameworks,https://github.com/agentic-community/agentic-landscape,repo_url
strands-agents-aws--strandsagents-com,Strands,agentic-community,Agentic/Frameworks,https://github.com/agentic-community/agentic-landscape,homepage_url
temporal--temporal-io,Temporal,agentic-community,Agentic/Workflow Orchestration,https://github.com/agentic-community/agentic-landscape,homepage_url
tensorrt-llm--gh-nvidia-tensorrt-llm,TensorRT-LLM,agentic-community,LLMs/Serving,https://github.com/agentic-community/agentic-landscape,repo_url
tensorrt-llm--gh-nvidia-tensorrt-llm,TensorRT-LLM,antgroup,,https://github.com/antgroup/agentic-ai-landscape,repo_url
text-generation-inference-tgi--gh-huggingface-text-generation-inference,Text Generation Inference,agentic-community,LLMs/Serving,https://github.com/agentic-community/agentic-landscape,repo_url
text-generation-inference-tgi--gh-huggingface-text-generation-inference,text-generation-inference,antgroup,,https://github.com/antgroup/agentic-ai-landscape,repo_url
trulens--gh-truera-trulens,TruLens,agentic-community,Agentic/Evaluations,https://github.com/agentic-community/agentic-landscape,repo_url
unsloth--unsloth-ai,Unsloth,agentic-community,LLMs/Fine-tuning,https://github.com/agentic-community/agentic-landscape,homepage_url
vllm--gh-vllm-project-vllm,vLLM,agentic-community,LLMs/Serving,https://github.com/agentic-community/agentic-landscape,repo_url
vllm--gh-vllm-project-vllm,vllm,antgroup,,https://github.com/antgroup/agentic-ai-landscape,repo_url
zep-graphiti--getzep-com,Zep,agentic-community,Agentic/Memory,https://github.com/agentic-community/agentic-landscape,homepage_url
zep-graphiti--getzep-com,Zep AI,yc-sylph,Agent Memory & State,https://github.com/SylphAI-Inc/yc-agent-landscape,homepage_url
